,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,AAON,08/18/20,59.52,60.06,59.27,59.76,145163,0.29,0.49%
1,AAON,08/17/20,58.03,59.47,57.95,59.47,183980,1.66,2.87%
2,AAON,08/14/20,58.82,58.82,57.52,57.81,212800,-1.34,-2.27%
3,AAON,08/13/20,59.45,59.77,58.86,59.15,137165,-0.44,-0.74%
4,AAON,08/12/20,60.47,60.64,59.07,59.59,188523,-0.43,-0.72%
5,AAON,08/11/20,60.0,60.96,59.8,60.02,229070,0.57,0.96%
6,AAON,08/10/20,58.8,60.22,57.92,59.45,189730,0.86,1.47%
7,AAON,08/07/20,57.05,59.06,56.36,58.59,219000,1.67,2.93%
8,AAON,08/06/20,57.0,57.49,54.01,56.92,481419,-3.06,-5.10%
9,AAON,08/05/20,60.03,60.5,59.33,59.98,180464,0.29,0.49%
10,AAON,08/04/20,60.12,60.25,58.98,59.69,151705,-0.63,-1.04%
11,AAON,08/03/20,59.47,61.09,59.47,60.32,224707,1.07,1.81%
12,AAON,07/31/20,57.67,59.3,57.67,59.25,261000,1.01,1.73%
13,AAON,07/30/20,58.0,58.89,57.3,58.24,180688,-0.86,-1.46%
14,AAON,07/29/20,57.33,59.58,57.33,59.1,210654,2.06,3.61%
15,AAON,07/28/20,57.54,58.22,56.56,57.04,205154,-0.88,-1.52%
16,AAON,07/27/20,57.71,57.98,57.35,57.92,103826,0.28,0.49%
17,AAON,07/24/20,58.49,58.58,57.33,57.64,128800,-0.85,-1.45%
18,AAON,07/23/20,58.35,60.0,58.02,58.49,290240,0.38,0.65%
19,AAON,07/22/20,57.53,59.11,57.53,58.11,146951,0.21,0.36%
20,AAON,07/21/20,58.14,58.34,57.33,57.9,129039,0.39,0.68%
21,AAON,07/20/20,57.78,58.28,57.47,57.51,102143,-0.59,-1.02%
22,AAON,07/17/20,57.5,58.3,57.25,58.1,186800,0.46,0.80%
23,AAON,07/16/20,57.25,58.45,57.05,57.64,145952,-0.02,-0.03%
24,AAON,07/15/20,57.34,58.35,56.8,57.66,307848,1.42,2.52%
25,AAON,07/14/20,54.86,56.33,54.05,56.24,239512,1.77,3.25%
26,AAON,07/13/20,54.57,56.04,53.92,54.47,326658,0.29,0.54%
27,AAON,07/10/20,53.47,54.47,52.87,54.18,115300,0.74,1.38%
28,AAON,07/09/20,54.05,55.3,53.03,53.44,184375,-0.83,-1.53%
29,AAON,07/08/20,55.21,55.46,53.25,54.27,262926,-0.94,-1.70%
30,AAON,07/07/20,54.4,57.31,54.4,55.21,425307,0.62,1.14%
31,AAON,07/06/20,54.56,54.93,54.07,54.59,132009,0.86,1.60%
32,AAON,07/02/20,53.47,54.28,52.8,53.73,170300,1.04,1.97%
33,AAON,07/01/20,54.31,54.58,52.56,52.69,174966,-1.6,-2.95%
34,AAON,06/30/20,53.36,54.64,53.27,54.29,181329,0.62,1.16%
35,AAON,06/29/20,51.5,53.86,51.22,53.67,248656,2.94,5.80%
36,AAON,06/26/20,52.84,52.84,50.53,50.73,385000,-2.36,-4.45%
37,AAON,06/25/20,52.48,53.14,51.51,53.09,213092,0.32,0.61%
38,AAON,06/24/20,53.66,53.95,52.32,52.77,167600,-1.44,-2.66%
39,AAON,06/23/20,54.68,54.82,54.11,54.21,120848,0.16,0.30%
40,AAON,06/22/20,53.0,54.17,52.01,54.05,154860,0.67,1.26%
41,AAON,06/19/20,53.87,54.03,52.79,53.38,323000,0.0,0.00%
42,AAON,06/18/20,53.21,54.21,53.03,53.38,133321,0.25,0.47%
43,AAON,06/17/20,54.25,54.39,52.97,53.13,139462,-0.66,-1.23%
44,AAON,06/16/20,54.4,54.85,52.97,53.79,139258,1.08,2.05%
45,AAON,06/15/20,50.37,53.43,49.9,52.71,193512,0.75,1.44%
46,AAON,06/12/20,53.9,53.9,51.09,51.96,172300,0.07,0.13%
47,AAON,06/11/20,54.58,54.94,51.82,51.89,411976,-4.46,-7.91%
48,AAON,06/10/20,57.68,57.68,56.17,56.35,216626,-0.94,-1.64%
49,AAON,06/09/20,57.18,58.15,56.42,57.29,211249,-0.53,-0.92%
50,AAON,06/08/20,58.46,59.35,57.7,57.82,282913,-0.55,-0.94%
51,AAON,06/05/20,57.07,58.71,56.37,58.37,288000,2.32,4.14%
52,AAON,06/04/20,54.7,56.35,54.57,56.05,157463,0.67,1.21%
53,AAON,06/03/20,54.73,55.91,54.73,55.38,213909,1.12,2.06%
54,AAON,06/02/20,54.41,54.63,53.12,54.26,247255,-0.01,-0.02%
55,AAON,06/01/20,54.17,55.54,53.17,54.27,306932,0.1,0.18%
56,AAON,05/29/20,53.75,54.72,52.9,54.17,288400,-0.05,-0.09%
