,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,ABIO,08/18/20,6.0,6.1,5.95,6.01,531234,-0.01,-0.17%
1,ABIO,08/17/20,6.05,6.18,5.95,6.02,528243,0.07,1.18%
2,ABIO,08/14/20,5.9,6.05,5.9,5.95,379400,-0.01,-0.17%
3,ABIO,08/13/20,6.2,6.26,5.86,5.96,1004086,-0.32,-5.10%
4,ABIO,08/12/20,6.8,6.89,6.16,6.28,2689399,-0.51,-7.51%
5,ABIO,08/11/20,6.93,6.97,6.7,6.79,958327,-0.05,-0.73%
6,ABIO,08/10/20,6.91,6.99,6.67,6.84,1018725,-0.04,-0.58%
7,ABIO,08/07/20,6.9,6.94,6.8,6.88,1250200,0.14,2.08%
8,ABIO,08/06/20,6.64,6.75,6.44,6.74,923228,-0.03,-0.44%
9,ABIO,08/05/20,6.79,6.84,6.64,6.77,822653,-0.01,-0.15%
10,ABIO,08/04/20,6.76,6.9,6.72,6.78,531196,0.16,2.42%
11,ABIO,08/03/20,6.97,6.99,6.59,6.62,1339599,-0.38,-5.43%
12,ABIO,07/31/20,7.21,7.25,6.9,7.0,1415500,-0.1,-1.41%
13,ABIO,07/30/20,7.0,7.38,6.8,7.1,3145321,0.2,2.90%
14,ABIO,07/29/20,7.15,7.27,6.86,6.9,914468,-0.1,-1.43%
15,ABIO,07/28/20,6.99,7.15,6.75,7.0,1194887,-0.03,-0.43%
16,ABIO,07/27/20,7.05,7.08,6.62,7.03,867542,0.12,1.74%
17,ABIO,07/24/20,6.6,7.06,6.45,6.91,951700,0.29,4.38%
18,ABIO,07/23/20,7.12,7.36,6.4,6.62,1052145,-0.67,-9.19%
19,ABIO,07/22/20,7.27,7.49,7.02,7.29,811464,-0.27,-3.57%
20,ABIO,07/21/20,8.12,8.24,7.3,7.56,1221823,-0.43,-5.38%
21,ABIO,07/20/20,7.12,8.61,7.1,7.99,4018112,0.93,13.17%
22,ABIO,07/17/20,6.37,7.15,6.16,7.06,4041700,0.64,9.97%
23,ABIO,07/16/20,6.52,6.649,6.31,6.42,594094,-0.04,-0.62%
24,ABIO,07/15/20,6.83,6.85,6.09,6.46,629281,-0.26,-3.87%
25,ABIO,07/14/20,6.93,6.97,6.41,6.72,576436,-0.23,-3.31%
26,ABIO,07/13/20,6.7,7.63,6.54,6.95,2479050,0.36,5.46%
27,ABIO,07/10/20,6.71,6.76,6.4,6.59,1321200,-0.15,-2.23%
28,ABIO,07/09/20,7.0,7.09,6.51,6.74,995065,0.05,0.75%
29,ABIO,07/08/20,6.4,6.88,6.21,6.69,795818,0.26,4.04%
30,ABIO,07/07/20,6.34,6.84,6.2,6.43,371406,0.0,0.00%
31,ABIO,07/06/20,6.81,6.85,6.3,6.43,423999,-0.31,-4.60%
32,ABIO,07/02/20,6.7,6.88,6.64,6.74,118500,0.03,0.45%
33,ABIO,07/01/20,6.62,6.8,6.52,6.71,181391,0.09,1.36%
34,ABIO,06/30/20,6.66,6.87,6.55,6.62,131691,-0.08,-1.19%
35,ABIO,06/29/20,6.84,7.2,6.55,6.7,244637,-0.15,-2.19%
36,ABIO,06/26/20,7.1,7.28,6.75,6.85,220000,-0.15,-2.14%
37,ABIO,06/25/20,6.76,7.39,6.68,7.0,253794,0.05,0.72%
38,ABIO,06/24/20,7.12,7.16,6.74,6.95,205837,-0.25,-3.47%
39,ABIO,06/23/20,7.77,7.78,7.02,7.2,227710,-0.32,-4.26%
40,ABIO,06/22/20,6.89,7.75,6.84,7.52,675162,0.57,8.20%
41,ABIO,06/19/20,6.94,7.19,6.8,6.95,147600,-0.01,-0.14%
42,ABIO,06/18/20,7.02,7.3,6.81,6.96,210951,-0.18,-2.52%
43,ABIO,06/17/20,7.12,7.34,7.06,7.14,102994,-0.02,-0.28%
44,ABIO,06/16/20,7.18,7.45,7.11,7.16,277730,0.03,0.42%
45,ABIO,06/15/20,7.03,7.51,7.03,7.13,401765,-0.04,-0.56%
46,ABIO,06/12/20,7.55,7.55,7.01,7.17,214500,-0.04,-0.55%
47,ABIO,06/11/20,8.03,8.03,7.06,7.21,322791,-0.87,-10.77%
48,ABIO,06/10/20,8.12,9.95,7.16,8.08,1905604,0.08,1.00%
49,ABIO,06/09/20,8.25,8.36,7.89,8.0,308009,-0.3,-3.61%
50,ABIO,06/08/20,8.26,8.458,7.63,8.3,519870,-0.25,-2.92%
51,ABIO,06/05/20,7.96,9.43,7.51,8.55,738700,0.5,6.21%
52,ABIO,06/04/20,8.39,8.5,7.75,8.05,425814,-0.55,-6.40%
53,ABIO,06/03/20,9.0,9.04,8.51,8.6,417145,-0.4,-4.44%
54,ABIO,06/02/20,9.46,9.47,8.83,9.0,605833,-0.2,-2.17%
55,ABIO,06/01/20,10.17,10.25,9.1,9.2,2080501,-3.4,-26.98%
56,ABIO,05/29/20,13.9,15.0,11.94,12.6,5494200,-6.61,-34.41%
57,ABIO,05/28/20,8.82,22.0,7.42,19.21,83619606,15.26,386.33%
58,ABIO,05/27/20,3.87,3.97,3.67,3.95,5005,-0.01,-0.25%
59,ABIO,05/26/20,3.98,3.98,3.8110000000000004,3.96,6747,0.13,3.39%
60,ABIO,05/22/20,3.82,3.861,3.73,3.83,9200,0.05,1.32%
61,ABIO,05/21/20,3.86,3.86,3.76,3.78,3860,0.0,0.00%
62,ABIO,05/20/20,3.78,3.7960000000000003,3.71,3.78,6284,-0.02,-0.53%
63,ABIO,05/19/20,3.79,3.82,3.7,3.8,4303,0.07,1.88%
64,ABIO,05/18/20,3.69,3.79,3.69,3.73,13649,-0.04,-1.06%
65,ABIO,05/15/20,3.84,3.84,3.63,3.77,8300,-0.09,-2.33%
66,ABIO,05/14/20,3.75,3.8689999999999998,3.51,3.86,11965,0.11,2.93%
67,ABIO,05/13/20,4.02,4.02,3.68,3.75,10070,-0.21,-5.30%
68,ABIO,05/12/20,3.88,3.97,3.82,3.96,12957,-0.02,-0.50%
69,ABIO,05/11/20,4.0,4.0,3.799,3.98,5518,0.0,0.00%
70,ABIO,05/08/20,3.98,3.98,3.78,3.98,15000,0.01,0.25%
71,ABIO,05/07/20,4.19,4.19,3.764,3.97,10756,0.08,2.06%
72,ABIO,05/06/20,3.89,3.93,3.72,3.89,16746,0.1,2.64%
73,ABIO,05/05/20,3.96,3.96,3.73,3.79,10996,0.07,1.88%
74,ABIO,05/04/20,3.59,3.72,3.53,3.72,14484,0.19,5.38%
75,ABIO,05/01/20,3.55,3.668,3.2,3.53,7100,-0.13,-3.55%
76,ABIO,04/30/20,3.78,4.26,3.66,3.66,41924,-0.03,-0.81%
77,ABIO,04/29/20,3.46,3.78,3.46,3.69,13602,0.23,6.65%
78,ABIO,04/28/20,3.8789999999999996,3.8789999999999996,3.26,3.46,60868,-0.39,-10.13%
79,ABIO,04/27/20,3.89,4.02,3.7,3.85,11939,-0.13,-3.26%
80,ABIO,04/24/20,4.14,4.25,3.9,3.98,10600,-0.15,-3.64%
81,ABIO,04/23/20,3.99,4.13,3.86,4.13,8799,0.31,8.12%
82,ABIO,04/22/20,4.22,4.22,3.71,3.82,23212,-0.16,-4.02%
83,ABIO,04/21/20,4.12,4.42,3.8,3.98,20914,-0.3,-7.01%
84,ABIO,04/20/20,4.61,4.665,4.1,4.28,25770,-0.31,-6.75%
85,ABIO,04/17/20,5.35,5.35,4.255,4.59,58500,-0.27,-5.56%
86,ABIO,04/16/20,4.55,5.45,4.45,4.86,117884,0.54,12.50%
87,ABIO,04/15/20,3.87,4.5,3.78,4.32,92902,0.58,15.51%
88,ABIO,04/14/20,3.5,3.9,3.5,3.74,33397,0.35,10.44%
89,ABIO,04/13/20,3.23,3.46,3.032,3.386,27872,0.39,12.88%
90,ABIO,04/09/20,3.03,3.258,2.95,3.0,38800,0.12,4.17%
91,ABIO,04/08/20,2.9,2.9,2.761,2.88,7695,0.12,4.35%
92,ABIO,04/07/20,2.84,2.8539999999999996,2.63,2.76,15016,-0.08,-2.65%
93,ABIO,04/06/20,2.88,3.02,2.82,2.835,24127,-0.0,-0.18%
94,ABIO,04/03/20,2.8,2.87,2.8,2.84,10800,0.02,0.71%
95,ABIO,04/02/20,2.73,2.82,2.665,2.82,3529,0.13,4.83%
96,ABIO,04/01/20,2.72,2.84,2.61,2.69,10944,-0.1,-3.58%
97,ABIO,03/31/20,2.73,2.85,2.705,2.79,9379,0.11,4.14%
98,ABIO,03/30/20,2.6,2.78,2.52,2.679,3682,0.05,1.86%
99,ABIO,03/27/20,2.71,2.785,2.55,2.63,7100,-0.09,-3.31%
100,ABIO,03/26/20,2.7,2.74,2.614,2.72,13268,0.17,6.67%
101,ABIO,03/25/20,2.65,2.9010000000000002,2.523,2.55,23289,-0.05,-1.92%
102,ABIO,03/24/20,2.65,2.75,2.51,2.6,7335,0.06,2.36%
103,ABIO,03/23/20,2.64,2.64,2.51,2.54,6260,-0.06,-2.31%
104,ABIO,03/20/20,2.66,2.695,2.6,2.6,7800,0.02,0.68%
105,ABIO,03/19/20,2.21,2.582,2.21,2.582,11386,0.26,11.31%
106,ABIO,03/18/20,2.5,2.589,2.3,2.32,12533,-0.18,-7.20%
107,ABIO,03/17/20,2.7,2.7,2.46,2.5,10179,0.05,2.04%
108,ABIO,03/16/20,2.71,2.71,2.45,2.45,27838,-0.25,-9.26%
109,ABIO,03/13/20,3.0,3.137,2.7,2.7,43800,-0.31,-10.30%
110,ABIO,03/12/20,3.12,3.13,3.0,3.01,41761,-0.18,-5.64%
111,ABIO,03/11/20,3.21,3.42,3.12,3.19,11091,-0.12,-3.48%
112,ABIO,03/10/20,3.45,3.457,3.15,3.305,20017,-0.08,-2.51%
113,ABIO,03/09/20,4.0,4.0,3.38,3.39,32060,-0.41,-10.79%
114,ABIO,03/06/20,4.03,4.03,3.688,3.8,36700,0.13,3.54%
115,ABIO,03/05/20,3.8,3.8,3.67,3.67,8985,-0.16,-4.18%
116,ABIO,03/04/20,3.89,3.89,3.7,3.83,25635,0.13,3.51%
117,ABIO,03/03/20,3.79,3.79,3.4,3.7,23620,-0.14,-3.65%
118,ABIO,03/02/20,3.83,3.9,3.51,3.84,37778,0.1,2.67%
119,ABIO,02/28/20,3.26,3.74,3.26,3.74,73300,0.48,14.72%
120,ABIO,02/27/20,3.55,3.55,3.11,3.26,131414,-0.87,-21.07%
121,ABIO,02/26/20,4.21,4.36,4.08,4.13,22238,-0.01,-0.24%
122,ABIO,02/25/20,4.505,4.505,4.14,4.14,19865,-0.22,-5.05%
123,ABIO,02/24/20,4.15,4.49,4.07,4.36,32731,0.1,2.35%
124,ABIO,02/21/20,4.8,4.8,3.9339999999999997,4.26,181100,-0.64,-13.06%
125,ABIO,02/20/20,5.21,5.21,4.8,4.9,62686,-0.3,-5.77%
126,ABIO,02/19/20,5.55,5.55,4.92,5.2,86075,-0.15,-2.80%
127,ABIO,02/18/20,5.46,5.52,5.35,5.35,14745,-0.18,-3.25%
128,ABIO,02/14/20,5.45,5.53,5.45,5.53,4300,0.05,0.91%
129,ABIO,02/13/20,5.36,5.5,5.35,5.48,10746,-0.01,-0.18%
130,ABIO,02/12/20,5.55,5.55,5.37,5.49,17972,0.14,2.62%
131,ABIO,02/11/20,5.45,5.733,5.27,5.35,11848,-0.17,-3.08%
132,ABIO,02/10/20,5.65,5.79,5.5,5.52,18372,-0.15,-2.65%
133,ABIO,02/07/20,5.55,5.79,5.48,5.67,26800,0.12,2.16%
134,ABIO,02/06/20,5.71,5.71,5.401,5.55,7179,-0.09,-1.60%
135,ABIO,02/05/20,5.7410000000000005,5.7410000000000005,5.47,5.64,24189,0.02,0.36%
136,ABIO,02/04/20,5.77,5.83,5.52,5.62,19936,-0.11,-1.92%
137,ABIO,02/03/20,5.26,5.94,5.14,5.73,150041,0.49,9.31%
138,ABIO,01/31/20,5.26,5.27,5.0,5.242000000000001,26600,-0.03,-0.53%
139,ABIO,01/30/20,5.45,5.5,5.26,5.27,15840,-0.23,-4.18%
140,ABIO,01/29/20,5.54,5.664,5.499,5.5,4841,-0.05,-0.90%
141,ABIO,01/28/20,5.4,5.57,5.4,5.55,5415,0.14,2.59%
142,ABIO,01/27/20,5.39,5.8,5.39,5.41,47197,-0.21,-3.74%
143,ABIO,01/24/20,5.72,5.72,5.59,5.62,10500,0.0,0.00%
144,ABIO,01/23/20,5.82,5.8260000000000005,5.62,5.62,12553,-0.2,-3.44%
145,ABIO,01/22/20,5.94,5.94,5.7,5.82,20270,-0.04,-0.68%
