,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,ABTX,08/18/20,25.78,26.0,24.96,25.16,25423,-0.8,-3.08%
1,ABTX,08/17/20,26.64,26.64,25.72,25.96,44345,-0.67,-2.52%
2,ABTX,08/14/20,26.15,26.79,25.36,26.63,46200,0.17,0.64%
3,ABTX,08/13/20,26.77,26.8,26.3,26.46,33720,-0.48,-1.78%
4,ABTX,08/12/20,27.75,27.75,26.36,26.94,37574,-0.17,-0.63%
5,ABTX,08/11/20,27.68,27.81,26.98,27.11,39892,0.04,0.15%
6,ABTX,08/10/20,26.49,27.59,26.36,27.07,65502,0.74,2.81%
7,ABTX,08/07/20,24.46,26.34,24.46,26.33,47300,1.51,6.08%
8,ABTX,08/06/20,24.99,25.21,24.41,24.82,87662,0.11,0.45%
9,ABTX,08/05/20,24.31,24.73,22.54,24.71,47586,0.72,3.00%
10,ABTX,08/04/20,23.93,24.22,23.62,23.99,36461,-0.1,-0.42%
11,ABTX,08/03/20,24.55,24.55,22.99,24.09,41219,-0.3,-1.23%
12,ABTX,07/31/20,24.88,24.98,23.81,24.39,57000,-0.6,-2.40%
13,ABTX,07/30/20,24.5,25.47,23.3,24.99,61799,0.64,2.63%
14,ABTX,07/29/20,23.52,24.5,23.41,24.35,46069,0.96,4.10%
15,ABTX,07/28/20,23.32,23.76,23.32,23.39,26361,-0.12,-0.51%
16,ABTX,07/27/20,23.85,23.85,22.69,23.51,28093,-0.47,-1.96%
17,ABTX,07/24/20,24.21,24.33,23.97,23.98,29200,-0.21,-0.87%
18,ABTX,07/23/20,23.38,24.28,23.38,24.19,39065,0.62,2.63%
19,ABTX,07/22/20,23.7,23.91,23.07,23.57,40666,-0.46,-1.91%
20,ABTX,07/21/20,22.8,24.11,22.8,24.03,51603,1.63,7.28%
21,ABTX,07/20/20,22.76,22.99,22.4,22.4,45060,-0.64,-2.78%
22,ABTX,07/17/20,23.61,23.91,22.99,23.04,40100,-0.74,-3.11%
23,ABTX,07/16/20,23.85,24.23,23.53,23.78,38481,-0.27,-1.12%
24,ABTX,07/15/20,23.61,24.27,23.47,24.05,88222,1.2,5.25%
25,ABTX,07/14/20,22.94,23.24,22.35,22.85,65660,-0.14,-0.61%
26,ABTX,07/13/20,22.97,23.43,22.27,22.99,55772,0.34,1.50%
27,ABTX,07/10/20,21.77,22.66,21.75,22.65,39900,0.91,4.19%
28,ABTX,07/09/20,22.5,22.72,21.63,21.74,59546,-0.97,-4.27%
29,ABTX,07/08/20,23.08,23.2,22.25,22.71,68829,-0.46,-1.99%
30,ABTX,07/07/20,23.45,23.68,23.03,23.17,71311,-0.53,-2.24%
31,ABTX,07/06/20,24.49,24.63,23.63,23.7,48301,-0.11,-0.46%
32,ABTX,07/02/20,24.65,24.95,23.66,23.81,40700,-0.08,-0.33%
33,ABTX,07/01/20,25.52,25.9,23.86,23.89,66488,-1.5,-5.91%
34,ABTX,06/30/20,24.46,25.5,24.46,25.39,63048,0.67,2.71%
35,ABTX,06/29/20,23.79,25.0,23.79,24.72,55810,1.41,6.05%
36,ABTX,06/26/20,24.14,24.28,23.14,23.31,109900,-1.33,-5.40%
37,ABTX,06/25/20,23.75,24.71,23.75,24.64,93402,0.69,2.88%
38,ABTX,06/24/20,24.69,24.79,23.86,23.95,98566,-1.06,-4.24%
39,ABTX,06/23/20,25.58,25.88,24.94,25.01,94556,-0.1,-0.40%
40,ABTX,06/22/20,24.14,25.29,24.04,25.11,58087,0.64,2.62%
41,ABTX,06/19/20,24.92,25.0,24.01,24.47,279100,-0.48,-1.92%
42,ABTX,06/18/20,24.44,25.18,24.44,24.95,109817,0.08,0.32%
43,ABTX,06/17/20,26.63,26.63,24.86,24.87,62869,-1.62,-6.12%
44,ABTX,06/16/20,26.99,27.08,25.95,26.49,82366,0.71,2.75%
45,ABTX,06/15/20,23.92,26.05,23.92,25.78,74764,0.75,3.00%
46,ABTX,06/12/20,25.85,25.89,24.07,25.03,85000,0.44,1.79%
47,ABTX,06/11/20,25.29,25.74,24.36,24.59,85434,-2.43,-8.99%
48,ABTX,06/10/20,29.0,29.0,26.88,27.02,61311,-2.18,-7.47%
49,ABTX,06/09/20,28.63,29.8,28.24,29.2,58631,-0.19,-0.65%
50,ABTX,06/08/20,29.88,30.25,29.24,29.39,92159,0.2,0.69%
51,ABTX,06/05/20,28.81,29.83,27.15,29.19,109100,2.01,7.40%
52,ABTX,06/04/20,26.03,27.22,25.83,27.18,83037,0.7,2.64%
53,ABTX,06/03/20,26.07,26.96,25.84,26.48,68448,1.2,4.75%
54,ABTX,06/02/20,25.77,25.96,25.01,25.28,48791,-0.14,-0.55%
55,ABTX,06/01/20,25.83,26.24,25.41,25.42,86552,-0.19,-0.74%
56,ABTX,05/29/20,25.8,26.05,25.01,25.61,135200,-0.61,-2.33%
57,ABTX,05/28/20,28.28,28.28,25.95,26.22,92073,-1.71,-6.12%
58,ABTX,05/27/20,27.38,28.18,26.84,27.93,94456,1.44,5.44%
59,ABTX,05/26/20,26.04,26.67,25.8,26.49,77376,1.65,6.64%
60,ABTX,05/22/20,25.08,25.1,24.52,24.84,55900,-0.02,-0.08%
61,ABTX,05/21/20,24.95,25.41,24.68,24.86,92124,-0.04,-0.16%
62,ABTX,05/20/20,23.76,25.01,23.76,24.9,87572,1.78,7.70%
63,ABTX,05/19/20,24.13,24.82,23.12,23.12,88320,-1.23,-5.05%
64,ABTX,05/18/20,23.14,24.5,23.14,24.35,141365,2.0,8.95%
65,ABTX,05/15/20,22.61,22.88,21.69,22.35,638300,-0.12,-0.53%
66,ABTX,05/14/20,21.68,22.74,21.02,22.47,129627,0.1,0.45%
67,ABTX,05/13/20,22.26,22.58,21.5,22.37,176137,-0.05,-0.20%
68,ABTX,05/12/20,23.58,23.58,22.39,22.42,118496,-1.07,-4.58%
69,ABTX,05/11/20,23.59,24.08,22.6,23.49,112980,-0.64,-2.65%
70,ABTX,05/08/20,23.5,24.22,23.5,24.13,95400,1.34,5.88%
71,ABTX,05/07/20,22.37,23.34,22.07,22.79,106369,0.66,2.98%
72,ABTX,05/06/20,22.65,22.99,21.84,22.13,104387,-0.5,-2.21%
73,ABTX,05/05/20,24.12,24.63,22.49,22.63,113979,-1.01,-4.27%
74,ABTX,05/04/20,24.31,24.49,23.29,23.64,103011,-0.84,-3.43%
75,ABTX,05/01/20,24.14,24.6,23.75,24.48,97600,-0.6,-2.39%
76,ABTX,04/30/20,22.94,26.48,22.94,25.08,112663,-2.83,-10.14%
77,ABTX,04/29/20,26.48,28.0,24.83,27.91,116111,2.47,9.71%
78,ABTX,04/28/20,25.0,25.71,24.56,25.44,94854,1.06,4.35%
79,ABTX,04/27/20,23.23,24.67,22.72,24.38,87182,1.7,7.50%
80,ABTX,04/24/20,22.52,22.87,21.97,22.68,53700,0.23,1.02%
81,ABTX,04/23/20,22.19,23.13,21.52,22.45,92886,0.24,1.08%
82,ABTX,04/22/20,22.48,22.51,21.72,22.21,78512,0.3,1.37%
83,ABTX,04/21/20,21.39,22.29,21.11,21.91,87309,-0.42,-1.88%
84,ABTX,04/20/20,22.4,23.28,21.86,22.33,76976,-0.82,-3.54%
85,ABTX,04/17/20,22.36,23.38,22.36,23.15,81200,1.54,7.13%
86,ABTX,04/16/20,22.79,23.25,20.88,21.61,134511,-1.09,-4.80%
87,ABTX,04/15/20,23.58,25.0,22.59,22.7,73278,-1.96,-7.95%
88,ABTX,04/14/20,25.91,26.28,24.0,24.66,69902,-0.4,-1.60%
89,ABTX,04/13/20,26.95,28.47,24.84,25.06,50811,-2.06,-7.60%
90,ABTX,04/09/20,24.88,27.35,22.96,27.12,89600,2.78,11.42%
91,ABTX,04/08/20,23.51,24.8,23.08,24.34,90187,1.43,6.24%
92,ABTX,04/07/20,23.94,24.49,22.7,22.91,93194,-0.56,-2.39%
93,ABTX,04/06/20,22.74,23.64,22.53,23.47,100346,1.78,8.21%
94,ABTX,04/03/20,22.81,22.89,21.26,21.69,64700,-1.33,-5.78%
95,ABTX,04/02/20,21.79,23.36,21.79,23.02,84255,0.78,3.51%
96,ABTX,04/01/20,23.08,23.88,21.93,22.24,123330,-1.87,-7.76%
97,ABTX,03/31/20,24.01,25.03,23.42,24.11,109137,-0.13,-0.54%
98,ABTX,03/30/20,23.94,24.46,23.44,24.24,62125,0.55,2.32%
99,ABTX,03/27/20,24.45,25.86,23.45,23.69,106700,-1.85,-7.24%
100,ABTX,03/26/20,24.28,26.24,24.05,25.54,110547,1.51,6.28%
101,ABTX,03/25/20,24.76,24.92,23.28,24.03,125710,-0.71,-2.87%
102,ABTX,03/24/20,23.69,25.09,22.98,24.74,113307,2.06,9.08%
103,ABTX,03/23/20,25.02,27.88,22.14,22.68,137940,-2.24,-8.99%
104,ABTX,03/20/20,27.14,27.32,24.76,24.92,181000,-2.22,-8.18%
105,ABTX,03/19/20,24.94,27.76,23.85,27.14,148889,1.66,6.51%
106,ABTX,03/18/20,25.78,27.99,23.99,25.48,143520,-1.69,-6.22%
107,ABTX,03/17/20,23.09,27.2,22.81,27.17,163633,3.95,17.01%
108,ABTX,03/16/20,24.5,25.3,22.76,23.22,157897,-3.3,-12.44%
109,ABTX,03/13/20,25.73,26.84,24.83,26.52,157400,2.07,8.47%
110,ABTX,03/12/20,24.43,26.14,23.39,24.45,164461,-1.8,-6.86%
111,ABTX,03/11/20,27.33,28.3,25.85,26.25,151469,-2.07,-7.31%
112,ABTX,03/10/20,27.48,28.47,26.19,28.32,165160,1.56,5.83%
113,ABTX,03/09/20,27.77,30.34,26.58,26.76,147454,-3.43,-11.36%
114,ABTX,03/06/20,30.88,31.42,29.72,30.19,212000,-1.9,-5.92%
