,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,ACOR,08/18/20,0.63,0.63,0.6,0.6083,1543748,-0.02,-3.44%
1,ACOR,08/17/20,0.67,0.68,0.62,0.63,2129616,-0.04,-5.41%
2,ACOR,08/14/20,0.709,0.72,0.6622,0.666,1189500,-0.03,-4.86%
3,ACOR,08/13/20,0.69,0.72,0.68,0.7,1034448,0.01,1.76%
4,ACOR,08/12/20,0.7188,0.7249,0.6803,0.6879,1538973,-0.02,-3.15%
5,ACOR,08/11/20,0.7201,0.7347,0.7024,0.7103,1651434,-0.03,-4.04%
6,ACOR,08/10/20,0.728,0.7619,0.7151,0.7402,2111696,-0.0,-0.05%
7,ACOR,08/07/20,0.7583,0.7599,0.708,0.7406,1900600,-0.02,-2.99%
8,ACOR,08/06/20,0.698,0.8061,0.6944,0.7634,3766610,0.05,7.52%
9,ACOR,08/05/20,0.74,0.75,0.69,0.71,5089422,0.07,10.94%
10,ACOR,08/04/20,0.68,0.69,0.64,0.64,4608354,0.0,0.66%
11,ACOR,08/03/20,0.618,0.6596,0.6152,0.6358,1460543,0.01,1.11%
12,ACOR,07/31/20,0.64,0.67,0.615,0.6288,1949400,-0.01,-0.96%
13,ACOR,07/30/20,0.67,0.6788,0.603,0.6349,3398323,-0.04,-5.22%
14,ACOR,07/29/20,0.7155,0.7248,0.6541,0.6699,3665302,-0.05,-6.33%
15,ACOR,07/28/20,0.75,0.75,0.701,0.7152,1804449,-0.03,-4.00%
16,ACOR,07/27/20,0.78,0.78,0.74,0.745,962787,-0.02,-2.47%
17,ACOR,07/24/20,0.79,0.79,0.7255,0.7639,1797100,-0.04,-4.71%
18,ACOR,07/23/20,0.89,0.9,0.7801,0.8017,2451967,-0.05,-5.68%
19,ACOR,07/22/20,0.84,1.05,0.81,0.85,9822916,0.03,3.66%
20,ACOR,07/21/20,0.74,0.84,0.73,0.82,4601332,0.09,12.33%
21,ACOR,07/20/20,0.74,0.75,0.71,0.73,1316398,-0.01,-0.80%
22,ACOR,07/17/20,0.7305,0.747,0.7129,0.7359,1308800,-0.0,-0.55%
23,ACOR,07/16/20,0.73,0.75,0.71,0.74,2174337,-0.02,-2.54%
24,ACOR,07/15/20,0.8045,0.88,0.7301,0.7593,8764308,0.06,8.47%
25,ACOR,07/14/20,0.7047,0.7138,0.6516,0.7,7153087,0.0,0.00%
26,ACOR,07/13/20,0.74,0.75,0.7,0.7,1293469,-0.04,-4.79%
27,ACOR,07/10/20,0.7171,0.7592,0.7021,0.7352,1158900,0.02,2.68%
28,ACOR,07/09/20,0.7195,0.72,0.7,0.716,786258,0.01,0.85%
29,ACOR,07/08/20,0.72,0.73,0.7,0.71,778364,-0.0,-0.14%
30,ACOR,07/07/20,0.739,0.739,0.7022,0.711,906372,-0.03,-3.92%
31,ACOR,07/06/20,0.72,0.74,0.71,0.74,904260,0.01,0.84%
