,Date,Open,High,Low,Close,Adj Close,Volume
0,2015-08-31,12.84,12.93,12.45,12.52,7.926661,446100
1,2015-09-01,12.36,12.49,12.21,12.3,7.787373,215900
2,2015-09-02,12.39,12.46,12.26,12.3,7.787373,212500
3,2015-09-03,12.32,12.39,12.21,12.27,7.7683800000000005,307400
4,2015-09-04,12.2,12.26,12.09,12.12,7.673413,148300
5,2015-09-08,12.21,12.27,12.12,12.13,7.679742999999999,223900
6,2015-09-09,12.18,12.23,11.88,11.91,7.540456,343300
7,2015-09-10,11.91,12.12,11.89,12.09,7.654418,175800
8,2015-09-11,12.03,12.13,12.0,12.08,7.648086999999999,91800
9,2015-09-14,12.1,12.18,12.0,12.11,7.667078,112000
10,2015-09-15,12.14,12.24,12.05,12.22,7.736724000000001,106200
11,2015-09-16,12.25,12.41,12.25,12.38,7.8380220000000005,131100
12,2015-09-17,12.4,12.51,12.17,12.4,7.8506860000000005,186100
13,2015-09-18,12.27,12.6,12.27,12.6,7.977309,296200
14,2015-09-21,12.63,12.69,12.5,12.54,7.939322,119000
15,2015-09-22,12.5,12.57,12.41,12.43,7.869680000000001,384900
16,2015-09-23,12.48,12.55,12.44,12.53,7.932992,87300
17,2015-09-24,12.48,12.61,12.46,12.57,7.958315,114100
18,2015-09-25,12.62,12.63,12.31,12.35,7.819027,202100
19,2015-09-28,12.08,12.15,11.86,12.06,7.79318,190700
20,2015-09-29,12.06,12.1,11.54,11.67,7.541164,230300
21,2015-09-30,11.75,12.03,11.59,11.99,7.747947999999999,204400
22,2015-10-01,12.01,12.14,11.82,11.99,7.747947999999999,166500
23,2015-10-02,11.98,12.07,11.87,12.07,7.799644,142500
24,2015-10-05,12.08,12.38,12.08,12.31,7.954733,186500
25,2015-10-06,12.31,12.38,12.19,12.3,7.948269,96600
26,2015-10-07,12.32,12.45,12.3,12.39,8.006427,130500
27,2015-10-08,12.37,12.44,12.26,12.37,7.993504,91600
28,2015-10-09,12.41,12.41,12.24,12.31,7.954733,87100
29,2015-10-12,12.34,12.46,12.23,12.43,8.032275,124000
30,2015-10-13,12.4,12.52,12.37,12.46,8.051661,105800
31,2015-10-14,12.42,12.54,12.19,12.21,7.890110000000001,105300
32,2015-10-15,12.27,12.47,12.15,12.47,8.058124000000001,155700
33,2015-10-16,12.46,12.88,12.43,12.62,8.155055,162000
34,2015-10-19,12.59,12.68,12.5,12.52,8.090432,99900
35,2015-10-20,12.53,12.68,12.42,12.62,8.155055,102400
36,2015-10-21,12.63,12.63,12.42,12.44,8.038737,85700
