,Date,Open,High,Low,Close,Adj Close,Volume
0,2015-05-06,19.25,19.5,15.51,16.0,16.0,8301700
1,2015-05-07,15.75,17.25,15.75,17.23,17.23,1766500
2,2015-05-08,17.25,17.690001000000002,16.59,17.18,17.18,884100
3,2015-05-11,17.469998999999998,17.469998999999998,16.860001,17.0,17.0,240500
4,2015-05-12,17.0,17.048,16.75,16.879998999999998,16.879998999999998,338300
5,2015-05-13,16.85,17.014999,16.84,16.940001000000002,16.940001000000002,342300
6,2015-05-14,17.08,17.08,16.85,16.93,16.93,373200
7,2015-05-15,17.01,17.09,16.799999,16.85,16.85,610200
8,2015-05-18,16.879998999999998,17.15,16.6,16.610001,16.610001,318500
9,2015-05-19,16.5,16.66,15.91,15.98,15.98,288400
10,2015-05-20,15.9,16.23,14.0,15.2,15.2,605000
11,2015-05-21,15.69,15.69,15.0,15.08,15.08,64100
12,2015-05-22,14.84,15.71,14.84,15.6,15.6,78600
13,2015-05-26,15.58,15.75,15.06,15.23,15.23,126800
14,2015-05-27,15.2,15.67,14.79,15.62,15.62,146500
15,2015-05-28,15.31,15.6,15.0,15.33,15.33,283400
16,2015-05-29,15.62,15.62,15.15,15.43,15.43,355200
17,2015-06-01,16.1,16.1,13.75,14.82,14.82,607500
18,2015-06-02,14.5,15.05,14.4,14.81,14.81,415400
19,2015-06-03,14.7,15.16,14.652,15.13,15.13,243000
20,2015-06-04,15.0,15.25,14.9,15.1,15.1,234200
21,2015-06-05,15.45,15.45,15.05,15.34,15.34,152900
22,2015-06-08,15.4,16.33,15.15,16.1,16.1,297500
23,2015-06-09,16.969998999999998,17.056,16.059998999999998,16.43,16.43,187800
24,2015-06-10,16.4,17.4,16.35,17.030001000000002,17.030001000000002,263300
25,2015-06-11,17.0,17.559998999999998,17.0,17.41,17.41,249800
26,2015-06-12,17.639999,19.49,17.5,19.290001,19.290001,320300
27,2015-06-15,19.27,20.415001,19.0,19.799999,19.799999,425900
28,2015-06-16,20.25,21.57,20.051001,21.120001000000002,21.120001000000002,304900
29,2015-06-17,21.32,21.35,19.653999,20.02,20.02,752900
30,2015-06-18,19.98,21.0,19.809998999999998,19.950001,19.950001,420800
31,2015-06-19,20.0,20.34,19.799999,19.85,19.85,174000
32,2015-06-22,20.0,20.58,19.950001,20.309998999999998,20.309998999999998,133000
33,2015-06-23,20.34,20.34,19.58,19.690001000000002,19.690001000000002,250700
34,2015-06-24,19.74,19.940001000000002,19.0,19.280001000000002,19.280001000000002,168100
35,2015-06-25,19.43,19.77,17.782,17.889999,17.889999,95800
36,2015-06-26,17.889999,18.540001,17.719998999999998,18.5,18.5,539700
37,2015-06-29,18.26,18.610001,17.98,18.02,18.02,228800
38,2015-06-30,18.08,18.559998999999998,18.030001000000002,18.33,18.33,113000
39,2015-07-01,18.57,18.84,17.18,17.559998999999998,17.559998999999998,476100
40,2015-07-02,18.02,18.620001000000002,17.27,17.99,17.99,48500
41,2015-07-06,17.969998999999998,17.99,17.360001,17.68,17.68,29700
42,2015-07-07,17.719998999999998,17.886999,16.91,17.450001,17.450001,231800
43,2015-07-08,17.24,17.905001000000002,16.040001,16.1,16.1,312200
44,2015-07-09,16.4,16.77,15.82,16.23,16.23,175800
45,2015-07-10,16.35,16.76,15.55,15.66,15.66,611500
46,2015-07-13,15.82,16.639999,15.5,16.02,16.02,812900
47,2015-07-14,16.01,17.74,15.99,17.059998999999998,17.059998999999998,466200
48,2015-07-15,17.700001,17.99,17.041,17.370001000000002,17.370001000000002,826100
49,2015-07-16,17.41,19.396998999999997,17.41,19.17,19.17,625700
50,2015-07-17,19.25,20.455,18.700001,20.24,20.24,437300
51,2015-07-20,20.18,20.43,18.4,18.74,18.74,419900
52,2015-07-21,18.889999,19.440001000000002,18.01,19.360001,19.360001,339700
53,2015-07-22,19.360001,19.360001,17.620001000000002,17.67,17.67,162700
54,2015-07-23,17.77,18.209999,16.309998999999998,16.59,16.59,132800
55,2015-07-24,16.639999,17.832001,15.8,15.81,15.81,121100
