0,1,2,3,4,5,6,7,8,9,10,11,12
ADBE201016C00130000,2020-09-09,1:28PM,EDT,130.00,350.34,0.00,0.00,0.00,-,6,0,0.00%
ADBE201016C00135000,2020-09-21,12:12AM,EDT,135.00,327.85,0.00,0.00,0.00,-,-,0,0.00%
ADBE201016C00145000,2020-09-10,9:30AM,EDT,145.00,346.50,0.00,0.00,0.00,-,1,0,0.00%
ADBE201016C00150000,2020-07-09,8:16PM,EDT,150.00,238.72,297.85,301.15,0.00,-,2,2,0.00%
ADBE201016C00160000,2020-08-31,12:49PM,EDT,160.00,348.63,0.00,0.00,0.00,-,1,0,0.00%
ADBE201016C00175000,2020-09-16,3:10PM,EDT,175.00,306.85,0.00,0.00,0.00,-,1,0,0.00%
ADBE201016C00180000,2020-07-09,8:16PM,EDT,180.00,221.85,260.65,264.55,0.00,-,4,4,0.00%
ADBE201016C00185000,2020-07-09,8:16PM,EDT,185.00,167.20,255.95,259.50,0.00,-,2,2,0.00%
ADBE201016C00190000,2020-07-09,8:16PM,EDT,190.00,167.60,251.20,254.50,0.00,-,1,25,0.00%
ADBE201016C00200000,2020-07-20,11:49AM,EDT,200.00,250.67,260.95,264.35,0.00,-,104,3,0.00%
ADBE201016C00210000,2020-07-29,11:49AM,EDT,210.00,229.45,305.10,308.30,0.00,-,1,1,373.71%
ADBE201016C00220000,2020-09-21,11:16AM,EDT,220.00,243.35,252.30,255.50,0.00,-,2,0,0.00%
ADBE201016C00225000,2020-09-04,10:44AM,EDT,225.00,248.00,0.00,0.00,0.00,-,3,0,0.00%
ADBE201016C00230000,2020-09-03,10:51AM,EDT,230.00,274.70,0.00,0.00,0.00,-,1,0,0.00%
ADBE201016C00235000,2020-09-21,12:12AM,EDT,235.00,247.40,0.00,0.00,0.00,-,-,0,0.00%
ADBE201016C00240000,2020-09-11,1:05PM,EDT,240.00,230.20,0.00,0.00,0.00,-,2,0,0.00%
ADBE201016C00250000,2020-07-06,10:33AM,EDT,250.00,203.30,199.50,203.00,0.00,-,1,13,0.00%
ADBE201016C00260000,2020-08-24,9:41AM,EDT,260.00,220.00,0.00,0.00,0.00,-,1,0,0.00%
ADBE201016C00265000,2020-08-06,3:10PM,EDT,265.00,198.42,226.60,230.20,0.00,-,-,2,176.48%
ADBE201016C00270000,2020-09-18,3:48PM,EDT,270.00,196.70,0.00,0.00,0.00,-,2,0,0.00%
ADBE201016C00275000,2020-09-10,11:55AM,EDT,275.00,213.05,0.00,0.00,0.00,-,5,0,0.00%
ADBE201016C00280000,2020-09-10,11:25AM,EDT,280.00,185.00,0.00,0.00,0.00,-,6,0,0.00%
ADBE201016C00285000,2020-09-10,9:52AM,EDT,285.00,209.09,0.00,0.00,0.00,-,2,0,0.00%
ADBE201016C00290000,2020-09-10,11:24AM,EDT,290.00,205.20,0.00,0.00,0.00,-,2,0,0.00%
ADBE201016C00295000,2020-09-08,1:43PM,EDT,295.00,179.46,0.00,0.00,0.00,-,1,0,0.00%
ADBE201016C00300000,2020-09-22,3:16PM,EDT,300.00,182.30,0.00,0.00,0.00,-,1,0,0.00%
ADBE201016C00305000,2020-08-20,1:06PM,EDT,305.00,163.04,160.70,164.80,0.00,-,1,34,0.00%
ADBE201016C00310000,2020-08-24,9:50AM,EDT,310.00,171.00,0.00,0.00,0.00,-,4,0,0.00%
ADBE201016C00315000,2020-09-16,11:34AM,EDT,315.00,174.15,0.00,0.00,0.00,-,11,0,0.00%
ADBE201016C00320000,2020-09-09,11:01AM,EDT,320.00,164.00,0.00,0.00,0.00,-,1,0,0.00%
ADBE201016C00325000,2020-09-03,12:28PM,EDT,325.00,152.30,0.00,0.00,0.00,-,1,0,0.00%
ADBE201016C00330000,2020-09-18,10:50AM,EDT,330.00,138.19,0.00,0.00,0.00,-,6,0,0.00%
ADBE201016C00335000,2020-09-16,3:35PM,EDT,335.00,146.65,0.00,0.00,0.00,-,18,0,0.00%
ADBE201016C00340000,2020-09-22,9:30AM,EDT,340.00,138.79,0.00,0.00,0.00,-,2,0,0.00%
ADBE201016C00345000,2020-09-10,1:40PM,EDT,345.00,144.28,0.00,0.00,0.00,-,2,0,0.00%
ADBE201016C00350000,2020-09-22,10:05AM,EDT,350.00,128.50,0.00,0.00,0.00,-,3,0,0.00%
ADBE201016C00355000,2020-09-04,10:40AM,EDT,355.00,133.20,0.00,0.00,0.00,-,2,0,0.00%
ADBE201016C00360000,2020-09-15,3:54PM,EDT,360.00,138.69,0.00,0.00,0.00,-,5,0,0.00%
ADBE201016C00365000,2020-09-22,10:51AM,EDT,365.00,113.03,0.00,0.00,0.00,-,1,0,0.00%
ADBE201016C00370000,2020-09-21,2:44PM,EDT,370.00,114.00,0.00,0.00,0.00,-,1,0,0.00%
ADBE201016C00375000,2020-09-22,3:20PM,EDT,375.00,108.50,0.00,0.00,0.00,-,2,0,0.00%
ADBE201016C00380000,2020-09-22,1:51PM,EDT,380.00,102.53,0.00,0.00,0.00,-,1,0,0.00%
ADBE201016C00385000,2020-09-18,2:50PM,EDT,385.00,79.02,0.00,0.00,0.00,-,13,0,0.00%
