0,1,2,3,4,5,6,7,8,9,10,11,12
ADBE210115P00110000,2020-09-14,12:06PM,EDT,110.00,0.14,0.00,0.00,0.00,-,6,0,50.00%
ADBE210115P00115000,2020-09-15,3:14PM,EDT,115.00,0.14,0.00,0.00,0.00,-,10,0,50.00%
ADBE210115P00120000,2020-09-21,12:16PM,EDT,120.00,0.19,0.00,0.00,0.00,-,1,0,50.00%
ADBE210115P00125000,2020-08-19,2:49PM,EDT,125.00,0.35,0.10,0.29,0.00,-,20,153,93.75%
ADBE210115P00130000,2020-09-21,11:52AM,EDT,130.00,0.23,0.00,0.00,0.00,-,6,0,50.00%
ADBE210115P00135000,2020-09-03,2:00PM,EDT,135.00,0.80,0.00,0.00,0.00,-,2,0,50.00%
ADBE210115P00140000,2020-08-05,10:01AM,EDT,140.00,0.51,0.01,3.15,0.00,-,1,105,114.16%
ADBE210115P00145000,2020-09-04,11:58AM,EDT,145.00,1.25,0.00,0.00,0.00,-,6,0,50.00%
ADBE210115P00150000,2020-09-21,11:00AM,EDT,150.00,0.45,0.00,0.00,0.00,-,5,0,50.00%
ADBE210115P00155000,2020-07-09,8:16PM,EDT,155.00,1.51,0.38,1.97,0.00,-,1,239,100.44%
ADBE210115P00160000,2020-09-22,9:30AM,EDT,160.00,0.40,0.00,0.00,0.00,-,3,0,50.00%
ADBE210115P00165000,2020-09-15,3:25PM,EDT,165.00,0.60,0.10,0.56,0.00,-,5,235,79.98%
ADBE210115P00170000,2020-09-18,12:52PM,EDT,170.00,0.50,0.00,0.00,0.00,-,1,0,25.00%
ADBE210115P00175000,2020-09-10,3:16PM,EDT,175.00,0.58,0.00,0.00,0.00,-,5,0,25.00%
ADBE210115P00180000,2020-09-17,9:47AM,EDT,180.00,0.85,0.00,0.00,0.00,-,14,0,25.00%
ADBE210115P00185000,2020-08-24,12:53PM,EDT,185.00,1.35,0.00,0.00,0.00,-,5,0,25.00%
ADBE210115P00195000,2020-09-11,3:30PM,EDT,195.00,0.73,0.00,0.00,0.00,-,5,0,25.00%
ADBE210115P00200000,2020-09-09,11:50AM,EDT,200.00,0.87,0.00,0.00,0.00,-,5,0,25.00%
ADBE210115P00210000,2020-09-18,1:21PM,EDT,210.00,1.06,0.00,0.00,0.00,-,3,0,25.00%
ADBE210115P00220000,2020-09-18,3:53PM,EDT,220.00,1.03,0.00,0.00,0.00,-,26,0,25.00%
ADBE210115P00230000,2020-09-18,12:43PM,EDT,230.00,1.39,0.00,0.00,0.00,-,2,0,25.00%
ADBE210115P00235000,2020-09-04,10:33AM,EDT,235.00,4.00,0.00,0.00,0.00,-,1,0,25.00%
ADBE210115P00240000,2020-09-21,10:09AM,EDT,240.00,1.65,0.00,0.00,0.00,-,4,0,25.00%
ADBE210115P00250000,2020-09-21,1:02PM,EDT,250.00,1.99,0.00,0.00,0.00,-,13,0,25.00%
ADBE210115P00255000,2020-09-11,2:38PM,EDT,255.00,2.51,0.00,0.00,0.00,-,7,0,25.00%
ADBE210115P00260000,2020-09-18,1:12PM,EDT,260.00,2.25,0.00,0.00,0.00,-,3,0,25.00%
ADBE210115P00265000,2020-09-18,1:12PM,EDT,265.00,2.46,0.00,0.00,0.00,-,3,0,25.00%
ADBE210115P00270000,2020-09-22,2:50PM,EDT,270.00,2.29,0.00,0.00,0.00,-,3,0,25.00%
ADBE210115P00275000,2020-09-18,1:12PM,EDT,275.00,2.91,0.00,0.00,0.00,-,11,0,25.00%
ADBE210115P00280000,2020-09-17,12:02PM,EDT,280.00,3.60,0.00,0.00,0.00,-,1,0,25.00%
ADBE210115P00290000,2020-09-18,3:00PM,EDT,290.00,3.75,0.00,0.00,0.00,-,2,0,12.50%
ADBE210115P00295000,2020-09-21,11:52AM,EDT,295.00,3.95,0.00,0.00,0.00,-,6,0,12.50%
ADBE210115P00300000,2020-09-22,2:20PM,EDT,300.00,3.30,0.00,0.00,0.00,-,7,0,12.50%
ADBE210115P00305000,2020-09-21,3:55PM,EDT,305.00,4.15,0.00,0.00,0.00,-,1,0,12.50%
ADBE210115P00310000,2020-09-21,3:47PM,EDT,310.00,4.60,0.00,0.00,0.00,-,1,0,12.50%
