0,1,2,3,4,5,6,7,8,9,10,11,12
ADM210115C00020000,2020-08-17,3:10PM,EDT,20.00,24.41,27.10,28.30,0.00,-,12,0,110.16%
ADM210115C00025000,2020-08-17,3:44PM,EDT,25.00,19.40,21.90,23.50,0.00,-,2,0,85.16%
ADM210115C00030000,2020-09-21,11:38AM,EDT,30.00,16.20,0.00,0.00,0.00,-,2,0,0.00%
ADM210115C00035000,2020-09-09,2:36PM,EDT,35.00,11.00,0.00,0.00,0.00,-,1,0,0.00%
ADM210115C00040000,2020-09-22,2:22PM,EDT,40.00,7.50,0.00,0.00,0.00,-,12,0,0.00%
ADM210115C00045000,2020-09-22,11:14AM,EDT,45.00,3.88,0.00,0.00,0.00,-,2,0,0.00%
ADM210115C00050000,2020-09-22,2:56PM,EDT,50.00,1.45,0.00,0.00,0.00,-,39,0,3.13%
ADM210115C00052500,2020-09-22,9:53AM,EDT,52.50,0.75,0.00,0.00,0.00,-,14,0,6.25%
ADM210115C00055000,2020-09-18,2:21PM,EDT,55.00,0.51,0.00,0.00,0.00,-,29,0,6.25%
ADM210115C00057500,2020-09-16,9:58AM,EDT,57.50,0.28,0.00,0.00,0.00,-,3,0,6.25%
ADM210115C00060000,2020-09-17,12:14PM,EDT,60.00,0.15,0.00,0.00,0.00,-,1,0,12.50%
ADM210115C00065000,2020-06-18,9:44AM,EDT,65.00,0.12,0.00,0.45,0.00,-,4,137,40.87%
ADM210115C00070000,2020-07-09,8:18PM,EDT,70.00,0.06,0.00,0.15,0.00,-,1,3,38.18%
ADM210115C00075000,2020-07-09,8:18PM,EDT,75.00,0.13,0.00,0.15,0.00,-,64,166,43.36%
