,Date,Open,High,Low,Close,Adj Close,Volume
0,2015-08-31,9.0,9.0,9.0,9.0,9.0,159500
1,2015-09-01,9.0,10.0,9.0,9.0,9.0,86600
2,2015-09-02,9.0,9.0,9.0,9.0,9.0,152400
3,2015-09-03,9.0,9.0,9.0,9.0,9.0,194800
4,2015-09-04,9.0,9.0,8.0,8.0,8.0,216300
5,2015-09-08,8.0,8.0,8.0,8.0,8.0,150800
6,2015-09-09,8.0,8.0,7.0,7.0,7.0,218000
7,2015-09-10,7.0,7.0,6.0,7.0,7.0,195800
8,2015-09-11,6.0,6.0,6.0,6.0,6.0,157200
9,2015-09-14,6.0,6.0,5.0,5.0,5.0,119700
10,2015-09-15,6.0,6.0,5.0,5.0,5.0,248300
11,2015-09-16,6.0,6.0,5.0,5.0,5.0,258400
12,2015-09-17,6.0,6.0,5.0,5.0,5.0,159300
13,2015-09-18,5.0,13.0,5.0,12.0,12.0,1176900
14,2015-09-21,10.0,10.0,7.0,8.0,8.0,1305300
15,2015-09-22,9.0,9.0,8.0,8.0,8.0,361700
16,2015-09-23,9.0,10.0,8.0,9.0,9.0,676700
17,2015-09-24,10.0,10.0,8.0,9.0,9.0,377600
18,2015-09-25,9.0,10.0,9.0,9.0,9.0,234500
19,2015-09-28,10.0,11.0,9.0,10.0,10.0,932100
20,2015-09-29,10.0,11.0,9.0,10.0,10.0,352900
21,2015-09-30,9.0,10.0,9.0,9.0,9.0,218500
22,2015-10-01,9.0,9.0,8.0,9.0,9.0,207400
23,2015-10-02,9.0,10.0,8.0,9.0,9.0,145200
24,2015-10-05,9.0,9.0,9.0,9.0,9.0,148000
25,2015-10-06,9.0,10.0,9.0,9.0,9.0,195600
26,2015-10-07,10.0,10.0,9.0,9.0,9.0,127200
27,2015-10-08,9.0,9.0,9.0,9.0,9.0,153600
28,2015-10-09,9.0,9.0,8.0,9.0,9.0,150500
29,2015-10-12,9.0,9.0,6.0,8.0,8.0,407700
30,2015-10-13,8.0,8.0,7.0,7.0,7.0,342400
31,2015-10-14,7.0,7.0,7.0,7.0,7.0,289300
32,2015-10-15,7.0,7.0,7.0,7.0,7.0,185200
33,2015-10-16,6.0,6.0,6.0,6.0,6.0,544400
34,2015-10-19,6.0,6.0,6.0,6.0,6.0,239800
35,2015-10-20,6.0,7.0,6.0,6.0,6.0,209400
36,2015-10-21,7.0,7.0,6.0,6.0,6.0,190600
37,2015-10-22,6.0,6.0,6.0,6.0,6.0,121600
38,2015-10-23,6.0,6.0,5.0,5.0,5.0,187900
39,2015-10-26,6.0,6.0,6.0,6.0,6.0,96900
40,2015-10-27,6.0,6.0,5.0,5.0,5.0,289400
41,2015-10-28,5.0,5.0,5.0,5.0,5.0,288200
42,2015-10-29,5.0,5.0,4.0,4.0,4.0,200300
43,2015-10-30,5.0,5.0,4.0,4.0,4.0,186800
44,2015-11-02,5.0,6.0,4.0,5.0,5.0,417800
45,2015-11-03,5.0,7.0,5.0,6.0,6.0,597900
46,2015-11-04,7.0,7.0,6.0,6.0,6.0,480100
47,2015-11-05,6.0,7.0,6.0,6.0,6.0,224600
48,2015-11-06,6.0,6.0,5.0,6.0,6.0,300100
49,2015-11-09,6.0,7.0,6.0,6.0,6.0,245600
50,2015-11-10,6.0,6.0,5.0,6.0,6.0,204300
51,2015-11-11,6.0,6.0,5.0,5.0,5.0,198000
52,2015-11-12,5.0,5.0,5.0,5.0,5.0,178400
53,2015-11-13,5.0,5.0,5.0,5.0,5.0,130000
54,2015-11-16,5.0,5.0,4.0,4.0,4.0,214000
55,2015-11-17,5.0,5.0,4.0,4.0,4.0,199800
56,2015-11-18,5.0,5.0,4.0,4.0,4.0,191900
57,2015-11-19,4.0,5.0,4.0,4.0,4.0,249900
58,2015-11-20,3.73,4.25,3.19,4.23,4.23,813400
59,2015-11-23,4.58,8.65,4.5,8.52,8.52,7932700
60,2015-11-24,12.24,15.7,7.54,7.68,7.68,26120300
61,2015-11-25,8.11,11.68,7.8,11.43,11.43,17262900
