,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,AGNC,08/18/20,13.83,13.98,13.79,13.88,6523121,0.08,0.58%
1,AGNC,08/17/20,13.84,13.91,13.75,13.8,6395980,-0.08,-0.58%
2,AGNC,08/14/20,13.75,13.9,13.65,13.88,5407500,0.16,1.17%
3,AGNC,08/13/20,13.65,13.92,13.63,13.72,6229728,0.07,0.51%
4,AGNC,08/12/20,13.86,13.92,13.57,13.65,5781845,-0.12,-0.87%
5,AGNC,08/11/20,14.0,14.03,13.74,13.77,7989559,-0.12,-0.86%
6,AGNC,08/10/20,13.65,13.98,13.65,13.89,6745063,0.26,1.91%
7,AGNC,08/07/20,13.58,13.68,13.54,13.63,5031600,0.01,0.07%
8,AGNC,08/06/20,13.68,13.78,13.58,13.62,3808099,-0.11,-0.80%
9,AGNC,08/05/20,13.64,13.8,13.57,13.73,5200908,0.17,1.25%
10,AGNC,08/04/20,13.77,13.77,13.48,13.56,6257175,-0.18,-1.31%
11,AGNC,08/03/20,13.36,13.8,13.35,13.74,7406215,0.14,1.03%
12,AGNC,07/31/20,13.62,13.68,13.46,13.6,15384500,-0.02,-0.15%
13,AGNC,07/30/20,13.65,13.74,13.51,13.62,6179844,-0.15,-1.09%
14,AGNC,07/29/20,13.73,13.86,13.7,13.77,9123711,0.2,1.47%
15,AGNC,07/28/20,13.81,13.85,13.56,13.57,12488333,-0.14,-1.02%
16,AGNC,07/27/20,13.55,13.77,13.49,13.71,8347674,0.19,1.41%
17,AGNC,07/24/20,13.63,13.68,13.47,13.52,5904700,0.03,0.22%
18,AGNC,07/23/20,13.6,13.81,13.47,13.49,6069630,-0.11,-0.81%
19,AGNC,07/22/20,13.49,13.74,13.49,13.6,5921716,0.02,0.15%
20,AGNC,07/21/20,13.56,13.65,13.41,13.58,5208057,0.15,1.12%
21,AGNC,07/20/20,13.33,13.52,13.33,13.43,6335303,0.06,0.45%
22,AGNC,07/17/20,13.42,13.52,13.29,13.37,6605800,-0.06,-0.45%
23,AGNC,07/16/20,13.4,13.58,13.28,13.43,7095087,0.03,0.22%
24,AGNC,07/15/20,13.11,13.41,13.03,13.4,12799627,0.42,3.24%
25,AGNC,07/14/20,12.7,13.02,12.56,12.98,6578157,0.29,2.29%
26,AGNC,07/13/20,12.71,12.8,12.58,12.69,11050368,-0.02,-0.16%
27,AGNC,07/10/20,12.69,12.75,12.45,12.71,12676600,0.04,0.32%
28,AGNC,07/09/20,12.98,12.99,12.62,12.67,10331217,-0.31,-2.39%
29,AGNC,07/08/20,12.82,13.0,12.77,12.98,4288974,0.17,1.33%
30,AGNC,07/07/20,12.89,12.98,12.79,12.81,4587565,-0.12,-0.93%
31,AGNC,07/06/20,12.84,12.97,12.77,12.93,5256294,0.21,1.69%
32,AGNC,07/02/20,13.0,13.06,12.69,12.71,5133600,-0.13,-1.05%
33,AGNC,07/01/20,12.9,13.25,12.83,12.85,5894827,-0.05,-0.39%
34,AGNC,06/30/20,12.88,13.04,12.74,12.9,13980203,-0.03,-0.23%
35,AGNC,06/29/20,12.7,13.08,12.55,12.93,6825365,0.17,1.33%
36,AGNC,06/26/20,13.1,13.17,12.72,12.76,8171000,-0.43,-3.26%
37,AGNC,06/25/20,12.7,13.23,12.6,13.19,9150059,0.37,2.89%
38,AGNC,06/24/20,12.98,13.07,12.43,12.82,8480665,-0.22,-1.69%
39,AGNC,06/23/20,13.13,13.13,12.95,13.04,4804316,0.05,0.38%
40,AGNC,06/22/20,12.97,13.02,12.67,12.99,7199430,0.1,0.78%
41,AGNC,06/19/20,13.37,13.44,12.87,12.89,12870100,-0.3,-2.27%
42,AGNC,06/18/20,13.3,13.38,13.08,13.19,7088601,-0.16,-1.20%
