,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,AGO,08/18/20,23.41,23.56,23.01,23.05,721125,-0.61,-2.58%
1,AGO,08/17/20,23.73,23.88,23.17,23.66,732861,-0.21,-0.88%
2,AGO,08/14/20,23.46,24.24,23.23,23.87,526300,0.18,0.76%
3,AGO,08/13/20,24.0,24.14,23.44,23.69,930502,-0.49,-2.03%
4,AGO,08/12/20,24.57,24.61,23.78,24.18,730729,0.02,0.08%
5,AGO,08/11/20,24.57,25.26,24.12,24.16,921473,-0.04,-0.17%
6,AGO,08/10/20,23.14,24.37,23.14,24.2,750200,1.07,4.63%
7,AGO,08/07/20,22.1,23.25,21.57,23.13,1524400,1.16,5.28%
8,AGO,08/06/20,22.01,22.36,21.92,21.97,658015,-0.19,-0.86%
9,AGO,08/05/20,21.8,22.51,21.78,22.16,895408,0.46,2.12%
10,AGO,08/04/20,22.17,22.33,21.66,21.7,800148,-0.5,-2.25%
11,AGO,08/03/20,21.9,22.36,21.81,22.2,893584,0.37,1.69%
12,AGO,07/31/20,22.2,22.22,21.6,21.83,1257000,-0.34,-1.53%
13,AGO,07/30/20,22.2,22.4,21.92,22.17,447431,-0.48,-2.12%
14,AGO,07/29/20,22.26,22.73,21.81,22.65,734640,0.29,1.30%
15,AGO,07/28/20,22.25,22.73,22.23,22.36,323306,-0.05,-0.22%
16,AGO,07/27/20,23.55,23.55,22.28,22.41,583947,-1.08,-4.60%
17,AGO,07/24/20,23.25,23.65,23.22,23.49,638700,0.21,0.90%
18,AGO,07/23/20,23.32,23.5,23.03,23.28,468978,-0.02,-0.09%
19,AGO,07/22/20,22.55,23.76,22.55,23.3,463771,0.53,2.33%
20,AGO,07/21/20,22.6,23.05,22.5,22.77,533303,0.22,0.98%
21,AGO,07/20/20,23.0,23.18,22.41,22.55,509233,-0.58,-2.51%
22,AGO,07/17/20,24.12,24.24,23.04,23.13,790300,-1.08,-4.46%
23,AGO,07/16/20,23.87,24.52,23.62,24.21,361836,0.17,0.71%
24,AGO,07/15/20,23.91,24.3,23.55,24.04,639208,0.87,3.75%
