,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,ALTM,08/18/20,12.96,13.69,12.96,13.68,26231,0.44,3.32%
1,ALTM,08/17/20,13.8,13.99,12.85,13.24,65606,-0.42,-3.07%
2,ALTM,08/14/20,13.88,13.96,13.57,13.66,63300,0.25,1.86%
3,ALTM,08/13/20,13.67,13.8,13.29,13.41,29935,-0.25,-1.83%
4,ALTM,08/12/20,13.85,13.96,13.66,13.66,11882,-0.17,-1.23%
5,ALTM,08/11/20,14.02,14.7,13.82,13.83,47567,0.41,3.06%
6,ALTM,08/10/20,14.57,14.57,13.21,13.42,46815,-0.33,-2.40%
7,ALTM,08/07/20,14.35,14.69,13.51,13.75,32400,-0.16,-1.15%
8,ALTM,08/06/20,16.74,17.0,13.71,13.91,70115,-2.69,-16.20%
9,ALTM,08/05/20,15.56,17.4,15.56,16.6,116794,1.23,8.00%
10,ALTM,08/04/20,14.63,15.6,14.5,15.37,33392,0.93,6.44%
11,ALTM,08/03/20,13.49,14.7,13.24,14.44,20254,0.88,6.49%
12,ALTM,07/31/20,14.3,14.35,13.35,13.56,34700,-0.74,-5.17%
13,ALTM,07/30/20,13.8,14.83,13.32,14.3,106918,1.6,12.60%
14,ALTM,07/29/20,13.3,13.3,12.6,12.7,55548,0.59,4.87%
15,ALTM,07/28/20,12.74,13.37,12.11,12.11,78382,-0.68,-5.32%
16,ALTM,07/27/20,13.27,13.71,12.71,12.79,35890,-0.31,-2.37%
17,ALTM,07/24/20,13.71,14.0,13.1,13.1,59200,-0.58,-4.24%
18,ALTM,07/23/20,13.5,13.97,13.5,13.68,54773,0.48,3.64%
19,ALTM,07/22/20,13.42,13.68,12.76,13.2,18544,-0.4,-2.94%
20,ALTM,07/21/20,13.0,13.98,13.0,13.6,16622,0.59,4.53%
21,ALTM,07/20/20,12.57,13.55,12.55,13.01,15845,0.44,3.50%
22,ALTM,07/17/20,13.18,13.51,12.5,12.57,17100,-0.68,-5.13%
23,ALTM,07/16/20,13.27,14.13,13.08,13.25,27017,-0.29,-2.14%
24,ALTM,07/15/20,12.42,15.53,12.39,13.54,114875,1.5,12.46%
25,ALTM,07/14/20,11.88,12.3,11.81,12.04,15915,-0.02,-0.17%
26,ALTM,07/13/20,12.07,12.3,11.91,12.06,18999,0.02,0.17%
27,ALTM,07/10/20,11.95,12.3,11.56,12.04,21700,0.17,1.43%
28,ALTM,07/09/20,12.5,12.69,11.65,11.87,25947,-0.74,-5.87%
29,ALTM,07/08/20,13.39,13.53,12.36,12.61,20527,-0.67,-5.05%
30,ALTM,07/07/20,11.62,13.55,11.62,13.28,63967,1.49,12.64%
31,ALTM,07/06/20,11.3,11.97,11.24,11.79,22287,0.54,4.80%
32,ALTM,07/02/20,11.45,11.6,11.01,11.25,34600,0.21,1.90%
33,ALTM,07/01/20,12.58,13.96,11.02,11.04,51986,10.41,1652.38%
34,ALTM,06/30/20,0.56,0.64,0.55,0.63,558976,0.06,10.53%
35,ALTM,06/29/20,0.62,0.64,0.6,0.57,307969,-0.03,-5.27%
36,ALTM,06/26/20,0.6,0.6399,0.5514,0.6017,5579700,0.0,0.28%
37,ALTM,06/25/20,0.61,0.63,0.6,0.6,696600,-0.02,-3.23%
38,ALTM,06/24/20,0.68,0.69,0.6,0.62,1100289,-0.07,-10.14%
39,ALTM,06/23/20,0.71,0.73,0.67,0.69,438185,-0.01,-1.89%
40,ALTM,06/22/20,0.7,0.71,0.665,0.7033,556724,0.0,0.46%
41,ALTM,06/19/20,0.75,0.77,0.7001,0.7001,581600,-0.01,-1.39%
42,ALTM,06/18/20,0.73,0.75,0.7,0.71,589335,-0.04,-5.33%
43,ALTM,06/17/20,0.82,0.82,0.75,0.75,338810,-0.03,-3.85%
44,ALTM,06/16/20,0.88,0.95,0.77,0.78,596727,-0.05,-6.02%
45,ALTM,06/15/20,0.75,0.99,0.67,0.83,751997,0.08,10.15%
46,ALTM,06/12/20,0.75,0.8186,0.7212,0.7535,768100,0.08,11.53%
47,ALTM,06/11/20,0.703,0.7588,0.662,0.6756,780362,-0.08,-10.47%
48,ALTM,06/10/20,1.01,1.09,0.75,0.7546,1276213,-0.19,-19.84%
49,ALTM,06/09/20,1.14,1.14,0.93,0.9414,949017,-0.14,-12.83%
50,ALTM,06/08/20,1.1,1.17,1.01,1.08,1268444,0.13,13.68%
51,ALTM,06/05/20,0.93,0.99,0.85,0.95,1099200,0.16,20.25%
52,ALTM,06/04/20,0.7,0.8,0.69,0.79,773215,0.11,16.18%
53,ALTM,06/03/20,0.6629,0.7212,0.65,0.68,1237978,0.03,4.50%
54,ALTM,06/02/20,0.65,0.675,0.6378,0.6507,367232,0.02,3.29%
55,ALTM,06/01/20,0.67,0.68,0.62,0.63,575065,-0.06,-8.70%
56,ALTM,05/29/20,0.6264,0.69,0.6068,0.69,597700,0.06,9.52%
57,ALTM,05/28/20,0.66,0.67,0.62,0.63,389541,-0.02,-3.23%
58,ALTM,05/27/20,0.68,0.6802,0.62,0.651,326215,0.01,1.59%
59,ALTM,05/26/20,0.6195,0.6599,0.6012,0.6408,619124,0.05,8.92%
60,ALTM,05/22/20,0.62,0.6625,0.584,0.5883,289000,-0.03,-5.04%
61,ALTM,05/21/20,0.64,0.6584,0.6101,0.6195,218999,-0.01,-1.67%
62,ALTM,05/20/20,0.64,0.66,0.59,0.63,369117,0.03,5.00%
63,ALTM,05/19/20,0.58,0.64,0.58,0.6,442483,-0.01,-1.48%
64,ALTM,05/18/20,0.617,0.63,0.5601,0.609,796557,0.07,12.07%
65,ALTM,05/15/20,0.555,0.555,0.52,0.5434,588100,0.01,1.86%
66,ALTM,05/14/20,0.5369,0.58,0.47,0.5335,567783,-0.01,-1.20%
67,ALTM,05/13/20,0.58,0.6,0.53,0.54,541269,-0.04,-7.63%
68,ALTM,05/12/20,0.6143,0.6313,0.57,0.5846,540125,-0.02,-3.93%
69,ALTM,05/11/20,0.6685,0.68,0.6067,0.6085,352492,-0.05,-6.99%
70,ALTM,05/08/20,0.65,0.68,0.61,0.6542,204800,0.0,0.43%
71,ALTM,05/07/20,0.67,0.68,0.62,0.6514,301392,0.03,5.18%
72,ALTM,05/06/20,0.6739,0.6739,0.59,0.6193,567736,-0.04,-5.62%
73,ALTM,05/05/20,0.64,0.6706,0.62,0.6562,492321,0.04,6.98%
74,ALTM,05/04/20,0.685,0.69,0.61,0.6134,519696,-0.04,-5.89%
75,ALTM,05/01/20,0.76,0.775,0.6204,0.6518,493600,-0.11,-14.24%
76,ALTM,04/30/20,0.81,0.82,0.75,0.76,266424,-0.05,-6.17%
77,ALTM,04/29/20,0.76,0.83,0.75,0.81,499284,0.07,9.24%
78,ALTM,04/28/20,0.7016,0.75,0.6802,0.7415,495473,0.04,5.69%
79,ALTM,04/27/20,0.715,0.7175,0.655,0.7016,329850,0.0,0.23%
80,ALTM,04/24/20,0.67,0.72,0.66,0.7,498800,0.07,10.51%
81,ALTM,04/23/20,0.6,0.69,0.58,0.6334,2297580,0.06,10.19%
82,ALTM,04/22/20,0.5768,0.59,0.5309,0.5748,1009098,0.04,7.22%
83,ALTM,04/21/20,0.609,0.609,0.525,0.5361,422284,-0.04,-7.57%
84,ALTM,04/20/20,0.678,0.7015,0.5713,0.58,729037,-0.11,-15.43%
85,ALTM,04/17/20,0.6693,0.6964,0.6242,0.6858,226800,0.02,2.43%
86,ALTM,04/16/20,0.6511,0.695,0.6103,0.6695,231978,0.02,2.97%
87,ALTM,04/15/20,0.6961,0.7409,0.6104,0.6502,205832,-0.04,-5.77%
88,ALTM,04/14/20,0.75,0.81,0.68,0.69,211030,-0.06,-8.07%
89,ALTM,04/13/20,0.831,0.89,0.7501,0.7506,148498,-0.08,-9.48%
90,ALTM,04/09/20,0.8,0.8487,0.7113,0.8292,297500,0.02,2.37%
91,ALTM,04/08/20,0.7182,0.8517,0.68,0.81,334388,0.11,15.71%
92,ALTM,04/07/20,0.7,0.7151,0.6781,0.7,1755027,0.0,0.00%
93,ALTM,04/06/20,0.6871,0.76,0.6801,0.7,306530,0.03,4.28%
94,ALTM,04/03/20,0.7074,0.7327,0.6556,0.6713,402100,-0.02,-3.27%
95,ALTM,04/02/20,0.6634,0.7709,0.6634,0.694,184017,0.02,3.58%
96,ALTM,04/01/20,0.74,0.74,0.62,0.67,123051,-0.08,-10.67%
97,ALTM,03/31/20,0.6834,0.7598,0.6204,0.75,453271,0.06,9.25%
98,ALTM,03/30/20,0.7399,0.7499,0.6402,0.6865,201161,0.12,21.05%
99,ALTM,03/27/20,0.76,0.76,0.5578,0.5671,534200,-0.21,-27.29%
100,ALTM,03/26/20,0.8256,0.8256,0.7602,0.78,201229,-0.02,-2.50%
101,ALTM,03/25/20,0.92,0.95,0.75,0.8,576727,-0.14,-14.89%
102,ALTM,03/24/20,0.82,0.9499,0.82,0.94,204810,0.09,10.45%
103,ALTM,03/23/20,0.9,0.97,0.8022,0.8511,100692,-0.05,-5.43%
104,ALTM,03/20/20,0.92,0.9421,0.7501,0.9,1881400,-0.05,-5.64%
105,ALTM,03/19/20,0.8086,0.9999,0.75,0.9538,1137343,0.16,19.66%
106,ALTM,03/18/20,0.9531,0.98,0.75,0.7971,506684,-0.2,-20.29%
107,ALTM,03/17/20,1.05,1.05,0.96,1.0,694547,-0.03,-2.91%
108,ALTM,03/16/20,1.0,1.15,0.99,1.03,359375,-0.15,-12.71%
109,ALTM,03/13/20,1.02,1.18,0.8901,1.18,529100,0.15,14.56%
110,ALTM,03/12/20,0.96,1.05,0.8645,1.03,674756,0.01,0.98%
111,ALTM,03/11/20,1.06,1.105,1.0,1.02,483167,-0.04,-3.77%
112,ALTM,03/10/20,1.1,1.12,0.9561,1.06,601855,0.05,4.95%
113,ALTM,03/09/20,1.1,1.22,1.0,1.01,709234,-0.29,-22.31%
114,ALTM,03/06/20,1.39,1.43,1.29,1.3,409600,-0.1,-7.14%
115,ALTM,03/05/20,1.52,1.57,1.39,1.4,493802,-0.15,-9.68%
116,ALTM,03/04/20,1.5,1.64,1.43,1.55,386297,0.08,5.44%
117,ALTM,03/03/20,1.5,1.68,1.44,1.47,604077,0.03,2.08%
118,ALTM,03/02/20,1.46,1.51,1.38,1.44,605030,-0.02,-1.37%
119,ALTM,02/28/20,1.4,1.74,1.4,1.46,1072000,0.02,1.39%
120,ALTM,02/27/20,1.51,1.805,1.43,1.44,1090819,-0.18,-11.11%
121,ALTM,02/26/20,1.69,1.7,1.515,1.62,885622,-0.07,-4.14%
122,ALTM,02/25/20,1.72,1.72,1.69,1.69,764121,-0.02,-1.17%
123,ALTM,02/24/20,1.85,1.85,1.68,1.71,1181080,-0.16,-8.56%
124,ALTM,02/21/20,2.02,2.02,1.85,1.87,393400,-0.14,-6.97%
125,ALTM,02/20/20,2.02,2.05,1.97,2.01,326482,-0.01,-0.50%
126,ALTM,02/19/20,1.95,2.05,1.95,2.02,332399,0.09,4.66%
127,ALTM,02/18/20,2.0,2.06,1.91,1.93,287456,-0.05,-2.53%
128,ALTM,02/14/20,2.04,2.05,1.87,1.98,1900800,-0.07,-3.41%
129,ALTM,02/13/20,2.11,2.15,2.03,2.05,116780,-0.06,-2.84%
130,ALTM,02/12/20,2.12,2.18,2.0,2.11,298933,0.04,1.93%
131,ALTM,02/11/20,2.05,2.08,2.0,2.07,183163,0.09,4.55%
132,ALTM,02/10/20,1.96,2.0,1.92,1.98,363243,0.02,1.02%
133,ALTM,02/07/20,2.04,2.12,1.96,1.96,283000,-0.09,-4.39%
134,ALTM,02/06/20,2.21,2.2319999999999998,2.01,2.05,269175,-0.16,-7.24%
135,ALTM,02/05/20,2.09,2.21,2.09,2.21,221327,0.14,6.76%
136,ALTM,02/04/20,2.06,2.13,2.05,2.07,149311,0.03,1.47%
137,ALTM,02/03/20,2.09,2.165,1.98,2.04,278947,-0.04,-1.92%
138,ALTM,01/31/20,2.12,2.12,1.97,2.08,562500,-0.03,-1.42%
139,ALTM,01/30/20,2.06,2.11,2.0,2.11,354276,0.06,2.93%
140,ALTM,01/29/20,2.21,2.21,2.03,2.05,334372,-0.15,-6.82%
141,ALTM,01/28/20,2.12,2.2,2.1,2.2,373270,0.09,4.27%
142,ALTM,01/27/20,2.06,2.12,1.995,2.11,264266,0.05,2.43%
143,ALTM,01/24/20,2.15,2.16,2.0,2.06,2229000,-0.07,-3.29%
144,ALTM,01/23/20,2.2,2.2,2.075,2.13,1278678,-0.12,-5.33%
145,ALTM,01/22/20,2.31,2.32,2.23,2.25,513073,-0.06,-2.60%
146,ALTM,01/21/20,2.66,2.66,2.11,2.31,431744,-0.34,-12.83%
147,ALTM,01/17/20,2.9,2.9,2.56,2.65,282100,-0.2,-7.02%
148,ALTM,01/16/20,2.88,2.935,2.82,2.85,239513,0.03,1.06%
149,ALTM,01/15/20,2.69,2.85,2.61,2.82,2266177,0.12,4.44%
150,ALTM,01/14/20,2.82,2.82,2.57,2.7,419601,-0.04,-1.46%
151,ALTM,01/13/20,2.87,2.87,2.68,2.74,344216,-0.13,-4.70%
152,ALTM,01/10/20,2.85,2.88,2.79,2.875,432100,0.06,2.31%
153,ALTM,01/09/20,2.78,2.85,2.7,2.81,290187,0.03,1.08%
154,ALTM,01/08/20,2.76,2.79,2.65,2.78,596668,0.01,0.36%
155,ALTM,01/07/20,2.68,2.78,2.63,2.77,250841,0.07,2.59%
156,ALTM,01/06/20,2.71,2.759,2.66,2.7,202894,0.0,0.00%
157,ALTM,01/03/20,2.72,2.76,2.61,2.7,314000,-0.04,-1.46%
158,ALTM,01/02/20,2.93,2.93,2.65,2.74,289148,-0.12,-4.20%
159,ALTM,12/31/19,2.82,2.91,2.79,2.86,425500,0.04,1.42%
160,ALTM,12/30/19,2.98,2.98,2.78,2.82,377593,-0.16,-5.37%
161,ALTM,12/27/19,2.92,2.98,2.85,2.98,399200,0.08,2.76%
162,ALTM,12/26/19,2.69,2.9,2.69,2.9,216677,0.18,6.62%
163,ALTM,12/24/19,2.7,2.77,2.67,2.72,275300,0.02,0.74%
164,ALTM,12/23/19,2.54,2.725,2.46,2.7,396899,0.2,8.00%
165,ALTM,12/20/19,2.54,2.56,2.465,2.5,577300,-0.04,-1.57%
166,ALTM,12/19/19,2.65,2.68,2.46,2.54,1192202,-0.08,-3.05%
167,ALTM,12/18/19,2.7,2.74,2.61,2.62,909989,-0.11,-4.03%
168,ALTM,12/17/19,2.9,2.94,2.71,2.73,1325451,-0.12,-4.21%
169,ALTM,12/16/19,2.66,2.89,2.66,2.85,758678,0.2,7.55%
170,ALTM,12/13/19,2.59,2.67,2.53,2.65,410600,0.06,2.32%
171,ALTM,12/12/19,2.6,2.68,2.5,2.59,848827,0.0,0.00%
172,ALTM,12/11/19,2.42,2.63,2.38,2.59,945659,0.13,5.28%
173,ALTM,12/10/19,2.25,2.46,2.24,2.46,913584,0.22,9.82%
174,ALTM,12/09/19,2.07,2.27,2.04,2.24,620015,0.2,9.80%
175,ALTM,12/06/19,2.01,2.06,2.0,2.04,217300,0.03,1.49%
176,ALTM,12/05/19,2.05,2.18,2.0,2.01,259867,-0.05,-2.43%
177,ALTM,12/04/19,1.93,2.17,1.89,2.06,634346,0.2,10.75%
178,ALTM,12/03/19,1.87,1.93,1.81,1.86,294707,-0.02,-1.06%
179,ALTM,12/02/19,1.95,1.975,1.83,1.88,311161,-0.05,-2.59%
180,ALTM,11/29/19,1.95,2.0,1.9,1.93,196500,-0.01,-0.52%
181,ALTM,11/27/19,1.88,1.98,1.84,1.94,375900,0.08,4.30%
