0,1,2,3,4,5,6,7,8,9,10,11,12
ALXN201120C00050000,2020-07-09,8:17PM,EDT,50.00,67.00,53.00,57.50,0.00,-,1,2,0.00%
ALXN201120C00060000,2020-07-09,8:17PM,EDT,60.00,39.40,43.10,47.60,0.00,-,-,1,0.00%
ALXN201120C00075000,2020-09-14,3:57PM,EDT,75.00,34.30,0.00,0.00,0.00,-,1,0,0.00%
ALXN201120C00080000,2020-09-01,9:44AM,EDT,80.00,37.50,0.00,0.00,0.00,-,2,0,0.00%
ALXN201120C00085000,2020-07-09,8:17PM,EDT,85.00,21.50,21.00,24.00,0.00,-,2,0,0.00%
ALXN201120C00090000,2020-09-02,11:03AM,EDT,90.00,25.63,0.00,0.00,0.00,-,5,0,0.00%
ALXN201120C00095000,2020-09-02,11:03AM,EDT,95.00,24.05,0.00,0.00,0.00,-,15,0,0.00%
ALXN201120C00100000,2020-09-16,1:34PM,EDT,100.00,21.00,0.00,0.00,0.00,-,3,0,0.00%
ALXN201120C00105000,2020-09-10,12:33PM,EDT,105.00,10.98,0.00,0.00,0.00,-,2,0,0.00%
ALXN201120C00110000,2020-09-21,12:57PM,EDT,110.00,9.60,0.00,0.00,0.00,-,1,0,0.00%
ALXN201120C00115000,2020-09-22,12:53PM,EDT,115.00,8.00,0.00,0.00,0.00,-,1,0,0.39%
ALXN201120C00120000,2020-09-22,11:18AM,EDT,120.00,5.90,0.00,0.00,0.00,-,18,0,3.13%
ALXN201120C00125000,2020-09-22,3:12PM,EDT,125.00,5.50,0.00,0.00,0.00,-,32,0,6.25%
ALXN201120C00130000,2020-09-22,2:21PM,EDT,130.00,4.00,0.00,0.00,0.00,-,49,0,6.25%
ALXN201120C00135000,2020-09-16,3:06PM,EDT,135.00,3.00,0.00,0.00,0.00,-,5,0,12.50%
ALXN201120C00140000,2020-09-22,3:53PM,EDT,140.00,2.40,0.00,0.00,0.00,-,36,0,12.50%
ALXN201120C00145000,2020-09-22,10:47AM,EDT,145.00,1.75,0.00,0.00,0.00,-,2,0,12.50%
ALXN201120C00150000,2020-09-22,1:47PM,EDT,150.00,1.30,0.00,0.00,0.00,-,29,0,12.50%
ALXN201120C00155000,2020-07-09,8:17PM,EDT,155.00,1.30,0.15,0.75,0.00,-,5,5,49.68%
ALXN201120C00160000,2020-09-16,3:06PM,EDT,160.00,1.49,0.00,0.00,0.00,-,1,0,12.50%
ALXN201120C00165000,2020-06-19,11:20AM,EDT,165.00,0.95,0.00,0.70,0.00,-,1,32,56.35%
ALXN201120C00170000,2020-09-15,3:18PM,EDT,170.00,1.55,0.00,0.00,0.00,-,5,0,25.00%
ALXN201120C00175000,2020-09-15,11:23AM,EDT,175.00,0.80,0.00,0.00,0.00,-,30,0,25.00%
