0,1,2,3,4,5,6,7,8,9,10,11,12
AMAT201016C00027500,2020-09-09,1:38PM,EDT,27.50,28.20,0.00,0.00,0.00,-,45,0,0.00%
AMAT201016C00030000,2020-09-11,10:32AM,EDT,30.00,25.85,0.00,0.00,0.00,-,11,0,0.00%
AMAT201016C00032500,2020-09-09,12:46PM,EDT,32.50,22.90,0.00,0.00,0.00,-,8,0,0.00%
AMAT201016C00035000,2020-09-11,9:54AM,EDT,35.00,21.05,0.00,0.00,0.00,-,11,0,0.00%
AMAT201016C00037500,2020-09-11,2:56PM,EDT,37.50,17.60,0.00,0.00,0.00,-,1,0,0.00%
AMAT201016C00040000,2020-09-22,3:58PM,EDT,40.00,17.90,0.00,0.00,0.00,-,2,0,0.00%
AMAT201016C00042500,2020-07-21,10:02AM,EDT,42.50,22.52,21.70,21.95,0.00,-,1,0,253.08%
AMAT201016C00045000,2020-09-22,3:05PM,EDT,45.00,12.90,0.00,0.00,0.00,-,61,0,0.00%
AMAT201016C00047500,2020-09-17,9:30AM,EDT,47.50,8.90,0.00,0.00,0.00,-,1,0,0.00%
AMAT201016C00050000,2020-09-22,3:48PM,EDT,50.00,8.37,0.00,0.00,0.00,-,9,0,0.00%
AMAT201016C00052500,2020-09-22,3:21PM,EDT,52.50,6.10,0.00,0.00,0.00,-,55,0,0.00%
AMAT201016C00055000,2020-09-22,3:40PM,EDT,55.00,4.35,0.00,0.00,0.00,-,61,0,0.00%
AMAT201016C00057500,2020-09-22,3:43PM,EDT,57.50,2.75,0.00,0.00,0.00,-,507,0,0.00%
AMAT201016C00060000,2020-09-22,3:57PM,EDT,60.00,1.59,0.00,0.00,0.00,-,407,0,3.13%
AMAT201016C00062500,2020-09-22,3:41PM,EDT,62.50,0.82,0.00,0.00,0.00,-,165,0,6.25%
AMAT201016C00065000,2020-09-22,3:46PM,EDT,65.00,0.43,0.00,0.00,0.00,-,125,0,12.50%
AMAT201016C00070000,2020-09-22,3:36PM,EDT,70.00,0.13,0.00,0.00,0.00,-,58,0,12.50%
AMAT201016C00072500,2020-09-22,2:12PM,EDT,72.50,0.08,0.00,0.00,0.00,-,36,0,25.00%
AMAT201016C00075000,2020-09-22,1:26PM,EDT,75.00,0.05,0.00,0.00,0.00,-,9,0,25.00%
AMAT201016C00077500,2020-09-11,2:35PM,EDT,77.50,0.05,0.00,0.00,0.00,-,1,0,25.00%
AMAT201016C00080000,2020-09-22,2:29PM,EDT,80.00,0.01,0.00,0.00,0.00,-,14,0,25.00%
AMAT201016C00085000,2020-09-22,9:30AM,EDT,85.00,0.01,0.00,0.00,0.00,-,10,0,25.00%
AMAT201016C00090000,2020-09-09,3:18PM,EDT,90.00,0.03,0.00,0.00,0.00,-,10,0,50.00%
AMAT201016C00095000,2020-09-02,3:13PM,EDT,95.00,0.01,0.00,0.00,0.00,-,1,0,50.00%
