0,1,2,3,4,5,6,7,8,9,10,11,12
AMGN201023P00195000,2020-09-22,3:06PM,EDT,195.00,1.65,0.00,0.00,0.00,-,7,0,12.50%
AMGN201023P00200000,2020-09-22,3:49PM,EDT,200.00,0.95,0.00,0.00,0.00,-,7,0,12.50%
AMGN201023P00210000,2020-09-14,10:50AM,EDT,210.00,0.67,0.00,0.00,0.00,-,2,0,12.50%
AMGN201023P00222500,2020-09-21,12:05AM,EDT,222.50,2.00,0.00,0.00,0.00,-,5,0,6.25%
AMGN201023P00225000,2020-09-18,1:19PM,EDT,225.00,2.55,0.00,0.00,0.00,-,2,0,6.25%
AMGN201023P00227500,2020-09-21,12:05AM,EDT,227.50,1.55,0.00,0.00,0.00,-,-,0,6.25%
AMGN201023P00230000,2020-09-18,3:13PM,EDT,230.00,2.95,0.00,0.00,0.00,-,4,0,6.25%
AMGN201023P00232500,2020-09-21,9:38AM,EDT,232.50,5.25,0.00,0.00,0.00,-,2,0,6.25%
AMGN201023P00237500,2020-09-21,12:05AM,EDT,237.50,3.51,0.00,0.00,0.00,-,-,0,3.13%
AMGN201023P00240000,2020-09-21,2:08PM,EDT,240.00,8.55,0.00,0.00,0.00,-,2,0,3.13%
AMGN201023P00245000,2020-09-14,10:47AM,EDT,245.00,8.18,0.00,0.00,0.00,-,2,0,0.78%
AMGN201023P00247500,2020-09-21,12:05AM,EDT,247.50,9.05,0.00,0.00,0.00,-,-,0,0.00%
AMGN201023P00250000,2020-09-16,3:53PM,EDT,250.00,10.25,0.00,0.00,0.00,-,7,0,0.00%
AMGN201023P00252500,2020-09-16,3:52PM,EDT,252.50,11.55,0.00,0.00,0.00,-,1,0,0.00%
AMGN201023P00255000,2020-09-04,2:49PM,EDT,255.00,12.20,0.00,0.00,0.00,-,2,0,0.00%
AMGN201023P00257500,2020-09-04,3:53PM,EDT,257.50,16.90,0.00,0.00,0.00,-,1,0,0.00%
AMGN201023P00265000,2020-09-11,3:18PM,EDT,265.00,24.18,0.00,0.00,0.00,-,1,0,0.00%
