,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-05-28,72.33,72.43,68.63,68.89,68.89,363447,0.0,1.0
1,2020-05-27,72.36,73.32,71.17,72.45,72.45,335684,0.0,1.0
2,2020-05-26,66.38,70.79,66.38,69.99,69.99,450224,0.0,1.0
3,2020-05-22,66.65,66.705,64.11,64.46,64.46,349430,0.0,1.0
4,2020-05-21,65.37,67.13,65.37,66.67,66.67,399492,0.0,1.0
5,2020-05-20,66.65,66.91,65.472,65.93,65.93,257498,0.0,1.0
6,2020-05-19,66.05,67.41,64.71,65.09,65.09,251933,0.0,1.0
7,2020-05-18,65.05,67.2,64.895,66.6,66.6,419548,0.0,1.0
8,2020-05-15,60.74,63.53,60.74,62.53,62.53,473584,0.0,1.0
9,2020-05-14,59.12,62.41,56.8,62.17,62.17,502414,0.0,1.0
10,2020-05-13,60.6,60.9,58.35,59.82,59.82,619922,0.0,1.0
11,2020-05-12,66.4,66.4,60.78,60.96,60.96,492789,0.0,1.0
12,2020-05-11,65.37,67.26,64.69,66.2,66.2,553267,0.0,1.0
13,2020-05-08,65.45,66.34,64.57,66.28,66.28,484516,0.0,1.0
14,2020-05-07,64.17,66.37,63.53,64.29,64.29,313171,0.0,1.0
15,2020-05-06,65.28,65.56,62.37,62.66,62.66,370694,0.01,1.0
16,2020-05-05,68.27,68.61,64.81,64.91,64.8996,356474,0.0,1.0
17,2020-05-04,64.3,66.16,63.39,65.84,65.8295,536380,0.0,1.0
18,2020-05-01,68.02,68.41,64.32,64.97,64.9596,524387,0.0,1.0
19,2020-04-30,68.8,70.715,67.84,69.96,69.9488,477044,0.0,1.0
20,2020-04-29,70.0,71.67,69.5722,70.33,70.3188,369266,0.0,1.0
21,2020-04-28,69.03,69.74,66.65,68.12,68.1091,552575,0.0,1.0
22,2020-04-27,62.18,67.62,60.38,66.72,66.7094,904185,0.0,1.0
23,2020-04-24,61.0,61.36,60.05,60.29,60.2804,471232,0.0,1.0
24,2020-04-23,61.83,62.78,59.69,60.41,60.4004,459957,0.0,1.0
25,2020-04-22,62.63,62.63,60.53,61.25,61.2402,308319,0.0,1.0
26,2020-04-21,59.53,61.44,59.16,61.0,60.9903,374488,0.0,1.0
27,2020-04-20,61.22,63.76,60.0268,61.53,61.5202,437707,0.0,1.0
28,2020-04-17,62.37,64.125,61.54,62.95,62.94,462595,0.0,1.0
29,2020-04-16,59.65,60.89,58.57,59.89,59.8804,380939,0.0,1.0
30,2020-04-15,60.66,61.0,58.745,59.93,59.9204,499539,0.0,1.0
31,2020-04-14,65.18,65.23,62.04,63.25,63.2399,667264,0.0,1.0
32,2020-04-13,67.5,67.55,61.71,62.9,62.89,519478,0.0,1.0
33,2020-04-09,66.67,72.54,65.16,66.6,66.5894,1108061,0.0,1.0
34,2020-04-08,63.1,65.55,61.445,65.14,65.1296,506828,0.0,1.0
35,2020-04-07,64.72,64.72,61.12,62.55,62.54,672619,0.0,1.0
36,2020-04-06,58.7,62.21,58.7,61.64,61.6302,609171,0.0,1.0
37,2020-04-03,56.72,57.21,53.32,55.36,55.3512,418038,0.0,1.0
38,2020-04-02,56.37,58.91,55.28,56.72,56.7109,633582,0.0,1.0
39,2020-04-01,55.99,57.75,54.21,56.15,56.141,639971,0.0,1.0
40,2020-03-31,60.35,60.75,57.8,59.14,59.1306,605465,0.0,1.0
41,2020-03-30,56.93,60.63,55.49,60.43,60.4204,631673,0.0,1.0
42,2020-03-27,54.23,58.295,53.33,56.36,56.351,902326,0.0,1.0
43,2020-03-26,52.03,57.62,49.05,56.84,56.8309,573415,0.0,1.0
44,2020-03-25,50.14,54.88,49.06,51.35,51.3418,566016,0.0,1.0
45,2020-03-24,48.49,49.85,47.02,49.59,49.5821,697221,0.0,1.0
46,2020-03-23,47.58,49.3818,44.37,45.15,45.1428,761429,0.0,1.0
47,2020-03-20,55.66,56.74,47.5,48.77,48.7622,1361393,0.0,1.0
48,2020-03-19,58.05,61.3,52.88,55.33,55.3212,1035077,0.0,1.0
49,2020-03-18,54.22,64.4,53.715,58.93,58.9206,1796162,0.0,1.0
50,2020-03-17,54.11,60.49,50.5006,59.54,59.5305,1194766,0.0,1.0
51,2020-03-16,47.5,54.225,47.03,52.57,52.5616,1203982,0.0,1.0
52,2020-03-13,54.37,57.2,51.58,57.17,57.1609,983800,0.0,1.0
53,2020-03-12,55.42,55.42,50.2501,50.38,50.372,982793,0.0,1.0
54,2020-03-11,64.75,65.12,58.62,61.5,61.4902,1670643,0.0,1.0
55,2020-03-10,65.45,67.42,62.91,66.86,66.8493,742347,0.0,1.0
56,2020-03-09,65.43,65.6,61.74,62.45,62.44,886315,0.0,1.0
57,2020-03-06,67.78,70.86,67.21,70.49,70.4788,1017848,0.0,1.0
58,2020-03-05,72.33,72.79,68.8,70.7,70.6887,1706483,0.0,1.0
59,2020-03-04,74.92,75.625,73.195,75.42,75.408,812953,0.0,1.0
