,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,AMRB,08/18/20,10.05,10.27,10.01,10.09,3212,-0.26,-2.49%
1,AMRB,08/17/20,10.05,10.35,10.01,10.35,1380,0.12,1.15%
2,AMRB,08/14/20,10.23,10.23,10.23,10.23,100,-0.22,-2.11%
3,AMRB,08/13/20,10.45,10.45,10.45,10.45,744,0.14,1.36%
4,AMRB,08/12/20,10.12,10.32,10.12,10.31,3013,0.18,1.78%
5,AMRB,08/11/20,9.969,10.13,9.969,10.13,599,0.08,0.80%
6,AMRB,08/10/20,9.92,10.12,9.78,10.05,8167,0.29,2.97%
7,AMRB,08/07/20,9.8,9.97,9.76,9.76,12500,-0.19,-1.91%
8,AMRB,08/06/20,9.85,9.95,9.647,9.95,1044,-0.15,-1.49%
9,AMRB,08/05/20,9.85,10.13,9.85,10.1,6295,0.19,1.92%
10,AMRB,08/04/20,9.91,9.91,9.91,9.91,644,0.08,0.81%
11,AMRB,08/03/20,9.85,9.955,9.82,9.83,4283,0.01,0.10%
12,AMRB,07/31/20,10.05,10.12,9.82,9.82,1200,-0.31,-3.05%
13,AMRB,07/30/20,9.82,10.13,9.82,10.13,2732,0.16,1.59%
14,AMRB,07/29/20,10.02,10.02,9.97,9.97,887,-0.14,-1.38%
15,AMRB,07/28/20,10.11,10.11,9.665,10.11,15158,-0.23,-2.18%
16,AMRB,07/27/20,10.25,10.34,10.25,10.34,1511,0.09,0.83%
17,AMRB,07/24/20,,10.25,10.25,10.25,8,0.0,0.00%
18,AMRB,07/23/20,10.36,10.36,10.22,10.25,5571,0.07,0.69%
19,AMRB,07/22/20,10.2,10.2,10.16,10.18,1041,0.03,0.30%
20,AMRB,07/21/20,10.25,10.45,10.15,10.15,1834,-0.01,-0.10%
21,AMRB,07/20/20,10.4,10.61,10.16,10.16,21686,-0.34,-3.24%
22,AMRB,07/17/20,10.5,10.5,10.5,10.5,1800,0.19,1.84%
23,AMRB,07/16/20,10.06,10.5,10.06,10.31,3170,-0.39,-3.64%
24,AMRB,07/15/20,10.45,10.7,10.42,10.7,3914,0.5,4.90%
25,AMRB,07/14/20,10.49,10.49,10.06,10.2,5766,-0.1,-0.97%
26,AMRB,07/13/20,10.5,10.97,10.26,10.3,2865,0.22,2.18%
27,AMRB,07/10/20,10.06,10.08,10.06,10.08,600,0.02,0.20%
28,AMRB,07/09/20,10.35,10.67,10.06,10.06,6769,-0.19,-1.85%
29,AMRB,07/08/20,10.56,10.56,10.1,10.25,12906,0.1,0.99%
30,AMRB,07/07/20,10.12,10.25,10.12,10.15,4322,-0.24,-2.31%
