,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-07-08,14.26,15.5,10.245,11.25,11.25,38000
1,2020-07-09,12.49,12.49,11.0,11.0,11.0,63200
2,2020-07-10,10.35,11.5,10.35,11.075,11.075,4700
3,2020-07-13,11.15,11.49,10.668,11.49,11.49,5100
4,2020-07-14,11.38,12.25,11.0,11.5,11.5,2800
5,2020-07-15,11.06,11.565,10.75,11.01,11.01,13700
6,2020-07-16,11.0,12.0,10.99,11.5,11.5,5000
7,2020-07-17,10.75,11.97,10.75,11.0,11.0,9700
8,2020-07-20,11.25,12.0,11.0,11.112,11.112,21500
9,2020-07-21,12.0,12.0,10.23,11.795,11.795,60300
10,2020-07-22,11.5,11.99,11.5,11.51,11.51,65500
11,2020-07-23,12.04,12.345,11.65,11.65,11.65,11700
12,2020-07-24,11.915,11.915,11.5,11.5,11.5,4700
13,2020-07-27,11.76,11.76,10.06,11.5,11.5,4300
14,2020-07-28,11.154,11.495,11.0,11.39,11.39,5000
15,2020-07-29,11.2,11.39,11.0,11.33,11.33,11800
16,2020-07-30,11.13,11.13,10.14,10.8,10.8,6600
17,2020-07-31,10.8,11.06,10.68,10.99,10.99,9000
18,2020-08-03,10.59,11.82,10.25,11.25,11.25,32900
19,2020-08-04,12.22,12.22,11.25,11.45,11.45,45600
20,2020-08-05,11.7,12.0,10.611,11.125,11.125,16900
21,2020-08-06,11.75,11.9,11.15,11.34,11.34,153700
22,2020-08-07,11.39,11.78,11.38,11.61,11.61,7000
23,2020-08-10,12.03,12.397,11.2,11.3,11.3,17800
24,2020-08-11,11.25,11.788,11.2,11.3,11.3,16500
25,2020-08-12,11.3,12.005,11.3,11.58,11.58,21200
26,2020-08-13,11.11,11.55,11.11,11.39,11.39,11600
27,2020-08-14,11.31,11.51,11.3,11.5,11.5,23400
28,2020-08-17,11.302,11.32,11.03,11.24,11.24,38600
29,2020-08-18,11.45,11.5,11.01,11.24,11.24,76200
30,2020-08-19,11.43,12.0,11.24,11.33,11.33,24100
