0,1,2,3,4,5,6,7,8,9,10,11,12
APD201218C00125000,2020-07-09,8:17PM,EDT,125.00,92.05,164.30,169.00,0.00,-,1,1,84.47%
APD201218C00150000,2020-07-09,8:17PM,EDT,150.00,67.70,130.20,135.00,0.00,-,-,1,0.00%
APD201218C00160000,2020-07-09,8:17PM,EDT,160.00,75.87,129.70,134.40,0.00,-,-,1,67.97%
APD201218C00170000,2020-07-09,8:17PM,EDT,170.00,73.95,110.10,115.00,0.00,-,38,38,0.00%
APD201218C00195000,2020-07-09,8:17PM,EDT,195.00,53.09,86.30,91.00,0.00,-,-,10,0.00%
APD201218C00200000,2020-09-14,9:49AM,EDT,200.00,103.02,0.00,0.00,0.00,-,2,0,0.00%
APD201218C00210000,2020-08-31,3:11PM,EDT,210.00,85.42,0.00,0.00,0.00,-,8,0,0.00%
APD201218C00220000,2020-08-10,9:45AM,EDT,220.00,64.00,83.70,87.40,0.00,-,1,36,77.11%
APD201218C00230000,2020-09-17,2:11PM,EDT,230.00,72.50,0.00,0.00,0.00,-,1,0,0.00%
APD201218C00240000,2020-09-02,9:33AM,EDT,240.00,67.11,0.00,0.00,0.00,-,2,0,0.00%
APD201218C00250000,2020-09-22,1:30PM,EDT,250.00,45.00,0.00,0.00,0.00,-,3,0,0.00%
APD201218C00260000,2020-09-21,12:51PM,EDT,260.00,34.40,0.00,0.00,0.00,-,4,0,0.00%
APD201218C00270000,2020-09-02,9:30AM,EDT,270.00,43.00,0.00,0.00,0.00,-,2,0,0.00%
APD201218C00280000,2020-09-17,1:46PM,EDT,280.00,21.30,0.00,0.00,0.00,-,10,0,0.00%
APD201218C00290000,2020-09-11,11:40AM,EDT,290.00,18.90,0.00,0.00,0.00,-,2,0,0.00%
APD201218C00300000,2020-09-22,3:54PM,EDT,300.00,13.58,0.00,0.00,0.00,-,2,0,0.78%
APD201218C00310000,2020-09-17,9:30AM,EDT,310.00,9.20,0.00,0.00,0.00,-,3,0,3.13%
APD201218C00320000,2020-09-21,12:52PM,EDT,320.00,5.50,0.00,0.00,0.00,-,1,0,3.13%
APD201218C00330000,2020-09-21,3:59PM,EDT,330.00,4.20,0.00,0.00,0.00,-,8,0,6.25%
APD201218C00340000,2020-09-21,1:12PM,EDT,340.00,2.60,0.00,0.00,0.00,-,5,0,6.25%
APD201218C00350000,2020-09-21,3:34PM,EDT,350.00,1.70,0.00,0.00,0.00,-,40,0,6.25%
APD201218C00360000,2020-09-21,9:38AM,EDT,360.00,1.27,0.00,0.00,0.00,-,1,0,6.25%
APD201218C00370000,2020-09-01,1:29PM,EDT,370.00,1.90,0.00,0.00,0.00,-,1,0,12.50%
APD201218C00380000,2020-09-02,2:27PM,EDT,380.00,2.60,0.00,0.00,0.00,-,3,0,12.50%
APD201218C00390000,2020-07-27,11:34AM,EDT,390.00,0.85,0.05,1.40,0.00,-,1,1,36.44%
APD201218C00400000,2020-09-10,12:04PM,EDT,400.00,0.50,0.00,0.00,0.00,-,5,0,12.50%
