,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,APG,08/18/20,15.19,15.55,15.12,15.35,1162888,0.16,1.05%
1,APG,08/17/20,15.0,15.21,14.71,15.19,1529194,0.52,3.54%
2,APG,08/14/20,14.3,14.88,14.16,14.67,761300,0.22,1.52%
3,APG,08/13/20,14.83,14.83,14.24,14.45,573327,-0.02,-0.14%
4,APG,08/12/20,15.43,15.43,14.08,14.47,1350487,-0.23,-1.56%
5,APG,08/11/20,14.96,15.03,14.61,14.7,1685648,-0.02,-0.14%
6,APG,08/10/20,14.78,15.01,14.57,14.72,1280800,0.04,0.27%
7,APG,08/07/20,14.38,14.68,14.28,14.68,539100,0.27,1.87%
8,APG,08/06/20,14.39,14.65,14.23,14.41,470830,-0.04,-0.28%
9,APG,08/05/20,14.5,14.84,14.25,14.45,622754,0.02,0.14%
10,APG,08/04/20,14.28,14.5,14.06,14.43,796870,0.05,0.35%
11,APG,08/03/20,13.96,14.5,13.86,14.38,1041675,0.45,3.23%
12,APG,07/31/20,13.84,14.06,13.67,13.93,892100,-0.04,-0.29%
13,APG,07/30/20,13.53,14.27,13.53,13.97,672610,0.19,1.38%
14,APG,07/29/20,13.3,13.86,13.3,13.78,554429,0.52,3.92%
15,APG,07/28/20,12.95,13.5,12.95,13.26,903618,0.21,1.61%
16,APG,07/27/20,12.82,13.24,12.74,13.05,761673,0.2,1.56%
17,APG,07/24/20,13.28,13.31,12.85,12.85,686400,-0.4,-3.02%
18,APG,07/23/20,13.5,13.76,13.08,13.25,811782,-0.25,-1.85%
19,APG,07/22/20,13.5,14.05,13.47,13.5,1708950,-0.1,-0.74%
20,APG,07/21/20,13.49,14.0,13.24,13.6,1675294,0.27,2.03%
21,APG,07/20/20,13.34,13.48,12.92,13.33,1376740,-0.01,-0.07%
22,APG,07/17/20,12.9,13.36,12.77,13.34,1191600,0.36,2.77%
23,APG,07/16/20,12.3,13.11,12.18,12.98,898076,0.67,5.44%
24,APG,07/15/20,11.98,12.55,11.9,12.31,1835590,0.51,4.32%
25,APG,07/14/20,11.03,11.83,10.91,11.8,1765949,0.8,7.27%
26,APG,07/13/20,11.4,11.55,10.93,11.0,1255314,-0.3,-2.65%
27,APG,07/10/20,11.32,11.66,11.12,11.3,1275200,-0.04,-0.35%
28,APG,07/09/20,11.61,11.92,11.19,11.34,1523524,-0.42,-3.57%
29,APG,07/08/20,11.57,11.83,11.43,11.76,767870,0.22,1.91%
30,APG,07/07/20,11.86,12.06,11.45,11.54,737886,-0.48,-3.99%
31,APG,07/06/20,12.16,12.18,11.86,12.02,388751,0.08,0.67%
32,APG,07/02/20,12.44,12.48,11.87,11.94,724100,-0.18,-1.49%
