,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,APTV,08/18/20,88.19,89.11,87.19,87.24,794895,-0.92,-1.04%
1,APTV,08/17/20,88.92,89.31,87.73,88.16,1421664,-0.18,-0.20%
2,APTV,08/14/20,88.52,88.93,87.62,88.34,744100,-0.29,-0.33%
3,APTV,08/13/20,88.62,89.33,88.35,88.63,893312,-0.87,-0.97%
4,APTV,08/12/20,90.81,91.51,88.21,89.5,1914389,0.66,0.74%
5,APTV,08/11/20,88.0,90.82,87.99,88.84,2479035,2.4,2.78%
6,APTV,08/10/20,84.64,86.81,84.23,86.44,1256700,2.58,3.08%
7,APTV,08/07/20,83.55,84.81,82.92,83.86,1249100,-0.67,-0.79%
8,APTV,08/06/20,83.16,85.18,83.16,84.53,1644517,0.69,0.82%
9,APTV,08/05/20,81.28,83.94,81.08,83.84,2087844,2.82,3.48%
10,APTV,08/04/20,81.81,81.81,80.26,81.02,1288919,1.3,1.63%
11,APTV,08/03/20,78.25,80.44,78.25,79.72,1503514,1.97,2.53%
12,APTV,07/31/20,80.27,80.4,76.18,77.75,2360200,-2.71,-3.37%
13,APTV,07/30/20,82.5,82.84,79.91,80.46,1974545,-3.21,-3.84%
14,APTV,07/29/20,82.21,83.72,82.21,83.67,1719486,1.5,1.83%
15,APTV,07/28/20,83.67,84.27,82.08,82.17,889038,-1.38,-1.65%
16,APTV,07/27/20,82.25,84.35,81.75,83.55,1249165,1.3,1.58%
17,APTV,07/24/20,80.8,83.16,80.77,82.25,1243200,-0.08,-0.10%
18,APTV,07/23/20,83.04,83.53,81.32,82.33,1497073,-0.39,-0.47%
19,APTV,07/22/20,81.68,82.8,81.18,82.72,1531403,0.85,1.04%
20,APTV,07/21/20,83.38,83.8,81.53,81.87,1274832,-0.07,-0.09%
21,APTV,07/20/20,81.46,82.23,80.17,81.94,1271228,0.16,0.20%
22,APTV,07/17/20,82.73,82.79,81.18,81.78,1393600,-0.49,-0.60%
