,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,APTX,08/18/20,4.11,4.19,3.95,3.99,135463,-0.1,-2.44%
1,APTX,08/17/20,3.84,4.12,3.81,4.09,211755,0.25,6.51%
2,APTX,08/14/20,3.93,4.02,3.76,3.84,191500,-0.07,-1.79%
3,APTX,08/13/20,3.89,3.94,3.73,3.91,162167,0.05,1.30%
4,APTX,08/12/20,4.0,4.05,3.8,3.86,163268,-0.18,-4.46%
5,APTX,08/11/20,4.09,4.24,3.98,4.04,115683,-0.05,-1.22%
6,APTX,08/10/20,3.92,4.21,3.89,4.09,207026,0.14,3.54%
7,APTX,08/07/20,3.93,4.1,3.93,3.95,172600,-0.03,-0.75%
8,APTX,08/06/20,4.25,4.25,3.97,3.98,248147,0.08,2.18%
9,APTX,08/05/20,4.2,4.205,3.88,3.895,429139,-0.26,-6.14%
10,APTX,08/04/20,3.95,4.17,3.82,4.15,215452,0.2,5.06%
11,APTX,08/03/20,3.82,3.99,3.78,3.95,172061,0.18,4.77%
12,APTX,07/31/20,3.93,3.93,3.75,3.77,199500,-0.17,-4.31%
13,APTX,07/30/20,3.69,3.97,3.51,3.94,297372,0.25,6.78%
14,APTX,07/29/20,3.84,4.06,3.65,3.69,232435,-0.13,-3.40%
15,APTX,07/28/20,3.94,4.14,3.8,3.82,285806,-0.11,-2.80%
16,APTX,07/27/20,4.01,4.1,3.78,3.93,253597,-0.09,-2.24%
17,APTX,07/24/20,4.24,4.28,4.0,4.02,145300,-0.24,-5.63%
18,APTX,07/23/20,4.39,4.39,4.16,4.26,306522,-0.09,-2.07%
19,APTX,07/22/20,4.37,4.45,4.25,4.35,451687,-0.02,-0.46%
20,APTX,07/21/20,4.56,4.56,4.35,4.37,173916,-0.13,-2.89%
21,APTX,07/20/20,4.57,4.8,4.4,4.5,397534,-0.12,-2.60%
22,APTX,07/17/20,4.61,4.79,4.56,4.62,218000,0.02,0.43%
23,APTX,07/16/20,4.6,4.62,4.415,4.6,138103,0.02,0.44%
24,APTX,07/15/20,4.61,4.73,4.52,4.58,163051,0.03,0.66%
25,APTX,07/14/20,4.23,4.58,4.13,4.55,272476,0.25,5.81%
26,APTX,07/13/20,4.5,4.59,4.28,4.3,200247,-0.2,-4.44%
27,APTX,07/10/20,4.66,4.78,4.45,4.5,332500,-0.17,-3.64%
28,APTX,07/09/20,4.76,4.79,4.46,4.67,231353,-0.1,-2.10%
29,APTX,07/08/20,4.75,4.89,4.6,4.77,155751,0.04,0.85%
30,APTX,07/07/20,4.65,4.93,4.55,4.73,178742,0.0,0.00%
31,APTX,07/06/20,5.04,5.18,4.57,4.73,324605,-0.26,-5.21%
32,APTX,07/02/20,5.0,5.2,4.51,4.99,635500,0.03,0.60%
33,APTX,07/01/20,4.46,5.28,4.36,4.96,1516646,0.79,18.94%
34,APTX,06/30/20,3.96,4.21,3.82,4.17,303738,0.21,5.30%
35,APTX,06/29/20,3.92,4.02,3.7,3.96,482157,0.03,0.76%
36,APTX,06/26/20,4.25,4.44,3.71,3.93,4352400,-0.32,-7.53%
37,APTX,06/25/20,4.03,4.39,4.03,4.25,569818,0.18,4.42%
38,APTX,06/24/20,4.12,4.18,3.94,4.07,345090,-0.04,-0.97%
39,APTX,06/23/20,4.09,4.22,3.92,4.11,305702,0.01,0.24%
40,APTX,06/22/20,4.5,4.56,4.06,4.1,371594,-0.3,-6.82%
41,APTX,06/19/20,4.24,4.55,4.19,4.4,654800,0.25,6.02%
42,APTX,06/18/20,4.07,4.19,4.06,4.15,137068,0.07,1.72%
43,APTX,06/17/20,4.14,4.22,4.01,4.08,199962,0.0,0.00%
44,APTX,06/16/20,4.35,4.35,4.05,4.08,187984,-0.09,-2.16%
45,APTX,06/15/20,4.04,4.35,3.95,4.17,538427,0.05,1.21%
46,APTX,06/12/20,4.03,4.218999999999999,3.94,4.12,345500,0.16,4.04%
47,APTX,06/11/20,3.865,4.03,3.6,3.96,373380,-0.03,-0.75%
48,APTX,06/10/20,3.88,4.2,3.85,3.99,286138,0.12,3.10%
49,APTX,06/09/20,3.66,3.95,3.65,3.87,176073,0.17,4.59%
50,APTX,06/08/20,3.54,3.83,3.54,3.7,251911,0.17,4.82%
51,APTX,06/05/20,3.69,3.82,3.47,3.53,395800,-0.15,-4.08%
52,APTX,06/04/20,3.73,3.8,3.575,3.68,174912,-0.03,-0.81%
53,APTX,06/03/20,3.56,3.87,3.41,3.71,258701,0.13,3.63%
54,APTX,06/02/20,3.61,3.68,3.46,3.58,317172,-0.03,-0.83%
55,APTX,06/01/20,3.67,3.7,3.4,3.61,415257,-0.13,-3.48%
56,APTX,05/29/20,4.0,4.0,3.65,3.74,281400,-0.18,-4.59%
57,APTX,05/28/20,3.98,4.1,3.91,3.92,200840,-0.02,-0.51%
58,APTX,05/27/20,4.15,4.18,3.56,3.94,354168,-0.21,-5.06%
59,APTX,05/26/20,4.4,4.56,4.12,4.15,659178,-0.05,-1.19%
60,APTX,05/22/20,4.15,4.4,4.15,4.2,681700,0.03,0.72%
61,APTX,05/21/20,3.84,4.2,3.79,4.17,616471,0.33,8.59%
62,APTX,05/20/20,3.73,3.85,3.71,3.84,216544,0.16,4.35%
63,APTX,05/19/20,3.67,3.88,3.61,3.68,186888,0.03,0.82%
64,APTX,05/18/20,3.65,3.78,3.25,3.65,449965,0.08,2.24%
65,APTX,05/15/20,3.51,3.79,3.5,3.57,261300,-0.2,-5.31%
66,APTX,05/14/20,3.42,3.8,3.35,3.77,241320,0.23,6.50%
67,APTX,05/13/20,3.73,3.84,3.16,3.54,291890,-0.25,-6.60%
68,APTX,05/12/20,3.92,4.08,3.65,3.79,560369,-0.11,-2.82%
69,APTX,05/11/20,4.22,4.41,3.89,3.9,611518,-0.21,-5.11%
70,APTX,05/08/20,4.04,4.2,4.0,4.11,375200,0.27,7.03%
71,APTX,05/07/20,4.0,4.27,3.75,3.84,629556,0.19,5.21%
72,APTX,05/06/20,3.33,3.7,3.33,3.65,408605,0.41,12.65%
73,APTX,05/05/20,3.26,3.6,3.15,3.24,1233832,0.33,11.34%
74,APTX,05/04/20,2.71,2.95,2.69,2.91,453206,0.19,6.99%
75,APTX,05/01/20,2.73,2.73,2.56,2.72,126700,-0.11,-3.89%
76,APTX,04/30/20,3.0,3.0,2.77,2.83,120029,-0.11,-3.74%
77,APTX,04/29/20,2.77,3.0,2.61,2.94,381877,0.45,18.07%
78,APTX,04/28/20,2.6,2.64,2.42,2.49,224429,0.03,1.22%
79,APTX,04/27/20,2.77,2.84,2.44,2.46,241975,-0.21,-7.87%
80,APTX,04/24/20,2.7,2.735,2.6,2.67,117800,0.01,0.38%
81,APTX,04/23/20,3.0,3.0,2.61,2.66,184866,-0.34,-11.33%
82,APTX,04/22/20,2.67,3.01,2.6,3.0,413088,0.4,15.38%
83,APTX,04/21/20,2.64,2.64,2.45,2.6,52516,-0.05,-1.89%
84,APTX,04/20/20,2.51,2.72,2.45,2.65,191600,0.14,5.58%
85,APTX,04/17/20,2.38,2.62,2.35,2.51,91600,0.21,9.13%
86,APTX,04/16/20,2.48,2.54,2.21,2.3,110370,-0.18,-7.26%
87,APTX,04/15/20,2.56,2.602,2.35,2.48,47537,-0.13,-4.98%
88,APTX,04/14/20,2.48,2.68,2.31,2.61,240571,0.17,6.97%
89,APTX,04/13/20,2.38,2.5,2.27,2.44,101852,0.08,3.39%
90,APTX,04/09/20,2.3,2.43,2.3,2.36,200600,0.11,4.89%
91,APTX,04/08/20,2.15,2.37,2.08,2.25,215211,0.18,8.70%
92,APTX,04/07/20,2.17,2.25,2.04,2.07,134758,-0.08,-3.72%
93,APTX,04/06/20,2.02,2.215,1.99,2.15,340408,0.16,8.04%
94,APTX,04/03/20,2.03,2.22,1.91,1.99,66200,-0.05,-2.45%
95,APTX,04/02/20,2.18,2.21,2.0,2.04,90743,-0.12,-5.56%
96,APTX,04/01/20,2.13,2.3,2.09,2.16,83308,0.0,0.00%
97,APTX,03/31/20,2.37,2.38,2.07,2.16,162855,-0.16,-6.90%
98,APTX,03/30/20,2.17,2.37,2.12,2.32,110725,0.15,6.91%
99,APTX,03/27/20,2.16,2.28,2.07,2.17,137300,-0.05,-2.25%
100,APTX,03/26/20,2.19,2.31,2.15,2.22,119721,0.02,0.91%
101,APTX,03/25/20,2.18,2.3,2.04,2.2,115501,0.02,0.92%
102,APTX,03/24/20,2.23,2.29,2.11,2.18,119283,-0.03,-1.36%
103,APTX,03/23/20,2.08,2.25,1.973,2.21,149635,0.08,3.76%
104,APTX,03/20/20,2.07,2.27,1.94,2.13,106200,0.08,3.90%
105,APTX,03/19/20,1.8,2.06,1.8,2.05,196779,0.22,12.02%
106,APTX,03/18/20,1.8,1.86,1.6,1.83,313853,-0.01,-0.54%
107,APTX,03/17/20,1.85,1.98,1.75,1.84,160449,0.03,1.66%
108,APTX,03/16/20,2.11,2.11,1.81,1.81,215411,-0.43,-19.20%
109,APTX,03/13/20,2.2,2.379,2.11,2.24,149900,0.09,4.19%
110,APTX,03/12/20,2.31,2.49,2.15,2.15,244412,-0.28,-11.52%
111,APTX,03/11/20,2.4,2.57,2.4,2.43,185422,0.02,0.83%
112,APTX,03/10/20,2.73,2.76,2.38,2.41,323100,-0.26,-9.74%
113,APTX,03/09/20,2.85,2.89,2.6,2.67,184599,-0.29,-9.80%
114,APTX,03/06/20,3.09,3.17,2.91,2.96,232500,-0.2,-6.33%
115,APTX,03/05/20,3.14,3.31,3.14,3.16,117176,-0.02,-0.63%
116,APTX,03/04/20,3.1,3.22,3.055,3.18,119883,0.11,3.58%
117,APTX,03/03/20,3.2,3.2,3.03,3.07,82857,-0.1,-3.15%
118,APTX,03/02/20,3.25,3.27,3.12,3.17,316096,-0.05,-1.55%
119,APTX,02/28/20,3.03,3.27,3.03,3.22,152400,0.09,2.88%
120,APTX,02/27/20,3.01,3.28,3.0,3.13,175459,0.01,0.32%
121,APTX,02/26/20,3.2,3.33,3.1,3.12,266765,-0.12,-3.70%
122,APTX,02/25/20,3.38,3.42,3.22,3.24,144332,-0.16,-4.71%
123,APTX,02/24/20,3.58,3.58,3.338,3.4,185392,-0.21,-5.82%
124,APTX,02/21/20,3.67,3.72,3.55,3.61,67900,-0.05,-1.37%
125,APTX,02/20/20,3.73,3.77,3.58,3.66,76253,-0.06,-1.61%
126,APTX,02/19/20,3.57,3.81,3.57,3.72,282045,0.17,4.79%
127,APTX,02/18/20,3.46,3.59,3.46,3.55,121092,0.08,2.31%
128,APTX,02/14/20,3.45,3.58,3.41,3.47,195700,0.02,0.58%
129,APTX,02/13/20,3.61,3.63,3.42,3.45,411775,-0.13,-3.63%
130,APTX,02/12/20,3.52,3.66,3.4,3.58,356878,0.08,2.29%
131,APTX,02/11/20,3.64,3.75,3.43,3.5,418893,-0.15,-4.11%
132,APTX,02/10/20,3.66,3.79,3.61,3.65,187034,-0.02,-0.54%
133,APTX,02/07/20,3.76,3.87,3.61,3.67,197700,-0.13,-3.42%
134,APTX,02/06/20,3.96,4.07,3.77,3.8,211880,-0.18,-4.52%
135,APTX,02/05/20,3.99,4.1,3.93,3.98,154562,0.04,1.02%
136,APTX,02/04/20,4.11,4.15,3.81,3.94,189770,-0.11,-2.72%
137,APTX,02/03/20,4.15,4.21,3.9,4.05,206212,-0.04,-0.98%
138,APTX,01/31/20,3.87,4.2,3.7510000000000003,4.09,435400,0.18,4.60%
139,APTX,01/30/20,4.06,4.209,3.9,3.91,352164,0.05,1.30%
140,APTX,01/29/20,4.25,4.33,3.5,3.86,758487,-0.39,-9.18%
141,APTX,01/28/20,4.54,4.54,4.1,4.25,328678,-0.25,-5.56%
142,APTX,01/27/20,4.31,4.58,4.21,4.5,294385,0.06,1.35%
143,APTX,01/24/20,5.0,5.14,4.21,4.44,1373800,-0.16,-3.48%
144,APTX,01/23/20,5.07,5.14,4.5,4.6,520368,-0.43,-8.55%
145,APTX,01/22/20,4.75,5.25,4.68,5.03,744722,0.38,8.17%
146,APTX,01/21/20,4.7,5.1,4.363,4.65,881197,0.05,1.09%
147,APTX,01/17/20,3.9,4.74,3.76,4.6,2290200,1.0,27.78%
148,APTX,01/16/20,3.64,3.9,3.55,3.6,335960,0.04,1.12%
149,APTX,01/15/20,3.62,3.94,3.55,3.56,568759,0.32,9.88%
150,APTX,01/14/20,3.25,3.34,3.11,3.24,296943,-0.01,-0.31%
151,APTX,01/13/20,3.29,3.4,3.05,3.25,216048,0.04,1.09%
152,APTX,01/10/20,3.0,3.39,2.955,3.215,2002200,-0.39,-10.69%
153,APTX,01/09/20,3.54,3.75,3.54,3.6,76319,0.0,0.00%
154,APTX,01/08/20,3.66,3.8,3.56,3.6,118024,-0.1,-2.70%
155,APTX,01/07/20,3.5,3.87,3.5,3.7,116690,0.16,4.52%
156,APTX,01/06/20,3.6,3.81,3.53,3.54,25639,-0.12,-3.28%
157,APTX,01/03/20,3.67,3.8,3.57,3.66,75600,-0.02,-0.54%
158,APTX,01/02/20,3.43,3.75,3.43,3.68,150566,0.26,7.60%
159,APTX,12/31/19,3.16,3.44,3.12,3.42,207400,0.27,8.57%
160,APTX,12/30/19,3.35,3.49,3.14,3.15,252216,-0.19,-5.69%
161,APTX,12/27/19,3.62,3.69,3.31,3.34,138500,-0.26,-7.22%
162,APTX,12/26/19,3.67,3.75,3.54,3.6,129402,-0.04,-1.10%
163,APTX,12/24/19,3.5,3.69,3.5,3.64,63100,0.01,0.28%
164,APTX,12/23/19,3.7,3.84,3.6,3.63,119305,-0.02,-0.55%
165,APTX,12/20/19,3.75,3.8,3.6,3.65,654100,-0.15,-3.95%
166,APTX,12/19/19,3.83,3.92,3.74,3.8,200111,0.03,0.80%
167,APTX,12/18/19,3.94,3.99,3.62,3.77,145857,-0.18,-4.56%
168,APTX,12/17/19,4.13,4.13,3.85,3.95,105005,-0.17,-4.13%
169,APTX,12/16/19,4.32,4.32,4.01,4.12,180088,-0.13,-3.06%
170,APTX,12/13/19,4.23,4.31,4.14,4.25,41100,0.01,0.24%
171,APTX,12/12/19,4.2,4.32,4.05,4.24,114039,0.04,0.95%
172,APTX,12/11/19,4.14,4.29,3.95,4.2,176802,0.08,1.94%
173,APTX,12/10/19,4.04,4.32,3.96,4.12,201110,0.03,0.73%
174,APTX,12/09/19,4.17,4.2,4.02,4.09,43054,-0.06,-1.45%
175,APTX,12/06/19,4.02,4.22,4.0,4.15,162600,0.16,4.01%
176,APTX,12/05/19,3.96,4.029,3.765,3.99,87289,0.01,0.25%
177,APTX,12/04/19,3.86,4.04,3.775,3.98,75422,0.13,3.38%
178,APTX,12/03/19,3.8,3.99,3.64,3.85,91688,0.0,0.00%
179,APTX,12/02/19,4.05,4.05,3.84,3.85,75485,-0.21,-5.17%
180,APTX,11/29/19,3.91,4.141,3.79,4.06,41200,0.17,4.37%
181,APTX,11/27/19,3.59,4.0,3.58,3.89,198000,0.38,10.83%
182,APTX,11/26/19,3.29,3.64,3.29,3.51,197060,0.26,8.00%
183,APTX,11/25/19,3.1,3.25,3.1,3.25,102496,0.15,4.84%
184,APTX,11/22/19,3.21,3.32,3.07,3.1,146400,-0.1,-3.13%
185,APTX,11/21/19,3.179,3.23,3.115,3.2,45241,0.05,1.59%
186,APTX,11/20/19,3.21,3.3,3.15,3.15,118155,-0.05,-1.56%
187,APTX,11/19/19,3.17,3.32,3.15,3.2,41332,0.04,1.27%
188,APTX,11/18/19,3.3,3.3,3.1,3.16,40061,-0.17,-5.11%
189,APTX,11/15/19,3.27,3.42,3.18,3.33,86400,0.07,2.15%
190,APTX,11/14/19,3.35,3.36,3.15,3.26,54927,-0.14,-4.12%
191,APTX,11/13/19,3.3,3.5,3.21,3.4,72806,0.12,3.66%
192,APTX,11/12/19,3.35,3.43,3.21,3.28,96580,-0.02,-0.61%
193,APTX,11/11/19,3.25,3.44,3.14,3.3,88738,0.07,2.17%
194,APTX,11/08/19,3.2,3.28,3.11,3.23,59200,0.09,2.87%
195,APTX,11/07/19,3.22,3.29,3.05,3.14,25610,-0.04,-1.26%
196,APTX,11/06/19,3.29,3.37,3.17,3.18,31913,-0.13,-3.93%
197,APTX,11/05/19,3.47,3.47,3.25,3.31,53541,-0.18,-5.16%
198,APTX,11/04/19,3.6,3.62,3.45,3.49,46510,-0.11,-3.06%
199,APTX,11/01/19,3.35,3.6,3.35,3.6,70400,0.28,8.43%
200,APTX,10/31/19,3.2,3.37,3.18,3.32,102759,0.15,4.73%
201,APTX,10/30/19,3.01,3.18,2.93,3.17,90224,0.15,4.97%
202,APTX,10/29/19,3.21,3.38,2.99,3.02,80496,-0.2,-6.21%
203,APTX,10/28/19,3.32,3.4219999999999997,3.1,3.22,108146,0.09,2.88%
204,APTX,10/25/19,3.04,3.15,2.99,3.13,56000,0.11,3.64%
205,APTX,10/24/19,3.15,3.15,2.91,3.02,129129,-0.03,-0.98%
206,APTX,10/23/19,3.06,3.07,2.92,3.05,71922,-0.03,-0.97%
207,APTX,10/22/19,3.0,3.08,2.9,3.08,149487,0.09,3.01%
208,APTX,10/21/19,3.08,3.09,2.9,2.99,64930,-0.02,-0.66%
209,APTX,10/18/19,3.23,3.36,3.0,3.01,47300,-0.25,-7.67%
210,APTX,10/17/19,3.36,3.44,3.22,3.26,54249,-0.06,-1.81%
211,APTX,10/16/19,3.23,3.37,3.18,3.32,33477,0.11,3.43%
212,APTX,10/15/19,2.83,3.39,2.83,3.21,191901,0.37,13.03%
213,APTX,10/14/19,3.07,3.11,2.61,2.84,398090,-0.25,-8.09%
214,APTX,10/11/19,3.17,3.22,3.01,3.09,171400,-0.02,-0.64%
215,APTX,10/10/19,3.1,3.16,2.97,3.11,73580,0.03,0.97%
216,APTX,10/09/19,3.11,3.23,3.01,3.08,71556,-0.12,-3.75%
217,APTX,10/08/19,3.24,3.32,3.05,3.2,139738,-0.04,-1.23%
218,APTX,10/07/19,3.26,3.35,3.02,3.24,266314,-0.04,-1.22%
219,APTX,10/04/19,3.29,3.398,3.11,3.28,31200,-0.01,-0.30%
220,APTX,10/03/19,3.29,3.455,3.2,3.29,47373,0.02,0.61%
221,APTX,10/02/19,3.29,3.36,3.2,3.27,56518,-0.1,-2.97%
222,APTX,10/01/19,3.45,3.58,3.29,3.37,71205,-0.12,-3.44%
223,APTX,09/30/19,3.49,3.52,3.37,3.49,71974,-0.04,-1.13%
224,APTX,09/27/19,3.58,3.8,3.5,3.53,89700,-0.06,-1.67%
225,APTX,09/26/19,3.68,3.79,3.38,3.59,115287,-0.04,-1.10%
226,APTX,09/25/19,3.92,3.98,3.56,3.63,151566,-0.27,-6.92%
227,APTX,09/24/19,3.9,3.94,3.74,3.9,118911,-0.02,-0.51%
228,APTX,09/23/19,3.81,3.95,3.81,3.92,67353,0.07,1.82%
229,APTX,09/20/19,3.74,4.08,3.74,3.85,298700,0.09,2.39%
230,APTX,09/19/19,3.99,4.04,3.7,3.76,152367,-0.24,-6.00%
231,APTX,09/18/19,3.94,4.09,3.7689999999999997,4.0,137013,0.01,0.25%
232,APTX,09/17/19,4.01,4.1,3.87,3.99,91980,-0.07,-1.72%
233,APTX,09/16/19,4.04,4.12,4.01,4.06,92729,0.04,1.00%
234,APTX,09/13/19,4.05,4.14,3.93,4.02,79100,0.02,0.50%
235,APTX,09/12/19,4.25,4.25,3.93,4.0,144466,-0.08,-1.96%
236,APTX,09/11/19,3.99,4.13,3.872,4.08,254258,0.13,3.29%
237,APTX,09/10/19,3.64,3.97,3.5660000000000003,3.95,100493,0.31,8.52%
238,APTX,09/09/19,3.64,3.83,3.5580000000000003,3.64,117498,-0.02,-0.55%
239,APTX,09/06/19,3.48,3.69,3.34,3.66,103200,0.22,6.40%
