,Date,Open,High,Low,Close,Adj Close,Volume
0,2015-08-31,3.22,3.31,3.18,3.3,2.996922,3500
1,2015-09-01,3.2,3.33,3.2,3.23,2.93335,11200
2,2015-09-02,3.21,3.32,3.2,3.2,2.9061060000000003,12300
3,2015-09-03,3.25,3.29,3.25,3.25,2.951514,4100
4,2015-09-04,3.21,3.24,3.21,3.22,2.924269,2800
5,2015-09-08,3.21,3.25,3.2,3.21,2.915187,5200
6,2015-09-09,3.28,3.28,3.21,3.22,2.924269,2900
7,2015-09-10,3.21,3.28,3.18,3.2,2.9061060000000003,21300
8,2015-09-11,3.26,3.26,3.17,3.2,2.9061060000000003,4900
9,2015-09-14,3.21,3.32,3.21,3.21,2.915187,33600
10,2015-09-15,3.22,3.26,3.21,3.23,2.93335,15000
11,2015-09-16,3.23,3.31,3.23,3.23,2.93335,21300
12,2015-09-17,3.23,3.33,3.23,3.27,2.969677,1400
13,2015-09-18,3.28,3.29,3.23,3.27,2.969677,7500
14,2015-09-21,3.31,3.31,3.26,3.3,2.996922,2700
15,2015-09-22,3.23,3.32,3.23,3.23,2.93335,20400
16,2015-09-23,3.26,3.32,3.22,3.25,2.951514,7700
17,2015-09-24,3.24,3.3,3.2,3.21,2.915187,10900
18,2015-09-25,3.22,3.28,3.22,3.27,2.969677,1800
19,2015-09-28,3.27,3.27,3.2,3.24,2.942432,3600
20,2015-09-29,3.2,3.23,3.2,3.21,2.915187,8000
21,2015-09-30,3.23,3.25,3.2,3.24,2.942432,3900
22,2015-10-01,3.21,3.29,3.18,3.21,2.915187,23800
23,2015-10-02,3.19,3.25,3.17,3.19,2.897024,10600
24,2015-10-05,3.16,3.21,3.16,3.2,2.9061060000000003,24100
25,2015-10-06,3.21,3.22,3.15,3.19,2.897024,10000
26,2015-10-07,3.18,3.31,3.16,3.19,2.897024,7500
27,2015-10-08,3.31,3.32,3.21,3.3,2.996922,8400
28,2015-10-09,3.29,3.31,3.23,3.29,2.9878400000000003,6000
29,2015-10-12,3.3,3.3,3.25,3.25,2.951514,6400
30,2015-10-13,3.13,3.27,3.13,3.24,2.942432,17500
31,2015-10-14,3.17,3.26,3.17,3.21,2.915187,1700
32,2015-10-15,3.25,3.3,3.2,3.28,2.978759,12900
33,2015-10-16,3.25,3.31,3.2,3.2,2.9061060000000003,8000
34,2015-10-19,3.16,3.24,3.16,3.16,2.8697790000000003,12700
35,2015-10-20,3.25,3.39,3.25,3.35,3.042329,21300
36,2015-10-21,3.36,3.36,3.29,3.35,3.042329,5700
37,2015-10-22,3.36,3.36,3.28,3.36,3.051411,2100
38,2015-10-23,3.33,3.39,3.27,3.28,2.978759,22000
39,2015-10-26,3.37,3.39,3.33,3.37,3.060493,5600
40,2015-10-27,3.37,3.39,3.31,3.33,3.024166,9800
41,2015-10-28,3.39,3.4,3.3,3.38,3.0695740000000002,20200
42,2015-10-29,3.39,3.39,3.3,3.39,3.087791,5700
43,2015-10-30,3.33,3.4,3.29,3.31,3.014923,8300
44,2015-11-02,3.38,3.4,3.26,3.37,3.0695740000000002,17100
45,2015-11-03,3.37,3.37,3.33,3.34,3.042249,8100
46,2015-11-04,3.38,3.39,3.3,3.3,3.005815,8000
47,2015-11-05,3.3,3.38,3.29,3.36,3.060466,2400
48,2015-11-06,3.3,3.39,3.3,3.35,3.051357,15300
49,2015-11-09,3.32,3.32,3.22,3.26,2.9693810000000003,19400
50,2015-11-10,3.31,3.31,3.3,3.31,3.014923,1800
51,2015-11-11,3.37,3.37,3.28,3.31,3.014923,4500
52,2015-11-12,3.3,3.34,3.3,3.3,3.005815,3200
53,2015-11-13,3.25,3.37,3.23,3.32,3.024032,3800
54,2015-11-16,3.33,3.33,3.25,3.26,2.9693810000000003,16300
55,2015-11-17,3.31,3.31,3.26,3.29,2.996706,2800
56,2015-11-18,3.27,3.39,3.27,3.29,2.996706,22300
57,2015-11-19,3.29,3.34,3.27,3.3,3.005815,7300
58,2015-11-20,3.29,3.38,3.29,3.3,3.005815,2800
59,2015-11-23,3.27,3.35,3.22,3.24,2.951163,23500
60,2015-11-24,3.3,3.3,3.26,3.26,2.9693810000000003,2200
61,2015-11-25,3.29,3.34,3.28,3.28,2.987597,7100
62,2015-11-27,3.29,3.31,3.26,3.3,3.005815,3400
63,2015-11-30,3.31,3.35,3.3,3.34,3.042249,6000
64,2015-12-01,3.4,3.4,3.29,3.33,3.03314,22700
65,2015-12-02,3.38,3.38,3.33,3.35,3.051357,1100
66,2015-12-03,3.33,3.37,3.31,3.33,3.03314,1600
67,2015-12-04,3.33,3.38,3.29,3.29,2.996706,5100
68,2015-12-07,3.29,3.34,3.27,3.27,2.9784889999999997,3700
69,2015-12-08,3.33,3.34,3.31,3.34,3.042249,1100
70,2015-12-09,3.33,3.35,3.25,3.3,3.005815,9600
71,2015-12-10,3.36,3.36,3.32,3.36,3.060466,2300
72,2015-12-11,3.31,3.35,3.25,3.25,2.9602720000000002,7700
73,2015-12-14,3.25,3.33,3.23,3.25,2.9602720000000002,11100
74,2015-12-15,3.25,3.3,3.22,3.3,3.005815,4100
75,2015-12-16,3.33,3.35,3.22,3.22,2.932946,8100
76,2015-12-17,3.31,3.31,3.22,3.22,2.932946,3300
77,2015-12-18,3.25,3.25,3.21,3.21,2.923838,26300
78,2015-12-21,3.28,3.31,3.21,3.26,2.9693810000000003,24200
79,2015-12-22,3.26,3.32,3.25,3.29,2.996706,6200
80,2015-12-23,3.29,3.3,3.25,3.3,3.005815,700
81,2015-12-24,3.26,3.27,3.25,3.25,2.9602720000000002,3400
82,2015-12-28,3.29,3.29,3.18,3.23,2.942055,31700
83,2015-12-29,3.27,3.27,3.24,3.25,2.9602720000000002,3300
84,2015-12-30,3.29,3.29,3.22,3.22,2.932946,8400
85,2015-12-31,3.27,3.29,3.2,3.2,2.914729,6100
86,2016-01-04,3.25,3.31,3.21,3.21,2.923838,63400
87,2016-01-05,3.29,3.36,3.23,3.3,3.005815,15200
88,2016-01-06,3.31,3.36,3.29,3.36,3.060466,7100
89,2016-01-07,3.28,3.31,3.26,3.29,2.996706,33200
90,2016-01-08,3.31,3.4,3.27,3.3,3.005815,38000
91,2016-01-11,3.29,3.37,3.09,3.29,2.996706,134400
92,2016-01-12,3.26,3.31,3.14,3.19,2.905621,72000
93,2016-01-13,3.24,3.26,3.2,3.21,2.923838,26700
94,2016-01-14,3.23,3.28,3.21,3.27,2.9784889999999997,14500
95,2016-01-15,3.24,3.3,3.02,3.1,2.823644,115000
96,2016-01-19,3.33,3.33,3.01,3.01,2.7416669999999996,92700
97,2016-01-20,3.0,3.1,2.98,3.08,2.805427,42300
98,2016-01-21,3.06,3.13,3.04,3.12,2.841861,30400
99,2016-01-22,3.09,3.21,3.09,3.16,2.878295,24400
