,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,ASTC,08/18/20,2.78,2.82,2.67,2.72,64154,-0.06,-2.16%
1,ASTC,08/17/20,2.67,2.81,2.66,2.78,119081,0.11,4.12%
2,ASTC,08/14/20,2.68,2.77,2.563,2.67,107600,0.02,0.75%
3,ASTC,08/13/20,2.94,2.94,2.46,2.65,524518,-0.32,-10.77%
4,ASTC,08/12/20,3.12,3.18,2.95,2.97,133785,-0.15,-4.81%
5,ASTC,08/11/20,3.23,3.24,3.12,3.12,124027,-0.08,-2.50%
6,ASTC,08/10/20,3.17,3.32,3.16,3.2,169212,0.03,0.95%
7,ASTC,08/07/20,2.95,3.27,2.9419999999999997,3.17,331500,0.2,6.73%
8,ASTC,08/06/20,3.0,3.1,2.95,2.97,84138,-0.1,-3.26%
9,ASTC,08/05/20,3.0,3.11,2.96,3.07,125827,0.06,1.99%
10,ASTC,08/04/20,3.01,3.06,2.93,3.01,157613,0.04,1.35%
11,ASTC,08/03/20,3.08,3.63,2.88,2.97,1125467,-0.11,-3.57%
12,ASTC,07/31/20,2.9,3.17,2.76,3.08,478700,0.13,4.41%
13,ASTC,07/30/20,2.76,3.0,2.73,2.95,469782,0.18,6.50%
14,ASTC,07/29/20,2.81,2.87,2.74,2.77,177719,-0.01,-0.36%
15,ASTC,07/28/20,2.77,2.84,2.73,2.78,108956,0.03,1.09%
16,ASTC,07/27/20,2.75,2.8,2.72,2.75,98734,0.02,0.73%
17,ASTC,07/24/20,2.77,2.8089999999999997,2.71,2.73,65400,-0.03,-1.09%
18,ASTC,07/23/20,2.86,2.88,2.74,2.76,102988,-0.03,-1.08%
19,ASTC,07/22/20,2.83,2.89,2.75,2.79,208020,-0.13,-4.45%
20,ASTC,07/21/20,2.92,3.02,2.81,2.92,199499,0.0,0.00%
21,ASTC,07/20/20,3.16,3.24,2.85,2.92,513215,-0.33,-10.15%
22,ASTC,07/17/20,3.12,3.67,2.95,3.25,3263700,0.18,5.86%
23,ASTC,07/16/20,2.61,3.13,2.61,3.07,1843804,0.42,15.85%
24,ASTC,07/15/20,2.66,2.69,2.54,2.65,155441,0.01,0.38%
25,ASTC,07/14/20,2.67,2.69,2.61,2.64,150864,-0.06,-2.22%
26,ASTC,07/13/20,2.63,2.79,2.61,2.7,279471,0.05,1.89%
27,ASTC,07/10/20,2.66,2.705,2.6010000000000004,2.65,99500,-0.04,-1.49%
28,ASTC,07/09/20,2.74,2.75,2.62,2.69,134309,-0.05,-1.82%
29,ASTC,07/08/20,2.7,2.74,2.64,2.74,87788,0.03,1.11%
30,ASTC,07/07/20,2.84,2.89,2.63,2.71,308243,-0.16,-5.57%
31,ASTC,07/06/20,2.87,3.09,2.83,2.87,124431,0.01,0.35%
32,ASTC,07/02/20,2.89,3.07,2.85,2.86,216200,0.0,0.00%
33,ASTC,07/01/20,2.87,2.9,2.82,2.86,52419,0.01,0.35%
34,ASTC,06/30/20,2.74,2.88,2.67,2.85,198076,0.14,5.17%
35,ASTC,06/29/20,2.86,2.89,2.67,2.71,149089,-0.1,-3.56%
36,ASTC,06/26/20,2.92,3.37,2.7,2.81,1424100,-0.09,-3.10%
37,ASTC,06/25/20,2.88,2.94,2.8,2.9,147317,0.01,0.35%
38,ASTC,06/24/20,2.72,2.94,2.6,2.89,252394,0.19,7.04%
39,ASTC,06/23/20,2.78,2.78,2.7,2.7,59621,-0.08,-2.88%
40,ASTC,06/22/20,2.66,2.83,2.56,2.78,242642,0.12,4.51%
41,ASTC,06/19/20,2.69,2.73,2.66,2.66,68600,-0.01,-0.37%
42,ASTC,06/18/20,2.66,2.74,2.66,2.67,40872,0.0,0.00%
43,ASTC,06/17/20,2.79,2.79,2.67,2.67,59342,-0.04,-1.48%
44,ASTC,06/16/20,2.74,2.82,2.7,2.71,86646,-0.03,-1.09%
45,ASTC,06/15/20,2.65,2.79,2.65,2.74,98903,0.03,1.11%
46,ASTC,06/12/20,2.75,2.764,2.6,2.71,94800,0.03,1.12%
47,ASTC,06/11/20,2.77,2.98,2.68,2.68,207530,-0.41,-13.27%
48,ASTC,06/10/20,3.24,3.25,2.94,3.09,724126,0.01,0.32%
49,ASTC,06/09/20,2.72,3.22,2.62,3.08,948402,0.32,11.59%
50,ASTC,06/08/20,2.79,2.79,2.63,2.76,305658,-0.02,-0.72%
51,ASTC,06/05/20,2.85,2.89,2.725,2.78,142900,-0.04,-1.42%
52,ASTC,06/04/20,2.92,3.09,2.74,2.82,315488,-0.06,-2.08%
53,ASTC,06/03/20,2.61,2.92,2.56,2.88,525172,0.27,10.34%
54,ASTC,06/02/20,2.6,2.67,2.56,2.61,44788,0.0,0.00%
55,ASTC,06/01/20,2.63,2.67,2.59,2.61,86553,-0.07,-2.61%
56,ASTC,05/29/20,2.69,2.74,2.55,2.68,54300,-0.02,-0.74%
57,ASTC,05/28/20,2.82,2.82,2.69,2.7,61730,0.0,0.00%
58,ASTC,05/27/20,2.8,2.81,2.68,2.7,82828,-0.1,-3.57%
59,ASTC,05/26/20,2.87,2.9,2.73,2.8,89425,0.01,0.36%
60,ASTC,05/22/20,2.81,2.85,2.72,2.79,58300,-0.01,-0.36%
61,ASTC,05/21/20,2.76,2.84,2.679,2.8,118731,0.05,1.82%
62,ASTC,05/20/20,2.8,2.92,2.72,2.75,114406,0.02,0.73%
63,ASTC,05/19/20,2.7,2.92,2.61,2.73,186418,0.06,2.25%
64,ASTC,05/18/20,2.68,2.79,2.57,2.67,284615,0.05,1.91%
65,ASTC,05/15/20,2.86,2.99,2.56,2.62,243000,-0.2,-7.09%
66,ASTC,05/14/20,2.84,2.91,2.65,2.82,163339,-0.08,-2.76%
67,ASTC,05/13/20,3.25,3.44,2.58,2.9,741444,-0.38,-11.59%
68,ASTC,05/12/20,2.86,3.66,2.86,3.28,3211655,0.4,13.89%
69,ASTC,05/11/20,3.2,3.24,2.78,2.88,491612,-0.25,-7.99%
70,ASTC,05/08/20,3.14,3.24,3.075,3.13,308200,0.0,0.00%
71,ASTC,05/07/20,3.31,3.31,3.02,3.13,244381,-0.07,-2.19%
72,ASTC,05/06/20,3.03,3.47,2.9,3.2,803504,0.25,8.47%
73,ASTC,05/05/20,2.75,3.07,2.73,2.95,253945,0.17,6.12%
74,ASTC,05/04/20,2.69,2.88,2.61,2.78,137241,-0.02,-0.71%
75,ASTC,05/01/20,3.0,3.0,2.74,2.8,260200,-0.17,-5.72%
76,ASTC,04/30/20,2.68,3.12,2.53,2.97,1412921,0.29,10.82%
77,ASTC,04/29/20,2.53,2.81,2.44,2.68,693044,0.15,5.93%
78,ASTC,04/28/20,2.62,2.62,2.48,2.53,80365,-0.11,-4.17%
79,ASTC,04/27/20,2.51,2.66,2.43,2.64,155446,0.07,2.72%
80,ASTC,04/24/20,2.67,2.67,2.52,2.57,114700,-0.05,-1.91%
81,ASTC,04/23/20,2.68,2.7,2.58,2.62,142810,-0.07,-2.60%
82,ASTC,04/22/20,2.6,2.7,2.55,2.69,113014,0.03,1.32%
83,ASTC,04/21/20,2.72,2.78,2.55,2.655,222284,-0.13,-4.84%
84,ASTC,04/20/20,2.75,2.97,2.68,2.79,476070,0.06,2.20%
85,ASTC,04/17/20,2.68,2.81,2.5,2.73,215700,-0.01,-0.36%
86,ASTC,04/16/20,2.75,2.8,2.46,2.74,416364,-0.08,-2.84%
87,ASTC,04/15/20,2.9,2.97,2.71,2.82,206795,-0.14,-4.73%
88,ASTC,04/14/20,3.04,3.26,2.88,2.96,410388,-0.18,-5.73%
89,ASTC,04/13/20,3.05,3.31,2.83,3.14,1172675,-0.27,-7.92%
90,ASTC,04/09/20,2.44,4.2,2.34,3.41,7795500,1.04,43.88%
91,ASTC,04/08/20,2.4,2.41,2.21,2.37,305405,-0.06,-2.47%
92,ASTC,04/07/20,2.43,2.47,2.35,2.43,193334,-0.07,-2.80%
93,ASTC,04/06/20,2.4,2.64,2.4,2.5,275684,-0.18,-6.72%
94,ASTC,04/03/20,2.35,2.7039999999999997,2.28,2.68,714500,0.13,5.10%
95,ASTC,04/02/20,2.24,3.1,2.24,2.55,2766336,0.27,11.84%
96,ASTC,04/01/20,2.44,2.46,2.18,2.28,848376,-0.32,-12.31%
97,ASTC,03/31/20,3.0,3.03,2.51,2.6,1100662,-0.56,-17.72%
