,Date,Open,High,Low,Close,Adj Close,Volume
0,2014-09-23,13.5,13.76,13.49,13.58,9.600156,24245800
1,2014-09-24,13.62,13.72,13.56,13.65,9.649641,2734300
2,2014-09-25,13.74,13.85,13.65,13.71,9.692057,4225700
3,2014-09-26,13.85,13.92,13.7,13.78,9.741546000000001,4736300
4,2014-09-29,13.7,13.73,13.6,13.64,9.64257,1303900
5,2014-09-30,13.61,13.81,13.52,13.55,9.578951,1804900
6,2014-10-01,13.55,13.6,13.46,13.52,9.591007000000001,1008700
7,2014-10-02,13.48,13.64,13.46,13.53,9.598103,315300
8,2014-10-03,13.83,13.83,13.56,13.59,9.640665,287400
9,2014-10-06,13.58,13.75,13.55,13.6,9.647763000000001,281200
10,2014-10-07,13.55,13.69,13.52,13.61,9.654857000000002,267900
11,2014-10-08,13.7,13.7,13.42,13.55,9.612292,237900
12,2014-10-09,13.56,13.57,13.36,13.45,9.54135,199300
13,2014-10-10,13.37,13.44,13.27,13.38,9.491696000000001,205900
14,2014-10-13,13.43,13.43,13.05,13.08,9.278872999999999,104800
15,2014-10-14,13.2,13.39,12.98,13.0,9.222127,741800
16,2014-10-15,13.0,13.17,12.62,12.68,8.995116000000001,654200
17,2014-10-16,12.65,12.74,12.36,12.65,8.973834,1152300
18,2014-10-17,12.54,12.93,12.54,12.75,9.044772,538900
19,2014-10-20,12.65,12.85,12.63,12.74,9.037681,361800
20,2014-10-21,12.55,12.86,12.55,12.84,9.108619000000001,470400
21,2014-10-22,12.7,12.92,12.7,12.88,9.136994999999999,345800
22,2014-10-23,12.85,13.14,12.85,13.02,9.236311,345600
23,2014-10-24,12.99,13.13,12.94,13.01,9.229216000000001,356700
24,2014-10-27,13.0,13.13,12.85,13.11,9.300156,623000
25,2014-10-28,13.15,13.34,13.1,13.25,9.399471,123300
26,2014-10-29,13.31,13.48,13.23,13.39,9.498788000000001,319800
27,2014-10-30,13.39,13.45,13.3,13.43,9.561435000000001,61500
28,2014-10-31,13.5,13.53,13.29,13.48,9.597035,370300
29,2014-11-03,13.47,13.49,13.23,13.42,9.554317999999999,197100
30,2014-11-04,13.46,13.59,13.42,13.55,9.646873,314100
31,2014-11-05,13.6,13.6,13.38,13.48,9.597035,692000
32,2014-11-06,13.49,13.49,13.2,13.3,9.468886,1043400
33,2014-11-07,13.36,13.43,13.27,13.39,9.532962,70900
34,2014-11-10,13.47,13.6,13.31,13.48,9.597035,618100
35,2014-11-11,13.53,13.53,13.34,13.47,9.589916,82500
36,2014-11-12,13.49,13.64,13.41,13.59,9.675349,269600
37,2014-11-13,13.56,13.56,13.25,13.25,9.433288000000001,91800
38,2014-11-14,13.29,13.5,13.2,13.38,9.525841999999999,110200
39,2014-11-17,13.38,13.67,13.24,13.4,9.540078,102400
40,2014-11-18,13.47,13.49,13.3,13.33,9.490245,167100
41,2014-11-19,13.3,13.46,13.278,13.36,9.511600999999999,215800
42,2014-11-20,13.31,13.48,13.11,13.14,9.354973,655400
43,2014-11-21,13.33,13.44,13.055,13.15,9.362091,662900
44,2014-11-24,13.22,13.22,12.89,13.08,9.312256,214400
45,2014-11-25,13.14,13.15,12.78,12.86,9.188649,534300
46,2014-11-26,12.85,13.08,12.82,13.0,9.288681,663200
47,2014-11-28,13.05,13.05,12.38,12.42,8.874257,392300
48,2014-12-01,12.46,12.71,11.96,12.14,8.674192,1881100
49,2014-12-02,12.12,12.13,11.68,11.87,8.481276,449000
50,2014-12-03,11.81,12.09,11.78,11.94,8.531289,2938400
51,2014-12-04,12.18,12.18,11.75,11.98,8.559873,467300
52,2014-12-05,12.0,12.015,11.64,11.82,8.445551,1942100
53,2014-12-08,11.87,12.19,11.76,11.82,8.445551,128400
54,2014-12-09,11.84,11.84,11.44,11.48,8.202617,444200
55,2014-12-10,11.53,11.53,10.79,10.79,7.7096,313500
56,2014-12-11,10.51,10.86,10.42,10.46,7.47381,577000
57,2014-12-12,10.47,10.56,9.86,9.97,7.123703,661100
58,2014-12-15,10.06,10.13,9.2,9.46,6.7593,801900
59,2014-12-16,9.38,9.86,9.1,9.63,6.880764999999999,921300
60,2014-12-17,9.61,10.25,9.56,10.09,7.209444,1103500
61,2014-12-18,10.29,10.76,10.24,10.53,7.523826,1177700
62,2014-12-19,10.63,10.82,10.44,10.71,7.6524399999999995,707000
63,2014-12-22,10.62,10.97,10.56,10.88,7.773909,1407700
64,2014-12-23,10.89,10.98,10.75,10.89,7.781053,1108600
65,2014-12-24,11.19,11.19,10.79,11.01,7.8667940000000005,671800
66,2014-12-26,10.94,10.98,10.79,10.79,7.7096,97800
67,2014-12-29,10.74,10.82,10.42,10.55,7.566167,205000
68,2014-12-30,10.44,10.67,10.41,10.51,7.537483,104100
69,2014-12-31,10.67,10.67,10.3,10.39,7.451417999999999,57800
70,2015-01-02,10.5,10.5,10.04,10.3,7.386871000000001,235300
71,2015-01-05,10.29,10.32,9.85,9.92,7.11435,203500
72,2015-01-06,9.97,10.05,9.82,9.91,7.107175999999999,1631400
73,2015-01-07,9.92,10.05,9.81,9.97,7.150208999999999,843900
74,2015-01-08,9.99,10.16,9.93,10.05,7.207578999999999,132700
75,2015-01-09,10.07,10.32,9.98,10.28,7.3725309999999995,676600
76,2015-01-12,10.32,10.6,10.2,10.35,7.422738000000001,680700
77,2015-01-13,10.36,10.45,10.16,10.4,7.458591,421300
78,2015-01-14,10.33,10.44,10.18,10.44,7.487280999999999,454500
79,2015-01-15,10.6,10.65,10.42,10.45,7.49445,2293600
80,2015-01-16,10.32,10.57,10.32,10.48,7.515965,141300
81,2015-01-20,10.38,10.48,10.11,10.22,7.329499,419400
82,2015-01-21,10.26,10.37,10.16,10.27,7.365363,458800
83,2015-01-22,10.37,10.58,10.28,10.43,7.480111999999999,404800
84,2015-01-23,10.42,10.53,10.38,10.47,7.508791,491300
85,2015-01-26,10.54,10.58,10.43,10.52,7.544653,841100
86,2015-01-27,10.38,10.64,10.38,10.58,7.587681,803600
87,2015-01-28,10.55,10.65,10.42,10.47,7.537292,1514500
88,2015-01-29,10.56,10.58,10.25,10.42,7.501296000000001,1721000
89,2015-01-30,10.32,10.46,10.23,10.33,7.436503999999999,394600
90,2015-02-02,10.32,10.5,10.32,10.35,7.4509039999999995,1705200
91,2015-02-03,10.35,10.75,10.34,10.69,7.695667,1145100
92,2015-02-04,10.59,10.67,10.5,10.56,7.60208,461600
93,2015-02-05,10.54,10.68,10.49,10.59,7.623675,402700
94,2015-02-06,10.55,10.57,10.45,10.55,7.594883,145000
95,2015-02-09,10.48,10.61,10.44,10.49,7.551688,460000
96,2015-02-10,10.6,10.6,10.4,10.46,7.530089,61700
97,2015-02-11,10.39,10.43,10.159,10.19,7.335717999999999,137500
98,2015-02-12,10.19,10.27,10.11,10.17,7.321325,376000
99,2015-02-13,10.22,10.28,10.07,10.19,7.335717999999999,205900
100,2015-02-17,10.21,10.33,10.17,10.2,7.342917999999999,132200
101,2015-02-18,10.17,10.29,10.14,10.27,7.393312,96100
102,2015-02-19,10.27,10.31,10.09,10.11,7.278128999999999,78100
103,2015-02-20,10.13,10.22,10.06,10.14,7.299724,84500
104,2015-02-23,10.1,10.1,9.8,9.91,7.134149000000001,116600
105,2015-02-24,9.91,10.0,9.829,9.9,7.126953,2527000
106,2015-02-25,9.97,9.97,9.62,9.75,7.048156,342700
107,2015-02-26,9.72,9.81,9.66,9.79,7.077071000000001,47300
108,2015-02-27,9.77,9.84,9.72,9.74,7.040928,230300
109,2015-03-02,9.73,9.82,9.62,9.73,7.033696000000001,149500
110,2015-03-03,9.67,9.898,9.15,9.22,6.665024000000001,409400
111,2015-03-04,9.19,9.57,8.98,9.5,6.867435,93500
112,2015-03-05,9.47,9.61,9.34,9.36,6.766228999999999,166200
113,2015-03-06,9.3,9.49,8.9,8.91,6.4409279999999995,269200
114,2015-03-09,8.96,9.08,8.86,8.86,6.404786,81800
115,2015-03-10,8.83,8.86,8.73,8.79,6.354185,97900
116,2015-03-11,8.73,8.76,8.63,8.7,6.289125,588700
117,2015-03-12,8.72,8.94,8.6,8.88,6.419244,485600
118,2015-03-13,8.81,8.81,8.45,8.5,6.144544000000001,659000
119,2015-03-16,8.52,8.83,8.52,8.7,6.289125,692500
120,2015-03-17,8.71,8.74,8.55,8.65,6.25298,765400
121,2015-03-18,8.6,8.81,8.52,8.76,6.332498,687300
122,2015-03-19,8.76,8.83,8.56,8.6,6.216836,287400
123,2015-03-20,8.67,8.879,8.63,8.84,6.390329,5655000
124,2015-03-23,8.92,8.96,8.8,8.81,6.368641,74300
125,2015-03-24,8.79,9.1,8.79,9.07,6.556592,980200
126,2015-03-25,9.01,9.176,8.94,9.03,6.527677,261900
127,2015-03-26,8.95,9.22,8.87,9.12,6.592739999999999,541500
128,2015-03-27,9.09,9.09,9.0,9.05,6.542135,202400
129,2015-03-30,9.05,9.1,8.99,9.04,6.534905999999999,377400
