,Date,Open,High,Low,Close,Adj Close,Volume
0,2017-08-08,9.7,9.7,9.67,9.69,9.69,3269100
1,2017-08-09,9.72,9.72,9.67,9.69,9.69,201500
2,2017-08-10,9.7,9.7,9.68,9.68,9.68,288100
3,2017-08-11,9.67,9.7,9.65,9.7,9.7,332300
4,2017-08-14,9.67,9.67,9.67,9.67,9.67,819500
5,2017-08-15,9.67,9.7,9.67,9.67,9.67,175200
6,2017-08-16,9.65,9.7,9.65,9.68,9.68,143800
7,2017-08-17,9.68,9.68,9.67,9.67,9.67,254000
8,2017-08-18,9.65,9.67,9.65,9.65,9.65,278000
9,2017-08-21,9.65,9.67,9.61,9.65,9.65,104900
10,2017-08-22,9.7,9.7,9.65,9.68,9.68,2300
11,2017-08-23,9.67,9.7,9.62,9.66,9.66,151500
12,2017-08-24,9.65,9.67,9.64,9.65,9.65,19600
13,2017-08-25,9.63,9.67,9.63,9.66,9.66,58500
14,2017-08-28,9.66,9.66,9.66,9.66,9.66,1400
15,2017-08-29,9.65,9.69,9.65,9.68,9.68,52600
16,2017-08-30,9.69,9.69,9.68,9.684,9.684,2400
17,2017-08-31,9.66,9.725,9.65,9.7,9.7,41300
18,2017-09-01,9.65,9.68,9.65,9.67,9.67,7400
19,2017-09-05,9.665,9.68,9.66,9.67,9.67,39400
20,2017-09-06,9.66,9.69,9.66,9.68,9.68,625900
21,2017-09-07,9.66,9.69,9.66,9.67,9.67,297700
22,2017-09-08,9.67,9.68,9.67,9.68,9.68,650100
23,2017-09-11,9.68,9.68,9.67,9.67,9.67,51800
24,2017-09-12,9.68,9.69,9.68,9.69,9.69,170300
25,2017-09-13,9.68,9.7,9.68,9.68,9.68,349700
26,2017-09-14,9.68,9.69,9.68,9.69,9.69,25200
27,2017-09-15,9.68,9.69,9.68,9.69,9.69,39100
28,2017-09-18,9.68,9.683,9.68,9.683,9.683,204300
29,2017-09-19,9.68,9.69,9.68,9.68,9.68,208700
30,2017-09-20,9.68,9.68,9.68,9.68,9.68,0
31,2017-09-21,9.68,9.68,9.68,9.68,9.68,0
32,2017-09-22,9.69,9.69,9.69,9.69,9.69,100
33,2017-09-25,9.68,9.69,9.66,9.69,9.69,91000
34,2017-09-26,9.68,9.69,9.68,9.69,9.69,6300
35,2017-09-27,9.69,9.69,9.68,9.68,9.68,4900
36,2017-09-28,9.68,9.69,9.68,9.69,9.69,500
37,2017-09-29,9.69,9.69,9.69,9.69,9.69,0
38,2017-10-02,9.69,9.69,9.69,9.69,9.69,0
39,2017-10-03,9.68,9.69,9.67,9.68,9.68,436300
40,2017-10-04,9.68,9.68,9.68,9.68,9.68,0
41,2017-10-05,9.7,9.7,9.61,9.68,9.68,747500
42,2017-10-06,9.68,9.68,9.68,9.68,9.68,0
43,2017-10-09,9.68,9.68,9.68,9.68,9.68,0
44,2017-10-10,9.67,9.67,9.66,9.66,9.66,2700
45,2017-10-11,9.66,9.66,9.659,9.66,9.66,23100
46,2017-10-12,9.66,9.66,9.66,9.66,9.66,0
47,2017-10-13,9.67,9.68,9.6,9.68,9.68,6100
48,2017-10-16,9.68,9.69,9.66,9.67,9.67,273800
49,2017-10-17,9.67,9.67,9.67,9.67,9.67,700
50,2017-10-18,9.67,9.67,9.66,9.66,9.66,50500
51,2017-10-19,9.67,9.68,9.66,9.68,9.68,358400
52,2017-10-20,9.68,9.68,9.67,9.67,9.67,1200
53,2017-10-23,9.66,9.67,9.66,9.67,9.67,270200
54,2017-10-24,9.68,9.69,9.65,9.65,9.65,470100
55,2017-10-25,9.66,9.668,9.65,9.66,9.66,112000
56,2017-10-26,9.69,9.69,9.67,9.68,9.68,125600
57,2017-10-27,9.68,9.68,9.68,9.68,9.68,0
58,2017-10-30,9.67,9.67,9.67,9.67,9.67,2600
59,2017-10-31,9.67,9.67,9.67,9.67,9.67,0
60,2017-11-01,9.67,9.68,9.67,9.68,9.68,226200
61,2017-11-02,9.68,9.68,9.68,9.68,9.68,0
62,2017-11-03,9.67,9.68,9.65,9.68,9.68,8000
63,2017-11-06,9.68,9.68,9.68,9.68,9.68,0
64,2017-11-07,9.65,9.68,9.65,9.68,9.68,10400
65,2017-11-08,9.66,9.66,9.66,9.66,9.66,7100
66,2017-11-09,9.66,9.66,9.66,9.66,9.66,0
67,2017-11-10,9.66,9.66,9.66,9.66,9.66,100
68,2017-11-13,9.66,9.67,9.66,9.67,9.67,6800
69,2017-11-14,9.68,9.68,9.68,9.68,9.68,2100
70,2017-11-15,9.68,9.68,9.678,9.68,9.68,2900
71,2017-11-16,9.68,9.68,9.66,9.68,9.68,7900
72,2017-11-17,9.67,9.67,9.67,9.67,9.67,400
73,2017-11-20,9.67,9.69,9.67,9.68,9.68,14100
74,2017-11-21,9.68,9.68,9.68,9.68,9.68,2400
75,2017-11-22,9.67,9.68,9.67,9.68,9.68,20300
76,2017-11-24,9.68,9.69,9.68,9.68,9.68,500
77,2017-11-27,9.66,9.664,9.66,9.66,9.66,4100
78,2017-11-28,9.66,9.68,9.66,9.66,9.66,2300
79,2017-11-29,9.66,9.66,9.66,9.66,9.66,0
80,2017-11-30,9.66,9.66,9.66,9.66,9.66,8600
81,2017-12-01,9.66,9.66,9.66,9.66,9.66,9700
82,2017-12-04,9.66,9.66,9.64,9.65,9.65,12600
83,2017-12-05,9.69,9.69,9.66,9.66,9.66,1000
84,2017-12-06,9.66,9.66,9.66,9.66,9.66,0
85,2017-12-07,9.66,9.66,9.66,9.66,9.66,200
86,2017-12-08,9.66,9.66,9.66,9.66,9.66,100000
87,2017-12-11,9.65,9.65,9.64,9.65,9.65,11600
88,2017-12-12,9.66,9.66,9.66,9.66,9.66,46100
89,2017-12-13,9.66,9.66,9.66,9.66,9.66,5000
90,2017-12-14,9.66,9.66,9.66,9.66,9.66,7800
91,2017-12-15,9.66,9.66,9.66,9.66,9.66,233300
92,2017-12-18,9.66,9.66,9.66,9.66,9.66,0
93,2017-12-19,9.66,9.66,9.66,9.66,9.66,2700
