,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-05-28,285.0,289.3,282.43,283.14,283.14,1851249,0.0,1.0
1,2020-05-27,283.02,287.8,280.0,287.59,287.59,2281161,0.0,1.0
2,2020-05-26,285.0,287.09,281.39,282.02,282.02,2357286,0.0,1.0
3,2020-05-22,273.74,277.25,270.505,276.65,276.65,1745284,0.0,1.0
4,2020-05-21,278.92,279.5,274.65,274.8,274.8,1484895,0.0,1.0
5,2020-05-20,276.97,281.31,276.08,278.68,278.68,1860540,0.0,1.0
6,2020-05-19,273.53,276.03,271.61,271.95,271.95,1870179,0.0,1.0
7,2020-05-18,268.62,276.73,268.0,273.53,273.53,2653723,0.0,1.0
8,2020-05-15,259.42,264.06,256.77,260.41,260.41,2165422,0.0,1.0
9,2020-05-14,260.96,266.95,254.75,266.6,266.6,1991193,0.0,1.0
10,2020-05-13,270.07,270.33,259.36,263.15,263.15,2192740,0.0,1.0
11,2020-05-12,276.58,277.72,268.22,268.45,268.45,1876382,0.0,1.0
12,2020-05-11,273.37,276.7377,271.75,275.4,275.4,2085097,0.0,1.0
13,2020-05-08,272.2,275.55,270.03,275.03,275.03,1676700,0.0,1.0
14,2020-05-07,270.0,270.47,266.0,267.75,267.75,1824705,0.0,1.0
15,2020-05-06,268.33,270.4794,263.62,264.18,264.18,2272993,0.0,1.0
16,2020-05-05,265.5995,268.94,263.71,264.87,264.87,2646359,0.0,1.0
17,2020-05-04,259.21,262.43,255.32,262.26,262.26,1704609,0.0,1.0
18,2020-05-01,266.0,267.8515,258.2035,259.7,259.7,2683561,0.0,1.0
19,2020-04-30,273.53,274.05,268.8,271.62,271.62,2337943,0.0,1.0
20,2020-04-29,271.08,276.99,269.23,276.02,276.02,2887069,0.0,1.0
21,2020-04-28,274.24,276.41,264.12,264.73,264.73,1899225,0.0,1.0
22,2020-04-27,264.35,271.22,264.35,268.45,268.45,1659249,0.0,1.0
23,2020-04-24,259.81,265.07,258.88,264.81,264.81,2342511,0.0,1.0
24,2020-04-23,260.25,265.2,258.52,258.93,258.93,2166169,0.0,1.0
25,2020-04-22,254.77,262.22,250.74,259.97,259.97,3544184,0.0,1.0
26,2020-04-21,254.56,254.79,246.8001,247.65,247.65,2913805,0.0,1.0
27,2020-04-20,260.0,265.26,257.91,258.28,258.28,2380122,0.0,1.0
28,2020-04-17,263.22,267.425,258.94,265.88,265.88,3408880,0.0,1.0
29,2020-04-16,261.76,261.76,254.1101,258.29,258.29,2689592,0.0,1.0
30,2020-04-15,261.0,262.3228,256.16,257.44,257.44,2592648,0.0,1.0
31,2020-04-14,266.12,268.38,262.32,267.63,267.63,2309632,0.0,1.0
32,2020-04-13,253.5,261.52,252.8,259.92,259.92,2572858,0.0,1.0
33,2020-04-09,265.79,267.5,251.31,254.3,254.3,3482759,0.0,1.0
34,2020-04-08,256.77,262.2,253.64,261.1,261.1,2756546,0.0,1.0
35,2020-04-07,261.84,265.5,252.53,253.27,253.27,4589207,0.0,1.0
36,2020-04-06,244.58,253.4143,243.56,252.44,252.44,3886786,0.0,1.0
37,2020-04-03,236.64,242.55,230.55,234.26,234.26,2896148,0.0,1.0
38,2020-04-02,222.4,237.95,221.4476,237.06,237.06,4504883,0.0,1.0
39,2020-04-01,227.99,234.41,219.68,223.63,223.63,4185832,0.0,1.0
40,2020-03-31,238.0,252.71,236.059,237.1,237.1,5021531,0.0,1.0
41,2020-03-30,232.2,241.36,228.44,240.11,240.11,5234349,0.0,1.0
42,2020-03-27,233.0,242.09,230.0,230.69,230.69,3944771,0.0,1.0
43,2020-03-26,226.03,244.8,226.03,243.17,243.17,6023343,0.0,1.0
44,2020-03-25,212.4324,243.9999,209.2201,217.55,217.55,6444245,0.0,1.0
45,2020-03-24,205.64,218.71,201.2938,212.76,212.76,6296977,0.0,1.0
46,2020-03-23,192.8835,195.97,177.75,193.47,193.47,4692052,0.0,1.0
47,2020-03-20,202.0,208.68,187.91,192.22,192.22,7404367,3.25,1.0
48,2020-03-19,167.64,207.47,165.0,194.45,191.217,7443821,0.0,1.0
49,2020-03-18,185.66,187.48,155.67,167.87,165.0789,9868583,0.0,1.0
50,2020-03-17,191.82,200.01,181.475,199.51,196.1928,7066156,0.0,1.0
51,2020-03-16,208.18,218.8,180.2254,187.58,184.4612,7693502,0.0,1.0
52,2020-03-13,225.505,234.465,201.16,234.22,230.3257,8471369,0.0,1.0
53,2020-03-12,226.99,242.76,216.32,218.78,215.1424,6428111,0.0,1.0
54,2020-03-11,253.88,256.49,242.49,245.97,241.8804,3604372,0.0,1.0
55,2020-03-10,256.59,263.68,243.4,262.9,258.5289,5507531,0.0,1.0
56,2020-03-09,251.08,260.27,244.245,247.72,243.6013,4393360,0.0,1.0
57,2020-03-06,266.98,270.93,262.5,269.45,264.97,3016877,0.0,1.0
58,2020-03-05,277.26,283.09,272.45,274.04,269.4836,2437413,0.0,1.0
59,2020-03-04,277.54,285.72,274.77,285.45,280.7039,2347789,0.0,1.0
60,2020-03-03,284.65,288.48,271.57,274.25,269.6902,2992968,0.0,1.0
61,2020-03-02,276.76,285.4,271.155,284.97,280.2319,3197647,0.0,1.0
62,2020-02-28,263.33,274.13,262.74,272.62,268.0873,4460424,0.0,1.0
63,2020-02-27,280.3,285.31,273.54,273.95,269.3951,3483709,0.0,1.0
64,2020-02-26,284.35,288.2,284.0,285.88,281.1268,2308856,0.0,1.0
65,2020-02-25,294.11,295.73,281.07,282.68,277.98,3189198,0.0,1.0
66,2020-02-24,294.2,298.8,290.06,291.6,286.7517,3684871,0.0,1.0
67,2020-02-21,308.5,309.45,302.29,304.5,299.4372,2453090,0.0,1.0
68,2020-02-20,313.96,315.69,306.12,309.24,304.0984,2552088,0.0,1.0
69,2020-02-19,313.0,316.83,311.7,315.69,310.4412,2052525,0.0,1.0
70,2020-02-18,315.0,315.01,308.05,310.75,305.5833,2670324,0.0,1.0
71,2020-02-14,324.84,325.7,317.1,317.77,312.4866,1913664,0.0,1.0
72,2020-02-13,321.48,325.46,320.95,323.97,318.5835,1385663,0.0,1.0
73,2020-02-12,322.04,325.09,321.63,324.7,319.3013,1531020,0.0,1.0
74,2020-02-11,316.65,320.79,316.01,320.16,314.8368,1552703,0.0,1.0
75,2020-02-10,312.37,314.595,310.3,314.2,308.9759,1921810,0.0,1.0
76,2020-02-07,318.32,318.52,314.865,315.23,309.9888,1588405,0.0,1.0
77,2020-02-06,318.84,319.88,314.23,319.69,314.3746,2268311,0.0,1.0
78,2020-02-05,317.5,319.81,315.86,317.38,312.1031,2482475,0.0,1.0
79,2020-02-04,311.79,314.565,309.655,311.6,306.4192,2255873,0.0,1.0
80,2020-02-03,305.63,306.6,303.64,305.23,300.1551,2128994,0.0,1.0
81,2020-01-31,314.16,314.585,303.622,305.16,300.0862,2212297,0.0,1.0
