,Date,Open,High,Low,Close,Adj Close,Volume
0,1973-05-03,0.0,2.416667,2.333333,2.333333,0.005029,2400
1,1973-05-04,0.0,2.416667,2.333333,2.333333,0.005029,4200
2,1973-05-07,0.0,2.395833,2.3125,2.3125,0.004984000000000001,4200
3,1973-05-08,0.0,2.395833,2.3125,2.3125,0.004984000000000001,2400
4,1973-05-09,0.0,2.395833,2.3125,2.3125,0.004984000000000001,3000
5,1973-05-10,2.3125,2.3125,2.3125,2.3125,0.004984000000000001,0
6,1973-05-11,0.0,2.416667,2.333333,2.333333,0.005029,5400
7,1973-05-14,2.333333,2.333333,2.333333,2.333333,0.005029,0
8,1973-05-15,0.0,2.416667,2.333333,2.333333,0.005029,2400
9,1973-05-16,0.0,2.416667,2.333333,2.333333,0.005029,600
10,1973-05-17,0.0,2.416667,2.333333,2.333333,0.005029,1200
11,1973-05-18,0.0,2.416667,2.333333,2.333333,0.005029,6600
12,1973-05-21,0.0,2.416667,2.333333,2.333333,0.005029,5400
13,1973-05-22,0.0,2.416667,2.333333,2.333333,0.005029,5400
14,1973-05-23,0.0,2.416667,2.333333,2.333333,0.005029,5400
15,1973-05-24,2.333333,2.333333,2.333333,2.333333,0.005029,0
16,1973-05-25,0.0,2.416667,2.333333,2.333333,0.005029,1800
17,1973-05-29,0.0,2.416667,2.333333,2.333333,0.005029,600
18,1973-05-30,0.0,2.416667,2.333333,2.333333,0.005029,600
19,1973-05-31,0.0,2.416667,2.333333,2.333333,0.005029,2400
20,1973-06-01,0.0,2.4375,2.354167,2.354167,0.005072999999999999,1200
21,1973-06-04,0.0,2.4375,2.354167,2.354167,0.005072999999999999,4200
22,1973-06-05,0.0,2.416667,2.333333,2.333333,0.005029,3000
23,1973-06-06,0.0,2.416667,2.333333,2.333333,0.005029,10800
24,1973-06-07,0.0,2.4375,2.354167,2.354167,0.005072999999999999,1200
25,1973-06-08,0.0,2.4375,2.354167,2.354167,0.005072999999999999,1800
26,1973-06-11,0.0,2.4375,2.354167,2.354167,0.005072999999999999,600
27,1973-06-12,0.0,2.4375,2.354167,2.354167,0.005072999999999999,4200
28,1973-06-13,0.0,2.4375,2.354167,2.354167,0.005072999999999999,600
29,1973-06-14,0.0,2.4375,2.354167,2.354167,0.005072999999999999,1200
30,1973-06-15,0.0,2.4375,2.354167,2.354167,0.005072999999999999,3000
31,1973-06-18,2.354167,2.354167,2.354167,2.354167,0.005072999999999999,0
32,1973-06-19,0.0,2.4375,2.354167,2.354167,0.005072999999999999,2400
33,1973-06-20,0.0,2.4375,2.354167,2.354167,0.005072999999999999,7200
34,1973-06-21,0.0,2.4375,2.354167,2.354167,0.005072999999999999,600
35,1973-06-22,0.0,2.395833,2.3125,2.3125,0.004984000000000001,1200
36,1973-06-25,0.0,2.375,2.291667,2.291667,0.004939,3000
37,1973-06-26,0.0,2.416667,2.333333,2.333333,0.005029,11400
38,1973-06-27,0.0,2.416667,2.333333,2.333333,0.005029,3600
39,1973-06-28,0.0,2.416667,2.333333,2.333333,0.005029,1200
40,1973-06-29,0.0,2.416667,2.333333,2.333333,0.005029,2400
41,1973-07-02,0.0,2.416667,2.333333,2.333333,0.005029,10800
42,1973-07-03,0.0,2.416667,2.333333,2.333333,0.005029,1200
43,1973-07-05,2.333333,2.333333,2.333333,2.333333,0.005029,0
44,1973-07-06,0.0,2.416667,2.333333,2.333333,0.005029,2400
45,1973-07-09,2.333333,2.333333,2.333333,2.333333,0.005029,0
46,1973-07-10,0.0,2.416667,2.333333,2.333333,0.005029,600
47,1973-07-11,0.0,2.416667,2.333333,2.333333,0.005029,3000
48,1973-07-12,0.0,2.458333,2.375,2.375,0.005118,6600
49,1973-07-13,0.0,2.458333,2.375,2.375,0.005118,600
50,1973-07-16,0.0,2.479167,2.395833,2.395833,0.005163,600
51,1973-07-17,0.0,2.479167,2.395833,2.395833,0.005163,6600
52,1973-07-18,0.0,2.479167,2.395833,2.395833,0.005163,9600
53,1973-07-19,0.0,2.479167,2.395833,2.395833,0.005163,1800
54,1973-07-20,2.395833,2.395833,2.395833,2.395833,0.005163,0
55,1973-07-23,0.0,2.479167,2.395833,2.395833,0.005163,3000
56,1973-07-24,0.0,2.479167,2.395833,2.395833,0.005163,7800
57,1973-07-25,0.0,2.479167,2.395833,2.395833,0.005163,1200
58,1973-07-26,0.0,2.479167,2.395833,2.395833,0.005163,12600
59,1973-07-27,2.395833,2.395833,2.395833,2.395833,0.005163,0
60,1973-07-30,0.0,2.458333,2.375,2.375,0.005118,1800
61,1973-07-31,2.375,2.375,2.375,2.375,0.005118,0
62,1973-08-01,0.0,2.4375,2.354167,2.354167,0.005072999999999999,11400
63,1973-08-02,0.0,2.395833,2.3125,2.3125,0.004984000000000001,1800
64,1973-08-03,0.0,2.416667,2.333333,2.333333,0.005029,3000
65,1973-08-06,0.0,2.416667,2.333333,2.333333,0.005029,4200
66,1973-08-07,0.0,2.416667,2.333333,2.333333,0.005029,1800
67,1973-08-08,0.0,2.375,2.291667,2.291667,0.004939,10200
68,1973-08-09,0.0,2.354167,2.270833,2.270833,0.004894,9600
69,1973-08-10,0.0,2.354167,2.270833,2.270833,0.004894,8400
70,1973-08-13,0.0,2.333333,2.25,2.25,0.004849,4200
71,1973-08-14,0.0,2.3125,2.229167,2.229167,0.004804,9600
72,1973-08-15,0.0,2.229167,2.145833,2.145833,0.004625,10200
73,1973-08-16,0.0,2.208333,2.125,2.125,0.00458,9600
74,1973-08-17,0.0,2.1875,2.104167,2.104167,0.004535,10200
75,1973-08-20,0.0,2.1875,2.104167,2.104167,0.004535,6000
76,1973-08-21,0.0,2.1875,2.104167,2.104167,0.004535,8400
77,1973-08-22,0.0,2.208333,2.125,2.125,0.00458,6600
78,1973-08-23,0.0,2.208333,2.125,2.125,0.00458,600
79,1973-08-24,0.0,2.291667,2.208333,2.208333,0.004759,19800
80,1973-08-27,0.0,2.291667,2.208333,2.208333,0.004759,8400
81,1973-08-28,0.0,2.291667,2.208333,2.208333,0.004759,3600
82,1973-08-29,0.0,2.291667,2.208333,2.208333,0.004759,4200
83,1973-08-30,2.208333,2.208333,2.208333,2.208333,0.004759,0
84,1973-08-31,0.0,2.291667,2.208333,2.208333,0.004759,1200
85,1973-09-04,0.0,2.291667,2.208333,2.208333,0.004759,9000
86,1973-09-05,0.0,2.291667,2.208333,2.208333,0.004759,4200
87,1973-09-06,0.0,2.291667,2.208333,2.208333,0.004759,600
88,1973-09-07,0.0,2.291667,2.208333,2.208333,0.004759,3000
89,1973-09-10,0.0,2.291667,2.208333,2.208333,0.004759,2400
90,1973-09-11,0.0,2.291667,2.208333,2.208333,0.004759,4800
91,1973-09-12,0.0,2.291667,2.208333,2.208333,0.004759,4800
92,1973-09-13,0.0,2.3125,2.229167,2.229167,0.004804,7200
93,1973-09-14,0.0,2.3125,2.229167,2.229167,0.004804,2400
94,1973-09-17,0.0,2.333333,2.25,2.25,0.004849,1800
95,1973-09-18,0.0,2.354167,2.270833,2.270833,0.004894,10800
96,1973-09-19,0.0,2.395833,2.3125,2.3125,0.004984000000000001,5400
97,1973-09-20,0.0,2.416667,2.333333,2.333333,0.005029,6000
98,1973-09-21,0.0,2.416667,2.333333,2.333333,0.005029,600
99,1973-09-24,0.0,2.479167,2.395833,2.395833,0.005163,3600
100,1973-09-25,0.0,2.479167,2.395833,2.395833,0.005163,2400
101,1973-09-26,0.0,2.479167,2.395833,2.395833,0.005163,3000
102,1973-09-27,2.395833,2.395833,2.395833,2.395833,0.005163,0
103,1973-09-28,0.0,2.479167,2.395833,2.395833,0.005163,600
104,1973-10-01,0.0,2.479167,2.395833,2.395833,0.005163,3000
105,1973-10-02,0.0,2.479167,2.395833,2.395833,0.005163,4200
106,1973-10-03,2.395833,2.395833,2.395833,2.395833,0.005163,0
107,1973-10-04,0.0,2.458333,2.375,2.375,0.005118,1200
108,1973-10-05,0.0,2.458333,2.375,2.375,0.005118,1800
