,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,BBBY,08/18/20,12.71,12.8,12.06,12.2,6855951,-0.67,-5.21%
1,BBBY,08/17/20,12.45,12.94,12.15,12.87,6441749,0.52,4.21%
2,BBBY,08/14/20,12.26,12.48,12.04,12.35,3630800,0.01,0.08%
3,BBBY,08/13/20,12.15,12.47,12.0,12.34,4613984,0.22,1.82%
4,BBBY,08/12/20,12.22,12.29,11.69,12.12,6000261,0.19,1.59%
5,BBBY,08/11/20,12.11,12.82,11.88,11.93,11860077,-0.73,-5.77%
6,BBBY,08/10/20,12.24,12.89,12.22,12.66,8927653,0.55,4.54%
7,BBBY,08/07/20,11.96,12.21,11.69,12.11,9579400,0.11,0.92%
8,BBBY,08/06/20,11.77,12.12,11.62,12.0,5573702,0.23,1.95%
9,BBBY,08/05/20,11.62,11.81,11.37,11.77,5152446,0.39,3.43%
10,BBBY,08/04/20,11.0,11.44,10.99,11.38,4722082,0.33,2.99%
11,BBBY,08/03/20,10.85,11.2,10.7,11.05,6116158,0.23,2.13%
12,BBBY,07/31/20,11.07,11.14,10.5,10.82,8843600,-0.14,-1.28%
13,BBBY,07/30/20,10.84,11.54,10.69,10.96,14327897,0.11,1.01%
14,BBBY,07/29/20,10.37,10.85,10.37,10.85,5727004,0.5,4.83%
15,BBBY,07/28/20,10.45,10.8,10.33,10.35,7751159,-0.18,-1.71%
16,BBBY,07/27/20,10.14,10.6,10.09,10.53,8984866,0.39,3.85%
17,BBBY,07/24/20,10.0,10.31,9.89,10.14,5978200,-0.02,-0.20%
18,BBBY,07/23/20,10.09,10.53,9.93,10.16,11756232,0.16,1.60%
19,BBBY,07/22/20,9.63,10.04,9.44,10.0,12152774,0.57,6.04%
20,BBBY,07/21/20,8.97,9.53,8.93,9.43,9664943,0.54,6.07%
21,BBBY,07/20/20,9.2,9.2,8.59,8.89,8255161,-0.33,-3.58%
22,BBBY,07/17/20,9.53,9.55,9.115,9.22,7104100,-0.25,-2.64%
23,BBBY,07/16/20,8.75,9.69,8.66,9.47,13868787,0.59,6.64%
24,BBBY,07/15/20,8.76,9.04,8.68,8.88,16158236,0.49,5.84%
25,BBBY,07/14/20,7.62,8.59,7.57,8.39,17820361,0.67,8.68%
26,BBBY,07/13/20,8.17,8.36,7.39,7.72,22999156,-0.48,-5.80%
27,BBBY,07/10/20,8.03,8.45,7.9,8.195,22363100,0.33,4.26%
28,BBBY,07/09/20,9.3,9.31,7.7,7.86,66696969,-1.97,-20.04%
29,BBBY,07/08/20,10.24,10.67,9.83,9.83,20008522,-0.41,-4.00%
30,BBBY,07/07/20,10.54,10.77,10.13,10.24,12608189,-0.52,-4.83%
31,BBBY,07/06/20,11.2,11.32,10.7,10.76,9251510,-0.05,-0.46%
32,BBBY,07/02/20,10.86,11.45,10.68,10.81,8660600,0.17,1.60%
33,BBBY,07/01/20,10.63,10.91,10.42,10.64,7782037,0.04,0.38%
34,BBBY,06/30/20,10.7,11.35,10.35,10.6,8987375,-0.22,-2.03%
35,BBBY,06/29/20,10.11,11.1,9.79,10.82,13011291,0.77,7.66%
36,BBBY,06/26/20,10.07,10.56,9.7,10.05,16589700,0.57,6.01%
37,BBBY,06/25/20,9.23,9.66,9.1,9.48,7316572,0.13,1.39%
38,BBBY,06/24/20,9.99,10.04,9.01,9.35,12165810,-0.89,-8.69%
39,BBBY,06/23/20,10.19,10.43,10.07,10.24,10458523,0.27,2.71%
40,BBBY,06/22/20,10.01,10.33,9.78,9.97,10352873,0.13,1.32%
41,BBBY,06/19/20,10.14,10.65,9.53,9.84,40762400,-0.26,-2.57%
42,BBBY,06/18/20,9.52,10.14,9.41,10.1,12059332,0.38,3.91%
43,BBBY,06/17/20,9.57,9.93,9.34,9.72,13025670,0.08,0.83%
44,BBBY,06/16/20,9.27,9.78,9.06,9.64,17832664,1.24,14.76%
45,BBBY,06/15/20,7.744,8.39,7.64,8.4,14696468,0.3,3.70%
46,BBBY,06/12/20,8.05,8.31,7.733,8.1,7478200,0.64,8.58%
47,BBBY,06/11/20,7.37,7.93,7.3,7.46,11986076,-0.8,-9.69%
48,BBBY,06/10/20,9.08,9.08,8.0,8.26,13762280,-0.83,-9.13%
49,BBBY,06/09/20,9.45,9.63,9.05,9.09,7954086,-0.77,-7.81%
50,BBBY,06/08/20,9.74,10.18,9.63,9.86,15044466,0.54,5.79%
51,BBBY,06/05/20,9.69,10.18,8.74,9.32,26006700,0.59,6.76%
52,BBBY,06/04/20,8.13,8.8,7.93,8.73,16572439,0.65,8.04%
53,BBBY,06/03/20,7.69,8.23,7.61,8.08,11636849,0.53,7.02%
54,BBBY,06/02/20,7.64,7.83,7.27,7.55,6985809,0.05,0.67%
55,BBBY,06/01/20,7.25,7.66,7.19,7.5,6318932,0.23,3.16%
56,BBBY,05/29/20,7.43,7.46,7.08,7.27,7576100,-0.2,-2.68%
57,BBBY,05/28/20,7.71,7.88,7.37,7.47,7971697,-0.22,-2.86%
58,BBBY,05/27/20,7.7,7.8,7.18,7.69,12389098,0.2,2.67%
59,BBBY,05/26/20,7.08,7.68,6.94,7.49,16081191,0.79,11.79%
60,BBBY,05/22/20,6.82,7.13,6.575,6.7,12453101,-0.1,-1.47%
61,BBBY,05/21/20,5.95,6.95,5.95,6.8,20545131,0.85,14.29%
62,BBBY,05/20/20,6.09,6.18,5.78,5.95,8725130,0.0,0.00%
63,BBBY,05/19/20,6.22,6.3,5.86,5.95,8110520,-0.33,-5.25%
64,BBBY,05/18/20,6.21,6.44,5.94,6.28,11671163,0.49,8.46%
65,BBBY,05/15/20,5.25,5.815,5.2,5.79,10143800,0.44,8.22%
66,BBBY,05/14/20,5.35,5.65,5.1,5.35,9406662,-0.1,-1.83%
67,BBBY,05/13/20,5.85,5.86,5.36,5.45,8549620,-0.41,-7.00%
68,BBBY,05/12/20,6.26,6.28,5.86,5.86,6247381,-0.34,-5.48%
69,BBBY,05/11/20,6.31,6.39,6.04,6.2,8451045,-0.26,-4.02%
70,BBBY,05/08/20,5.87,6.48,5.79,6.46,9918400,0.68,11.76%
71,BBBY,05/07/20,5.71,5.91,5.66,5.78,5430468,0.14,2.48%
72,BBBY,05/06/20,5.66,5.75,5.54,5.64,5142666,0.06,1.08%
73,BBBY,05/05/20,6.15,6.25,5.53,5.58,8445120,-0.33,-5.58%
74,BBBY,05/04/20,5.47,6.06,5.36,5.91,8286790,0.28,4.88%
75,BBBY,05/01/20,5.95,6.19,5.57,5.635,11280601,-0.56,-8.97%
76,BBBY,04/30/20,6.39,6.45,6.04,6.19,11041363,-0.4,-6.07%
77,BBBY,04/29/20,6.82,6.98,6.47,6.59,13941877,-0.06,-0.90%
78,BBBY,04/28/20,7.01,7.69,6.57,6.65,43889024,0.24,3.74%
79,BBBY,04/27/20,5.46,6.89,5.44,6.41,34311119,1.18,22.56%
80,BBBY,04/24/20,4.96,5.27,4.9,5.23,11384500,0.32,6.52%
81,BBBY,04/23/20,4.59,5.06,4.59,4.91,12379910,0.31,6.74%
82,BBBY,04/22/20,4.72,4.79,4.43,4.6,10576456,0.07,1.55%
83,BBBY,04/21/20,4.43,4.59,4.32,4.53,9271376,-0.02,-0.44%
84,BBBY,04/20/20,4.61,4.84,4.37,4.55,12717211,-0.24,-5.01%
85,BBBY,04/17/20,5.52,5.72,4.75,4.79,26816900,-0.45,-8.59%
86,BBBY,04/16/20,5.26,5.44,4.99,5.24,34058109,0.8,18.02%
87,BBBY,04/15/20,5.08,5.08,4.35,4.44,25315512,-0.93,-17.32%
88,BBBY,04/14/20,5.52,5.63,5.16,5.37,6582845,0.1,1.90%
89,BBBY,04/13/20,5.7,5.75,5.03,5.27,10330152,-0.31,-5.56%
90,BBBY,04/09/20,6.05,6.45,5.55,5.58,17387700,-0.12,-2.11%
91,BBBY,04/08/20,4.96,5.84,4.88,5.7,23206889,0.99,21.02%
92,BBBY,04/07/20,4.89,5.23,4.62,4.71,19741784,0.3,6.80%
