,Date,Open,High,Low,Close,Adj Close,Volume
0,2018-04-23,27.0,27.950001,25.0,27.0,25.820612,136000
1,2018-04-24,25.6,27.51,25.0,27.51,26.308331,101400
2,2018-04-25,27.51,27.51,27.51,27.51,26.308331,0
3,2018-04-26,27.5,27.5,25.5,26.5,25.342453,84600
4,2018-04-27,26.5,26.5,26.0,26.059998999999998,24.921671,500
5,2018-04-30,26.25,26.25,25.5,26.075001,24.936018,2200
6,2018-05-01,25.496,26.0,25.0,26.0,24.864294,2300
7,2018-05-02,25.0,25.75,24.0,25.75,24.625212,24000
8,2018-05-03,25.5,25.5,25.0,25.24,24.137491,23000
9,2018-05-04,25.34,25.34,23.299999,24.99,23.898413,53900
10,2018-05-07,24.0,25.0,24.0,25.0,23.907972,10100
11,2018-05-08,24.110001,25.0,24.0,25.0,23.907972,10700
12,2018-05-09,24.5,25.0,24.5,24.969998999999998,23.879282,3400
13,2018-05-10,25.0,25.0,24.99,25.0,23.907972,600
14,2018-05-11,24.75,24.75,24.139999,24.65,23.573261,12500
15,2018-05-14,24.120001000000002,25.0,24.01,25.0,23.985817,10200
16,2018-05-15,24.0,24.92,24.0,24.85,23.841901999999997,8000
17,2018-05-16,24.690001000000002,24.690001000000002,24.0,24.379998999999998,23.390964999999998,5200
18,2018-05-17,24.33,24.48,24.040001,24.35,23.362185999999998,3600
19,2018-05-18,24.49,24.889999,24.0,24.389999,23.400564000000003,17200
20,2018-05-21,24.389999,24.389999,24.389999,24.389999,23.400564000000003,600
21,2018-05-22,24.18,24.5,23.5,24.48,23.48691,20000
22,2018-05-23,24.34,24.34,23.25,23.99,23.016787,24700
23,2018-05-24,23.67,23.950001,23.15,23.5,22.546669,32100
24,2018-05-25,23.299999,23.690001000000002,23.1,23.4,22.450723999999997,25800
25,2018-05-29,23.110001,23.4,23.1,23.35,22.402758,8300
26,2018-05-30,23.1,23.49,23.1,23.49,22.537070999999997,21900
27,2018-05-31,23.25,23.5,23.219998999999998,23.42,22.469915,45500
28,2018-06-01,23.450001,24.0,23.405001000000002,23.92,22.949631,27600
29,2018-06-04,23.51,24.99,23.51,24.27,23.285435,51700
30,2018-06-05,25.0,25.9,24.5,24.719998999999998,23.717173000000003,173000
31,2018-06-06,24.780001000000002,24.950001,24.622,24.93,23.918657,97100
32,2018-06-07,24.940001000000002,24.950001,24.309998999999998,24.549999,23.554071,60600
33,2018-06-08,24.75,24.85,24.395,24.530001000000002,23.534882999999997,33800
34,2018-06-11,24.690001000000002,25.040001,24.52,24.85,23.841901999999997,83300
35,2018-06-12,24.950001,25.25,24.5,24.610001,23.611641,64500
36,2018-06-13,24.9,25.18,24.82,25.040001,24.024195000000002,120100
37,2018-06-14,25.049999,25.18,24.825001,25.09,24.07217,126800
38,2018-06-15,25.33,25.33,24.514999,25.190001000000002,24.168108,106200
39,2018-06-18,25.370001000000002,26.799999,24.27,26.129998999999998,25.069976999999998,165900
40,2018-06-19,25.83,26.35,25.32,25.809998999999998,24.762959,107100
41,2018-06-20,26.0,26.530001000000002,25.549999,26.299999,25.233079999999998,82800
42,2018-06-21,26.110001,26.25,25.465,26.139999,25.079570999999998,45500
43,2018-06-22,25.85,27.389999,25.809998999999998,26.719998999999998,25.636042,1252300
44,2018-06-25,26.450001,27.889999,26.33,26.530001000000002,25.453753,60300
45,2018-06-26,26.719998999999998,26.74,25.608,26.0,24.945251000000003,72600
46,2018-06-27,25.950001,27.0,25.950001,26.6,25.52091,66800
47,2018-06-28,26.469998999999998,26.889999,25.799999,26.68,25.59767,76600
48,2018-06-29,26.061001,26.67,26.061001,26.35,25.281052,16400
49,2018-07-02,26.15,26.25,25.76,25.799999,24.753366,25100
50,2018-07-03,25.799999,25.799999,25.6,25.68,24.638231,13900
51,2018-07-05,25.799999,27.66,25.41,26.25,25.185108,41200
52,2018-07-06,26.32,26.51,24.139999,25.15,24.129732,63200
53,2018-07-09,25.18,25.75,25.09,25.4,24.369591,16500
54,2018-07-10,25.309998999999998,25.450001,24.940001000000002,25.1,24.081762,29700
55,2018-07-11,25.209999,25.52,24.9,25.0,23.985817,35200
56,2018-07-12,25.040001,25.290001,24.969998999999998,25.219998999999998,24.196896,14400
57,2018-07-13,25.290001,25.48,24.9,25.469998999999998,24.43675,12800
58,2018-07-16,25.5,25.5,25.0,25.15,24.129732,9400
59,2018-07-17,25.15,25.690001000000002,25.01,25.57,24.532694,8800
60,2018-07-18,25.66,26.700001,25.055,25.93,24.87809,38500
61,2018-07-19,26.1,26.25,25.860001,26.08,25.022003,6800
