,Date,Open,High,Low,Close,Adj Close,Volume
0,2002-04-26,15.0,15.0,15.0,15.0,5.941632,4500
1,2002-04-29,15.0,15.37,15.0,15.1,5.981242,3600
2,2002-04-30,15.1,15.1,15.05,15.1,5.981242,6600
3,2002-05-01,15.08,15.08,15.08,15.08,5.973319999999999,300
4,2002-05-02,15.08,15.08,15.08,15.08,5.973319999999999,0
5,2002-05-03,15.08,15.08,15.08,15.08,5.973319999999999,0
6,2002-05-06,15.08,15.08,15.08,15.08,5.973319999999999,100
7,2002-05-07,15.1,15.1,15.1,15.1,5.981242,1000
8,2002-05-08,15.1,15.1,15.1,15.1,5.981242,0
9,2002-05-09,15.1,15.1,15.1,15.1,5.981242,500
10,2002-05-10,15.1,15.1,15.0,15.0,5.941632,2500
11,2002-05-13,15.0,15.1,15.0,15.0,5.941632,6500
12,2002-05-14,15.0,15.0,15.0,15.0,5.941632,0
13,2002-05-15,15.1,15.15,15.1,15.15,6.0010449999999995,2000
14,2002-05-16,15.04,15.04,15.0,15.0,5.941632,4100
15,2002-05-17,15.1,15.1,15.1,15.1,5.981242,500
16,2002-05-20,15.1,15.1,15.1,15.1,5.981242,400
17,2002-05-21,15.0,15.0,15.0,15.0,5.941632,1000
18,2002-05-22,15.0,15.0,15.0,15.0,5.941632,0
19,2002-05-23,15.0,15.0,15.0,15.0,5.941632,10000
20,2002-05-24,15.0,15.0,15.0,15.0,5.941632,3400
21,2002-05-28,15.0,15.0,15.0,15.0,5.941632,3800
22,2002-05-29,15.1,15.1,15.1,15.1,5.981242,1200
23,2002-05-30,15.1,15.1,15.0,15.0,5.941632,1200
24,2002-05-31,15.0,15.0,15.0,15.0,5.941632,3100
25,2002-06-03,15.0,15.0,15.0,15.0,5.941632,0
26,2002-06-04,15.0,15.0,15.0,15.0,5.941632,1300
27,2002-06-05,15.0,15.0,15.0,15.0,5.941632,1000
28,2002-06-06,15.0,15.0,15.0,15.0,5.941632,0
29,2002-06-07,15.0,15.01,15.0,15.01,5.945591,6300
30,2002-06-10,15.01,15.01,15.01,15.01,5.945591,400
31,2002-06-11,15.01,15.01,15.0,15.0,5.941632,2500
32,2002-06-12,15.01,15.01,15.01,15.01,5.945591,300
33,2002-06-13,15.01,15.01,15.01,15.01,5.945591,600
34,2002-06-14,15.01,15.01,15.01,15.01,5.945591,0
35,2002-06-17,14.99,14.99,14.77,14.98,5.933706,6000
36,2002-06-18,14.93,14.93,14.93,14.93,5.913906,500
37,2002-06-19,14.93,15.01,14.93,15.01,5.945591,3000
38,2002-06-20,15.01,15.01,15.01,15.01,5.945591,0
39,2002-06-21,15.01,15.04,15.01,15.04,5.957478,700
40,2002-06-24,15.21,15.5,15.21,15.5,6.168801,2300
41,2002-06-25,15.25,15.25,14.85,15.05,5.989717,3400
42,2002-06-26,15.25,15.37,15.25,15.37,6.117071,600
43,2002-06-27,15.5,15.5,14.69,15.0,5.969812,10500
44,2002-06-28,15.0,15.0,15.0,15.0,5.969812,800
45,2002-07-01,15.0,15.0,15.0,15.0,5.969812,0
46,2002-07-02,15.0,15.0,15.0,15.0,5.969812,0
47,2002-07-03,15.0,15.0,15.0,15.0,5.969812,0
48,2002-07-05,15.0,15.0,15.0,15.0,5.969812,0
49,2002-07-08,15.0,15.0,15.0,15.0,5.969812,0
50,2002-07-09,15.11,15.11,15.11,15.11,6.013594,1000
51,2002-07-10,15.11,15.11,15.11,15.11,6.013594,1000
52,2002-07-11,15.03,15.03,15.03,15.03,6.009991,300
53,2002-07-12,15.03,15.03,15.03,15.03,6.009991,3400
54,2002-07-15,15.03,15.28,15.03,15.15,6.057974,7600
55,2002-07-16,14.93,15.05,14.93,15.05,6.017996,2700
56,2002-07-17,15.05,15.3,15.05,15.05,6.017996,1800
57,2002-07-18,15.05,15.05,15.05,15.05,6.017996,1400
58,2002-07-19,15.05,15.05,14.93,14.93,5.970006,2800
59,2002-07-22,14.92,14.92,14.92,14.92,5.966009,800
60,2002-07-23,14.92,15.0,14.92,15.0,5.997997,2100
61,2002-07-24,15.0,15.0,14.81,14.81,5.922023,7700
62,2002-07-25,14.81,14.81,14.81,14.81,5.922023,0
63,2002-07-26,14.95,14.95,14.95,14.95,5.978003,700
64,2002-07-29,14.99,14.99,14.99,14.99,5.994,600
65,2002-07-30,14.85,14.85,14.85,14.85,5.938019000000001,1000
66,2002-07-31,14.85,14.85,14.85,14.85,5.938019000000001,0
67,2002-08-01,14.85,14.85,14.85,14.85,5.938019000000001,0
68,2002-08-02,14.99,14.99,14.9,14.9,5.958011,5000
69,2002-08-05,15.0,15.0,14.78,14.9,5.958011,3700
70,2002-08-06,14.91,14.95,14.91,14.95,5.978003,700
71,2002-08-07,14.96,14.96,14.96,14.96,5.982004,500
72,2002-08-08,14.97,15.01,14.97,15.01,6.001996,800
73,2002-08-09,15.26,15.75,15.26,15.5,6.197925,3500
74,2002-08-12,15.25,15.25,15.25,15.25,6.097966,1000
