,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,BMO,08/18/20,59.05,59.28,58.49,58.67,391292,-0.32,-0.54%
1,BMO,08/17/20,58.9,59.25,58.75,58.99,402833,0.07,0.12%
2,BMO,08/14/20,58.47,59.23,58.34,58.92,379500,0.11,0.19%
3,BMO,08/13/20,59.24,59.6,58.74,58.81,356765,-0.55,-0.93%
4,BMO,08/12/20,59.0,59.43,58.83,59.36,693651,1.1,1.89%
5,BMO,08/11/20,58.13,58.7,57.87,58.26,698654,0.89,1.55%
6,BMO,08/10/20,56.48,57.44,56.19,57.37,522800,1.15,2.05%
7,BMO,08/07/20,55.27,56.27,55.21,56.22,509800,0.33,0.59%
8,BMO,08/06/20,55.93,56.21,55.81,55.89,596815,-0.15,-0.27%
9,BMO,08/05/20,55.34,56.09,55.2,56.04,574057,1.2,2.19%
10,BMO,08/04/20,54.8,55.32,54.64,54.84,429062,0.0,0.00%
11,BMO,08/03/20,55.0,55.12,54.55,54.84,258920,-0.68,-1.22%
12,BMO,07/31/20,55.81,55.92,55.08,55.52,1695600,-0.47,-0.84%
13,BMO,07/30/20,55.5,56.01,54.68,55.99,600781,-0.3,-0.53%
14,BMO,07/29/20,55.24,56.33,55.06,56.29,530030,1.05,1.90%
15,BMO,07/28/20,55.29,55.48,54.84,55.24,480882,-0.29,-0.52%
16,BMO,07/27/20,54.8,55.55,54.07,55.53,607728,0.6,1.09%
17,BMO,07/24/20,55.33,55.33,54.66,54.93,450300,-0.33,-0.60%
18,BMO,07/23/20,55.68,55.86,55.12,55.26,503048,-0.55,-0.99%
19,BMO,07/22/20,55.51,55.82,55.34,55.81,329406,0.09,0.16%
20,BMO,07/21/20,55.52,56.42,55.52,55.72,511588,0.94,1.72%
21,BMO,07/20/20,54.75,55.22,54.53,54.78,398223,-0.16,-0.29%
22,BMO,07/17/20,55.83,55.86,54.9,54.94,467000,-0.62,-1.12%
23,BMO,07/16/20,55.46,56.41,55.21,55.56,453369,-0.41,-0.73%
24,BMO,07/15/20,54.75,56.14,54.75,55.97,764210,1.76,3.25%
25,BMO,07/14/20,53.66,54.21,53.11,54.21,673870,0.46,0.86%
26,BMO,07/13/20,54.2,54.42,53.39,53.75,757786,0.17,0.32%
27,BMO,07/10/20,52.33,53.67,52.22,53.58,509800,1.45,2.78%
28,BMO,07/09/20,53.01,53.08,51.81,52.13,1105184,-1.18,-2.21%
29,BMO,07/08/20,52.79,53.32,52.15,53.31,623287,0.49,0.93%
30,BMO,07/07/20,54.01,54.01,52.82,52.82,594009,-1.64,-3.01%
31,BMO,07/06/20,54.41,54.55,53.51,54.46,727395,1.56,2.95%
32,BMO,07/02/20,53.47,54.28,52.53,52.9,532900,0.33,0.63%
33,BMO,07/01/20,53.35,53.74,52.5,52.57,248454,-0.48,-0.90%
34,BMO,06/30/20,51.77,53.32,51.61,53.05,611092,0.83,1.59%
35,BMO,06/29/20,51.88,52.97,51.71,52.22,516382,0.7,1.36%
36,BMO,06/26/20,53.4,53.56,51.43,51.52,984700,-2.5,-4.63%
37,BMO,06/25/20,53.92,54.52,53.54,54.02,687800,-0.26,-0.48%
38,BMO,06/24/20,55.58,55.58,54.02,54.28,788628,-1.78,-3.18%
39,BMO,06/23/20,56.06,56.67,55.46,56.06,683051,0.52,0.94%
40,BMO,06/22/20,55.75,55.8,55.22,55.54,376324,-0.19,-0.34%
41,BMO,06/19/20,56.82,56.99,55.68,55.73,710900,-0.42,-0.75%
42,BMO,06/18/20,55.53,56.56,55.35,56.15,501304,0.07,0.12%
43,BMO,06/17/20,56.71,56.89,55.69,56.08,587348,-0.53,-0.94%
44,BMO,06/16/20,56.57,57.11,55.07,56.61,908404,1.58,2.87%
45,BMO,06/15/20,53.5,55.99,53.08,55.03,870560,0.18,0.33%
46,BMO,06/12/20,54.99,55.48,53.85,54.85,939200,1.68,3.16%
47,BMO,06/11/20,53.3,54.76,52.75,53.17,1558576,-3.41,-6.03%
48,BMO,06/10/20,57.7,57.7,56.25,56.58,946086,-1.08,-1.87%
49,BMO,06/09/20,56.98,58.36,56.35,57.66,1249313,-0.64,-1.10%
50,BMO,06/08/20,58.46,58.5,56.86,58.3,767613,1.64,2.89%
51,BMO,06/05/20,58.01,58.48,56.27,56.66,945600,1.74,3.17%
52,BMO,06/04/20,54.58,55.39,53.74,54.92,841741,0.11,0.20%
53,BMO,06/03/20,52.88,55.38,52.85,54.81,946347,2.64,5.06%
54,BMO,06/02/20,51.46,52.5,51.46,52.17,787905,1.3,2.56%
55,BMO,06/01/20,49.77,51.73,49.55,50.87,824415,1.56,3.16%
56,BMO,05/29/20,49.62,50.07,48.87,49.31,1051100,-1.02,-2.03%
57,BMO,05/28/20,51.92,52.14,50.12,50.33,949119,-1.33,-2.57%
