,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,BMRG,08/18/20,10.15,10.25,10.05,10.09,75174,-0.09,-0.88%
1,BMRG,08/17/20,10.25,10.25,10.15,10.18,64569,-0.04,-0.39%
2,BMRG,08/14/20,10.38,10.38,10.15,10.22,93700,-0.07,-0.68%
3,BMRG,08/13/20,10.2,10.29,10.17,10.29,72061,0.06,0.59%
4,BMRG,08/12/20,10.25,10.27,10.11,10.23,28887,-0.02,-0.20%
5,BMRG,08/11/20,10.26,10.28,10.1,10.25,33641,0.02,0.20%
6,BMRG,08/10/20,10.29,10.29,10.18,10.23,11400,-0.06,-0.58%
7,BMRG,08/07/20,10.25,10.29,10.18,10.29,24400,0.04,0.39%
8,BMRG,08/06/20,10.23,10.25,10.15,10.25,16199,0.1,0.99%
9,BMRG,08/05/20,10.25,10.25,10.06,10.15,465816,-0.05,-0.49%
10,BMRG,08/04/20,10.12,10.2,10.1,10.2,74480,0.07,0.69%
11,BMRG,08/03/20,10.25,10.25,10.12,10.13,185482,-0.12,-1.17%
12,BMRG,07/31/20,10.25,10.4,10.12,10.25,126300,0.0,0.00%
13,BMRG,07/30/20,10.27,10.35,10.11,10.25,206239,-0.14,-1.35%
14,BMRG,07/29/20,10.4,10.48,10.26,10.39,70755,-0.01,-0.10%
15,BMRG,07/28/20,10.35,10.48,10.27,10.4,447974,-0.05,-0.48%
16,BMRG,07/27/20,10.65,10.82,10.4,10.45,48713,0.1,0.97%
17,BMRG,07/24/20,10.44,10.45,10.3,10.35,213500,-0.01,-0.10%
18,BMRG,07/23/20,10.45,10.6,10.25,10.36,284791,-0.14,-1.33%
19,BMRG,07/22/20,10.5,10.61,10.4,10.5,59847,-0.05,-0.47%
20,BMRG,07/21/20,10.84,10.85,10.5,10.55,70115,-0.07,-0.66%
21,BMRG,07/20/20,10.7,10.75,10.59,10.62,48518,0.02,0.19%
22,BMRG,07/17/20,10.6,10.8,10.51,10.6,89500,-0.05,-0.47%
23,BMRG,07/16/20,10.58,10.75,10.52,10.65,37958,-0.03,-0.28%
24,BMRG,07/15/20,10.52,10.82,10.52,10.68,165988,0.08,0.75%
25,BMRG,07/14/20,10.78,10.89,10.5,10.6,252108,-0.25,-2.30%
26,BMRG,07/13/20,11.05,11.14,10.77,10.85,374770,-0.14,-1.27%
27,BMRG,07/10/20,11.11,11.11,10.88,10.99,236400,-0.01,-0.09%
28,BMRG,07/09/20,10.81,11.02,10.65,11.0,219477,0.3,2.80%
29,BMRG,07/08/20,10.92,10.99,10.6,10.7,160333,-0.12,-1.11%
30,BMRG,07/07/20,11.12,11.18,10.63,10.82,265122,-0.23,-2.08%
31,BMRG,07/06/20,11.2,11.3,10.88,11.05,452092,0.0,0.00%
32,BMRG,07/02/20,11.07,11.22,10.88,11.05,598500,0.19,1.75%
33,BMRG,07/01/20,10.91,11.18,10.8,10.86,176006,0.13,1.21%
34,BMRG,06/30/20,11.4,11.49,10.65,10.73,975185,-0.39,-3.51%
35,BMRG,06/29/20,11.0,11.33,10.68,11.12,712726,0.5,4.71%
36,BMRG,06/26/20,10.97,10.97,10.56,10.62,542500,-0.28,-2.57%
37,BMRG,06/25/20,11.8,11.84,10.67,10.9,1113642,-0.5,-4.39%
38,BMRG,06/24/20,9.86,11.65,9.85,11.4,3873733,1.55,15.74%
39,BMRG,06/23/20,10.03,10.03,9.8,9.85,20065,0.02,0.20%
40,BMRG,06/22/20,9.86,9.93,9.82,9.83,7801,0.02,0.20%
41,BMRG,06/19/20,9.95,9.95,9.81,9.81,600,-0.06,-0.61%
42,BMRG,06/18/20,9.87,9.87,9.87,9.87,145,0.0,0.00%
43,BMRG,06/17/20,9.87,,,9.87,18,0.0,0.00%
44,BMRG,06/16/20,9.87,9.87,9.87,9.87,131,0.12,1.23%
45,BMRG,06/15/20,9.75,9.75,9.75,9.75,100185,-0.01,-0.10%
46,BMRG,06/11/20,,9.76,9.76,9.76,0,0.01,0.10%
47,BMRG,06/10/20,9.75,9.75,9.75,9.75,194596,0.02,0.21%
48,BMRG,06/09/20,9.75,9.8,9.73,9.73,158697,-0.02,-0.21%
49,BMRG,06/08/20,9.75,9.75,9.75,9.75,25104,0.03,0.31%
50,BMRG,06/05/20,9.72,9.72,9.72,9.72,100,0.0,0.00%
51,BMRG,06/04/20,10.0,10.0,9.7,9.72,606752,0.02,0.21%
