0,1,2,3,4,5,6,7,8,9,10,11,12
BMY200925C00050000,2020-09-21,10:52AM,EDT,50.00,7.39,0.00,0.00,0.00,-,5,0,0.00%
BMY200925C00053000,2020-09-03,2:18PM,EDT,53.00,7.10,0.00,0.00,0.00,-,106,0,0.00%
BMY200925C00055000,2020-09-21,1:05PM,EDT,55.00,3.25,0.00,0.00,0.00,-,50,0,0.00%
BMY200925C00056000,2020-09-22,2:11PM,EDT,56.00,2.71,0.00,0.00,0.00,-,8,0,0.00%
BMY200925C00057000,2020-09-22,10:02AM,EDT,57.00,1.53,0.00,0.00,0.00,-,25,0,0.00%
BMY200925C00059000,2020-09-22,3:47PM,EDT,59.00,0.45,0.00,0.00,0.00,-,222,0,1.56%
BMY200925C00061000,2020-09-22,2:42PM,EDT,61.00,0.03,0.00,0.00,0.00,-,85,0,12.50%
BMY200925C00062000,2020-09-22,3:40PM,EDT,62.00,0.02,0.00,0.00,0.00,-,100,0,12.50%
BMY200925C00063000,2020-09-22,3:42PM,EDT,63.00,0.01,0.00,0.00,0.00,-,3,0,25.00%
BMY200925C00064000,2020-09-22,1:00PM,EDT,64.00,0.01,0.00,0.00,0.00,-,16,0,25.00%
BMY200925C00065000,2020-09-22,11:26AM,EDT,65.00,0.02,0.00,0.00,0.00,-,20,0,25.00%
BMY200925C00066000,2020-09-17,10:09AM,EDT,66.00,0.04,0.00,0.00,0.00,-,1,0,25.00%
BMY200925C00067000,2020-09-18,3:13PM,EDT,67.00,0.02,0.00,0.00,0.00,-,24,0,25.00%
BMY200925C00068000,2020-09-10,9:32AM,EDT,68.00,0.01,0.00,0.00,0.00,-,3,0,50.00%
BMY200925C00069000,2020-09-15,11:00AM,EDT,69.00,0.05,0.00,0.00,0.00,-,40,0,50.00%
BMY200925C00070000,2020-09-16,12:28PM,EDT,70.00,0.01,0.00,0.00,0.00,-,10,0,50.00%
BMY200925C00071000,2020-08-25,11:20AM,EDT,71.00,0.08,0.00,0.00,0.00,-,-,0,50.00%
BMY200925C00075000,2020-09-03,9:30AM,EDT,75.00,0.04,0.00,0.00,0.00,-,-,0,50.00%
