,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,BOKF,08/18/20,58.34,59.97,57.88,58.07,278193,-0.79,-1.34%
1,BOKF,08/17/20,59.65,59.91,57.97,58.86,364281,-1.05,-1.75%
2,BOKF,08/14/20,59.91,60.42,58.79,59.91,948000,-0.73,-1.20%
3,BOKF,08/13/20,60.88,61.32,60.23,60.64,182651,-0.29,-0.48%
4,BOKF,08/12/20,63.39,63.39,59.78,60.93,182447,-1.22,-1.96%
5,BOKF,08/11/20,62.16,63.4,61.97,62.15,256855,1.15,1.89%
6,BOKF,08/10/20,59.87,61.69,59.69,61.0,199583,1.65,2.78%
7,BOKF,08/07/20,56.57,59.43,56.28,59.35,167400,2.24,3.92%
8,BOKF,08/06/20,56.54,57.75,56.41,57.11,129278,0.28,0.49%
9,BOKF,08/05/20,55.57,56.85,54.94,56.83,111764,1.96,3.57%
10,BOKF,08/04/20,54.82,55.31,54.47,54.87,145160,-0.15,-0.27%
11,BOKF,08/03/20,55.95,56.0,54.79,55.02,188677,-0.68,-1.22%
12,BOKF,07/31/20,56.65,56.65,54.64,55.7,240600,-0.86,-1.52%
13,BOKF,07/30/20,55.75,56.77,55.0,56.56,190559,-0.81,-1.41%
14,BOKF,07/29/20,54.97,57.37,54.43,57.37,273002,2.31,4.20%
15,BOKF,07/28/20,54.9,55.86,54.52,55.06,135821,-0.24,-0.43%
16,BOKF,07/27/20,55.86,56.05,54.83,55.3,143954,-1.03,-1.83%
17,BOKF,07/24/20,57.38,58.26,56.32,56.33,202200,-0.94,-1.64%
18,BOKF,07/23/20,56.87,58.28,55.91,57.27,459354,1.29,2.30%
19,BOKF,07/22/20,53.53,57.7,53.53,55.98,489134,0.84,1.52%
20,BOKF,07/21/20,51.66,55.23,51.31,55.14,231067,4.47,8.82%
21,BOKF,07/20/20,51.06,51.27,49.96,50.67,346916,-1.21,-2.33%
22,BOKF,07/17/20,53.95,54.38,51.46,51.88,188700,-2.24,-4.14%
23,BOKF,07/16/20,54.15,55.99,53.61,54.12,159932,-0.48,-0.88%
24,BOKF,07/15/20,53.02,54.88,53.02,54.6,178791,2.85,5.51%
25,BOKF,07/14/20,52.52,53.67,51.42,51.75,186853,-1.18,-2.23%
26,BOKF,07/13/20,52.32,54.03,50.98,52.93,189345,1.47,2.86%
27,BOKF,07/10/20,49.64,51.52,49.64,51.46,173000,1.64,3.29%
28,BOKF,07/09/20,51.04,51.52,49.74,49.82,284384,-1.88,-3.64%
29,BOKF,07/08/20,51.84,53.03,50.52,51.7,238578,-0.28,-0.54%
30,BOKF,07/07/20,53.25,53.25,51.82,51.98,249307,-1.79,-3.33%
31,BOKF,07/06/20,55.14,56.1,53.12,53.77,236136,0.17,0.32%
32,BOKF,07/02/20,55.51,56.85,53.45,53.6,309300,0.36,0.68%
33,BOKF,07/01/20,56.63,56.95,52.84,53.24,187942,-3.2,-5.67%
34,BOKF,06/30/20,54.4,56.84,54.4,56.44,201848,1.72,3.14%
35,BOKF,06/29/20,53.17,55.56,52.52,54.72,286413,2.25,4.29%
36,BOKF,06/26/20,55.86,55.86,52.31,52.47,314600,-3.51,-6.27%
37,BOKF,06/25/20,54.77,57.04,54.59,55.98,242131,0.75,1.36%
38,BOKF,06/24/20,58.48,58.59,54.95,55.23,253674,-4.42,-7.41%
39,BOKF,06/23/20,60.74,61.49,59.1,59.65,196812,-0.06,-0.10%
40,BOKF,06/22/20,59.37,61.05,59.09,59.71,259158,-0.38,-0.63%
41,BOKF,06/19/20,62.15,62.15,58.94,60.09,513300,-0.83,-1.36%
42,BOKF,06/18/20,58.7,61.79,58.55,60.92,165746,1.38,2.32%
43,BOKF,06/17/20,61.17,62.49,59.09,59.54,216203,-1.62,-2.65%
44,BOKF,06/16/20,62.07,62.32,59.33,61.16,226383,2.48,4.23%
45,BOKF,06/15/20,53.88,59.11,53.88,58.68,255751,1.76,3.09%
46,BOKF,06/12/20,58.54,58.54,55.51,56.92,227300,2.03,3.70%
47,BOKF,06/11/20,55.63,57.86,54.38,54.89,236869,-5.79,-9.54%
48,BOKF,06/10/20,65.6,65.6,60.52,60.68,287800,-5.42,-8.20%
49,BOKF,06/09/20,65.02,66.64,63.71,66.1,308194,-1.36,-2.02%
50,BOKF,06/08/20,65.63,67.62,64.59,67.46,271878,3.57,5.59%
51,BOKF,06/05/20,62.32,64.29,60.61,63.89,421300,6.4,11.13%
52,BOKF,06/04/20,55.66,57.88,54.72,57.49,214723,1.96,3.53%
53,BOKF,06/03/20,53.35,56.64,52.81,55.53,365319,4.15,8.08%
54,BOKF,06/02/20,53.5,53.73,51.03,51.38,452025,-1.07,-2.04%
55,BOKF,06/01/20,51.19,53.07,50.55,52.45,160075,1.51,2.96%
56,BOKF,05/29/20,51.34,52.47,50.09,50.94,543900,-1.51,-2.88%
57,BOKF,05/28/20,56.11,56.11,52.19,52.45,306062,-2.98,-5.38%
58,BOKF,05/27/20,54.99,56.7,53.25,55.43,529815,3.12,5.96%
59,BOKF,05/26/20,49.8,52.57,49.8,52.31,267673,4.88,10.29%
60,BOKF,05/22/20,48.67,49.93,47.28,47.43,155600,-1.18,-2.43%
61,BOKF,05/21/20,49.22,50.45,48.43,48.61,219939,-0.74,-1.50%
62,BOKF,05/20/20,47.04,49.62,47.04,49.35,272045,3.6,7.87%
63,BOKF,05/19/20,47.44,48.47,45.54,45.75,361632,-1.51,-3.20%
64,BOKF,05/18/20,44.27,47.63,44.27,47.26,247390,5.64,13.55%
65,BOKF,05/15/20,41.71,42.07,40.74,41.62,414900,-0.28,-0.67%
66,BOKF,05/14/20,40.09,42.21,37.79,41.9,702471,1.35,3.33%
67,BOKF,05/13/20,44.01,44.4,40.13,40.55,397001,-3.9,-8.77%
68,BOKF,05/12/20,47.82,47.82,44.44,44.45,333529,-2.36,-5.04%
69,BOKF,05/11/20,48.49,48.49,45.95,46.81,223647,-2.46,-4.99%
70,BOKF,05/08/20,48.17,49.52,48.17,49.27,139600,1.85,3.90%
71,BOKF,05/07/20,47.28,49.82,47.14,47.42,198023,1.0,2.15%
72,BOKF,05/06/20,48.72,48.72,46.2,46.42,157871,-2.06,-4.25%
73,BOKF,05/05/20,50.99,51.46,48.35,48.48,139259,-1.06,-2.14%
74,BOKF,05/04/20,48.79,49.55,48.13,49.54,195692,-0.01,-0.02%
75,BOKF,05/01/20,50.85,50.85,48.76,49.55,176600,-2.24,-4.33%
76,BOKF,04/30/20,51.92,52.25,50.24,51.79,233803,-1.61,-3.01%
77,BOKF,04/29/20,52.2,54.41,52.05,53.4,289641,2.82,5.58%
78,BOKF,04/28/20,50.42,52.81,50.13,50.58,347052,1.94,3.99%
79,BOKF,04/27/20,46.04,49.08,46.04,48.64,302851,2.42,5.24%
80,BOKF,04/24/20,45.87,46.81,44.59,46.22,331000,0.77,1.69%
81,BOKF,04/23/20,44.94,47.09,43.32,45.45,297111,1.13,2.55%
82,BOKF,04/22/20,42.53,45.71,42.53,44.32,630333,1.35,3.14%
83,BOKF,04/21/20,43.06,44.54,41.33,42.97,509143,-2.17,-4.81%
