,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,BSMX,08/18/20,3.51,3.63,3.47,3.54,348758,0.03,0.85%
1,BSMX,08/17/20,3.57,3.57,3.49,3.51,190166,-0.06,-1.68%
2,BSMX,08/14/20,3.57,3.62,3.54,3.57,274800,0.01,0.28%
3,BSMX,08/13/20,3.55,3.605,3.49,3.56,472746,0.01,0.28%
4,BSMX,08/12/20,3.66,3.66,3.48,3.55,585929,-0.04,-1.11%
5,BSMX,08/11/20,3.49,3.64,3.44,3.59,533550,0.19,5.59%
6,BSMX,08/10/20,3.37,3.41,3.28,3.4,546900,0.07,2.10%
7,BSMX,08/07/20,3.38,3.38,3.275,3.33,291800,-0.07,-2.06%
8,BSMX,08/06/20,3.5,3.52,3.36,3.4,346722,-0.1,-2.86%
9,BSMX,08/05/20,3.5,3.575,3.41,3.5,740887,0.05,1.45%
10,BSMX,08/04/20,3.28,3.55,3.28,3.45,1403473,0.15,4.55%
11,BSMX,08/03/20,3.15,3.34,3.11,3.3,1040266,0.14,4.43%
12,BSMX,07/31/20,3.28,3.28,3.13,3.16,549000,-0.17,-5.11%
13,BSMX,07/30/20,3.12,3.39,3.06,3.33,569478,0.03,0.91%
14,BSMX,07/29/20,3.19,3.33,3.17,3.3,265234,0.12,3.77%
15,BSMX,07/28/20,3.21,3.24,3.18,3.18,205278,-0.02,-0.63%
16,BSMX,07/27/20,3.14,3.25,3.14,3.2,537653,-0.05,-1.54%
17,BSMX,07/24/20,3.24,3.27,3.16,3.25,343200,0.02,0.62%
18,BSMX,07/23/20,3.32,3.35,3.19,3.23,546256,-0.09,-2.71%
19,BSMX,07/22/20,3.34,3.38,3.29,3.32,314713,-0.02,-0.60%
20,BSMX,07/21/20,3.24,3.43,3.24,3.34,535790,0.04,1.21%
21,BSMX,07/20/20,3.28,3.32,3.245,3.3,213186,-0.01,-0.30%
22,BSMX,07/17/20,3.45,3.47,3.29,3.31,341400,-0.09,-2.65%
23,BSMX,07/16/20,3.47,3.49,3.36,3.4,346060,-0.1,-2.86%
24,BSMX,07/15/20,3.5,3.57,3.46,3.5,638010,0.04,1.16%
25,BSMX,07/14/20,3.52,3.55,3.4,3.46,299882,-0.11,-3.08%
26,BSMX,07/13/20,3.6,3.6,3.46,3.57,529215,0.05,1.42%
27,BSMX,07/10/20,3.54,3.63,3.47,3.52,339500,-0.06,-1.68%
28,BSMX,07/09/20,3.61,3.68,3.49,3.58,378602,-0.04,-1.10%
29,BSMX,07/08/20,3.67,3.735,3.57,3.62,349847,-0.04,-1.09%
30,BSMX,07/07/20,3.65,3.77,3.61,3.66,464650,-0.03,-0.81%
31,BSMX,07/06/20,3.5,3.705,3.5,3.69,448215,0.07,1.93%
