,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,BSQR,08/18/20,1.37,1.4,1.329,1.37,18578,0.0,0.00%
1,BSQR,08/17/20,1.4,1.47,1.36,1.37,29474,-0.04,-3.18%
2,BSQR,08/14/20,1.44,1.51,1.4,1.415,41700,-0.08,-5.67%
3,BSQR,08/13/20,1.51,1.52,1.46,1.5,35653,0.0,0.00%
4,BSQR,08/12/20,1.48,1.52,1.44,1.5,8629,0.05,3.45%
5,BSQR,08/11/20,1.48,1.52,1.45,1.45,18435,-0.05,-3.33%
6,BSQR,08/10/20,1.52,1.52,1.46,1.5,26861,-0.01,-0.66%
7,BSQR,08/07/20,1.45,1.51,1.42,1.51,30700,0.08,5.59%
8,BSQR,08/06/20,1.51,1.52,1.43,1.43,37468,-0.07,-4.67%
9,BSQR,08/05/20,1.48,1.5,1.48,1.5,24635,0.0,0.00%
10,BSQR,08/04/20,1.5,1.52,1.46,1.5,21244,0.02,1.35%
11,BSQR,08/03/20,1.52,1.52,1.46,1.48,20050,0.0,0.00%
12,BSQR,07/31/20,1.51,1.52,1.48,1.48,24100,-0.01,-0.67%
13,BSQR,07/30/20,1.47,1.52,1.44,1.49,30409,0.02,1.71%
14,BSQR,07/29/20,1.4,1.48,1.4,1.465,19014,0.07,5.40%
15,BSQR,07/28/20,1.37,1.4,1.37,1.39,13424,0.02,1.46%
16,BSQR,07/27/20,1.43,1.45,1.35,1.37,14075,-0.04,-2.84%
17,BSQR,07/24/20,1.44,1.44,1.36,1.41,9800,0.03,2.17%
18,BSQR,07/23/20,1.45,1.48,1.361,1.38,25408,-0.06,-4.17%
19,BSQR,07/22/20,1.44,1.51,1.44,1.44,14071,-0.03,-2.04%
20,BSQR,07/21/20,1.464,1.53,1.431,1.47,9873,0.01,0.68%
21,BSQR,07/20/20,1.52,1.53,1.45,1.46,62527,-0.02,-1.35%
22,BSQR,07/17/20,1.52,1.61,1.43,1.48,94000,0.02,1.37%
23,BSQR,07/16/20,1.52,1.52,1.46,1.46,41240,-0.04,-2.99%
24,BSQR,07/15/20,1.463,1.51,1.4,1.505,20781,0.1,7.50%
