,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,BSRR,08/18/20,19.05,19.13,18.03,18.04,31074,-1.15,-5.99%
1,BSRR,08/17/20,19.54,19.54,18.84,19.19,20080,-0.24,-1.24%
2,BSRR,08/14/20,19.05,19.79,19.05,19.43,16300,0.12,0.62%
3,BSRR,08/13/20,20.12,20.13,19.17,19.31,30390,-0.79,-3.93%
4,BSRR,08/12/20,19.98,20.11,19.5,20.1,91495,0.57,2.92%
5,BSRR,08/11/20,19.69,19.87,19.4,19.53,84131,0.26,1.35%
6,BSRR,08/10/20,18.88,19.51,18.64,19.27,29691,0.43,2.28%
7,BSRR,08/07/20,17.79,18.89,17.38,18.84,25200,0.94,5.25%
8,BSRR,08/06/20,17.98,18.14,17.58,17.9,33271,-0.18,-1.00%
9,BSRR,08/05/20,17.92,18.18,17.72,18.08,27528,0.37,2.09%
10,BSRR,08/04/20,17.57,17.8,17.31,17.71,24851,-0.01,-0.06%
11,BSRR,08/03/20,17.76,18.0,17.41,17.72,27912,0.14,0.80%
12,BSRR,07/31/20,17.56,17.8,17.23,17.58,54100,-0.2,-1.12%
13,BSRR,07/30/20,18.26,18.26,17.73,17.78,33049,-0.9,-4.82%
14,BSRR,07/29/20,18.41,18.7,17.97,18.68,23801,0.49,2.69%
15,BSRR,07/28/20,18.58,18.93,18.19,18.19,28634,-0.6,-3.19%
16,BSRR,07/27/20,18.92,18.93,18.48,18.79,81399,-0.25,-1.31%
17,BSRR,07/24/20,19.32,19.44,18.97,19.04,35900,-0.23,-1.19%
18,BSRR,07/23/20,18.53,19.56,18.53,19.27,38899,0.64,3.44%
19,BSRR,07/22/20,18.94,19.25,18.26,18.63,64096,-0.44,-2.31%
20,BSRR,07/21/20,17.66,19.1,17.66,19.07,43945,1.61,9.22%
21,BSRR,07/20/20,17.79,17.79,17.12,17.46,121725,-0.13,-0.74%
22,BSRR,07/17/20,17.68,17.98,17.45,17.59,31100,-0.23,-1.29%
23,BSRR,07/16/20,17.86,18.17,17.46,17.82,38860,-0.14,-0.78%
24,BSRR,07/15/20,17.77,18.24,17.44,17.96,51173,0.71,4.12%
25,BSRR,07/14/20,17.32,17.55,16.82,17.25,25452,-0.11,-0.63%
26,BSRR,07/13/20,17.67,17.77,16.99,17.36,28163,0.01,0.06%
27,BSRR,07/10/20,16.31,17.45,16.31,17.35,26100,1.05,6.44%
28,BSRR,07/09/20,17.16,17.16,16.09,16.3,50664,-0.83,-4.85%
29,BSRR,07/08/20,17.3,17.48,16.75,17.13,28603,-0.25,-1.44%
30,BSRR,07/07/20,17.76,17.88,17.29,17.38,33182,-0.63,-3.50%
31,BSRR,07/06/20,17.88,18.22,17.7,18.01,34885,0.35,1.98%
