,Date,Open,High,Low,Close,Adj Close,Volume
0,2018-07-26,12.5,13.9,11.89,12.52,11.484712,853400
1,2018-07-27,12.55,13.3,11.8,12.08,11.081096,104000
2,2018-07-30,12.06,12.06,10.5,10.79,9.897766,216400
3,2018-07-31,10.79,11.0,10.74,10.75,9.861073,33200
4,2018-08-01,10.83,11.0,10.83,11.0,10.090401,59200
5,2018-08-02,10.96,10.96,10.25,10.75,9.861073,38600
6,2018-08-03,10.8,11.1,10.8,10.94,10.035362,38100
7,2018-08-06,10.81,11.18,10.81,11.0,10.090401,11500
8,2018-08-07,11.1,11.1,10.95,10.95,10.044535,8400
9,2018-08-08,10.95,10.99,10.89,10.97,10.062882,21500
10,2018-08-09,10.92,11.07,10.57,11.01,10.099574,48300
11,2018-08-10,10.9,11.04,10.87,11.0,10.090401,39600
12,2018-08-13,10.95,11.09,10.31,10.5,9.631746000000001,86800
13,2018-08-14,10.6,10.65,10.18,10.18,9.338208,9100
14,2018-08-15,10.0,10.0,8.74,8.74,8.017282000000002,23400
15,2018-08-16,8.65,8.79,8.24,8.7,7.980589,7000
16,2018-08-17,8.65,8.69,8.5,8.6,7.888859,12500
17,2018-08-20,8.6,8.74,8.6,8.6,7.888859,4600
18,2018-08-21,8.68,8.76,8.57,8.65,7.934724,5900
19,2018-08-22,8.62,8.62,8.2,8.21,7.531108000000001,8700
20,2018-08-23,8.32,9.57,8.28,9.55,8.760303,37800
21,2018-08-24,9.55,10.5,9.55,10.3,9.448285,58600
22,2018-08-27,10.5,10.58,9.83,10.24,9.393247,22100
23,2018-08-28,10.16,10.39,9.95,9.96,9.1364,13200
24,2018-08-29,9.81,9.96,9.81,9.88,9.063015,10600
25,2018-08-30,9.88,10.08,9.86,9.9,9.081361,23500
26,2018-08-31,9.7,10.5,8.34,10.4,9.540014999999999,40200
27,2018-09-04,10.32,10.32,9.65,9.71,8.907073,6100
28,2018-09-05,9.65,9.67,9.03,9.15,8.393379,9100
29,2018-09-06,9.15,9.23,9.02,9.04,8.292475,2900
30,2018-09-07,8.96,8.96,8.8,8.81,8.081494000000001,2200
31,2018-09-10,9.1,9.1,9.02,9.02,8.27413,1200
32,2018-09-11,8.96,9.06,8.93,8.93,8.191571000000001,700
33,2018-09-12,8.88,8.91,8.81,8.9,8.164052,1100
34,2018-09-13,9.03,9.18,9.0,9.12,8.365860000000001,4400
35,2018-09-14,9.04,9.28,9.0,9.0,8.255783000000001,4400
36,2018-09-17,9.0,9.0,9.0,9.0,8.255783000000001,0
