,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,CDLX,08/18/20,79.5,81.24,79.23,79.96,284633,0.24,0.30%
1,CDLX,08/17/20,81.49,83.02,78.72,79.72,364132,-2.18,-2.66%
2,CDLX,08/14/20,80.48,81.93,79.16,81.9,325400,1.74,2.17%
3,CDLX,08/13/20,74.83,80.55,74.79,80.16,543411,5.07,6.75%
4,CDLX,08/12/20,74.2,78.61,73.18,75.09,583555,3.0,4.16%
5,CDLX,08/11/20,72.06,76.44,70.05,72.09,469715,0.13,0.18%
6,CDLX,08/10/20,67.97,72.6,67.58,71.96,636222,5.68,8.57%
7,CDLX,08/07/20,68.99,68.99,65.06,66.28,565400,-1.68,-2.47%
8,CDLX,08/06/20,65.92,68.62,62.72,67.96,711079,1.88,2.85%
9,CDLX,08/05/20,60.05,67.83,55.89,66.08,3207386,-6.59,-9.07%
10,CDLX,08/04/20,71.19,73.48,69.13,72.67,542321,-0.06,-0.08%
11,CDLX,08/03/20,66.88,72.76,66.1,72.73,672135,6.31,9.50%
12,CDLX,07/31/20,66.9,67.99,65.51,66.42,425300,0.22,0.33%
13,CDLX,07/30/20,65.4,67.57,63.71,66.2,336434,0.38,0.58%
14,CDLX,07/29/20,66.71,67.03,65.08,65.82,313204,-0.97,-1.45%
15,CDLX,07/28/20,69.26,69.4,66.61,66.79,217036,-2.78,-4.00%
16,CDLX,07/27/20,68.39,69.74,67.27,69.57,185994,1.87,2.76%
17,CDLX,07/24/20,68.61,70.39,67.0,67.7,458400,-1.83,-2.63%
18,CDLX,07/23/20,73.46,74.47,68.0,69.53,474749,-3.74,-5.10%
19,CDLX,07/22/20,73.43,74.74,72.79,73.27,262278,-0.45,-0.61%
20,CDLX,07/21/20,79.26,80.0,72.81,73.72,480582,-4.78,-6.09%
21,CDLX,07/20/20,77.16,79.97,74.51,78.5,301081,1.01,1.30%
22,CDLX,07/17/20,78.42,78.98,74.76,77.49,220200,-0.76,-0.97%
23,CDLX,07/16/20,75.26,79.0,73.67,78.25,269199,1.32,1.72%
24,CDLX,07/15/20,71.94,77.54,71.15,76.93,429607,6.02,8.49%
25,CDLX,07/14/20,71.78,73.74,68.33,70.91,587329,-1.22,-1.69%
26,CDLX,07/13/20,80.13,83.76,71.72,72.13,959044,-7.04,-8.89%
27,CDLX,07/10/20,78.41,79.77,75.94,79.17,474400,0.51,0.65%
28,CDLX,07/09/20,72.88,78.94,71.64,78.66,863229,8.33,11.84%
29,CDLX,07/08/20,69.08,70.86,68.35,70.33,323814,1.36,1.97%
30,CDLX,07/07/20,71.32,71.32,67.28,68.97,489689,-2.39,-3.35%
31,CDLX,07/06/20,69.61,74.34,68.64,71.36,732268,3.86,5.72%
32,CDLX,07/02/20,67.99,70.33,67.14,67.5,433100,0.66,0.99%
33,CDLX,07/01/20,70.19,70.95,66.69,66.84,604706,-3.14,-4.49%
34,CDLX,06/30/20,69.51,70.5,67.54,69.98,414903,0.37,0.53%
35,CDLX,06/29/20,69.27,70.26,66.71,69.61,505752,0.77,1.12%
36,CDLX,06/26/20,71.51,73.23,67.64,68.84,2057500,-3.54,-4.89%
37,CDLX,06/25/20,71.39,73.4,67.76,72.38,742834,0.38,0.53%
38,CDLX,06/24/20,75.04,76.85,71.54,72.0,695845,-4.22,-5.54%
39,CDLX,06/23/20,78.79,79.87,75.74,76.22,568218,-0.7,-0.91%
40,CDLX,06/22/20,73.9,78.14,73.56,76.92,438949,2.43,3.26%
41,CDLX,06/19/20,79.15,80.35,74.34,74.49,717700,-3.62,-4.63%
42,CDLX,06/18/20,74.8,78.23,74.54,78.11,421286,3.28,4.38%
43,CDLX,06/17/20,75.26,76.25,71.26,74.83,613303,-0.1,-0.13%
44,CDLX,06/16/20,72.57,75.15,70.38,74.93,550602,5.05,7.23%
45,CDLX,06/15/20,65.06,71.27,64.2,69.88,743855,3.03,4.54%
46,CDLX,06/12/20,73.88,73.99,64.47,66.85,998900,-2.65,-3.82%
47,CDLX,06/11/20,69.0,74.52,68.5,69.5,936543,-6.95,-9.09%
48,CDLX,06/10/20,81.73,81.84,75.6,76.45,823640,-4.83,-5.94%
49,CDLX,06/09/20,78.22,83.39,78.22,81.28,468084,2.14,2.70%
50,CDLX,06/08/20,80.54,82.65,76.49,79.14,578442,-0.72,-0.90%
51,CDLX,06/05/20,79.9,85.41,78.51,79.86,908000,1.74,2.23%
52,CDLX,06/04/20,76.98,82.94,75.64,78.12,983650,0.49,0.63%
53,CDLX,06/03/20,75.24,79.94,74.53,77.63,724174,3.5,4.72%
54,CDLX,06/02/20,73.78,75.6,71.02,74.13,528304,1.07,1.46%
55,CDLX,06/01/20,68.27,74.57,68.16,73.06,861166,4.97,7.30%
56,CDLX,05/29/20,62.44,68.4,61.27,68.09,838700,5.51,8.80%
57,CDLX,05/28/20,66.22,66.63,62.17,62.58,604650,-3.38,-5.12%
58,CDLX,05/27/20,67.56,67.95,62.06,65.96,713012,-0.93,-1.39%
59,CDLX,05/26/20,72.88,73.07,64.31,66.89,972148,-3.85,-5.44%
60,CDLX,05/22/20,68.46,70.97,67.1,70.74,496400,2.0,2.91%
61,CDLX,05/21/20,67.56,69.59,66.25,68.74,579374,1.01,1.49%
62,CDLX,05/20/20,67.1,72.83,65.56,67.73,1526625,4.66,7.39%
63,CDLX,05/19/20,57.26,69.54,57.26,63.07,1860178,5.36,9.29%
