,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,CEZ,08/18/20,24.07,24.13,23.99,24.05,1148,0.04,0.19%
1,CEZ,08/17/20,23.93,24.16,23.93,24.01,47853,0.23,0.97%
2,CEZ,08/14/20,23.88,23.88,23.78,23.78,200,0.04,0.17%
3,CEZ,08/13/20,23.82,23.82,23.74,23.74,424,0.01,0.03%
4,CEZ,08/12/20,23.76,23.77,23.73,23.73,601,0.0,0.00%
5,CEZ,08/11/20,23.84,23.84,23.73,23.73,1261,-0.11,-0.47%
6,CEZ,08/10/20,23.89,23.89,23.84,23.84,100,0.06,0.25%
7,CEZ,08/07/20,23.76,23.81,23.71,23.78,2600,-0.23,-0.94%
8,CEZ,08/06/20,24.02,24.02,24.0,24.01,7902,0.04,0.17%
9,CEZ,08/05/20,23.89,23.97,23.89,23.97,200,0.24,1.03%
10,CEZ,08/04/20,23.69,23.72,23.69,23.72,274,0.16,0.67%
11,CEZ,08/03/20,23.47,23.58,23.47,23.57,4071,0.14,0.59%
12,CEZ,07/31/20,,23.43,23.43,23.43,4,0.0,0.00%
13,CEZ,07/30/20,,23.43,23.43,23.43,0,0.0,0.00%
14,CEZ,07/29/20,,23.43,23.43,23.43,44,0.0,0.00%
15,CEZ,07/28/20,23.51,23.51,23.43,23.43,700,-0.09,-0.36%
16,CEZ,07/27/20,,23.51,23.51,23.51,0,0.0,0.00%
17,CEZ,07/24/20,23.48,23.51,23.48,23.51,200,0.03,0.11%
18,CEZ,07/23/20,23.49,23.49,23.49,23.49,191,0.27,1.16%
19,CEZ,07/22/20,,23.22,23.22,23.22,3,0.0,0.00%
20,CEZ,07/21/20,,23.22,23.22,23.22,2,0.0,0.00%
21,CEZ,07/20/20,,23.22,23.22,23.22,199,0.0,0.00%
22,CEZ,07/17/20,,23.22,23.22,23.22,0,0.0,0.00%
23,CEZ,07/16/20,23.2,23.26,23.16,23.22,3949,-0.09,-0.39%
24,CEZ,07/15/20,23.35,23.36,23.31,23.31,4658,-0.02,-0.07%
25,CEZ,07/14/20,23.22,23.36,23.22,23.33,1363,0.08,0.35%
26,CEZ,07/13/20,23.43,23.59,23.24,23.24,2740,-0.06,-0.25%
27,CEZ,07/10/20,23.26,23.3,23.26,23.3,6600,-0.06,-0.24%
28,CEZ,07/09/20,23.29,23.4,23.29,23.36,425,-0.21,-0.89%
29,CEZ,07/08/20,23.38,23.67,23.38,23.57,4570,0.1,0.42%
30,CEZ,07/07/20,23.47,23.47,23.47,23.47,125,-0.34,-1.45%
31,CEZ,07/06/20,23.71,23.85,23.71,23.81,311,1.26,5.57%
32,CEZ,07/02/20,,22.56,22.56,22.56,1,0.0,0.00%
33,CEZ,07/01/20,22.55,22.56,22.55,22.56,218,0.32,1.45%
34,CEZ,06/30/20,22.17,22.24,22.12,22.24,1829,-0.09,-0.38%
35,CEZ,06/29/20,22.16,22.38,22.16,22.32,8320,0.17,0.75%
36,CEZ,06/26/20,22.11,22.3,22.11,22.16,43700,-0.2,-0.92%
37,CEZ,06/25/20,22.29,22.39,22.22,22.36,1774,0.11,0.51%
38,CEZ,06/24/20,22.22,22.25,22.22,22.25,242,-0.26,-1.17%
39,CEZ,06/23/20,,22.51,22.51,22.51,1,0.0,0.00%
40,CEZ,06/22/20,22.42,22.54,22.42,22.51,441,0.27,1.22%
41,CEZ,06/19/20,22.31,22.31,22.24,22.24,500,0.02,0.09%
42,CEZ,06/18/20,22.22,22.26,22.22,22.22,1205,-0.09,-0.39%
43,CEZ,06/17/20,22.31,22.31,22.29,22.31,188,0.17,0.78%
44,CEZ,06/16/20,22.2,22.23,22.1,22.13,11556,-0.0,-0.01%
45,CEZ,06/15/20,21.87,22.18,21.87,22.14,211,-0.18,-0.81%
46,CEZ,06/12/20,22.18,22.35,22.18,22.32,500,0.5,2.29%
47,CEZ,06/11/20,21.99,21.99,21.82,21.82,449,-1.19,-5.18%
48,CEZ,06/10/20,23.06,23.06,23.01,23.01,635,-0.02,-0.10%
49,CEZ,06/09/20,23.0,23.08,23.0,23.03,519,-0.22,-0.96%
50,CEZ,06/08/20,22.94,23.3,22.94,23.26,3667,0.24,1.03%
51,CEZ,06/05/20,23.08,23.11,23.01,23.02,6100,0.51,2.24%
52,CEZ,06/04/20,22.53,22.53,22.5,22.51,595,-0.33,-1.43%
53,CEZ,06/03/20,22.86,22.86,22.83,22.84,317,0.93,4.24%
54,CEZ,06/02/20,,21.91,21.91,21.91,2,0.0,0.00%
55,CEZ,06/01/20,21.8,21.91,21.8,21.91,4982,0.45,2.11%
56,CEZ,05/29/20,21.28,21.49,21.28,21.46,1300,0.26,1.21%
57,CEZ,05/28/20,21.37,21.37,21.2,21.2,114,0.13,0.60%
58,CEZ,05/27/20,,21.08,21.08,21.08,40,0.0,0.00%
59,CEZ,05/26/20,21.21,21.23,21.06,21.08,1158,0.39,1.87%
60,CEZ,05/22/20,20.73,20.73,20.63,20.69,1000,-0.25,-1.19%
