,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,CFFAU,08/10/20,,11.5,11.5,11.5,0,0.0,0.00%
1,CFFAU,08/07/20,,11.5,11.5,11.5,3,0.0,0.00%
2,CFFAU,08/06/20,,11.5,11.5,11.5,95,0.0,0.00%
3,CFFAU,08/04/20,,11.5,11.5,11.5,0,0.0,0.00%
4,CFFAU,08/03/20,,12.5,12.5,11.5,253,-1.0,-8.00%
5,CFFAU,07/31/20,11.69,12.5,10.69,12.5,5500,-0.5,-3.85%
6,CFFAU,07/29/20,,13.0,13.0,13.0,0,0.0,0.00%
7,CFFAU,07/28/20,,13.0,13.0,13.0,2,0.0,0.00%
8,CFFAU,07/23/20,,13.0,13.0,13.0,0,0.5,4.00%
9,CFFAU,07/22/20,12.5,12.5,12.5,12.5,300,0.06,0.46%
10,CFFAU,07/21/20,12.03,12.66,12.02,12.44,2140,-0.11,-0.85%
11,CFFAU,07/20/20,12.55,12.55,12.55,12.55,22500,0.36,2.96%
12,CFFAU,07/16/20,,12.19,12.19,12.19,0,-0.48,-3.80%
13,CFFAU,07/14/20,,12.67,12.67,12.67,0,0.0,0.00%
14,CFFAU,07/13/20,12.66,12.67,12.66,12.67,1700,-0.33,-2.54%
15,CFFAU,07/10/20,12.75,13.18,12.75,13.0,52700,0.08,0.62%
16,CFFAU,07/09/20,11.8,12.92,11.79,12.92,25600,1.17,9.96%
17,CFFAU,07/07/20,,11.75,11.75,11.75,0,0.15,1.29%
18,CFFAU,07/06/20,11.6,11.6,11.6,11.6,25000,0.1,0.87%
19,CFFAU,07/02/20,10.85,11.7,10.85,11.5,26100,-0.5,-4.17%
20,CFFAU,07/01/20,12.3,12.3,12.0,12.0,259,0.3,2.56%
21,CFFAU,06/30/20,11.6,11.7,11.5,11.7,82500,0.2,1.74%
22,CFFAU,06/26/20,,11.5,11.5,11.5,0,0.0,0.00%
23,CFFAU,06/25/20,11.5,11.53,11.5,11.5,18133,-0.5,-4.17%
24,CFFAU,06/22/20,,12.0,12.0,12.0,0,0.25,2.17%
25,CFFAU,06/18/20,,11.75,11.75,11.75,0,0.74,6.68%
26,CFFAU,06/17/20,11.01,11.01,11.01,11.01,118,0.0,0.00%
27,CFFAU,06/15/20,,11.01,11.01,11.01,0,0.01,0.09%
28,CFFAU,06/10/20,,11.0,11.0,11.0,0,-0.04,-0.36%
29,CFFAU,06/04/20,,11.04,11.04,11.04,0,0.0,0.00%
30,CFFAU,06/03/20,12.27,12.27,11.04,11.04,297,0.14,1.28%
31,CFFAU,06/02/20,10.9,10.9,10.89,10.9,9600,0.0,0.00%
32,CFFAU,06/01/20,11.15,11.15,10.74,10.9,17600,-0.07,-0.64%
33,CFFAU,05/29/20,10.9,10.97,10.9,10.97,5100,0.07,0.64%
34,CFFAU,05/22/20,,10.9,10.9,10.9,0,0.0,0.00%
35,CFFAU,05/20/20,,10.9,10.9,10.9,0,0.0,0.00%
36,CFFAU,04/15/20,,10.9,10.9,10.9,0,0.11,1.00%
37,CFFAU,04/08/20,,10.79,10.79,10.79,0,-0.11,-0.99%
38,CFFAU,04/03/20,,10.9,10.9,10.9,0,-0.04,-0.37%
39,CFFAU,03/25/20,,10.94,10.94,10.94,0,0.1,0.92%
40,CFFAU,03/20/20,,10.84,10.84,10.84,0,-0.03,-0.28%
41,CFFAU,03/13/20,,10.87,10.87,10.87,0,-0.05,-0.46%
42,CFFAU,02/28/20,,10.92,10.92,10.92,0,0.02,0.18%
43,CFFAU,02/27/20,10.9,10.9,10.9,10.9,9000,0.0,0.00%
44,CFFAU,02/26/20,10.9,10.9,10.9,10.9,1000,-0.02,-0.18%
45,CFFAU,02/20/20,,10.92,10.92,10.92,0,0.0,0.00%
46,CFFAU,02/14/20,,10.92,10.92,10.92,0,0.0,0.00%
47,CFFAU,02/07/20,,10.92,10.92,10.92,0,-0.05,-0.46%
48,CFFAU,01/29/20,,10.97,10.97,10.97,0,0.0,0.00%
49,CFFAU,01/24/20,,10.97,10.97,10.97,0,0.0,0.00%
50,CFFAU,01/16/20,,10.97,10.97,10.97,0,0.0,0.00%
51,CFFAU,01/13/20,,10.97,10.97,10.97,0,0.11,1.00%
52,CFFAU,01/08/20,,10.86,10.86,10.86,0,-0.08,-0.76%
53,CFFAU,01/02/20,,10.94,10.94,10.94,0,0.09,0.87%
54,CFFAU,12/20/19,,10.85,10.85,10.85,0,-0.1,-0.91%
55,CFFAU,12/18/19,,10.95,10.95,10.95,0,0.06,0.55%
56,CFFAU,12/11/19,,10.89,10.89,10.89,0,-0.02,-0.23%
57,CFFAU,12/10/19,10.88,10.91,10.88,10.91,1100,0.06,0.60%
58,CFFAU,12/06/19,,10.85,10.85,10.85,0,0.04,0.37%
59,CFFAU,12/05/19,10.8,10.81,10.75,10.81,5087,0.04,0.37%
60,CFFAU,12/04/19,10.77,10.77,10.77,10.77,468,0.0,0.00%
61,CFFAU,12/02/19,,10.77,10.77,10.77,0,-0.01,-0.09%
62,CFFAU,11/29/19,10.78,10.78,10.78,10.78,4000,0.01,0.09%
63,CFFAU,11/27/19,,10.77,10.77,10.77,2,0.0,0.00%
64,CFFAU,11/26/19,10.77,10.77,10.77,10.77,101,0.12,1.13%
65,CFFAU,11/19/19,,10.65,10.65,10.65,0,0.03,0.28%
66,CFFAU,11/11/19,,10.62,10.62,10.62,0,0.02,0.19%
67,CFFAU,11/08/19,10.63,10.63,10.6,10.6,35500,-0.02,-0.19%
