,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,CLS,08/18/20,8.21,8.29,7.93,8.05,347791,-0.17,-2.07%
1,CLS,08/17/20,8.29,8.36,8.2,8.22,292194,-0.02,-0.24%
2,CLS,08/14/20,8.38,8.39,8.17,8.24,304900,-0.15,-1.79%
3,CLS,08/13/20,8.42,8.56,8.38,8.39,191987,-0.01,-0.12%
4,CLS,08/12/20,8.39,8.42,8.255,8.4,245236,0.09,1.08%
5,CLS,08/11/20,8.51,8.54,8.3,8.31,249382,-0.11,-1.31%
6,CLS,08/10/20,8.35,8.44,8.23,8.42,324100,0.08,0.96%
7,CLS,08/07/20,8.25,8.36,8.1,8.34,300700,-0.02,-0.24%
8,CLS,08/06/20,8.26,8.51,8.17,8.36,454336,0.06,0.72%
9,CLS,08/05/20,8.27,8.42,8.205,8.3,462923,0.06,0.73%
10,CLS,08/04/20,8.15,8.305,8.14,8.24,623894,0.08,0.98%
11,CLS,08/03/20,8.35,8.35,7.985,8.16,348507,-0.11,-1.33%
12,CLS,07/31/20,8.35,8.38,8.135,8.27,546200,-0.05,-0.60%
13,CLS,07/30/20,8.27,8.4,7.95,8.32,920435,0.33,4.13%
14,CLS,07/29/20,7.58,8.26,7.5,7.99,961840,0.87,12.22%
15,CLS,07/28/20,7.01,7.41,6.97,7.12,572176,0.12,1.71%
16,CLS,07/27/20,7.02,7.045,6.96,7.0,612402,0.07,1.01%
17,CLS,07/24/20,7.06,7.06,6.93,6.93,258700,-0.19,-2.67%
18,CLS,07/23/20,7.0,7.19,7.0,7.12,299801,0.12,1.71%
19,CLS,07/22/20,7.2,7.21,6.97,7.0,189242,-0.18,-2.51%
20,CLS,07/21/20,7.24,7.28,7.11,7.18,196894,0.03,0.42%
21,CLS,07/20/20,7.07,7.19,7.04,7.15,203653,0.02,0.28%
22,CLS,07/17/20,7.25,7.25,7.1,7.13,160700,-0.1,-1.38%
23,CLS,07/16/20,7.25,7.27,7.15,7.23,215114,-0.05,-0.69%
24,CLS,07/15/20,7.09,7.28,7.07,7.28,326369,0.32,4.60%
25,CLS,07/14/20,6.97,6.98,6.75,6.96,289042,0.03,0.43%
26,CLS,07/13/20,6.89,7.05,6.855,6.93,525197,0.14,2.06%
27,CLS,07/10/20,6.64,6.84,6.61,6.79,180200,0.13,1.95%
28,CLS,07/09/20,6.8,6.877999999999999,6.62,6.66,231114,-0.14,-2.06%
29,CLS,07/08/20,6.65,6.82,6.53,6.8,313662,0.15,2.26%
30,CLS,07/07/20,6.82,6.94,6.63,6.65,324061,-0.25,-3.62%
31,CLS,07/06/20,7.01,7.01,6.81,6.9,270676,0.06,0.88%
32,CLS,07/02/20,6.56,6.89,6.52,6.84,559300,0.44,6.87%
33,CLS,07/01/20,6.84,6.84,6.4,6.4,158677,-0.43,-6.30%
34,CLS,06/30/20,6.7,6.9,6.6,6.83,279474,0.14,2.09%
35,CLS,06/29/20,6.42,6.73,6.35,6.69,255093,0.31,4.86%
36,CLS,06/26/20,6.37,6.445,6.267,6.38,251600,-0.08,-1.24%
37,CLS,06/25/20,6.41,6.48,6.325,6.46,235327,-0.01,-0.15%
38,CLS,06/24/20,6.61,6.63,6.325,6.47,309109,-0.14,-2.12%
39,CLS,06/23/20,6.54,6.645,6.38,6.61,580963,0.16,2.48%
40,CLS,06/22/20,6.34,6.495,6.3,6.45,240616,0.05,0.78%
41,CLS,06/19/20,6.54,6.55,6.33,6.4,326600,-0.02,-0.31%
42,CLS,06/18/20,6.31,6.53,6.279,6.42,254444,0.01,0.16%
43,CLS,06/17/20,6.65,6.74,6.34,6.41,270008,-0.24,-3.61%
44,CLS,06/16/20,6.75,6.85,6.56,6.65,481525,0.14,2.15%
45,CLS,06/15/20,6.36,6.58,6.191,6.51,344565,-0.06,-0.91%
46,CLS,06/12/20,6.28,6.59,6.27,6.57,490800,0.48,7.88%
47,CLS,06/11/20,6.71,6.74,6.08,6.09,425805,-0.84,-12.12%
48,CLS,06/10/20,7.49,7.51,6.93,6.93,591214,-0.57,-7.60%
49,CLS,06/09/20,7.59,7.66,7.42,7.5,695025,-0.19,-2.47%
50,CLS,06/08/20,7.64,7.84,7.63,7.69,761587,0.17,2.26%
51,CLS,06/05/20,7.29,7.78,7.26,7.52,1699100,0.38,5.32%
52,CLS,06/04/20,7.05,7.175,7.05,7.14,485643,0.03,0.42%
53,CLS,06/03/20,7.0,7.17,7.0,7.11,337694,0.21,3.04%
54,CLS,06/02/20,6.84,7.07,6.84,6.9,256493,0.06,0.88%
55,CLS,06/01/20,6.79,6.93,6.65,6.84,337167,0.06,0.88%
56,CLS,05/29/20,6.71,6.85,6.64,6.78,449200,0.04,0.59%
57,CLS,05/28/20,6.82,6.97,6.695,6.74,513323,-0.05,-0.74%
58,CLS,05/27/20,6.5,6.86,6.405,6.79,1189158,0.35,5.43%
59,CLS,05/26/20,6.48,6.55,6.41,6.44,507569,0.13,2.06%
60,CLS,05/22/20,6.31,6.34,6.19,6.31,345600,-0.02,-0.32%
61,CLS,05/21/20,6.06,6.45,6.06,6.33,578016,0.22,3.60%
62,CLS,05/20/20,6.23,6.26,6.09,6.11,479280,0.13,2.17%
63,CLS,05/19/20,5.67,6.07,5.59,5.98,724185,0.3,5.28%
64,CLS,05/18/20,5.6,5.745,5.6,5.68,219705,0.24,4.41%
