,Date,Open,High,Low,Close,Adj Close,Volume
0,2015-08-31,2.51,2.59,2.51,2.58,2.58,15900
1,2015-09-01,2.53,2.61,2.49,2.54,2.54,27900
2,2015-09-02,2.52,2.58,2.5,2.51,2.51,33100
3,2015-09-03,2.53,2.53,2.37,2.42,2.42,60100
4,2015-09-04,2.38,2.44,2.38,2.43,2.43,13300
5,2015-09-08,2.43,2.53,2.38,2.5,2.5,23500
6,2015-09-09,2.53,2.67,2.5,2.53,2.53,61200
7,2015-09-10,2.53,2.53,2.44,2.5,2.5,21000
8,2015-09-11,2.45,2.46,2.43,2.46,2.46,16800
9,2015-09-14,2.45,3.09,2.45,3.0,3.0,217500
10,2015-09-15,3.0,3.0,2.81,2.87,2.87,61700
11,2015-09-16,2.87,3.07,2.81,2.98,2.98,62400
12,2015-09-17,3.06,3.12,3.05,3.1,3.1,10700
13,2015-09-18,3.1,3.13,2.87,2.88,2.88,137300
14,2015-09-21,2.91,3.01,2.91,2.98,2.98,25900
15,2015-09-22,2.98,2.98,2.69,2.82,2.82,77000
16,2015-09-23,2.76,2.77,2.61,2.61,2.61,17100
17,2015-09-24,2.6,2.64,2.5,2.6,2.6,26000
18,2015-09-25,2.63,2.69,2.52,2.6,2.6,22900
19,2015-09-28,2.66,2.67,2.51,2.62,2.62,10600
20,2015-09-29,2.64,2.64,2.46,2.63,2.63,16800
21,2015-09-30,2.63,2.65,2.5,2.63,2.63,17500
22,2015-10-01,2.66,2.75,2.53,2.67,2.67,16300
23,2015-10-02,2.67,2.75,2.57,2.71,2.71,16600
24,2015-10-05,2.62,2.9,2.4,2.8,2.8,62000
25,2015-10-06,2.76,2.9,2.76,2.85,2.85,16500
26,2015-10-07,2.89,2.95,2.74,2.79,2.79,29000
27,2015-10-08,2.95,2.95,2.86,2.88,2.88,6900
28,2015-10-09,2.99,3.0,2.83,2.91,2.91,22700
29,2015-10-12,2.91,3.0,2.85,2.95,2.95,16800
30,2015-10-13,3.0,3.05,2.81,2.99,2.99,81700
31,2015-10-14,3.01,3.08,2.96,3.0,3.0,14100
32,2015-10-15,3.0,3.07,2.97,3.02,3.02,15800
33,2015-10-16,3.07,3.07,3.0,3.0,3.0,18500
34,2015-10-19,3.03,3.07,3.0,3.04,3.04,8100
35,2015-10-20,3.07,3.07,3.0,3.02,3.02,11200
36,2015-10-21,3.04,3.04,2.96,3.0,3.0,6500
37,2015-10-22,3.01,3.07,3.0,3.0,3.0,8100
38,2015-10-23,3.01,3.01,2.98,2.98,2.98,10800
39,2015-10-26,2.97,3.05,2.97,3.01,3.01,20100
40,2015-10-27,2.98,3.02,2.97,3.0,3.0,18800
41,2015-10-28,3.05,3.05,3.0,3.01,3.01,22000
42,2015-10-29,3.02,3.03,2.97,2.97,2.97,6200
43,2015-10-30,3.0,3.02,2.9,2.91,2.91,21500
44,2015-11-02,3.02,3.05,2.9,2.95,2.95,11800
