,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,CMD,08/18/20,54.34,54.72,54.09,54.45,227374,0.48,0.89%
1,CMD,08/17/20,54.63,55.01,53.63,53.97,284232,-0.62,-1.14%
2,CMD,08/14/20,54.43,55.36,53.83,54.59,237800,-0.28,-0.51%
3,CMD,08/13/20,53.89,55.09,53.51,54.87,329411,0.18,0.33%
4,CMD,08/12/20,55.03,55.29,53.34,54.69,467127,0.48,0.89%
5,CMD,08/11/20,53.19,55.41,53.19,54.21,452153,1.87,3.57%
6,CMD,08/10/20,52.5,53.26,52.06,52.34,250800,0.11,0.21%
7,CMD,08/07/20,51.48,53.19,51.48,52.23,267200,0.55,1.06%
8,CMD,08/06/20,50.83,52.19,50.45,51.68,663880,1.39,2.76%
9,CMD,08/05/20,50.17,50.92,49.61,50.29,353724,1.03,2.09%
10,CMD,08/04/20,48.29,49.55,47.97,49.26,203095,1.05,2.18%
11,CMD,08/03/20,47.43,48.91,46.41,48.21,236147,0.96,2.03%
12,CMD,07/31/20,48.6,49.15,46.16,47.25,355800,-1.85,-3.77%
13,CMD,07/30/20,48.97,49.41,47.65,49.1,240566,-0.99,-1.98%
14,CMD,07/29/20,49.03,51.14,49.03,50.09,249333,1.43,2.94%
15,CMD,07/28/20,50.17,50.67,47.97,48.66,365949,-1.85,-3.66%
16,CMD,07/27/20,51.38,51.76,50.16,50.51,492164,-1.19,-2.30%
17,CMD,07/24/20,52.5,52.78,51.36,51.7,205500,-0.73,-1.39%
18,CMD,07/23/20,51.37,53.08,51.25,52.43,385809,0.52,1.00%
19,CMD,07/22/20,50.18,52.61,50.18,51.91,652829,1.24,2.45%
20,CMD,07/21/20,48.15,50.78,48.15,50.67,748415,3.08,6.47%
21,CMD,07/20/20,49.28,49.8,47.42,47.59,585924,-2.21,-4.44%
22,CMD,07/17/20,49.55,50.8,49.18,49.8,382000,0.49,0.99%
23,CMD,07/16/20,49.71,49.96,48.33,49.31,323828,-0.63,-1.26%
24,CMD,07/15/20,46.96,50.3,46.96,49.94,565619,4.32,9.47%
25,CMD,07/14/20,45.36,45.66,44.39,45.62,463064,0.45,1.00%
26,CMD,07/13/20,45.93,47.5,44.75,45.17,351900,0.07,0.16%
27,CMD,07/10/20,43.41,45.24,43.07,45.1,316200,1.8,4.16%
28,CMD,07/09/20,43.47,44.11,42.3,43.3,521935,-0.5,-1.14%
29,CMD,07/08/20,43.72,44.55,42.55,43.8,440949,-0.01,-0.02%
30,CMD,07/07/20,44.23,45.27,43.72,43.81,626004,-1.26,-2.80%
31,CMD,07/06/20,44.67,45.4,44.0,45.07,681801,0.54,1.21%
32,CMD,07/02/20,45.45,45.74,44.08,44.53,351700,0.11,0.25%
33,CMD,07/01/20,44.11,45.2,43.58,44.42,306338,0.19,0.43%
34,CMD,06/30/20,43.5,44.87,42.76,44.23,773205,0.29,0.66%
35,CMD,06/29/20,41.0,44.14,39.72,43.94,511650,3.93,9.82%
36,CMD,06/26/20,42.18,42.65,39.53,40.01,4794700,-2.41,-5.68%
37,CMD,06/25/20,41.98,43.08,41.65,42.42,651073,0.42,1.00%
38,CMD,06/24/20,44.45,44.62,41.96,42.0,678264,-3.41,-7.51%
39,CMD,06/23/20,45.34,46.13,44.8,45.41,512857,0.79,1.77%
40,CMD,06/22/20,43.5,45.75,42.9,44.62,618135,1.01,2.32%
41,CMD,06/19/20,42.24,44.54,42.24,43.61,883400,1.93,4.63%
42,CMD,06/18/20,40.57,42.29,40.15,41.68,387179,0.58,1.41%
43,CMD,06/17/20,42.81,42.95,40.96,41.1,355885,-1.46,-3.43%
44,CMD,06/16/20,45.25,46.02,41.89,42.56,597620,-0.29,-0.68%
45,CMD,06/15/20,39.73,44.36,39.4,42.85,489557,1.34,3.23%
46,CMD,06/12/20,42.23,43.15,39.48,41.51,650100,1.57,3.93%
47,CMD,06/11/20,41.52,42.13,39.64,39.94,678282,-3.77,-8.63%
48,CMD,06/10/20,47.76,48.06,43.45,43.71,712706,-4.27,-8.90%
49,CMD,06/09/20,50.22,50.98,47.73,47.98,762137,-3.26,-6.36%
50,CMD,06/08/20,50.95,53.31,49.76,51.24,1409427,1.05,2.09%
51,CMD,06/05/20,49.8,54.09,49.72,50.19,954500,2.42,5.07%
52,CMD,06/04/20,47.01,49.55,44.21,47.77,1453338,1.62,3.51%
53,CMD,06/03/20,44.14,46.3,44.14,46.15,789914,2.92,6.75%
54,CMD,06/02/20,43.9,45.22,42.87,43.23,571265,-0.11,-0.25%
55,CMD,06/01/20,42.0,43.79,41.22,43.34,404582,1.26,2.99%
56,CMD,05/29/20,42.49,42.79,40.55,42.08,700500,-0.84,-1.96%
57,CMD,05/28/20,41.11,43.57,40.31,42.92,1283036,1.75,4.25%
58,CMD,05/27/20,37.7,41.9,37.53,41.17,1070132,4.2,11.36%
59,CMD,05/26/20,36.38,37.45,35.62,36.97,889572,2.36,6.82%
60,CMD,05/22/20,35.15,35.15,33.44,34.61,601300,-0.24,-0.69%
61,CMD,05/21/20,35.14,36.03,34.82,34.85,713639,-0.38,-1.08%
62,CMD,05/20/20,35.09,36.16,34.92,35.23,1410454,0.69,2.00%
63,CMD,05/19/20,35.27,35.63,33.87,34.54,783474,-0.15,-0.43%
64,CMD,05/18/20,34.58,35.95,34.05,34.69,1406686,1.85,5.63%
65,CMD,05/15/20,33.58,34.06,32.37,32.84,853600,-0.75,-2.23%
66,CMD,05/14/20,30.33,33.68,29.74,33.59,1849878,2.25,7.18%
67,CMD,05/13/20,29.86,32.05,29.34,31.34,2479600,-0.59,-1.85%
68,CMD,05/12/20,33.99,36.55,31.55,31.93,3083303,-4.41,-12.14%
69,CMD,05/11/20,36.05,36.47,34.15,36.34,463250,-0.47,-1.28%
70,CMD,05/08/20,34.67,36.89,34.13,36.81,448000,3.11,9.23%
71,CMD,05/07/20,33.22,34.24,32.42,33.7,528977,1.24,3.82%
72,CMD,05/06/20,33.64,33.79,31.73,32.46,565265,-0.87,-2.61%
73,CMD,05/05/20,33.63,35.29,33.03,33.33,519222,0.48,1.46%
74,CMD,05/04/20,32.42,33.06,31.11,32.85,790873,-0.31,-0.93%
75,CMD,05/01/20,36.0,36.76,32.94,33.16,574600,-3.84,-10.38%
76,CMD,04/30/20,37.12,37.85,35.73,37.0,963713,-0.35,-0.94%
77,CMD,04/29/20,33.48,38.15,33.08,37.35,1460425,4.42,13.42%
78,CMD,04/28/20,33.87,34.81,29.51,32.93,1558950,-0.06,-0.18%
79,CMD,04/27/20,27.63,36.07,27.63,32.99,2186950,5.77,21.20%
80,CMD,04/24/20,28.0,28.4,26.34,27.22,602400,-0.34,-1.23%
81,CMD,04/23/20,28.4,29.42,27.33,27.56,658698,-0.49,-1.75%
82,CMD,04/22/20,27.33,28.5,26.22,28.05,620727,0.99,3.66%
83,CMD,04/21/20,27.86,28.0,26.19,27.06,504522,-1.77,-6.14%
84,CMD,04/20/20,30.0,30.79,28.63,28.83,435541,-1.93,-6.27%
85,CMD,04/17/20,29.21,31.59,28.99,30.76,646100,2.53,8.96%
86,CMD,04/16/20,32.12,32.12,27.96,28.23,770028,-3.6,-11.31%
87,CMD,04/15/20,34.61,34.74,31.12,31.83,558653,-4.42,-12.19%
88,CMD,04/14/20,35.9,37.07,35.17,36.25,717781,1.38,3.96%
89,CMD,04/13/20,38.13,38.65,34.49,34.87,473968,-3.43,-8.96%
90,CMD,04/09/20,35.45,38.72,34.64,38.3,532100,4.35,12.81%
91,CMD,04/08/20,35.09,35.09,33.0,33.95,400287,0.24,0.71%
92,CMD,04/07/20,34.15,35.96,32.83,33.71,579553,1.73,5.41%
93,CMD,04/06/20,31.87,33.15,30.79,31.98,586742,1.74,5.75%
94,CMD,04/03/20,33.81,34.3,29.86,30.24,501700,-3.18,-9.52%
95,CMD,04/02/20,32.88,35.53,32.05,33.42,515913,0.43,1.30%
96,CMD,04/01/20,33.65,35.18,30.67,32.99,679953,-2.91,-8.11%
97,CMD,03/31/20,38.31,39.21,35.23,35.9,546684,-2.18,-5.72%
98,CMD,03/30/20,33.27,38.55,32.26,38.08,803423,5.1,15.46%
99,CMD,03/27/20,34.04,34.46,31.85,32.98,847100,-2.29,-6.49%
100,CMD,03/26/20,34.22,40.67,33.67,35.27,1000615,1.89,5.66%
101,CMD,03/25/20,24.88,34.12,23.88,33.38,1311526,8.74,35.47%
102,CMD,03/24/20,23.08,25.01,22.92,24.64,1517067,2.88,13.24%
103,CMD,03/23/20,24.89,25.29,20.81,21.76,1040057,-2.98,-12.05%
104,CMD,03/20/20,24.92,25.88,23.52,24.74,918000,-0.05,-0.20%
105,CMD,03/19/20,24.84,27.26,22.23,24.79,1756112,-0.44,-1.74%
106,CMD,03/18/20,31.87,32.42,23.19,25.23,777803,-8.24,-24.62%
107,CMD,03/17/20,34.28,35.78,30.05,33.47,854745,-0.21,-0.62%
108,CMD,03/16/20,33.0,39.62,31.6,33.68,1099633,-9.77,-22.49%
109,CMD,03/13/20,46.38,46.66,40.52,43.45,536600,-1.18,-2.64%
