,Date,Open,High,Low,Close,Adj Close,Volume
0,2015-08-20,5.1,5.11,4.74,4.74,4.74,299700
1,2015-08-21,4.56,4.86,4.52,4.57,4.57,515300
2,2015-08-24,4.5,4.75,4.14,4.44,4.44,483400
3,2015-08-25,4.64,4.71,4.44,4.51,4.51,308200
4,2015-08-26,4.6,5.09,4.37,5.0,5.0,783400
5,2015-08-27,5.12,5.12,4.87,5.07,5.07,456000
6,2015-08-28,5.07,5.18,4.95,5.18,5.18,365800
7,2015-08-31,5.14,5.15,4.77,5.0,5.0,402600
8,2015-09-01,4.9,4.95,4.77,4.83,4.83,381400
9,2015-09-02,4.91,5.08,4.84,5.04,5.04,367300
10,2015-09-03,5.02,5.06,4.81,4.91,4.91,333300
11,2015-09-04,4.82,5.02,4.78,4.9,4.9,223800
12,2015-09-08,5.0,5.1,4.89,5.01,5.01,324900
13,2015-09-09,5.1,5.13,4.9,4.95,4.95,358600
14,2015-09-10,4.94,5.07,4.89,5.05,5.05,133200
15,2015-09-11,4.99,5.14,4.91,5.06,5.06,157600
16,2015-09-14,5.05,5.11,4.9,5.09,5.09,198700
17,2015-09-15,5.07,5.1,4.93,5.0,5.0,168500
18,2015-09-16,5.0,5.02,4.75,4.9,4.9,317500
19,2015-09-17,4.93,5.12,4.85,5.07,5.07,436800
20,2015-09-18,5.01,5.27,5.01,5.08,5.08,551800
21,2015-09-21,5.19,5.19,4.8,4.88,4.88,245200
22,2015-09-22,4.74,4.87,4.52,4.61,4.61,314600
23,2015-09-23,4.63,4.74,4.54,4.69,4.69,176200
24,2015-09-24,4.63,4.64,4.28,4.47,4.47,259900
25,2015-09-25,4.55,4.55,3.95,4.05,4.05,359000
26,2015-09-28,4.06,4.11,3.73,3.78,3.78,425600
27,2015-09-29,3.75,3.84,3.36,3.51,3.51,570200
28,2015-09-30,3.61,3.83,3.57,3.76,3.76,590500
29,2015-10-01,3.84,3.84,3.61,3.75,3.75,154000
30,2015-10-02,3.75,3.94,3.65,3.89,3.89,341800
31,2015-10-05,3.94,4.0,3.77,3.93,3.93,235900
32,2015-10-06,3.89,3.9,3.57,3.83,3.83,325700
33,2015-10-07,3.87,4.0,3.73,3.76,3.76,522000
34,2015-10-08,3.76,3.82,3.61,3.79,3.79,245900
35,2015-10-09,3.8,3.9,3.74,3.74,3.74,188300
36,2015-10-12,3.78,3.78,3.65,3.75,3.75,159700
37,2015-10-13,3.73,3.87,3.71,3.78,3.78,336200
38,2015-10-14,3.78,3.89,3.61,3.64,3.64,199600
39,2015-10-15,3.63,3.96,3.62,3.95,3.95,246300
40,2015-10-16,3.97,4.02,3.74,3.91,3.91,218900
41,2015-10-19,3.87,4.0,3.75,3.84,3.84,154300
42,2015-10-20,3.83,3.86,3.58,3.6,3.6,356900
43,2015-10-21,3.63,3.72,3.45,3.66,3.66,328700
44,2015-10-22,3.67,3.74,3.49,3.6,3.6,202300
45,2015-10-23,3.64,3.92,3.51,3.9,3.9,177000
46,2015-10-26,3.9,3.94,3.68,3.69,3.69,157700
47,2015-10-27,3.69,3.79,3.61,3.64,3.64,125400
48,2015-10-28,3.7,3.93,3.61,3.93,3.93,191400
49,2015-10-29,3.91,4.01,3.75,3.79,3.79,129600
50,2015-10-30,3.81,3.84,3.66,3.69,3.69,182400
51,2015-11-02,3.7,4.08,3.61,4.05,4.05,278300
52,2015-11-03,4.01,4.17,3.93,4.15,4.15,382800
53,2015-11-04,4.15,4.21,3.87,4.2,4.2,283900
54,2015-11-05,4.2,4.21,4.08,4.18,4.18,135700
55,2015-11-06,4.49,4.6,4.08,4.54,4.54,242600
56,2015-11-09,4.55,5.0,4.55,4.76,4.76,370600
57,2015-11-10,4.74,4.93,4.65,4.9,4.9,271900
58,2015-11-11,4.91,5.03,4.82,4.93,4.93,353000
59,2015-11-12,4.9,5.03,4.76,4.84,4.84,243500
60,2015-11-13,4.78,5.03,4.76,4.8,4.8,180900
61,2015-11-16,4.78,4.83,4.62,4.79,4.79,276300
62,2015-11-17,4.68,5.0,4.61,4.85,4.85,215200
63,2015-11-18,4.87,5.21,4.83,5.14,5.14,352800
64,2015-11-19,5.15,5.23,4.92,5.03,5.03,231000
65,2015-11-20,5.05,5.16,4.91,4.93,4.93,415500
66,2015-11-23,4.93,5.05,4.9,4.95,4.95,332100
67,2015-11-24,4.95,5.19,4.95,5.08,5.08,238300
68,2015-11-25,5.1,5.27,5.08,5.25,5.25,156100
69,2015-11-27,5.25,5.28,5.18,5.24,5.24,82500
70,2015-11-30,5.3,5.41,5.16,5.28,5.28,555600
71,2015-12-01,5.28,5.4,5.1,5.34,5.34,432700
72,2015-12-02,5.34,5.48,5.27,5.36,5.36,230800
