,Date,Open,High,Low,Close,Adj Close,Volume
0,2015-08-31,11.47,12.81,11.04,12.78,10.280876,1845600
1,2015-09-01,12.25,12.61,11.84,12.18,9.798209,1513800
2,2015-09-02,12.34,12.48,11.54,12.18,9.798209,1369700
3,2015-09-03,12.24,12.81,12.03,12.45,10.015409,1709800
4,2015-09-04,12.19,12.86,12.1,12.52,10.07172,1393800
5,2015-09-08,12.66,13.0,12.4,12.51,10.063678,1519400
6,2015-09-09,12.67,12.78,12.31,12.37,9.951051,1185400
7,2015-09-10,12.34,12.79,12.25,12.6,10.136074,1040100
8,2015-09-11,12.36,12.56,12.3,12.49,10.047587,701500
9,2015-09-14,12.37,12.51,12.24,12.29,9.886697,511300
10,2015-09-15,12.33,12.65,12.15,12.3,9.894739999999999,501300
11,2015-09-16,12.52,13.08,12.44,13.07,10.514169,1147100
12,2015-09-17,13.03,13.4,12.9,13.12,10.55439,950600
13,2015-09-18,12.85,13.14,12.73,12.88,10.361325,929400
14,2015-09-21,13.08,13.46,13.02,13.25,10.658966,637800
15,2015-09-22,12.9,13.04,12.69,12.8,10.296967,540700
16,2015-09-23,12.91,12.96,11.86,11.9,9.572962,736600
17,2015-09-24,11.68,12.0,11.58,11.74,9.444247,1046400
18,2015-09-25,11.94,11.99,11.6,11.67,9.387936,603500
19,2015-09-28,11.32,11.36,10.93,11.13,9.030922,745300
20,2015-09-29,11.2,11.29,11.01,11.19,9.079605,796200
21,2015-09-30,11.22,11.6,11.07,11.43,9.274339,601500
22,2015-10-01,11.8,12.06,11.42,11.69,9.485307,704400
23,2015-10-02,11.56,12.6,11.49,12.56,10.191227,650500
24,2015-10-05,12.86,13.63,12.82,13.47,10.929604,954700
25,2015-10-06,13.62,14.98,13.51,14.51,11.773463000000001,1720900
26,2015-10-07,15.14,15.52,14.69,15.22,12.34956,1532800
27,2015-10-08,15.26,15.76,15.04,15.7,12.739037,901000
28,2015-10-09,15.93,16.08,15.36,15.54,12.609211,802900
29,2015-10-12,15.55,15.67,14.85,15.15,12.292762,331400
30,2015-10-13,14.82,15.59,14.6,14.87,12.065571,722400
31,2015-10-14,14.8,15.34,14.75,15.29,12.406361,704100
32,2015-10-15,15.08,15.31,14.64,15.29,12.406361,701200
33,2015-10-16,15.38,15.64,14.98,15.14,12.284647999999999,855400
34,2015-10-19,14.77,14.86,13.92,13.99,11.351534,684500
35,2015-10-20,14.0,14.75,13.96,14.18,11.5057,860600
36,2015-10-21,14.09,14.09,13.36,13.75,11.156796,995900
37,2015-10-22,13.96,14.34,13.8,14.07,11.416449,830500
38,2015-10-23,13.93,14.09,13.57,13.83,11.221708,703300
39,2015-10-26,13.74,13.82,13.43,13.59,11.026976,680500
40,2015-10-27,13.26,13.26,12.9,13.17,10.686183,979200
41,2015-10-28,13.23,13.99,13.19,13.7,11.201281,938500
42,2015-10-29,13.89,14.32,13.55,13.55,11.160097,927000
43,2015-10-30,13.62,13.74,13.16,13.63,11.225986,916900
44,2015-11-02,13.52,14.08,13.39,13.97,11.506018,689700
45,2015-11-03,14.18,15.15,14.17,14.97,12.329646,1149400
46,2015-11-04,14.95,15.05,14.24,14.45,11.901358,1069200
47,2015-11-05,14.18,14.6,14.03,14.13,11.637799000000001,930200
48,2015-11-06,13.86,13.86,13.34,13.85,11.407183999999999,842800
49,2015-11-09,13.88,14.15,13.57,13.63,11.225986,939200
50,2015-11-10,13.54,13.91,13.43,13.77,11.341296,690600
51,2015-11-11,13.82,13.9,13.23,13.28,10.937716,751800
