,Date,Open,High,Low,Close,Adj Close,Volume
0,2015-08-20,80.0,82.0,75.0,78.0,78.0,200
1,2015-08-21,80.0,80.0,67.0,71.0,71.0,1600
2,2015-08-24,67.0,71.0,65.0,65.0,65.0,500
3,2015-08-25,75.0,75.0,64.0,70.0,70.0,500
4,2015-08-26,70.0,70.0,64.0,68.0,68.0,400
5,2015-08-27,70.0,70.0,67.0,70.0,70.0,600
6,2015-08-28,68.0,70.0,68.0,70.0,70.0,500
7,2015-08-31,68.0,70.0,63.0,67.0,67.0,500
8,2015-09-01,67.0,67.0,63.0,66.0,66.0,100
9,2015-09-02,67.0,67.0,63.0,65.0,65.0,100
10,2015-09-03,67.0,67.0,64.0,65.0,65.0,300
11,2015-09-04,65.0,66.0,63.0,63.0,63.0,400
12,2015-09-08,64.0,67.0,64.0,64.0,64.0,100
13,2015-09-09,65.0,66.0,64.0,66.0,66.0,200
14,2015-09-10,63.0,65.0,63.0,64.0,64.0,100
15,2015-09-11,64.0,64.0,62.0,62.0,62.0,400
16,2015-09-14,62.0,64.0,59.0,64.0,64.0,600
17,2015-09-15,62.0,64.0,60.0,60.0,60.0,100
18,2015-09-16,60.0,61.0,52.0,52.0,52.0,1300
19,2015-09-17,50.0,54.0,49.0,52.0,52.0,800
20,2015-09-18,50.0,52.0,49.0,50.0,50.0,200
21,2015-09-21,50.0,50.0,45.0,48.0,48.0,600
22,2015-09-22,47.0,53.0,46.0,52.0,52.0,2600
23,2015-09-23,54.0,54.0,50.0,50.0,50.0,800
24,2015-09-24,50.0,52.0,50.0,50.0,50.0,200
25,2015-09-25,52.0,52.0,50.0,51.0,51.0,200
26,2015-09-28,50.0,52.0,50.0,50.0,50.0,300
27,2015-09-29,52.0,52.0,47.0,50.0,50.0,1200
28,2015-09-30,48.0,50.0,48.0,50.0,50.0,100
29,2015-10-01,49.0,50.0,49.0,50.0,50.0,400
30,2015-10-02,49.0,49.0,46.0,49.0,49.0,200
31,2015-10-05,50.0,50.0,47.0,50.0,50.0,300
