,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,CRNC,08/18/20,57.32,58.47,55.17,56.06,916540,-0.64,-1.13%
1,CRNC,08/17/20,52.91,57.3,52.48,56.7,869478,3.74,7.06%
2,CRNC,08/14/20,52.55,53.72,51.78,52.96,256700,0.16,0.30%
3,CRNC,08/13/20,53.31,55.19,52.5,52.8,807777,-0.37,-0.70%
4,CRNC,08/12/20,49.22,54.04,49.22,53.17,693669,4.48,9.20%
5,CRNC,08/11/20,49.15,50.65,47.31,48.69,824156,-1.18,-2.37%
6,CRNC,08/10/20,50.67,51.56,48.75,49.87,472148,-0.46,-0.91%
7,CRNC,08/07/20,52.39,53.68,49.3,50.33,712900,-2.37,-4.50%
8,CRNC,08/06/20,54.72,54.72,50.21,52.7,977921,-1.72,-3.16%
9,CRNC,08/05/20,54.0,55.69,52.71,54.42,1923993,3.9,7.72%
10,CRNC,08/04/20,45.07,52.58,44.51,50.52,3255454,9.04,21.79%
11,CRNC,08/03/20,40.0,41.79,39.88,41.48,977433,1.82,4.59%
12,CRNC,07/31/20,40.62,41.5,38.06,39.66,960700,-0.52,-1.29%
13,CRNC,07/30/20,39.02,40.45,37.93,40.18,557427,0.36,0.90%
14,CRNC,07/29/20,40.13,40.49,38.46,39.82,469861,0.2,0.50%
15,CRNC,07/28/20,39.6,40.56,39.0,39.62,399389,0.0,0.00%
16,CRNC,07/27/20,38.04,39.85,37.89,39.62,489032,1.78,4.70%
17,CRNC,07/24/20,39.08,39.22,36.33,37.84,686800,-1.86,-4.69%
18,CRNC,07/23/20,39.84,42.77,39.2,39.7,782564,-0.54,-1.34%
19,CRNC,07/22/20,39.89,40.69,39.35,40.24,368389,-0.1,-0.25%
20,CRNC,07/21/20,40.37,41.3,39.92,40.34,743527,0.38,0.95%
21,CRNC,07/20/20,38.07,40.12,38.0,39.96,702297,2.33,6.19%
22,CRNC,07/17/20,36.31,38.33,36.3,37.63,597300,1.36,3.75%
23,CRNC,07/16/20,37.1,37.28,35.42,36.27,421501,-1.11,-2.97%
24,CRNC,07/15/20,36.6,37.67,35.9,37.38,692148,1.17,3.23%
25,CRNC,07/14/20,34.73,36.47,34.23,36.21,726199,1.48,4.26%
26,CRNC,07/13/20,39.48,39.9,34.68,34.73,1384794,-4.09,-10.54%
27,CRNC,07/10/20,39.89,40.13,37.7,38.82,934000,-1.64,-4.05%
28,CRNC,07/09/20,40.69,41.75,39.91,40.46,918158,-0.2,-0.49%
29,CRNC,07/08/20,41.1,42.08,40.27,40.66,926482,-0.37,-0.90%
30,CRNC,07/07/20,42.39,42.39,39.43,41.03,1088322,-1.53,-3.59%
31,CRNC,07/06/20,42.63,43.87,41.38,42.56,4083109,0.88,2.11%
32,CRNC,07/02/20,41.68,42.79,41.11,41.68,1020100,-0.08,-0.19%
33,CRNC,07/01/20,41.78,42.91,41.07,41.76,999482,0.92,2.25%
34,CRNC,06/30/20,38.64,41.61,38.47,40.84,1429473,2.17,5.61%
35,CRNC,06/29/20,38.61,40.25,37.69,38.67,1355109,0.08,0.21%
36,CRNC,06/26/20,41.75,42.03,38.16,38.59,4878600,-3.6,-8.53%
37,CRNC,06/25/20,42.58,43.34,41.83,42.19,1264196,-0.4,-0.94%
38,CRNC,06/24/20,42.53,43.33,40.34,42.59,1001301,0.75,1.79%
39,CRNC,06/23/20,43.36,43.68,41.64,41.84,1683882,-0.32,-0.76%
40,CRNC,06/22/20,44.36,45.35,41.95,42.16,1359401,-2.24,-5.05%
41,CRNC,06/19/20,44.31,44.98,42.63,44.4,1551200,1.07,2.47%
42,CRNC,06/18/20,41.56,44.11,41.2,43.33,1483595,1.75,4.21%
43,CRNC,06/17/20,41.01,42.19,40.16,41.58,679561,1.01,2.49%
44,CRNC,06/16/20,42.82,42.9,38.58,40.57,950497,-0.21,-0.51%
45,CRNC,06/15/20,36.06,42.27,35.3,40.78,1256552,3.92,10.63%
46,CRNC,06/12/20,40.32,40.97,36.15,36.86,1067500,-1.87,-4.83%
47,CRNC,06/11/20,39.17,39.84,36.83,38.73,1147433,-2.32,-5.65%
48,CRNC,06/10/20,43.77,44.07,39.28,41.05,1218976,-1.41,-3.32%
49,CRNC,06/09/20,40.99,43.95,39.25,42.46,1450323,1.04,2.51%
50,CRNC,06/08/20,38.94,41.69,38.0,41.42,1863198,5.73,16.05%
51,CRNC,06/05/20,40.0,40.06,34.64,35.69,1484900,-3.56,-9.07%
52,CRNC,06/04/20,39.29,40.08,37.91,39.25,2056651,1.24,3.26%
53,CRNC,06/03/20,37.49,39.0,37.11,38.01,1645106,1.99,5.52%
54,CRNC,06/02/20,34.74,36.65,34.52,36.02,1532597,1.01,2.88%
55,CRNC,06/01/20,30.41,35.46,30.35,35.01,1514094,5.1,17.05%
56,CRNC,05/29/20,27.31,30.56,27.15,29.91,3050500,2.19,7.90%
57,CRNC,05/28/20,31.0,31.35,27.64,27.72,2911172,-5.34,-16.15%
58,CRNC,05/27/20,32.71,33.19,32.01,33.06,911316,0.56,1.72%
59,CRNC,05/26/20,33.54,33.99,31.07,32.5,1009060,-0.7,-2.11%
60,CRNC,05/22/20,32.33,34.48,32.06,33.2,990100,1.14,3.56%
61,CRNC,05/21/20,30.55,33.08,30.36,32.06,828970,1.78,5.88%
62,CRNC,05/20/20,27.51,31.74,26.89,30.28,1293604,3.49,13.03%
63,CRNC,05/19/20,26.8,28.58,26.75,26.79,1178476,0.17,0.64%
64,CRNC,05/18/20,26.6,27.75,25.76,26.62,640138,0.92,3.58%
65,CRNC,05/15/20,24.44,26.5,24.44,25.7,640300,0.94,3.80%
66,CRNC,05/14/20,23.13,25.36,22.78,24.76,485601,1.18,5.00%
67,CRNC,05/13/20,24.56,24.63,22.29,23.58,423770,-1.16,-4.69%
68,CRNC,05/12/20,24.49,25.86,23.6,24.74,594223,0.89,3.73%
69,CRNC,05/11/20,22.29,24.33,21.78,23.85,790202,1.7,7.67%
70,CRNC,05/08/20,21.8,22.37,21.1,22.15,761500,0.32,1.47%
71,CRNC,05/07/20,21.4,22.72,20.51,21.83,744114,2.36,12.12%
72,CRNC,05/06/20,20.78,20.92,19.47,19.47,364395,-0.59,-2.94%
73,CRNC,05/05/20,21.31,21.64,19.81,20.06,333098,-0.82,-3.93%
74,CRNC,05/04/20,20.49,21.08,20.01,20.88,305953,0.21,1.02%
75,CRNC,05/01/20,20.58,20.77,19.76,20.67,631700,-0.49,-2.32%
76,CRNC,04/30/20,21.75,22.13,20.57,21.16,385461,-1.54,-6.78%
77,CRNC,04/29/20,20.93,23.16,20.76,22.7,539215,2.22,10.84%
78,CRNC,04/28/20,21.45,21.46,19.76,20.48,312545,-0.63,-2.98%
79,CRNC,04/27/20,19.62,21.24,19.11,21.11,226322,1.82,9.43%
80,CRNC,04/24/20,18.2,19.41,17.81,19.29,223600,1.19,6.57%
81,CRNC,04/23/20,18.39,19.31,18.03,18.1,343916,-0.2,-1.09%
82,CRNC,04/22/20,19.46,19.53,17.93,18.3,262976,-0.75,-3.94%
83,CRNC,04/21/20,19.78,20.14,18.23,19.05,375522,-1.25,-6.16%
84,CRNC,04/20/20,19.75,21.3,19.74,20.3,413782,-0.08,-0.39%
85,CRNC,04/17/20,19.68,20.6,19.39,20.38,813800,1.14,5.93%
86,CRNC,04/16/20,20.21,20.4,19.03,19.24,850055,-1.08,-5.31%
87,CRNC,04/15/20,20.08,20.7,19.54,20.32,642147,-0.79,-3.74%
88,CRNC,04/14/20,19.92,22.08,19.66,21.11,977359,1.48,7.54%
89,CRNC,04/13/20,19.0,19.91,18.46,19.63,664500,0.64,3.37%
90,CRNC,04/09/20,19.37,19.84,18.53,18.99,971300,0.21,1.12%
91,CRNC,04/08/20,18.17,19.07,17.59,18.78,671423,0.74,4.10%
92,CRNC,04/07/20,18.52,19.41,17.36,18.04,623156,-0.29,-1.58%
93,CRNC,04/06/20,16.55,18.79,16.32,18.33,677399,2.34,14.63%
94,CRNC,04/03/20,18.0,18.19,15.39,15.99,3172900,-2.06,-11.41%
95,CRNC,04/02/20,18.71,19.73,16.91,18.05,1312057,-0.53,-2.85%
96,CRNC,04/01/20,14.49,19.21,14.31,18.58,2106548,3.18,20.65%
97,CRNC,03/31/20,18.31,19.1,15.4,15.4,1645664,-2.87,-15.71%
98,CRNC,03/30/20,17.51,18.66,16.82,18.27,559486,0.76,4.34%
99,CRNC,03/27/20,17.92,18.2,16.88,17.51,345100,-1.02,-5.50%
100,CRNC,03/26/20,16.68,18.54,16.04,18.53,357704,2.15,13.13%
101,CRNC,03/25/20,17.05,18.28,15.38,16.38,448120,-0.74,-4.32%
102,CRNC,03/24/20,15.5,17.29,14.76,17.12,314033,2.91,20.48%
103,CRNC,03/23/20,15.36,15.6,13.87,14.21,474321,-1.39,-8.91%
104,CRNC,03/20/20,14.69,16.0,14.05,15.6,605800,1.06,7.29%
105,CRNC,03/19/20,13.42,15.19,12.51,14.54,555108,1.09,8.10%
106,CRNC,03/18/20,15.07,16.24,11.39,13.45,725663,-2.32,-14.71%
107,CRNC,03/17/20,17.05,17.39,15.44,15.77,582131,-1.24,-7.29%
108,CRNC,03/16/20,15.52,17.61,15.0,17.01,518109,-0.61,-3.46%
109,CRNC,03/13/20,17.58,18.03,15.2,17.62,617400,1.11,6.72%
110,CRNC,03/12/20,17.5,17.54,15.78,16.51,959449,-2.1,-11.28%
111,CRNC,03/11/20,19.17,19.25,17.84,18.61,597650,-0.55,-2.87%
112,CRNC,03/10/20,18.96,19.84,18.61,19.16,699974,0.94,5.16%
113,CRNC,03/09/20,18.98,19.74,17.5,18.22,794041,-2.29,-11.17%
114,CRNC,03/06/20,21.68,22.03,20.5,20.51,628300,-1.63,-7.36%
115,CRNC,03/05/20,24.51,24.97,21.97,22.14,617385,-2.75,-11.05%
116,CRNC,03/04/20,23.82,25.01,23.7,24.89,461551,1.63,7.01%
117,CRNC,03/03/20,22.86,24.15,22.59,23.26,306069,0.4,1.75%
118,CRNC,03/02/20,21.91,22.87,20.9,22.86,428278,1.15,5.30%
119,CRNC,02/28/20,22.49,22.92,21.49,21.71,593700,-1.47,-6.34%
120,CRNC,02/27/20,23.26,24.35,21.6,23.18,812054,-0.82,-3.40%
121,CRNC,02/26/20,26.32,26.77,23.94,24.0,1066030,-2.46,-9.32%
