,Date,Open,High,Low,Close,Adj Close,Volume
0,1991-07-12,5.0,5.0625,4.9375,5.0,2.949964,6450000
1,1991-07-15,5.0,5.125,5.0,5.0625,2.986838,1151400
2,1991-07-16,5.125,5.5,5.0625,5.3125,3.1343360000000002,722800
3,1991-07-17,5.25,5.375,5.25,5.375,3.17121,762800
4,1991-07-18,5.1875,5.375,5.1875,5.3125,3.1343360000000002,876800
5,1991-07-19,5.125,5.375,5.125,5.25,3.0974619999999997,496200
6,1991-07-22,5.25,5.25,5.0,5.0,2.949964,153200
7,1991-07-23,5.0625,5.125,5.0,5.0,2.949964,259600
8,1991-07-24,5.0625,5.0625,5.0,5.0,2.949964,719600
9,1991-07-25,5.125,5.125,5.0625,5.125,3.023714,91200
10,1991-07-26,5.1875,5.25,5.125,5.25,3.0974619999999997,548800
11,1991-07-29,5.25,5.25,5.1875,5.1875,3.060588,215200
12,1991-07-30,5.25,5.375,5.1875,5.375,3.17121,403000
13,1991-07-31,5.5,5.5,5.3125,5.3125,3.1343360000000002,534200
14,1991-08-01,5.4375,5.4375,5.1875,5.25,3.0974619999999997,677400
15,1991-08-02,5.3125,5.375,4.9375,4.9375,2.91309,569000
16,1991-08-05,5.0,5.125,5.0,5.0625,2.986838,492600
17,1991-08-06,5.0,5.125,5.0,5.0,2.949964,148200
18,1991-08-07,5.0,5.125,5.0,5.125,3.023714,238400
19,1991-08-08,5.0,5.0625,5.0,5.0,2.949964,353200
20,1991-08-09,5.0,5.125,5.0,5.125,3.023714,122800
21,1991-08-12,5.125,5.125,5.0,5.0625,2.986838,23000
22,1991-08-13,5.125,5.125,5.0625,5.125,3.023714,173800
23,1991-08-14,5.125,5.1875,5.0625,5.125,3.023714,599600
24,1991-08-15,5.125,5.1875,5.0625,5.125,3.023714,79800
25,1991-08-16,5.25,5.25,5.125,5.125,3.023714,93000
26,1991-08-19,4.9375,5.0625,4.6875,4.9375,2.91309,460400
27,1991-08-20,4.9375,5.125,4.9375,5.125,3.023714,558600
28,1991-08-21,5.0625,5.3125,5.0625,5.3125,3.1343360000000002,212200
29,1991-08-22,5.1875,5.375,5.1875,5.3125,3.1343360000000002,471800
30,1991-08-23,5.375,5.5625,5.25,5.4375,3.208086,767600
31,1991-08-26,5.5625,5.6875,5.4375,5.5625,3.2818339999999995,774800
32,1991-08-27,5.6875,5.9375,5.5625,5.875,3.466207,373000
33,1991-08-28,5.9375,6.625,5.875,6.5,3.8349519999999995,1031400
34,1991-08-29,6.6875,6.6875,6.25,6.4375,3.798079,365400
35,1991-08-30,6.5,6.6875,6.25,6.6875,3.9455769999999997,327200
36,1991-09-03,6.6875,6.6875,6.375,6.5625,3.8718269999999997,214200
37,1991-09-04,6.5,6.5,6.25,6.4375,3.798079,219400
38,1991-09-05,6.4375,6.5625,6.25,6.5625,3.8718269999999997,456600
39,1991-09-06,6.5625,6.625,6.5,6.625,3.908702,76600
40,1991-09-09,6.6875,6.6875,6.5,6.625,3.908702,65000
41,1991-09-10,6.6875,6.6875,6.3125,6.5,3.8349519999999995,354400
42,1991-09-11,6.5625,6.5625,6.4375,6.5625,3.8718269999999997,100200
43,1991-09-12,6.5625,6.625,6.5625,6.625,3.908702,10400
44,1991-09-13,6.5625,6.75,6.5625,6.625,3.908702,177400
45,1991-09-16,6.6875,6.75,6.625,6.625,3.908702,42200
46,1991-09-17,6.75,6.75,6.5625,6.6875,3.9455769999999997,486400
47,1991-09-18,6.75,6.75,6.625,6.625,3.908702,72200
48,1991-09-19,6.5625,6.875,6.5625,6.875,4.056201000000001,445400
49,1991-09-20,6.875,7.125,6.6875,7.0625,4.166823,124400
50,1991-09-23,7.0625,7.1875,7.0,7.125,4.203697,181200
51,1991-09-24,7.1875,7.5625,7.1875,7.4375,4.388072,251200
52,1991-09-25,7.5,7.5,7.0625,7.375,4.351197,372600
53,1991-09-26,7.375,7.375,7.25,7.3125,4.314321,14200
54,1991-09-27,7.3125,7.3125,6.5,6.75,3.98245,342200
55,1991-09-30,6.75,6.75,6.625,6.75,3.98245,233400
56,1991-10-01,6.75,6.8125,6.625,6.625,3.908702,9800
57,1991-10-02,6.6875,6.6875,6.5,6.5625,3.8718269999999997,17400
58,1991-10-03,6.5,6.625,6.5,6.625,3.908702,7400
59,1991-10-04,6.625,7.0625,6.625,6.875,4.056201000000001,261200
60,1991-10-07,6.9375,7.0,6.5625,6.5625,3.8718269999999997,195800
61,1991-10-08,6.6875,6.6875,6.375,6.5625,3.8718269999999997,69000
62,1991-10-09,6.625,6.625,6.375,6.4375,3.798079,201000
63,1991-10-10,6.4375,6.4375,6.3125,6.4375,3.798079,158400
