,Date,Open,High,Low,Close,Adj Close,Volume
0,1998-06-24,60.0,60.5,60.0,60.0,6.465326999999999,10400
1,1998-06-25,60.25,60.25,60.0,60.0,6.465326999999999,5900
2,1998-06-26,60.0,60.25,60.0,60.25,6.492266000000001,2000
3,1998-06-29,60.25,60.5,60.0,60.5,6.519207,3100
4,1998-06-30,60.5,60.5,60.25,60.5,6.519207,4000
5,1998-07-01,60.5,61.75,60.25,61.0,6.573084,6100
6,1998-07-02,61.75,62.5,61.25,61.75,6.653903999999999,8100
7,1998-07-06,61.25,62.0,61.25,61.25,6.600022,5600
8,1998-07-07,62.0,62.25,61.5,62.25,6.7077789999999995,7800
9,1998-07-08,62.25,62.5,62.0,62.0,6.680841,3800
10,1998-07-09,62.5,62.5,61.5,61.5,6.626966,9100
11,1998-07-10,62.0,62.25,62.0,62.25,6.7077789999999995,2100
12,1998-07-13,62.0,62.0,61.25,61.75,6.653903999999999,5400
13,1998-07-14,61.75,62.0,61.25,61.5,6.626966,7600
14,1998-07-15,61.25,61.75,61.25,61.5,6.626966,2700
15,1998-07-16,61.5,62.0,61.25,61.5,6.626966,11400
16,1998-07-17,61.75,62.0,61.25,62.0,6.680841,4300
17,1998-07-20,62.0,62.0,61.5,61.75,6.653903999999999,4100
18,1998-07-21,61.5,62.25,61.5,61.75,6.653903999999999,11600
19,1998-07-22,62.25,62.25,61.75,61.75,6.653903999999999,10200
20,1998-07-23,62.0,62.0,61.5,61.75,6.653903999999999,3000
21,1998-07-24,62.0,62.0,61.25,62.0,6.680841,4400
22,1998-07-27,62.0,62.0,61.0,61.0,6.573084,10300
23,1998-07-28,61.0,61.5,60.5,61.5,6.626966,10600
24,1998-07-29,60.5,61.25,60.5,60.5,6.519207,5200
25,1998-07-30,61.0,61.25,60.5,61.25,6.600022,2200
26,1998-07-31,61.25,61.25,60.5,61.0,6.573084,2000
27,1998-08-03,61.0,61.0,60.5,61.0,6.573084,2300
28,1998-08-04,61.0,61.0,60.25,60.75,6.54615,2400
29,1998-08-05,60.25,61.75,60.0,61.0,6.573084,10600
30,1998-08-06,61.0,61.0,60.5,61.0,6.573084,2800
31,1998-08-07,61.25,61.25,60.5,61.0,6.573084,1600
32,1998-08-10,60.5,60.5,60.25,60.5,6.519207,700
33,1998-08-11,60.25,60.75,60.0,60.0,6.465326999999999,3600
34,1998-08-12,60.0,60.75,60.0,60.25,6.537158,4200
35,1998-08-13,60.5,60.75,60.0,60.75,6.591406,6600
36,1998-08-14,60.75,61.0,60.5,61.0,6.6185350000000005,1900
37,1998-08-17,60.25,60.75,60.25,60.75,6.591406,2900
38,1998-08-18,60.25,60.75,60.0,60.0,6.510032,4600
39,1998-08-19,60.0,60.75,60.0,60.75,6.591406,6200
40,1998-08-20,60.5,60.75,60.25,60.75,6.591406,3500
41,1998-08-21,60.75,60.75,60.0,60.0,6.510032,3100
42,1998-08-24,60.25,60.5,59.5,60.5,6.56428,6500
43,1998-08-25,60.75,60.75,60.0,60.0,6.510032,7300
44,1998-08-26,60.25,60.25,59.5,59.5,6.455778,4300
45,1998-08-27,59.75,60.0,59.0,59.75,6.482905000000001,3900
46,1998-08-28,59.25,60.25,58.25,59.25,6.428653,14100
47,1998-08-31,59.0,59.0,56.0,56.0,6.076027,5600
48,1998-09-01,56.0,56.0,55.0,56.0,6.076027,5400
49,1998-09-02,55.5,57.5,55.5,56.5,6.130278,4000
50,1998-09-03,56.75,57.25,55.5,55.75,6.048904,3600
51,1998-09-04,55.5,56.0,54.5,54.5,5.913277,3000
52,1998-09-08,55.0,56.0,54.5,54.5,5.913277,6800
53,1998-09-09,55.25,55.25,54.5,55.25,5.994653,5400
54,1998-09-10,55.0,55.25,53.75,55.25,5.994653,6600
55,1998-09-11,54.5,56.5,54.5,55.5,6.0670209999999996,5500
56,1998-09-14,56.0,56.0,54.0,54.75,5.985034,8200
57,1998-09-15,54.0,55.0,54.0,55.0,6.01236,5000
58,1998-09-16,55.0,55.0,54.25,54.5,5.957704,3600
59,1998-09-17,54.75,54.75,53.25,53.25,5.821061,2000
60,1998-09-18,53.25,55.0,53.25,55.0,6.01236,2300
61,1998-09-21,54.5,57.0,53.5,57.0,6.230995,3100
62,1998-09-22,57.5,58.5,55.5,56.5,6.176335,3100
63,1998-09-23,57.0,58.5,55.0,58.0,6.34031,7000
64,1998-09-24,58.5,58.5,56.75,57.0,6.230995,2800
65,1998-09-25,57.5,59.0,57.5,58.0,6.34031,3400
66,1998-09-28,58.0,59.0,58.0,58.75,6.422297,2200
67,1998-09-29,59.0,59.0,55.5,57.25,6.258323000000001,2800
68,1998-09-30,57.75,58.5,56.0,57.5,6.285648999999999,5200
69,1998-10-01,57.75,57.75,56.5,57.25,6.258323000000001,4400
70,1998-10-02,56.5,56.5,55.0,56.0,6.121676,2500
71,1998-10-05,55.0,57.75,55.0,57.0,6.230995,5200
72,1998-10-06,57.0,57.75,57.0,57.0,6.230995,1900
73,1998-10-07,56.0,57.0,54.5,56.5,6.176335,4600
74,1998-10-08,56.0,56.5,52.5,53.75,5.875719,5600
75,1998-10-09,55.0,56.0,53.0,53.0,5.793734,3100
76,1998-10-12,52.5,53.5,52.0,53.25,5.821061,3400
77,1998-10-13,53.25,58.0,53.25,58.0,6.389748,7200
78,1998-10-14,57.5,58.0,56.25,57.25,6.3071209999999995,5700
79,1998-10-15,57.75,59.5,55.0,59.0,6.4999139999999995,8100
80,1998-10-16,60.0,60.0,58.0,59.0,6.4999139999999995,5800
81,1998-10-19,58.5,58.75,56.5,56.5,6.224495,8100
82,1998-10-20,57.0,58.5,57.0,57.75,6.362208,5900
83,1998-10-21,58.25,58.5,53.5,58.25,6.417294,9100
84,1998-10-22,58.5,58.5,55.0,56.25,6.196955,7000
85,1998-10-23,57.0,57.75,56.0,57.75,6.362208,5400
86,1998-10-26,57.75,57.75,56.0,57.75,6.362208,6300
87,1998-10-27,57.5,57.5,56.0,57.5,6.334662000000001,9000
88,1998-10-28,57.75,58.5,56.0,58.5,6.4448300000000005,2500
89,1998-10-29,58.75,58.75,56.5,56.5,6.224495,3500
90,1998-10-30,57.0,59.0,57.0,58.75,6.472373999999999,2400
91,1998-11-02,58.0,59.25,57.0,58.5,6.4448300000000005,5400
92,1998-11-03,58.75,58.75,58.0,58.0,6.389748,4000
93,1998-11-04,58.5,59.25,58.0,58.75,6.472373999999999,5000
94,1998-11-05,58.25,59.25,58.0,59.25,6.527456,2900
95,1998-11-06,59.25,59.5,57.0,59.0,6.4999139999999995,5700
96,1998-11-09,58.5,59.5,57.5,59.5,6.554997,4300
97,1998-11-10,59.0,59.5,58.0,58.75,6.472373999999999,6600
98,1998-11-11,59.25,60.0,58.0,59.0,6.4999139999999995,7600
99,1998-11-12,59.0,59.5,56.5,57.0,6.323741,8900
100,1998-11-13,57.5,58.0,56.25,57.0,6.323741,6600
101,1998-11-16,57.5,58.5,56.5,57.5,6.379206,2700
102,1998-11-17,58.0,59.0,57.25,57.5,6.379206,4900
103,1998-11-18,58.0,58.0,56.5,56.5,6.268267,6400
104,1998-11-19,57.5,58.25,57.25,57.25,6.351474,6300
105,1998-11-20,57.5,58.5,56.0,57.5,6.379206,12100
106,1998-11-23,57.5,59.75,57.5,59.0,6.545626,9100
107,1998-11-24,58.5,59.75,58.25,59.5,6.601094,7500
108,1998-11-25,59.0,59.75,58.75,58.75,6.517887,2400
109,1998-11-27,59.0,59.0,57.0,58.0,6.434683000000001,2500
110,1998-11-30,58.5,59.0,56.75,56.75,6.296004,7700
111,1998-12-01,57.25,59.0,56.75,57.5,6.379206,7300
112,1998-12-02,58.0,59.0,56.75,58.0,6.434683000000001,6900
113,1998-12-03,58.5,58.5,57.0,57.5,6.379206,7500
114,1998-12-04,57.0,57.5,56.0,57.0,6.323741,9300
115,1998-12-07,58.0,59.0,57.0,58.75,6.517887,5400
116,1998-12-08,58.25,58.75,56.75,57.75,6.406947,9100
117,1998-12-09,56.75,59.0,56.75,59.0,6.545626,11100
118,1998-12-10,58.5,60.0,58.5,58.75,6.517887,10400
119,1998-12-11,57.75,58.5,56.75,57.75,6.452194,6700
120,1998-12-14,57.25,57.5,56.0,56.25,6.284603,7900
121,1998-12-15,56.0,56.75,55.75,55.75,6.22874,9200
122,1998-12-16,55.75,55.75,53.75,55.5,6.200809,16300
123,1998-12-17,54.5,55.5,54.0,54.0,6.033221,12500
124,1998-12-18,54.0,55.0,54.0,54.0,6.033221,12100
125,1998-12-21,54.0,55.0,53.5,54.5,6.089082,16900
126,1998-12-22,54.0,54.5,53.5,54.0,6.033221,9800
127,1998-12-23,53.5,54.5,53.5,54.25,6.061152,10300
128,1998-12-24,54.5,54.5,53.75,54.5,6.089082,3800
129,1998-12-28,54.0,55.0,54.0,54.5,6.089082,6800
130,1998-12-29,54.25,54.5,53.75,54.25,6.061152,11900
131,1998-12-30,54.25,54.25,53.25,54.0,6.033221,19300
132,1998-12-31,54.25,55.25,54.0,54.75,6.1170160000000005,10300
133,1999-01-04,55.25,55.25,53.5,53.75,6.005286,20900
134,1999-01-05,53.75,54.25,53.75,53.75,6.005286,15300
135,1999-01-06,54.0,54.25,53.5,54.25,6.061152,17000
136,1999-01-07,54.25,54.25,53.5,54.0,6.033221,9200
137,1999-01-08,53.5,54.0,53.25,53.75,6.005286,14700
138,1999-01-11,54.25,54.25,53.75,54.0,6.033221,14400
139,1999-01-12,54.0,54.5,54.0,54.5,6.089082,5100
140,1999-01-13,52.75,54.25,52.75,54.25,6.061152,6100
141,1999-01-14,54.0,54.0,52.5,53.25,5.994953,7700
142,1999-01-15,53.25,54.0,53.0,53.5,6.023097,5900
143,1999-01-19,53.5,53.75,52.5,52.5,5.910517,13900
144,1999-01-20,53.0,53.0,52.0,52.25,5.882373,9300
145,1999-01-21,52.0,52.75,52.0,52.25,5.882373,8700
146,1999-01-22,52.75,53.75,52.0,53.5,6.023097,8200
147,1999-01-25,53.75,53.75,53.0,53.75,6.051242,9300
148,1999-01-26,54.0,54.0,53.25,54.0,6.07939,9800
149,1999-01-27,54.0,54.25,53.5,54.25,6.107536,4900
150,1999-01-28,54.25,54.25,53.25,53.5,6.023097,8100
151,1999-01-29,54.0,54.5,53.5,53.75,6.051242,9100
152,1999-02-01,53.75,54.5,53.5,54.5,6.135681,16100
153,1999-02-02,54.25,54.5,53.75,54.5,6.135681,11300
154,1999-02-03,54.5,54.5,53.75,54.5,6.135681,8400
155,1999-02-04,54.5,54.5,53.75,54.5,6.135681,16300
