,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-05-28,108.45,108.73,107.34,107.76,107.76,1092606,0.0,1.0
1,2020-05-27,107.93,108.43,104.79,106.5,106.5,1244039,0.0,1.0
2,2020-05-26,104.9,106.77,104.35,105.35,105.35,1080188,0.0,1.0
3,2020-05-22,101.06,102.18,100.87,102.12,102.12,803840,0.0,1.0
4,2020-05-21,102.69,103.58,100.82,101.04,101.04,1196676,0.0,1.0
5,2020-05-20,104.24,104.86,102.69,103.25,103.25,1400108,0.0,1.0
6,2020-05-19,102.53,104.14,101.865,102.86,102.86,1404592,0.0,1.0
7,2020-05-18,101.24,104.2,100.64,103.24,103.24,1367056,0.0,1.0
8,2020-05-15,97.13,97.41,95.1,97.35,97.35,2760760,0.0,1.0
9,2020-05-14,94.7,98.09,92.39,98.0,98.0,1501581,0.0,1.0
10,2020-05-13,98.53,98.53,95.0,95.96,95.96,1870782,0.0,1.0
11,2020-05-12,99.0,99.69,97.78,99.26,99.26,1410632,0.0,1.0
12,2020-05-11,100.56,100.56,97.43,98.73,98.73,1047389,0.0,1.0
13,2020-05-08,100.0,101.69,99.65,101.26,101.26,1018552,0.0,1.0
14,2020-05-07,101.72,102.95,98.48,98.72,98.72,1340571,0.0,1.0
15,2020-05-06,102.48,102.73,99.69,100.51,100.51,1731470,0.0,1.0
16,2020-05-05,101.59,103.37,101.0075,102.41,102.41,1356697,0.0,1.0
17,2020-05-04,100.21,100.94,98.35,100.83,100.83,931716,0.0,1.0
18,2020-05-01,102.27,102.27,99.82,100.68,100.68,1053246,0.0,1.0
19,2020-04-30,106.08,106.3,103.1,103.74,103.74,1218734,0.0,1.0
20,2020-04-29,108.41,110.06,106.73,107.29,107.29,1364642,0.0,1.0
21,2020-04-28,105.76,106.72,102.69,106.32,106.32,1512317,0.0,1.0
22,2020-04-27,104.32,104.56,102.12,102.68,102.68,908978,0.0,1.0
23,2020-04-24,102.05,103.535,100.8,103.02,103.02,936857,0.0,1.0
24,2020-04-23,102.45,104.23,100.79,101.01,101.01,1082107,0.0,1.0
25,2020-04-22,101.3,103.17,99.67,102.36,102.36,975398,0.0,1.0
26,2020-04-21,98.52,100.28,98.16,99.14,99.14,1239034,0.0,1.0
27,2020-04-20,103.2,104.09,99.55,100.76,100.76,1088516,0.0,1.0
28,2020-04-17,103.89,106.65,102.27,105.85,105.85,1186602,0.0,1.0
29,2020-04-16,105.74,107.36,101.51,101.57,101.57,1265569,0.0,1.0
30,2020-04-15,105.24,105.68,102.68,104.8,104.8,1208912,0.0,1.0
31,2020-04-14,110.46,111.23,106.78,108.34,108.34,1139051,0.0,1.0
32,2020-04-13,109.98,110.31,107.2,108.64,108.64,1145832,0.0,1.0
33,2020-04-09,104.94,113.3,104.94,111.25,111.25,2435077,0.0,1.0
34,2020-04-08,97.86,104.71,97.13,103.84,103.84,1357107,0.0,1.0
35,2020-04-07,99.78,101.49,97.34,97.45,97.45,1285138,0.0,1.0
