,Date,Open,High,Low,Close,Adj Close,Volume
0,2017-05-30,5.25,5.25,5.25,5.25,5.25,0
1,2017-05-31,5.5,5.5,5.5,5.5,5.5,200
2,2017-06-01,5.0,5.0,5.0,5.0,5.0,100
3,2017-06-02,5.0,5.85,5.0,5.85,5.85,200
4,2017-06-05,5.5,5.5,5.5,5.5,5.5,100
5,2017-06-06,5.6,5.6,5.6,5.6,5.6,200
6,2017-06-07,5.35,6.2,5.35,6.0,6.0,400
7,2017-06-08,6.15,6.15,6.15,6.15,6.15,100
8,2017-06-09,6.15,6.15,6.15,6.15,6.15,300
9,2017-06-12,6.0,6.0,5.8,5.8,5.8,200
10,2017-06-13,6.25,6.25,6.25,6.25,6.25,300
11,2017-06-14,6.25,6.25,6.25,6.25,6.25,0
12,2017-06-15,5.8,5.8,5.8,5.8,5.8,100
13,2017-06-16,5.96,5.96,5.93,5.93,5.93,200
14,2017-06-19,5.85,5.85,5.85,5.85,5.85,100
15,2017-06-20,5.9,5.9,5.9,5.9,5.9,200
16,2017-06-21,5.5,5.5,5.5,5.5,5.5,100
17,2017-06-22,5.5,5.5,5.5,5.5,5.5,0
18,2017-06-23,5.5,5.5,5.5,5.5,5.5,200
19,2017-06-26,5.33,5.33,5.33,5.33,5.33,100
20,2017-06-27,5.35,5.35,5.35,5.35,5.35,100
21,2017-06-28,5.4,5.4,5.4,5.4,5.4,300
22,2017-06-29,5.25,5.25,5.25,5.25,5.25,100
23,2017-06-30,5.35,5.35,5.35,5.35,5.35,100
24,2017-07-03,5.35,5.35,5.35,5.35,5.35,0
25,2017-07-05,4.75,5.125,4.75,5.125,5.125,500
26,2017-07-06,4.75,5.4,4.75,5.4,5.4,400
27,2017-07-07,5.4,5.4,5.4,5.4,5.4,0
28,2017-07-10,4.5,5.4,4.5,5.4,5.4,300
29,2017-07-11,4.51,5.4,4.5,5.4,5.4,300
30,2017-07-12,4.5,5.3,4.5,5.3,5.3,400
31,2017-07-13,4.11,5.15,4.11,4.11,4.11,500
32,2017-07-14,4.1,4.41,4.0,4.41,4.41,800
33,2017-07-17,4.74,4.74,4.74,4.74,4.74,200
34,2017-07-18,4.74,4.74,4.74,4.74,4.74,0
35,2017-07-19,4.74,4.74,4.74,4.74,4.74,0
36,2017-07-20,4.74,4.74,4.74,4.74,4.74,0
37,2017-07-21,4.74,4.74,4.74,4.74,4.74,0
38,2017-07-24,4.74,4.74,4.74,4.74,4.74,0
39,2017-07-25,4.74,4.74,4.74,4.74,4.74,0
40,2017-07-26,4.74,4.74,4.74,4.74,4.74,0
41,2017-07-27,4.74,4.74,4.74,4.74,4.74,0
42,2017-07-28,4.74,4.74,4.74,4.74,4.74,0
43,2017-07-31,4.74,4.74,4.74,4.74,4.74,0
44,2017-08-01,4.0,4.0,4.0,4.0,4.0,300
45,2017-08-02,4.0,4.0,4.0,4.0,4.0,200
46,2017-08-03,3.08,3.08,3.08,3.08,3.08,400
47,2017-08-04,3.08,3.08,3.08,3.08,3.08,100
48,2017-08-07,3.08,3.08,3.08,3.08,3.08,0
49,2017-08-08,3.08,3.08,3.08,3.08,3.08,200
50,2017-08-09,3.0,3.0,3.0,3.0,3.0,200
51,2017-08-10,3.0,3.0,3.0,3.0,3.0,0
52,2017-08-11,3.0,3.0,3.0,3.0,3.0,0
53,2017-08-14,3.0,3.0,3.0,3.0,3.0,300
