,Date,Open,High,Low,Close,Adj Close,Volume
0,2015-08-20,8.22,8.25,8.21,8.24,7.401155,15300
1,2015-08-21,8.12,8.2,8.03,8.13,7.302353,34000
2,2015-08-24,7.11,7.98,7.03,7.84,7.041877,22900
3,2015-08-25,8.06,8.12,8.01,8.07,7.248461,19100
4,2015-08-26,8.22,8.22,8.02,8.02,7.203553,17700
5,2015-08-27,8.06,8.23,8.05,8.16,7.329299000000001,12400
6,2015-08-28,8.12,8.36,8.12,8.3,7.455048,38400
7,2015-08-31,8.29,8.3,8.13,8.13,7.302353,23100
8,2015-09-01,8.19,8.19,8.0,8.0,7.185588,10900
9,2015-09-02,8.19,8.2,8.04,8.07,7.248461,10800
10,2015-09-03,8.22,8.22,8.1,8.12,7.2933710000000005,11300
11,2015-09-04,8.0,8.1,7.99,8.0,7.185588,7600
12,2015-09-08,8.16,8.22,8.12,8.14,7.311337,13500
13,2015-09-09,8.3,8.3,8.14,8.14,7.311337,4400
14,2015-09-10,8.15,8.23,8.15,8.2,7.365228,28600
15,2015-09-11,8.15,8.21,8.15,8.2,7.365228,2200
16,2015-09-14,8.15,8.17,8.11,8.12,7.2933710000000005,13400
17,2015-09-15,8.07,8.14,8.07,8.12,7.2933710000000005,900
18,2015-09-16,8.11,8.18,8.11,8.12,7.2933710000000005,3300
19,2015-09-17,8.18,8.27,8.16,8.23,7.392173,5800
20,2015-09-18,8.14,8.14,8.08,8.11,7.284389999999999,3900
21,2015-09-21,8.14,8.14,8.09,8.09,7.266425999999999,4100
22,2015-09-22,7.9,7.94,7.88,7.91,7.10475,10000
23,2015-09-23,7.88,7.9,7.82,7.85,7.050858,11800
24,2015-09-24,7.85,7.85,7.76,7.81,7.014931,7100
25,2015-09-25,7.88,7.92,7.85,7.88,7.077805000000001,7900
26,2015-09-28,7.84,7.84,7.69,7.72,6.934092,8300
27,2015-09-29,7.79,7.82,7.74,7.78,6.987985000000001,9600
28,2015-09-30,7.81,7.87,7.78,7.78,6.987985000000001,13000
29,2015-10-01,7.78,7.78,7.7,7.74,6.952057000000001,25800
30,2015-10-02,7.75,7.93,7.75,7.93,7.122714,2400
31,2015-10-05,8.02,8.03,7.99,8.03,7.2125330000000005,5800
32,2015-10-06,8.0,8.11,8.0,8.04,7.221516,4500
33,2015-10-07,8.11,8.11,8.1,8.1,7.2754080000000005,800
34,2015-10-08,8.03,8.31,8.03,8.22,7.383192,9400
35,2015-10-09,8.24,8.25,8.2,8.2,7.365228,900
36,2015-10-12,8.19,8.19,8.18,8.18,7.347263000000001,300
37,2015-10-13,8.08,8.18,8.05,8.05,7.230497,9000
38,2015-10-14,8.11,8.11,8.09,8.11,7.284389999999999,2900
39,2015-10-15,8.07,8.19,8.07,8.16,7.329299000000001,15400
40,2015-10-16,8.2,8.24,8.16,8.23,7.392173,3000
41,2015-10-19,8.2,8.27,8.2,8.26,7.419119,500
42,2015-10-20,8.29,8.29,8.23,8.29,7.446064,8200
43,2015-10-21,8.34,8.34,8.25,8.25,7.410138000000001,3100
44,2015-10-22,8.27,8.35,8.27,8.32,7.473012,13300
45,2015-10-23,8.37,8.42,8.35,8.4,7.544866000000001,11400
46,2015-10-26,8.36,8.36,8.36,8.36,7.508938000000001,5500
47,2015-10-27,8.29,8.32,8.26,8.31,7.46403,13900
48,2015-10-28,8.26,8.36,8.26,8.31,7.46403,2600
49,2015-10-29,8.31,8.31,8.31,8.31,7.46403,0
50,2015-10-30,8.28,8.3,8.23,8.23,7.392173,5600
51,2015-11-02,8.25,8.36,8.25,8.31,7.46403,7400
52,2015-11-03,8.27,8.28,8.27,8.28,7.437083,700
53,2015-11-04,8.26,8.28,8.24,8.24,7.401155,1000
54,2015-11-05,8.09,8.41,8.09,8.36,7.508938000000001,31600
55,2015-11-06,8.28,8.28,8.16,8.16,7.329299000000001,5200
56,2015-11-09,8.16,8.16,7.99,8.07,7.248461,11800
57,2015-11-10,8.0,8.07,8.0,8.06,7.23948,4000
58,2015-11-11,8.15,8.15,8.1,8.14,7.311337,4000
59,2015-11-12,8.03,8.12,8.03,8.11,7.284389999999999,4600
60,2015-11-13,8.03,8.05,8.0,8.03,7.2125330000000005,9300
61,2015-11-16,8.0,8.08,8.0,8.07,7.248461,4300
62,2015-11-17,8.15,8.2,8.1,8.1,7.2754080000000005,7100
63,2015-11-18,8.1,8.1,8.09,8.1,7.2754080000000005,1100
64,2015-11-19,8.27,8.27,8.14,8.18,7.347263000000001,12200
65,2015-11-20,8.12,8.15,8.12,8.12,7.2933710000000005,7600
66,2015-11-23,8.12,8.12,7.88,7.88,7.077805000000001,12000
67,2015-11-24,7.87,8.0,7.87,8.0,7.185588,2800
68,2015-11-25,8.03,8.08,8.03,8.04,7.221516,4200
69,2015-11-27,8.04,8.04,7.94,7.95,7.140678,800
70,2015-11-30,7.9,8.1,7.9,8.02,7.203553,5400
71,2015-12-01,8.13,8.13,8.02,8.04,7.221516,7600
72,2015-12-02,7.98,8.06,7.98,8.0,7.185588,11000
73,2015-12-03,8.12,8.12,7.95,7.99,7.176605,5400
74,2015-12-04,8.0,8.09,7.97,8.09,7.266425999999999,9500
75,2015-12-07,8.03,8.06,8.03,8.04,7.221516,7200
76,2015-12-08,8.0,8.06,7.91,8.03,7.2125330000000005,19400
77,2015-12-09,8.0,8.0,7.95,7.95,7.140678,9200
78,2015-12-10,7.96,7.98,7.96,7.98,7.167623,1600
79,2015-12-11,7.89,7.89,7.84,7.87,7.068822,4400
80,2015-12-14,7.83,7.84,7.7,7.77,6.979002,10600
81,2015-12-15,7.86,7.87,7.81,7.83,7.032895,7700
82,2015-12-16,7.78,7.98,7.78,7.98,7.167623,21000
83,2015-12-17,7.97,7.97,7.86,7.92,7.113732000000001,31900
84,2015-12-18,7.86,7.86,7.78,7.82,7.023911999999999,10800
85,2015-12-21,7.78,7.86,7.78,7.78,6.987985000000001,9900
86,2015-12-22,7.8,7.87,7.79,7.87,7.068822,4500
87,2015-12-23,7.86,8.0,7.86,8.0,7.185588,42400
88,2015-12-24,7.93,8.0,7.93,8.0,7.185588,7300
89,2015-12-28,7.91,7.99,7.91,7.99,7.176605,5500
90,2015-12-29,8.0,8.0,7.97,7.97,7.221912,5800
91,2015-12-30,7.92,8.09,7.92,8.08,7.321586999999999,23000
92,2015-12-31,8.05,8.08,7.96,8.06,7.303464999999999,6800
93,2016-01-04,8.0,8.0,7.82,7.95,7.20379,5500
94,2016-01-05,7.92,7.92,7.84,7.84,7.104114999999999,1400
95,2016-01-06,7.73,7.78,7.72,7.78,7.049747,3400
96,2016-01-07,7.71,7.71,7.6,7.63,6.913825999999999,7900
97,2016-01-08,7.63,7.65,7.62,7.62,6.904764,4400
98,2016-01-11,7.71,7.71,7.54,7.55,6.841335000000001,12000
99,2016-01-12,7.57,7.59,7.55,7.56,6.850397,2100
100,2016-01-13,7.55,7.58,7.5,7.5,6.796028,21900
101,2016-01-14,7.5,7.56,7.5,7.54,6.832273,3800
102,2016-01-15,7.41,7.41,7.26,7.31,6.623862,18300
103,2016-01-19,7.39,7.39,7.29,7.33,6.641985000000001,6000
104,2016-01-20,7.1,7.25,6.95,7.11,6.442634,15500
105,2016-01-21,7.08,7.22,7.05,7.2,6.524186,12200
106,2016-01-22,7.39,7.41,7.3,7.35,6.660108,3100
107,2016-01-25,7.34,7.43,7.34,7.37,6.67823,9000
108,2016-01-26,7.28,7.47,7.28,7.47,6.768845,4300
109,2016-01-27,7.44,7.45,7.44,7.44,6.74166,1100
110,2016-01-28,7.55,7.57,7.47,7.53,6.823213000000001,11300
111,2016-01-29,7.6,7.71,7.54,7.59,6.877581,5200
112,2016-02-01,7.55,7.65,7.41,7.65,6.931949,11400
113,2016-02-02,7.51,7.63,7.51,7.6,6.886641,6000
114,2016-02-03,7.6,7.69,7.5,7.6,6.886641,16900
115,2016-02-04,7.62,7.62,7.61,7.61,6.895703999999999,3000
116,2016-02-05,7.52,7.52,7.42,7.42,6.723536999999999,2800
117,2016-02-08,7.3,7.31,7.27,7.31,6.623862,3600
118,2016-02-09,7.24,7.33,7.18,7.26,6.578555000000001,7800
119,2016-02-10,7.28,7.32,7.28,7.31,6.623862,3300
120,2016-02-11,7.11,7.21,7.0,7.04,6.379205000000001,25600
121,2016-02-12,7.01,7.19,7.01,7.19,6.515126,8100
122,2016-02-16,7.26,7.26,7.2,7.25,6.569494000000001,5100
123,2016-02-17,7.41,7.45,7.39,7.4,6.705414,3000
124,2016-02-18,7.4,7.46,7.34,7.45,6.750721,7400
125,2016-02-19,7.38,7.47,7.33,7.47,6.768845,19200
126,2016-02-22,7.51,7.51,7.42,7.44,6.74166,2700
127,2016-02-23,7.37,7.47,7.36,7.45,6.750721,44500
128,2016-02-24,7.3,7.35,7.15,7.32,6.632924000000001,6400
129,2016-02-25,7.43,7.45,7.21,7.43,6.732597999999999,10700
130,2016-02-26,7.46,7.46,7.42,7.43,6.732597999999999,4700
131,2016-02-29,7.38,7.52,7.38,7.42,6.723536999999999,9200
132,2016-03-01,7.48,7.62,7.48,7.59,6.877581,12500
133,2016-03-02,7.37,7.58,7.36,7.58,6.868519,7100
134,2016-03-03,7.57,7.59,7.57,7.58,6.868519,3900
135,2016-03-04,7.46,7.65,7.46,7.65,6.931949,21200
136,2016-03-07,7.56,7.63,7.56,7.63,6.913825999999999,27300
137,2016-03-08,7.44,7.62,7.44,7.6,6.886641,22600
138,2016-03-09,7.58,7.63,7.58,7.62,6.904764,24700
139,2016-03-10,7.62,7.72,7.59,7.62,6.904764,25400
140,2016-03-11,7.59,7.8,7.59,7.79,7.058808,1000
141,2016-03-14,7.74,7.83,7.74,7.83,7.095053,6400
142,2016-03-15,7.76,7.8,7.76,7.78,7.049747,2000
143,2016-03-16,7.74,7.82,7.73,7.81,7.076931,11300
144,2016-03-17,7.72,7.84,7.6,7.8,7.067869,18700
145,2016-03-18,7.85,7.85,7.8,7.83,7.095053,4400
146,2016-03-21,7.54,7.84,7.54,7.84,7.104114999999999,4500
147,2016-03-22,7.74,7.8,7.74,7.79,7.058808,4900
148,2016-03-23,7.79,7.8,7.73,7.73,7.004439,6300
149,2016-03-24,7.71,7.72,7.64,7.65,6.931949,3200
150,2016-03-28,7.7,7.73,7.65,7.72,6.995379,7300
151,2016-03-29,7.74,7.78,7.73,7.73,7.004439,1100
152,2016-03-30,7.8,7.95,7.77,7.86,7.122238,11100
153,2016-03-31,7.88,7.91,7.86,7.86,7.122238,15600
154,2016-04-01,7.74,7.86,7.72,7.86,7.122238,5300
155,2016-04-04,7.83,7.94,7.83,7.89,7.149421,3500
156,2016-04-05,7.73,7.79,7.73,7.73,7.004439,9700
157,2016-04-06,7.78,7.8,7.75,7.79,7.058808,8100
158,2016-04-07,7.73,7.75,7.73,7.73,7.004439,6100
159,2016-04-08,7.67,7.89,7.67,7.82,7.085992,9700
160,2016-04-11,7.91,7.93,7.82,7.85,7.113175999999999,5900
161,2016-04-12,7.94,7.98,7.88,7.92,7.176605,15400
162,2016-04-13,8.02,8.05,7.96,8.03,7.276281,5600
163,2016-04-14,8.02,8.04,8.02,8.03,7.276281,2500
164,2016-04-15,7.96,7.99,7.91,7.96,7.212852000000001,7400
165,2016-04-18,7.97,7.98,7.96,7.97,7.221912,5700
166,2016-04-19,8.03,8.14,8.03,8.1,7.339711,7900
167,2016-04-20,8.11,8.18,8.1,8.11,7.348772,6200
168,2016-04-21,8.11,8.11,8.1,8.1,7.339711,2200
169,2016-04-22,8.06,8.06,8.05,8.06,7.303464999999999,1900
170,2016-04-25,7.93,8.01,7.92,8.01,7.258159,4000
171,2016-04-26,8.04,8.06,7.97,8.04,7.285342,4200
172,2016-04-27,8.05,8.17,8.03,8.03,7.276281,6600
173,2016-04-28,8.06,8.14,8.06,8.12,7.357833,6200
174,2016-04-29,8.15,8.15,8.09,8.09,7.330647999999999,5700
175,2016-05-02,8.08,8.09,8.0,8.09,7.330647999999999,4600
176,2016-05-03,8.0,8.01,7.97,8.0,7.249097,8700
177,2016-05-04,7.93,7.99,7.93,7.99,7.240035000000001,6900
178,2016-05-05,7.94,8.0,7.92,8.0,7.249097,7200
179,2016-05-06,7.89,8.03,7.89,7.98,7.230975,3300
180,2016-05-09,8.04,8.04,7.93,8.02,7.26722,8400
181,2016-05-10,8.01,8.07,7.98,8.05,7.294403,5800
182,2016-05-11,8.02,8.03,7.89,7.97,7.221912,11700
183,2016-05-12,7.97,7.99,7.93,7.97,7.221912,3700
184,2016-05-13,7.91,8.01,7.86,7.87,7.131299,9000
185,2016-05-16,7.88,8.09,7.86,7.95,7.20379,25900
186,2016-05-17,8.05,8.07,7.84,7.86,7.1402,15000
187,2016-05-18,7.97,7.97,7.86,7.86,7.1402,3000
188,2016-05-19,7.85,7.85,7.8,7.8,7.085694999999999,10600
189,2016-05-20,7.85,7.92,7.85,7.85,7.131114999999999,13900
190,2016-05-23,7.82,7.9,7.82,7.87,7.149284,12600
191,2016-05-24,7.96,8.01,7.96,8.01,7.276464,24900
192,2016-05-25,8.07,8.08,8.06,8.08,7.340053,4200
193,2016-05-26,8.1,8.1,8.06,8.06,7.321885000000001,4300
194,2016-05-27,8.09,8.09,8.03,8.03,7.294632000000001,9000
195,2016-05-31,8.09,8.09,7.94,7.99,7.2582949999999995,18900
196,2016-06-01,7.94,8.02,7.94,8.02,7.2855490000000005,5000
197,2016-06-02,7.94,8.07,7.94,8.03,7.294632000000001,11300
198,2016-06-03,8.01,8.06,8.01,8.05,7.3128,4200
199,2016-06-06,8.09,8.12,8.07,8.1,7.3582220000000005,5500
200,2016-06-07,8.03,8.2,8.03,8.19,7.439978999999999,7800
201,2016-06-08,8.2,8.2,8.19,8.2,7.449064,4700
202,2016-06-09,8.12,8.12,8.09,8.1,7.3582220000000005,5000
203,2016-06-10,8.05,8.05,7.85,7.93,7.20379,12400
204,2016-06-13,7.81,7.84,7.8,7.8,7.085694999999999,12100
205,2016-06-14,7.8,7.82,7.69,7.74,7.03119,23900
206,2016-06-15,7.71,7.75,7.71,7.72,7.013021000000001,5600
207,2016-06-16,7.58,7.7,7.56,7.67,6.9676,12700
208,2016-06-17,7.64,7.75,7.64,7.72,7.013021000000001,3000
209,2016-06-20,7.94,7.97,7.93,7.93,7.20379,8800
210,2016-06-21,7.96,8.02,7.91,8.0,7.26738,25700
211,2016-06-22,8.05,8.11,8.03,8.03,7.294632000000001,9400
212,2016-06-23,8.11,8.23,8.03,8.23,7.476316000000001,30400
213,2016-06-24,7.56,7.87,7.55,7.67,6.9676,46300
214,2016-06-27,7.46,7.51,7.31,7.39,6.713242,30000
215,2016-06-28,7.41,7.48,7.4,7.46,6.776832000000001,4600
216,2016-06-29,7.45,7.62,7.45,7.58,6.885842,12300
217,2016-06-30,7.67,7.79,7.67,7.75,7.040274,10400
218,2016-07-01,7.7,7.78,7.7,7.72,7.013021000000001,18000
219,2016-07-05,7.6,7.62,7.56,7.59,6.894927,15700
220,2016-07-06,7.54,7.56,7.51,7.52,6.831336,4200
221,2016-07-07,7.47,7.55,7.47,7.52,6.831336,5700
222,2016-07-08,7.63,7.64,7.55,7.62,6.922178999999999,8000
223,2016-07-11,7.67,7.73,7.64,7.72,7.013021000000001,3600
224,2016-07-12,7.75,7.82,7.75,7.75,7.040274,31400
225,2016-07-13,7.8,7.8,7.78,7.78,7.067527,5700
226,2016-07-14,7.86,7.89,7.85,7.87,7.149284,3800
227,2016-07-15,7.78,7.82,7.75,7.81,7.094778999999999,13400
228,2016-07-18,7.72,7.89,7.72,7.88,7.158369,20700
229,2016-07-19,7.85,7.85,7.77,7.8,7.085694999999999,15200
230,2016-07-20,7.96,7.97,7.82,7.85,7.131114999999999,21000
231,2016-07-21,7.85,7.86,7.82,7.84,7.122031,6100
232,2016-07-22,7.76,7.85,7.75,7.84,7.122031,2400
233,2016-07-25,7.8,7.83,7.77,7.8,7.085694999999999,5000
234,2016-07-26,7.97,7.98,7.77,7.81,7.094778999999999,8400
235,2016-07-27,7.87,7.93,7.8,7.8,7.085694999999999,11300
236,2016-07-28,7.72,7.87,7.5,7.86,7.1402,36700
237,2016-07-29,7.86,7.93,7.86,7.93,7.20379,27400
238,2016-08-01,7.87,7.96,7.86,7.87,7.149284,19500
239,2016-08-02,7.83,7.86,7.81,7.86,7.1402,10000
240,2016-08-03,7.8,7.82,7.71,7.8,7.085694999999999,16300
241,2016-08-04,7.8,7.83,7.79,7.8,7.085694999999999,6600
242,2016-08-05,7.8,7.87,7.8,7.83,7.112947,4800
243,2016-08-08,7.9,7.9,7.82,7.82,7.103864,6500
244,2016-08-09,7.88,7.94,7.86,7.86,7.1402,43700
245,2016-08-10,7.87,7.96,7.81,7.91,7.185622,14600
246,2016-08-11,7.87,7.97,7.87,7.96,7.2310419999999995,2800
247,2016-08-12,7.94,8.02,7.92,7.94,7.212874,23300
248,2016-08-15,8.02,8.02,8.01,8.02,7.2855490000000005,3000
249,2016-08-16,7.94,8.0,7.94,7.99,7.2582949999999995,7900
250,2016-08-17,7.95,7.95,7.9,7.92,7.194705,8700
251,2016-08-18,7.92,7.97,7.92,7.97,7.240127,72900
252,2016-08-19,7.96,7.96,7.91,7.95,7.221958,10100
253,2016-08-22,7.95,7.98,7.95,7.96,7.2310419999999995,3300
254,2016-08-23,7.99,8.07,7.93,8.01,7.276464,15700
255,2016-08-24,7.93,8.05,7.93,8.03,7.294632000000001,17300
256,2016-08-25,8.0,8.03,8.0,8.02,7.2855490000000005,10700
257,2016-08-26,8.03,8.06,7.92,7.96,7.2310419999999995,18000
258,2016-08-29,7.95,7.96,7.95,7.96,7.2310419999999995,14700
259,2016-08-30,7.92,7.99,7.92,7.94,7.212874,3200
260,2016-08-31,7.93,7.95,7.93,7.95,7.221958,8000
261,2016-09-01,7.95,7.97,7.95,7.96,7.2310419999999995,7800
262,2016-09-02,7.97,8.06,7.97,8.04,7.3037160000000005,3300
263,2016-09-06,8.1,8.14,8.07,8.1,7.3582220000000005,24700
264,2016-09-07,8.1,8.13,8.06,8.1,7.3582220000000005,8600
265,2016-09-08,8.11,8.13,8.06,8.13,7.385475,9100
266,2016-09-09,8.01,8.02,7.94,7.98,7.249211,13900
267,2016-09-12,7.89,7.97,7.76,7.95,7.221958,62300
268,2016-09-13,7.85,7.85,7.77,7.81,7.094778999999999,44400
269,2016-09-14,7.83,7.84,7.8,7.8,7.085694999999999,9100
270,2016-09-15,7.77,7.87,7.77,7.84,7.122031,30400
271,2016-09-16,7.8,7.8,7.76,7.76,7.049358,3600
272,2016-09-19,7.78,7.82,7.75,7.79,7.076612,28900
273,2016-09-20,7.83,7.85,7.78,7.78,7.067527,64200
274,2016-09-21,7.8,7.84,7.8,7.82,7.103864,63900
275,2016-09-22,7.89,7.96,7.89,7.93,7.20379,99000
276,2016-09-23,7.92,7.93,7.91,7.91,7.185622,2800
277,2016-09-26,7.87,7.87,7.79,7.82,7.103864,13200
278,2016-09-27,7.79,7.85,7.77,7.85,7.131114999999999,9800
279,2016-09-28,7.88,7.93,7.86,7.91,7.185622,9900
280,2016-09-29,7.89,7.89,7.81,7.83,7.112947,9700
281,2016-09-30,7.82,8.02,7.82,7.9,7.176538000000001,18900
282,2016-10-03,7.88,7.92,7.79,7.92,7.194705,10200
283,2016-10-04,7.95,7.97,7.88,7.88,7.158369,10900
284,2016-10-05,7.91,7.94,7.88,7.92,7.194705,14100
285,2016-10-06,7.88,7.89,7.88,7.89,7.167453,1300
286,2016-10-07,7.82,7.91,7.78,7.9,7.176538000000001,12400
287,2016-10-10,7.89,7.89,7.78,7.86,7.1402,20700
288,2016-10-11,7.83,7.83,7.71,7.78,7.067527,40600
289,2016-10-12,7.74,7.74,7.7,7.7,6.994853,3900
290,2016-10-13,7.64,7.69,7.59,7.68,6.976685000000001,31400
291,2016-10-14,7.76,7.76,7.69,7.69,6.985767999999999,6700
292,2016-10-17,7.7,7.71,7.67,7.68,6.976685000000001,63000
293,2016-10-18,7.74,7.76,7.74,7.74,7.03119,900
294,2016-10-19,7.75,7.76,7.7,7.76,7.049358,14600
295,2016-10-20,7.7,7.74,7.7,7.74,7.03119,1200
296,2016-10-21,7.72,7.72,7.6,7.71,7.003937,8000
297,2016-10-24,7.66,7.74,7.66,7.74,7.03119,4000
298,2016-10-25,7.69,7.69,7.67,7.69,6.985767999999999,6400
299,2016-10-26,7.65,7.66,7.65,7.66,6.958516,2800
300,2016-10-27,7.6,7.64,7.59,7.61,6.913094999999999,7400
301,2016-10-28,7.5,7.62,7.5,7.6,6.90401,20000
302,2016-10-31,7.54,7.58,7.54,7.55,6.8585899999999995,8300
303,2016-11-01,7.58,7.58,7.55,7.55,6.8585899999999995,8800
304,2016-11-02,7.51,7.54,7.51,7.53,6.840421000000001,1600
305,2016-11-03,7.53,7.54,7.5,7.5,6.813169,12800
306,2016-11-04,7.51,7.52,7.48,7.5,6.813169,9900
307,2016-11-07,7.55,7.58,7.5,7.53,6.840421000000001,33100
308,2016-11-08,7.52,7.55,7.44,7.55,6.8585899999999995,12200
309,2016-11-09,7.59,7.61,7.5,7.53,6.840421000000001,37200
310,2016-11-10,7.51,7.6,7.51,7.59,6.894927,10000
311,2016-11-11,7.57,7.57,7.5,7.51,6.822253,8500
312,2016-11-14,7.5,7.5,7.34,7.35,6.6769050000000005,18400
