,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,EE,07/29/20,,68.4,68.4,68.4,0,-0.01,-0.01%
1,EE,07/28/20,68.4,68.41,68.39,68.41,2731768,0.01,0.01%
2,EE,07/27/20,68.37,68.43,68.37,68.4,2725673,0.35,0.51%
3,EE,07/24/20,68.15,68.15,67.63,68.05,726000,-0.1,-0.15%
4,EE,07/23/20,68.1,68.16,68.1,68.15,396902,0.01,0.01%
5,EE,07/22/20,66.98,68.39,66.75,68.14,1434492,1.01,1.50%
6,EE,07/21/20,66.5,67.2,66.28,67.13,395204,0.73,1.10%
7,EE,07/20/20,67.01,67.15,66.3,66.4,377584,-0.9,-1.34%
8,EE,07/17/20,67.21,67.52,67.12,67.3,230700,0.2,0.30%
9,EE,07/16/20,67.44,67.51,66.99,67.1,174145,-0.17,-0.25%
10,EE,07/15/20,67.5,67.6,67.27,67.27,392609,-0.26,-0.39%
11,EE,07/14/20,67.34,67.6,66.89,67.53,250957,0.23,0.34%
12,EE,07/13/20,67.3,67.61,67.06,67.3,170727,0.02,0.03%
13,EE,07/10/20,67.17,67.3,66.75,67.28,139000,0.17,0.25%
14,EE,07/09/20,67.01,67.3,66.63,67.11,213290,-0.03,-0.04%
15,EE,07/08/20,66.61,67.35,66.53,67.14,543879,0.47,0.70%
16,EE,07/07/20,66.61,67.17,66.5,66.67,244504,-0.12,-0.18%
17,EE,07/06/20,67.42,67.45,66.66,66.79,476745,-0.58,-0.86%
18,EE,07/02/20,67.3,67.39,67.16,67.37,203500,0.12,0.18%
19,EE,07/01/20,67.02,67.41,66.74,67.25,457621,0.25,0.37%
20,EE,06/30/20,66.73,67.1,66.63,67.0,374888,0.27,0.40%
21,EE,06/29/20,66.24,67.04,66.22,66.73,277530,0.61,0.92%
22,EE,06/26/20,66.35,66.38,66.0,66.12,581300,-0.19,-0.29%
23,EE,06/25/20,66.52,66.76,65.9,66.31,365338,-0.28,-0.42%
24,EE,06/24/20,65.98,67.12,65.53,66.59,475498,0.59,0.89%
25,EE,06/23/20,66.68,66.79,65.67,66.0,474275,-0.38,-0.57%
26,EE,06/22/20,66.5,66.7,66.36,66.38,214863,-0.05,-0.08%
27,EE,06/19/20,67.21,67.3,66.43,66.43,700500,-0.27,-0.40%
28,EE,06/18/20,66.68,67.18,66.52,66.7,259642,-0.02,-0.03%
29,EE,06/17/20,66.84,66.99,66.23,66.72,307451,-0.07,-0.10%
30,EE,06/16/20,66.7,66.81,66.57,66.79,454141,0.21,0.32%
31,EE,06/15/20,66.61,66.82,66.29,66.58,445734,-0.53,-0.79%
32,EE,06/12/20,67.44,67.49,66.24,67.11,1150500,-0.14,-0.21%
33,EE,06/11/20,67.7,67.89,67.14,67.25,541943,-0.6,-0.88%
34,EE,06/10/20,67.92,68.05,67.85,67.85,178024,0.0,0.00%
35,EE,06/09/20,67.82,68.0,67.73,67.85,403888,0.0,0.00%
36,EE,06/08/20,67.72,67.88,67.7,67.85,544030,0.13,0.19%
37,EE,06/05/20,67.81,67.99,67.72,67.72,386500,-0.09,-0.13%
38,EE,06/04/20,67.7,67.87,67.5,67.81,354931,0.04,0.06%
39,EE,06/03/20,67.95,68.05,67.77,67.77,392677,-0.09,-0.13%
40,EE,06/02/20,67.99,68.02,67.84,67.86,681531,-0.09,-0.13%
41,EE,06/01/20,68.0,68.14,67.86,67.95,421236,-0.02,-0.03%
42,EE,05/29/20,67.96,68.02,67.83,67.97,513900,-0.04,-0.06%
43,EE,05/28/20,68.16,68.16,67.92,68.01,814757,-0.04,-0.06%
44,EE,05/27/20,68.0,68.06,66.48,68.05,723610,0.02,0.03%
45,EE,05/26/20,68.02,68.05,67.91,68.03,256712,0.03,0.04%
46,EE,05/22/20,68.01,68.02,67.93,68.0,321700,0.0,0.00%
47,EE,05/21/20,68.01,68.03,67.94,68.0,388595,-0.05,-0.07%
48,EE,05/20/20,68.15,68.15,67.75,68.05,843385,0.0,0.00%
49,EE,05/19/20,68.1,68.13,68.04,68.05,443143,-0.07,-0.10%
50,EE,05/18/20,68.09,68.15,68.03,68.12,339392,-0.01,-0.01%
51,EE,05/15/20,68.1,68.14,68.05,68.13,1264900,0.03,0.04%
52,EE,05/14/20,68.05,68.1,68.03,68.1,484223,0.05,0.07%
53,EE,05/13/20,68.03,68.06,68.01,68.05,409266,0.01,0.01%
54,EE,05/12/20,68.01,68.06,68.0,68.04,392437,0.02,0.03%
55,EE,05/11/20,68.01,68.08,67.92,68.02,634830,-0.1,-0.15%
56,EE,05/08/20,68.1,68.13,66.45,68.12,1753500,0.01,0.01%
57,EE,05/07/20,68.09,68.12,68.06,68.11,237363,0.08,0.12%
58,EE,05/06/20,68.1,68.1,68.02,68.03,179960,-0.06,-0.09%
59,EE,05/05/20,68.09,68.11,68.04,68.09,465228,0.03,0.04%
60,EE,05/04/20,68.02,68.1,68.02,68.06,275166,-0.03,-0.04%
61,EE,05/01/20,68.0,68.09,68.0,68.09,256800,0.09,0.13%
62,EE,04/30/20,68.1,68.13,68.0,68.0,522105,-0.14,-0.21%
63,EE,04/29/20,68.14,68.15,68.1,68.14,277079,0.0,0.00%
64,EE,04/28/20,68.12,68.15,68.06,68.14,517002,0.15,0.22%
65,EE,04/27/20,68.17,68.17,67.97,67.99,846949,-0.21,-0.31%
66,EE,04/24/20,68.02,68.2,67.98,68.2,640100,0.19,0.28%
67,EE,04/23/20,68.04,68.08,67.99,68.01,352671,0.0,0.00%
68,EE,04/22/20,68.17,68.28,66.8,68.01,1375964,-0.16,-0.23%
69,EE,04/21/20,68.07,68.19,68.06,68.17,405891,0.08,0.12%
70,EE,04/20/20,68.06,68.12,68.02,68.09,296545,-0.01,-0.01%
71,EE,04/17/20,68.0,68.17,67.99,68.1,472800,0.05,0.07%
72,EE,04/16/20,68.03,68.05,67.96,68.05,396019,0.0,0.00%
73,EE,04/15/20,67.95,68.07,67.81,68.05,491643,-0.15,-0.22%
74,EE,04/14/20,67.88,68.2,67.75,68.2,377381,0.43,0.63%
75,EE,04/13/20,67.8,67.91,67.76,67.77,514038,-0.13,-0.19%
76,EE,04/09/20,67.99,68.02,67.09,67.9,1686800,-0.04,-0.06%
77,EE,04/08/20,67.99,68.03,67.91,67.94,652068,-0.06,-0.09%
78,EE,04/07/20,68.05,68.05,67.96,68.0,604628,-0.04,-0.06%
79,EE,04/06/20,67.98,68.17,67.91,68.04,533806,0.02,0.03%
80,EE,04/03/20,67.96,68.07,67.88,68.02,849400,0.03,0.04%
81,EE,04/02/20,67.9,68.0,67.85,67.99,926092,0.04,0.06%
82,EE,04/01/20,67.79,68.31,67.74,67.95,693666,-0.01,-0.01%
83,EE,03/31/20,67.81,68.2,67.65,67.96,1219813,0.18,0.27%
84,EE,03/30/20,67.65,68.09,67.2,67.78,1664386,0.52,0.77%
85,EE,03/27/20,66.89,67.75,66.82,67.26,648300,-0.28,-0.41%
86,EE,03/26/20,67.65,67.8,67.26,67.54,978231,0.09,0.13%
87,EE,03/25/20,66.04,68.33,66.0,67.45,1928705,0.85,1.28%
88,EE,03/24/20,65.92,66.61,65.76,66.6,892951,1.09,1.66%
89,EE,03/23/20,66.0,66.48,65.1,65.51,774441,-0.89,-1.34%
90,EE,03/20/20,66.61,66.75,65.32,66.4,805300,0.2,0.30%
91,EE,03/19/20,63.37,66.41,61.74,66.2,905491,2.72,4.28%
92,EE,03/18/20,64.83,65.06,61.91,63.48,979580,-1.99,-3.04%
93,EE,03/17/20,65.05,67.1,64.42,65.47,1443452,0.58,0.89%
94,EE,03/16/20,66.28,66.46,64.27,64.89,1090022,-2.45,-3.64%
95,EE,03/13/20,66.7,67.63,66.52,67.34,799800,0.55,0.82%
96,EE,03/12/20,67.2,67.31,64.76,66.79,1186253,-0.96,-1.42%
97,EE,03/11/20,67.13,68.05,66.81,67.75,993201,0.45,0.67%
