,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,EFC,08/18/20,12.47,12.57,12.28,12.37,136876,-0.14,-1.12%
1,EFC,08/17/20,12.52,12.61,12.25,12.51,180684,-0.03,-0.24%
2,EFC,08/14/20,12.21,12.58,12.11,12.54,154100,0.22,1.79%
3,EFC,08/13/20,12.34,12.58,12.18,12.32,155461,-0.11,-0.88%
4,EFC,08/12/20,12.65,12.76,12.18,12.43,243945,-0.04,-0.32%
5,EFC,08/11/20,12.8,12.94,12.43,12.47,292466,-0.08,-0.64%
6,EFC,08/10/20,12.2,12.66,12.2,12.55,465200,0.35,2.87%
7,EFC,08/07/20,12.4,12.4,11.74,12.2,436500,0.22,1.84%
8,EFC,08/06/20,11.92,12.11,11.92,11.98,230592,-0.19,-1.56%
9,EFC,08/05/20,11.82,12.19,11.66,12.17,363279,0.47,4.02%
10,EFC,08/04/20,11.58,11.79,11.52,11.7,256221,0.04,0.34%
11,EFC,08/03/20,11.74,11.75,11.45,11.66,370106,-0.1,-0.85%
12,EFC,07/31/20,11.96,11.96,11.63,11.76,330400,-0.26,-2.16%
13,EFC,07/30/20,11.9,12.06,11.82,12.02,122133,-0.17,-1.39%
14,EFC,07/29/20,12.17,12.2,12.0,12.19,154350,0.11,0.91%
15,EFC,07/28/20,11.91,12.24,11.91,12.08,235138,0.08,0.67%
16,EFC,07/27/20,11.96,12.15,11.86,12.0,178467,0.06,0.50%
17,EFC,07/24/20,12.27,12.4,11.93,11.94,166300,-0.3,-2.45%
18,EFC,07/23/20,12.12,12.42,12.1,12.24,160997,0.04,0.33%
19,EFC,07/22/20,12.03,12.43,11.95,12.2,212306,0.11,0.91%
20,EFC,07/21/20,11.93,12.19,11.77,12.09,253041,0.34,2.89%
21,EFC,07/20/20,11.76,11.92,11.62,11.75,179090,-0.14,-1.18%
22,EFC,07/17/20,11.91,11.98,11.69,11.89,193400,-0.01,-0.08%
23,EFC,07/16/20,11.9,12.04,11.76,11.9,206622,-0.09,-0.75%
24,EFC,07/15/20,11.6,12.1,11.6,11.99,346523,0.63,5.55%
25,EFC,07/14/20,11.23,11.47,11.09,11.36,140896,0.15,1.34%
26,EFC,07/13/20,11.35,11.4,11.08,11.21,347128,-0.02,-0.18%
27,EFC,07/10/20,10.94,11.27,10.9,11.23,303900,0.21,1.91%
28,EFC,07/09/20,11.6,11.98,10.97,11.02,393516,-0.14,-1.25%
29,EFC,07/08/20,10.99,11.22,10.77,11.16,285812,0.1,0.90%
30,EFC,07/07/20,11.42,11.44,11.03,11.06,237690,-0.52,-4.49%
31,EFC,07/06/20,11.58,11.61,11.26,11.58,271907,0.22,1.94%
32,EFC,07/02/20,11.82,11.84,11.31,11.36,266700,-0.22,-1.90%
33,EFC,07/01/20,11.77,11.94,11.45,11.58,296155,-0.2,-1.70%
34,EFC,06/30/20,11.67,11.81,11.38,11.78,273563,0.0,0.00%
35,EFC,06/29/20,11.5,11.92,11.39,11.78,307162,0.27,2.35%
36,EFC,06/26/20,11.59,11.88,11.31,11.51,533300,-0.29,-2.46%
37,EFC,06/25/20,11.31,11.81,11.28,11.8,273873,0.34,2.97%
38,EFC,06/24/20,11.73,11.87,11.1,11.46,436280,-0.46,-3.86%
39,EFC,06/23/20,11.98,12.02,11.78,11.92,419003,0.1,0.85%
40,EFC,06/22/20,11.75,11.94,11.58,11.82,335298,-0.03,-0.25%
41,EFC,06/19/20,12.26,12.38,11.82,11.85,867700,-0.28,-2.31%
42,EFC,06/18/20,11.99,12.36,11.88,12.13,263621,-0.11,-0.90%
43,EFC,06/17/20,12.4,12.49,12.17,12.24,313784,-0.15,-1.21%
44,EFC,06/16/20,12.79,12.92,12.05,12.39,441035,0.22,1.81%
45,EFC,06/15/20,11.37,12.39,11.14,12.17,418871,0.24,2.01%
46,EFC,06/12/20,11.7,11.94,11.31,11.93,330100,0.78,7.00%
47,EFC,06/11/20,11.02,11.76,10.8,11.15,580722,-0.89,-7.39%
48,EFC,06/10/20,12.5,12.58,11.76,12.04,429189,-0.46,-3.68%
49,EFC,06/09/20,12.55,12.93,12.31,12.5,640995,-0.49,-3.77%
50,EFC,06/08/20,12.55,13.12,12.42,12.99,826909,1.19,10.08%
51,EFC,06/05/20,12.17,12.86,11.72,11.8,839700,0.37,3.24%
52,EFC,06/04/20,10.74,11.63,10.63,11.43,561402,0.63,5.83%
53,EFC,06/03/20,10.46,10.84,10.46,10.8,510945,0.51,4.96%
54,EFC,06/02/20,10.38,10.67,10.24,10.29,238709,-0.13,-1.25%
55,EFC,06/01/20,10.2,10.68,10.05,10.42,413557,0.22,2.16%
56,EFC,05/29/20,10.26,10.37,10.0,10.2,775000,-0.19,-1.83%
57,EFC,05/28/20,10.6,10.69,10.34,10.39,566844,-0.29,-2.72%
58,EFC,05/27/20,10.84,10.95,10.15,10.68,502262,0.13,1.23%
59,EFC,05/26/20,10.82,10.92,10.5,10.55,479558,0.2,1.93%
60,EFC,05/22/20,10.23,10.35,9.74,10.35,330300,0.19,1.87%
61,EFC,05/21/20,10.33,10.49,9.83,10.16,462645,-0.19,-1.84%
62,EFC,05/20/20,10.5,10.84,10.21,10.35,461502,0.08,0.78%
63,EFC,05/19/20,10.27,11.73,9.89,10.27,765041,0.01,0.10%
64,EFC,05/18/20,9.98,10.26,9.61,10.26,674396,0.68,7.10%
65,EFC,05/15/20,9.64,9.67,9.25,9.58,354700,-0.15,-1.54%
66,EFC,05/14/20,8.47,9.76,8.18,9.73,683686,0.97,11.07%
67,EFC,05/13/20,9.4,9.45,8.425,8.76,672724,-0.73,-7.69%
68,EFC,05/12/20,9.99,10.03,9.39,9.49,615363,-0.31,-3.16%
69,EFC,05/11/20,10.27,10.27,9.77,9.8,618117,-0.47,-4.58%
70,EFC,05/08/20,10.19,10.35,9.51,10.27,885900,0.4,4.05%
71,EFC,05/07/20,9.62,10.1,9.62,9.87,510630,0.29,3.03%
72,EFC,05/06/20,9.93,10.02,9.48,9.58,421882,-0.25,-2.54%
73,EFC,05/05/20,10.19,10.53,9.74,9.83,432015,-0.07,-0.71%
74,EFC,05/04/20,9.82,9.97,9.43,9.9,398631,-0.13,-1.30%
75,EFC,05/01/20,10.02,10.33,9.85,10.03,596500,-0.36,-3.46%
76,EFC,04/30/20,10.64,10.96,10.14,10.39,739986,-0.52,-4.77%
77,EFC,04/29/20,10.66,11.07,10.41,10.91,891350,0.4,3.81%
78,EFC,04/28/20,10.43,10.71,10.24,10.51,744884,0.49,4.89%
79,EFC,04/27/20,9.88,10.16,9.725,10.02,595739,0.15,1.52%
80,EFC,04/24/20,9.94,10.01,9.57,9.87,493900,0.16,1.65%
81,EFC,04/23/20,9.65,10.14,9.649,9.71,522887,0.04,0.41%
82,EFC,04/22/20,10.04,10.06,9.37,9.67,475893,-0.13,-1.33%
83,EFC,04/21/20,9.42,9.86,9.42,9.8,683643,0.11,1.14%
84,EFC,04/20/20,9.47,9.89,9.47,9.69,519117,-0.25,-2.52%
85,EFC,04/17/20,9.62,9.98,9.39,9.94,1015500,0.74,8.04%
86,EFC,04/16/20,9.51,9.62,9.1,9.2,913455,-0.25,-2.65%
87,EFC,04/15/20,9.39,9.82,9.0,9.45,1258814,-0.56,-5.59%
88,EFC,04/14/20,10.49,10.49,9.46,10.01,2423985,0.07,0.70%
89,EFC,04/13/20,10.82,11.0,9.06,9.94,2410819,-1.1,-9.96%
90,EFC,04/09/20,9.45,11.83,9.45,11.04,5466000,1.92,21.05%
91,EFC,04/08/20,8.03,9.3,7.61,9.12,11798683,3.9,74.71%
92,EFC,04/07/20,4.81,5.37,4.81,5.22,1361665,0.65,14.22%
93,EFC,04/06/20,4.15,4.83,4.15,4.57,1265293,0.67,17.18%
94,EFC,04/03/20,4.05,4.06,3.68,3.9,1179100,-0.2,-4.88%
95,EFC,04/02/20,4.45,4.73,4.05,4.1,842261,-0.13,-3.07%
96,EFC,04/01/20,5.35,5.4,4.07,4.23,1351180,-1.48,-25.92%
97,EFC,03/31/20,5.66,6.27,5.36,5.71,1625822,-0.01,-0.17%
98,EFC,03/30/20,6.79,6.82,5.57,5.72,888414,-1.09,-16.01%
99,EFC,03/27/20,6.49,7.0,6.05,6.81,1454400,0.51,8.10%
100,EFC,03/26/20,5.61,7.1,5.11,6.3,3477199,0.82,14.96%
101,EFC,03/25/20,4.36,5.74,4.2,5.48,1686821,1.52,38.38%
102,EFC,03/24/20,5.66,5.9,3.85,3.96,1967501,-1.41,-26.26%
103,EFC,03/23/20,6.87,6.87,5.06,5.37,1089866,-1.43,-21.03%
104,EFC,03/20/20,6.58,7.749,6.52,6.8,2554000,0.27,4.13%
105,EFC,03/19/20,5.52,7.0,5.08,6.53,1379346,1.05,19.16%
106,EFC,03/18/20,6.85,7.0,3.241,5.48,2298385,-1.82,-24.93%
107,EFC,03/17/20,9.25,9.26,7.22,7.3,1249471,-1.82,-19.96%
108,EFC,03/16/20,11.03,11.22,8.92,9.12,834920,-2.84,-23.75%
109,EFC,03/13/20,12.19,12.47,10.77,11.96,1217700,0.33,2.84%
110,EFC,03/12/20,13.85,13.97,11.6,11.63,1104659,-3.17,-21.42%
111,EFC,03/11/20,15.42,15.49,14.56,14.8,1329524,-0.85,-5.43%
112,EFC,03/10/20,15.69,15.82,15.23,15.65,769072,0.32,2.09%
113,EFC,03/09/20,15.31,15.74,14.89,15.33,1313259,-0.86,-5.31%
114,EFC,03/06/20,16.35,16.44,15.84,16.19,868300,-0.53,-3.17%
115,EFC,03/05/20,16.67,16.82,16.56,16.72,542032,-0.16,-0.95%
116,EFC,03/04/20,17.0,17.04,16.65,16.88,520231,0.14,0.84%
117,EFC,03/03/20,17.16,17.45,16.55,16.74,754470,-0.46,-2.67%
118,EFC,03/02/20,16.59,17.23,16.56,17.2,1381246,0.67,4.05%
119,EFC,02/28/20,16.67,16.81,15.97,16.53,2274500,-0.5,-2.94%
120,EFC,02/27/20,17.39,17.61,16.94,17.03,1297089,-0.7,-3.95%
121,EFC,02/26/20,18.01,18.29,17.64,17.73,1285967,-0.3,-1.66%
122,EFC,02/25/20,18.63,18.76,17.67,18.03,1345147,-0.56,-3.01%
123,EFC,02/24/20,18.5,18.71,18.5,18.59,610017,-0.14,-0.75%
124,EFC,02/21/20,19.08,19.08,18.6,18.73,786000,-0.36,-1.89%
125,EFC,02/20/20,19.05,19.12,18.98,19.09,763539,0.03,0.16%
126,EFC,02/19/20,18.92,19.11,18.89,19.06,723491,0.19,1.01%
127,EFC,02/18/20,18.84,18.93,18.84,18.87,296655,0.02,0.11%
128,EFC,02/14/20,18.84,18.93,18.77,18.85,382300,0.07,0.37%
129,EFC,02/13/20,18.41,19.05,18.41,18.78,645631,0.02,0.11%
130,EFC,02/12/20,18.65,18.77,18.56,18.76,424199,0.12,0.64%
131,EFC,02/11/20,18.69,18.71,18.61,18.64,545968,-0.03,-0.16%
132,EFC,02/10/20,18.65,18.7,18.57,18.67,560724,0.02,0.11%
133,EFC,02/07/20,18.6,18.66,18.51,18.65,573900,0.13,0.70%
134,EFC,02/06/20,18.55,18.59,18.46,18.52,359659,0.02,0.11%
135,EFC,02/05/20,18.38,18.57,18.37,18.5,402194,0.16,0.87%
136,EFC,02/04/20,18.35,18.38,18.27,18.34,477121,0.05,0.27%
137,EFC,02/03/20,18.25,18.35,18.23,18.29,593739,0.02,0.11%
