,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,EKSO,08/18/20,5.69,5.69,5.41,5.49,93744,-0.22,-3.85%
1,EKSO,08/17/20,5.81,5.93,5.65,5.71,108351,-0.11,-1.89%
2,EKSO,08/14/20,5.9,5.95,5.78,5.82,92500,-0.18,-3.00%
3,EKSO,08/13/20,5.84,6.1,5.82,6.0,130021,0.18,3.09%
4,EKSO,08/12/20,6.02,6.14,5.68,5.82,250022,-0.24,-3.96%
5,EKSO,08/11/20,6.31,6.4,6.02,6.06,138489,-0.25,-3.96%
6,EKSO,08/10/20,6.33,6.4,6.21,6.31,104099,0.05,0.80%
7,EKSO,08/07/20,6.4,6.5,6.26,6.26,93900,-0.17,-2.64%
8,EKSO,08/06/20,6.35,6.59,6.24,6.43,276382,0.04,0.63%
9,EKSO,08/05/20,6.4,6.61,6.36,6.39,182503,0.05,0.79%
10,EKSO,08/04/20,6.44,6.66,6.33,6.34,205930,-0.15,-2.31%
11,EKSO,08/03/20,6.44,6.72,6.23,6.49,374938,-0.03,-0.46%
12,EKSO,07/31/20,7.18,7.47,6.5,6.52,634000,-0.84,-11.41%
13,EKSO,07/30/20,7.22,7.76,7.08,7.36,368375,0.04,0.55%
14,EKSO,07/29/20,7.55,7.69,7.25,7.32,183693,-0.15,-2.01%
15,EKSO,07/28/20,7.12,7.7,7.12,7.47,335272,0.31,4.33%
16,EKSO,07/27/20,7.33,7.56,7.02,7.16,316620,-0.14,-1.92%
17,EKSO,07/24/20,7.13,7.63,7.01,7.3,307700,0.12,1.67%
18,EKSO,07/23/20,7.44,7.88,7.04,7.18,374342,-0.27,-3.62%
19,EKSO,07/22/20,7.17,7.62,7.17,7.45,244564,0.08,1.09%
20,EKSO,07/21/20,8.03,8.04,7.17,7.37,654723,-0.44,-5.63%
21,EKSO,07/20/20,7.99,8.16,7.6,7.81,479711,0.0,0.00%
22,EKSO,07/17/20,7.4,8.13,7.37,7.81,445700,0.37,4.97%
23,EKSO,07/16/20,7.45,7.74,7.25,7.44,375170,-0.07,-0.93%
24,EKSO,07/15/20,7.9,8.02,7.51,7.51,606036,-0.32,-4.09%
25,EKSO,07/14/20,8.08,8.23,7.5,7.83,354019,-0.3,-3.69%
26,EKSO,07/13/20,8.58,9.2,7.78,8.13,927285,-0.72,-8.14%
27,EKSO,07/10/20,7.4,9.21,7.26,8.85,1992400,1.51,20.57%
28,EKSO,07/09/20,7.24,7.53,7.11,7.34,446863,0.17,2.37%
29,EKSO,07/08/20,7.11,7.68,6.91,7.17,863415,-0.05,-0.69%
30,EKSO,07/07/20,7.0,7.36,6.71,7.22,565243,0.06,0.84%
31,EKSO,07/06/20,7.4,7.44,7.05,7.16,466569,-0.19,-2.59%
32,EKSO,07/02/20,7.16,7.94,7.16,7.35,1085600,0.12,1.66%
33,EKSO,07/01/20,7.79,8.16,7.09,7.23,1386836,-1.17,-13.93%
34,EKSO,06/30/20,6.66,9.34,6.59,8.4,4782168,1.29,18.14%
35,EKSO,06/29/20,7.42,7.85,6.73,7.11,4823513,-1.66,-18.93%
36,EKSO,06/26/20,9.99,10.74,8.26,8.77,36051500,1.47,20.14%
37,EKSO,06/25/20,5.56,8.76,5.06,7.3,123337650,4.2,135.48%
38,EKSO,06/24/20,3.4,3.41,3.05,3.1,341707,-0.29,-8.55%
39,EKSO,06/23/20,3.6,3.61,3.34,3.39,248057,-0.19,-5.31%
40,EKSO,06/22/20,3.54,3.99,3.5,3.58,1360525,0.16,4.68%
41,EKSO,06/19/20,3.41,3.54,3.41,3.42,119700,0.0,0.00%
42,EKSO,06/18/20,3.5,3.52,3.28,3.42,165419,-0.09,-2.56%
43,EKSO,06/17/20,3.65,3.66,3.5,3.51,146200,-0.17,-4.62%
44,EKSO,06/16/20,3.86,3.9,3.61,3.68,451060,-0.1,-2.65%
45,EKSO,06/15/20,3.45,3.87,3.36,3.78,680036,0.22,6.18%
46,EKSO,06/12/20,3.61,3.72,3.45,3.56,193900,0.07,2.01%
47,EKSO,06/11/20,3.66,3.74,3.43,3.49,265427,-0.32,-8.40%
48,EKSO,06/10/20,4.04,4.05,3.67,3.81,979320,-0.15,-3.79%
49,EKSO,06/09/20,4.1,4.16,3.87,3.96,859850,0.01,0.25%
50,EKSO,06/08/20,4.45,4.45,3.94,3.95,1684213,-1.23,-23.75%
51,EKSO,06/05/20,5.12,5.3,4.78,5.18,148700,0.23,4.65%
52,EKSO,06/04/20,4.33,5.2,4.23,4.95,267541,0.67,15.65%
53,EKSO,06/03/20,4.15,4.28,4.0,4.28,106591,0.33,8.35%
54,EKSO,06/02/20,3.87,4.26,3.82,3.95,224857,0.05,1.28%
55,EKSO,06/01/20,3.82,4.24,3.7,3.9,282219,0.07,1.83%
56,EKSO,05/29/20,3.5,3.85,3.41,3.83,118000,0.3,8.50%
57,EKSO,05/28/20,3.76,3.79,3.4,3.53,106994,-0.08,-2.22%
58,EKSO,05/27/20,4.0,4.0,3.51,3.61,251723,-0.23,-5.99%
59,EKSO,05/26/20,3.34,3.85,3.34,3.84,195905,0.58,17.79%
60,EKSO,05/22/20,3.08,3.38,3.04,3.26,112000,0.22,7.24%
61,EKSO,05/21/20,2.99,3.13,2.83,3.04,126160,-0.2,-6.17%
62,EKSO,05/20/20,3.17,3.29,3.07,3.24,58260,0.09,2.86%
63,EKSO,05/19/20,3.11,3.194,2.985,3.15,60644,0.01,0.30%
64,EKSO,05/18/20,3.2,3.24,3.07,3.141,40644,0.01,0.34%
65,EKSO,05/15/20,3.07,3.13,2.87,3.13,47200,0.13,4.33%
66,EKSO,05/14/20,3.06,3.18,2.8,3.0,114660,0.09,3.09%
67,EKSO,05/13/20,3.25,3.25,2.81,2.91,91411,-0.27,-8.49%
68,EKSO,05/12/20,3.56,3.58,3.17,3.18,254222,-0.38,-10.67%
69,EKSO,05/11/20,3.61,3.98,3.43,3.56,459312,-0.01,-0.28%
70,EKSO,05/08/20,3.52,3.71,3.51,3.57,48000,0.04,1.13%
71,EKSO,05/07/20,3.45,3.59,3.45,3.53,27959,0.08,2.32%
72,EKSO,05/06/20,3.6,4.1,3.44,3.45,307506,-0.19,-5.22%
73,EKSO,05/05/20,3.92,4.0,3.47,3.64,70707,-0.23,-5.94%
74,EKSO,05/04/20,3.7,3.87,3.6,3.87,43374,0.09,2.38%
75,EKSO,05/01/20,4.02,4.02,3.5,3.78,37700,-0.11,-2.83%
76,EKSO,04/30/20,3.96,4.0,3.77,3.89,39625,-0.07,-1.77%
77,EKSO,04/29/20,3.85,4.03,3.85,3.96,41675,0.06,1.54%
78,EKSO,04/28/20,4.12,4.17,3.8,3.9,65135,-0.2,-4.88%
79,EKSO,04/27/20,3.96,4.25,3.96,4.1,48347,0.14,3.54%
