,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,EMIF,08/18/20,21.89,21.9,21.81,21.81,1276,-0.04,-0.18%
1,EMIF,08/17/20,22.0,22.07,21.85,21.85,2040,-0.22,-1.00%
2,EMIF,08/14/20,,22.07,22.07,22.07,37,0.0,0.00%
3,EMIF,08/13/20,21.88,22.29,21.88,22.07,2351,0.29,1.31%
4,EMIF,08/12/20,21.82,21.82,21.69,21.79,1077,0.24,1.14%
5,EMIF,08/11/20,21.76,21.76,21.54,21.54,2356,0.38,1.80%
6,EMIF,08/10/20,21.16,21.16,21.16,21.16,508,0.05,0.26%
7,EMIF,08/07/20,21.21,21.22,21.07,21.11,3500,-0.34,-1.56%
8,EMIF,08/06/20,21.15,21.44,21.15,21.44,5550,0.14,0.66%
9,EMIF,08/05/20,21.33,21.35,21.07,21.3,95911,0.02,0.12%
10,EMIF,08/04/20,21.26,21.28,21.26,21.28,2136,-0.02,-0.12%
11,EMIF,08/03/20,21.3,21.3,21.3,21.3,283,0.12,0.55%
12,EMIF,07/31/20,21.22,21.22,21.18,21.18,1800,-0.44,-2.05%
13,EMIF,07/30/20,21.62,21.62,21.53,21.62,457,-0.08,-0.35%
14,EMIF,07/29/20,21.71,21.71,21.69,21.7,1299,-0.17,-0.79%
15,EMIF,07/28/20,,21.87,21.87,21.87,63,0.0,0.00%
16,EMIF,07/27/20,21.8,21.88,21.8,21.87,1006,0.1,0.45%
17,EMIF,07/24/20,21.75,21.77,21.71,21.77,2400,0.01,0.07%
18,EMIF,07/23/20,22.0,22.0,21.76,21.76,715,-0.38,-1.74%
19,EMIF,07/22/20,22.11,22.23,22.11,22.14,739,0.22,1.03%
20,EMIF,07/21/20,,21.92,21.92,21.92,32,0.0,0.00%
21,EMIF,07/20/20,21.79,21.92,21.79,21.92,442,-0.2,-0.93%
22,EMIF,07/17/20,,22.12,22.12,22.12,143,0.0,0.00%
23,EMIF,07/16/20,,22.12,22.12,22.12,130,0.0,0.00%
24,EMIF,07/15/20,22.13,22.21,22.12,22.12,973,-0.09,-0.40%
25,EMIF,07/14/20,21.87,22.21,21.76,22.21,2495,0.16,0.75%
26,EMIF,07/13/20,22.28,22.28,22.05,22.05,2381,-0.01,-0.02%
27,EMIF,07/10/20,22.05,22.11,22.03,22.05,1000,-0.52,-2.33%
28,EMIF,07/09/20,22.58,22.58,22.58,22.58,324,-0.2,-0.88%
29,EMIF,07/08/20,22.64,22.78,22.64,22.78,1282,0.08,0.35%
30,EMIF,07/07/20,22.45,22.7,22.45,22.7,4719,-0.44,-1.91%
31,EMIF,07/06/20,23.07,23.28,22.96,23.14,6313,0.94,4.25%
32,EMIF,07/02/20,22.27,22.31,22.2,22.2,1500,0.32,1.46%
33,EMIF,07/01/20,21.9,22.06,21.88,21.88,1528,0.25,1.16%
34,EMIF,06/30/20,21.74,21.74,21.6,21.63,2322,-0.19,-0.85%
35,EMIF,06/29/20,21.64,21.82,21.64,21.82,2278,0.04,0.17%
36,EMIF,06/26/20,22.14,22.14,21.77,21.78,1100,-0.56,-2.53%
37,EMIF,06/25/20,22.17,22.5,22.1,22.34,49284,0.05,0.25%
38,EMIF,06/24/20,22.44,22.44,22.15,22.29,1994,-0.45,-1.96%
39,EMIF,06/23/20,22.72,22.74,22.72,22.74,1846,0.21,0.93%
40,EMIF,06/22/20,22.61,22.61,22.53,22.53,561,-0.22,-0.99%
41,EMIF,06/19/20,22.86,22.9,22.6,22.75,1100,0.29,1.29%
42,EMIF,06/18/20,22.55,22.55,22.38,22.46,1369,-0.18,-0.79%
43,EMIF,06/17/20,22.75,22.86,22.59,22.64,1486,0.13,0.60%
44,EMIF,06/16/20,23.09,23.09,22.49,22.5,18200,-0.08,-0.33%
