,Date,Open,High,Low,Close,Adj Close,Volume
0,2007-11-15,3.93,3.93,3.93,3.93,3.93,0
1,2007-11-16,3.71,3.71,3.71,3.71,3.71,1000
2,2007-11-19,3.71,3.71,3.71,3.71,3.71,0
3,2007-11-20,3.72,3.72,3.72,3.72,3.72,1000
4,2007-11-21,3.72,3.72,3.72,3.72,3.72,1000
5,2007-11-23,3.72,3.72,3.72,3.72,3.72,0
6,2007-11-26,3.72,3.72,3.72,3.72,3.72,0
7,2007-11-27,3.53,3.53,3.53,3.53,3.53,5000
8,2007-11-28,3.53,3.53,3.53,3.53,3.53,0
9,2007-11-29,3.53,3.53,3.53,3.53,3.53,0
10,2007-11-30,3.49,3.49,3.49,3.49,3.49,1000
11,2007-12-03,3.49,3.49,3.49,3.49,3.49,0
12,2007-12-04,3.49,3.49,3.49,3.49,3.49,0
13,2007-12-05,3.49,3.49,3.49,3.49,3.49,0
14,2007-12-06,3.23,3.23,3.2,3.23,3.23,50000
15,2007-12-07,3.25,3.25,3.25,3.25,3.25,5000
16,2007-12-10,3.24,3.24,3.24,3.24,3.24,1000
17,2007-12-11,3.24,3.24,3.24,3.24,3.24,0
18,2007-12-12,3.19,3.19,3.19,3.19,3.19,200
19,2007-12-13,3.19,3.19,3.19,3.19,3.19,0
20,2007-12-14,3.11,3.11,3.09,3.11,3.11,5000
21,2007-12-17,3.09,3.09,3.09,3.09,3.09,500
22,2007-12-18,2.99,2.99,2.99,2.99,2.99,2000
23,2007-12-19,3.0,3.0,3.0,3.0,3.0,1000
24,2007-12-20,3.0,3.0,3.0,3.0,3.0,500
25,2007-12-21,3.02,3.02,3.02,3.02,3.02,1000
26,2007-12-24,3.02,3.02,3.02,3.02,3.02,0
27,2007-12-26,3.02,3.02,3.02,3.02,3.02,0
28,2007-12-27,3.06,3.06,3.05,3.06,3.06,1500
29,2007-12-28,3.06,3.06,3.06,3.06,3.06,0
30,2007-12-31,2.9,2.9,2.9,2.9,2.9,4000
31,2008-01-02,2.9,2.9,2.9,2.9,2.9,0
32,2008-01-03,3.05,3.05,3.05,3.05,3.05,200
33,2008-01-04,3.03,3.07,3.03,3.03,3.03,3000
34,2008-01-07,3.24,3.24,3.04,3.24,3.24,3000
35,2008-01-08,3.24,3.24,3.24,3.24,3.24,0
36,2008-01-09,3.14,3.14,3.14,3.14,3.14,5900
37,2008-01-10,3.08,3.13,3.08,3.08,3.08,12000
38,2008-01-11,3.08,3.1,3.05,3.08,3.08,11200
39,2008-01-14,3.11,3.11,2.96,3.11,3.11,2000
40,2008-01-15,3.06,3.16,3.06,3.06,3.06,2300
41,2008-01-16,2.98,2.98,2.98,2.98,2.98,1000
42,2008-01-17,3.12,3.12,3.11,3.12,3.12,4300
43,2008-01-18,2.94,3.13,2.94,2.94,2.94,6300
44,2008-01-22,2.35,2.49,2.35,2.35,2.35,3000
45,2008-01-23,2.34,2.34,2.34,2.34,2.34,4900
46,2008-01-24,2.47,2.57,2.47,2.47,2.47,2000
47,2008-01-25,2.59,2.75,2.59,2.59,2.59,7000
48,2008-01-28,2.6,2.6,2.6,2.6,2.6,5300
49,2008-01-29,2.39,2.58,2.39,2.39,2.39,18000
50,2008-01-30,2.54,2.54,2.34,2.54,2.54,9100
51,2008-01-31,2.3,2.35,2.3,2.3,2.3,2600
52,2008-02-01,2.3,2.3,2.3,2.3,2.3,0
53,2008-02-04,2.28,2.28,2.28,2.28,2.28,2000
54,2008-02-05,2.25,2.25,2.24,2.25,2.25,20200
55,2008-02-06,2.25,2.25,2.25,2.25,2.25,0
56,2008-02-07,2.25,2.25,2.25,2.25,2.25,0
57,2008-02-08,2.25,2.25,2.25,2.25,2.25,0
58,2008-02-11,3.46,3.46,3.21,3.46,3.46,5000
59,2008-02-12,3.46,3.46,3.46,3.46,3.46,0
60,2008-02-13,3.01,3.01,3.01,3.01,3.01,500
61,2008-02-14,2.72,3.02,2.72,2.72,2.72,900
62,2008-02-15,2.72,2.72,2.72,2.72,2.72,0
63,2008-02-19,2.82,2.82,2.82,2.82,2.82,1000
64,2008-02-20,2.82,2.82,2.82,2.82,2.82,0
65,2008-02-21,2.93,2.93,2.93,2.93,2.93,1000
66,2008-02-22,2.73,2.87,2.73,2.73,2.73,8800
67,2008-02-25,2.73,2.73,2.73,2.73,2.73,0
68,2008-02-26,2.73,2.73,2.73,2.73,2.73,0
69,2008-02-27,2.96,2.96,2.96,2.96,2.96,1000
70,2008-02-28,2.96,2.96,2.96,2.96,2.96,0
71,2008-02-29,2.96,2.96,2.96,2.96,2.96,0
72,2008-03-03,2.96,2.96,2.96,2.96,2.96,0
73,2008-03-04,2.96,2.96,2.96,2.96,2.96,0
74,2008-03-05,2.79,2.79,2.79,2.79,2.79,1000
75,2008-03-06,2.79,2.79,2.79,2.79,2.79,0
76,2008-03-07,2.89,2.89,2.63,2.89,2.89,2200
77,2008-03-10,2.89,2.89,2.89,2.89,2.89,0
78,2008-03-11,2.89,2.89,2.89,2.89,2.89,0
79,2008-03-12,2.89,2.89,2.89,2.89,2.89,0
80,2008-03-13,2.89,2.89,2.89,2.89,2.89,0
81,2008-03-14,2.89,2.89,2.89,2.89,2.89,0
82,2008-03-17,2.89,2.89,2.89,2.89,2.89,0
83,2008-03-18,2.23,2.23,2.21,2.23,2.23,12000
84,2008-03-19,2.23,2.23,2.23,2.23,2.23,0
85,2008-03-20,1.96,1.96,1.96,1.96,1.96,3500
86,2008-03-24,1.96,1.96,1.96,1.96,1.96,0
87,2008-03-25,1.96,1.96,1.96,1.96,1.96,0
88,2008-03-26,2.0,2.09,2.0,2.0,2.0,2300
89,2008-03-27,2.17,2.17,2.17,2.17,2.17,1000
90,2008-03-28,2.17,2.17,2.17,2.17,2.17,2000
91,2008-03-31,1.99,1.99,1.99,1.99,1.99,600
92,2008-04-01,2.51,2.51,2.15,2.51,2.51,24300
93,2008-04-02,2.51,2.51,2.5,2.51,2.51,49700
94,2008-04-03,3.21,3.21,3.14,3.21,3.21,3900
95,2008-04-04,3.21,3.21,3.21,3.21,3.21,0
96,2008-04-07,3.21,3.21,3.21,3.21,3.21,0
97,2008-04-08,2.87,2.87,2.87,2.87,2.87,0
98,2008-04-09,2.87,2.87,2.87,2.87,2.87,0
99,2008-04-10,2.94,2.96,2.94,2.94,2.94,1000
