,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,ESXB,08/18/20,5.24,5.32,5.12,5.29,26230,-0.04,-0.75%
1,ESXB,08/17/20,5.32,5.38,5.22,5.33,15819,-0.01,-0.19%
2,ESXB,08/14/20,5.24,5.36,5.18,5.34,13500,0.05,0.95%
3,ESXB,08/13/20,5.36,5.37,5.22,5.29,18118,-0.07,-1.31%
4,ESXB,08/12/20,5.49,5.49,5.32,5.36,12909,-0.03,-0.56%
5,ESXB,08/11/20,5.45,5.53,5.39,5.39,46446,0.03,0.56%
6,ESXB,08/10/20,5.22,5.42,5.22,5.36,26244,0.13,2.49%
7,ESXB,08/07/20,5.07,5.24,5.01,5.23,32800,0.21,4.18%
8,ESXB,08/06/20,5.08,5.08,4.97,5.02,37888,-0.05,-0.99%
9,ESXB,08/05/20,5.05,5.084,5.02,5.07,22036,0.04,0.80%
10,ESXB,08/04/20,4.99,5.05,4.96,5.03,34320,0.0,0.00%
11,ESXB,08/03/20,5.17,5.17,5.0,5.03,32007,-0.13,-2.52%
12,ESXB,07/31/20,5.12,5.16,5.01,5.16,48400,0.0,0.00%
13,ESXB,07/30/20,5.34,5.34,4.95,5.16,32421,-0.04,-0.77%
14,ESXB,07/29/20,4.99,5.24,4.99,5.2,21495,0.22,4.42%
15,ESXB,07/28/20,4.96,5.01,4.95,4.98,17528,-0.01,-0.20%
16,ESXB,07/27/20,5.05,5.05,4.95,4.99,14940,-0.01,-0.20%
17,ESXB,07/24/20,5.17,5.18,4.95,5.0,39900,-0.13,-2.53%
18,ESXB,07/23/20,5.05,5.15,5.05,5.13,47519,0.05,0.98%
19,ESXB,07/22/20,5.03,5.09,5.01,5.08,17363,-0.01,-0.20%
20,ESXB,07/21/20,4.96,5.09,4.934,5.09,73510,0.2,4.09%
21,ESXB,07/20/20,4.87,4.95,4.87,4.89,19247,-0.04,-0.81%
22,ESXB,07/17/20,4.96,5.01,4.9,4.93,90200,-0.08,-1.60%
23,ESXB,07/16/20,5.04,5.2,5.01,5.01,40261,-0.06,-1.18%
24,ESXB,07/15/20,4.9,5.14,4.89,5.07,80375,0.26,5.41%
25,ESXB,07/14/20,4.62,4.86,4.47,4.81,916950,0.15,3.22%
26,ESXB,07/13/20,4.85,4.88,4.63,4.66,56251,-0.13,-2.71%
27,ESXB,07/10/20,4.46,4.81,4.46,4.79,594500,0.32,7.16%
28,ESXB,07/09/20,4.67,4.71,4.46,4.47,74752,-0.25,-5.30%
29,ESXB,07/08/20,4.83,4.9,4.575,4.72,49318,-0.11,-2.28%
30,ESXB,07/07/20,5.05,5.1,4.82,4.83,60941,-0.3,-5.85%
31,ESXB,07/06/20,5.3,5.3,5.1,5.13,20167,-0.04,-0.77%
32,ESXB,07/02/20,5.28,5.31,4.99,5.17,50800,-0.01,-0.19%
33,ESXB,07/01/20,5.51,5.6,5.16,5.18,39556,-0.32,-5.82%
34,ESXB,06/30/20,5.38,5.65,5.38,5.5,65267,0.05,0.92%
35,ESXB,06/29/20,5.11,5.45,5.11,5.45,88257,0.37,7.28%
36,ESXB,06/26/20,4.93,5.24,4.76,5.08,299800,0.06,1.20%
37,ESXB,06/25/20,4.9,5.06,4.9,5.02,53570,0.07,1.41%
38,ESXB,06/24/20,5.15,5.17,4.93,4.95,50184,-0.21,-4.07%
39,ESXB,06/23/20,5.24,5.31,5.16,5.16,25248,-0.03,-0.58%
40,ESXB,06/22/20,5.04,5.23,5.0,5.19,36982,0.13,2.57%
