,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,EVK,08/18/20,1.03,1.06,1.02,1.06,9050,0.01,0.95%
1,EVK,08/17/20,1.07,1.07,1.045,1.05,4909,-0.02,-1.87%
2,EVK,08/14/20,1.05,1.08,1.01,1.07,55300,-0.06,-5.31%
3,EVK,08/13/20,1.25,1.25,1.12,1.13,19743,-0.07,-5.83%
4,EVK,08/12/20,1.18,1.3,1.14,1.2,55091,0.07,6.19%
5,EVK,08/11/20,1.17,1.2,1.12,1.13,5459,-0.05,-4.24%
6,EVK,08/10/20,1.15,1.23,1.14,1.18,21476,0.02,1.72%
7,EVK,08/07/20,1.25,1.25,1.11,1.16,29600,0.0,0.00%
8,EVK,08/06/20,1.1440000000000001,1.175,1.12,1.16,20126,0.0,0.00%
9,EVK,08/05/20,1.19,1.2,1.13,1.16,16457,-0.03,-2.52%
10,EVK,08/04/20,1.08,1.22,1.08,1.19,87037,0.04,3.48%
11,EVK,08/03/20,1.08,1.15,1.07,1.15,9002,0.02,1.77%
12,EVK,07/31/20,1.16,1.17,1.01,1.13,142100,0.06,5.61%
13,EVK,07/30/20,1.05,1.2,1.04,1.07,83752,0.01,0.94%
14,EVK,07/29/20,1.11,1.12,1.025,1.06,27425,-0.05,-4.50%
15,EVK,07/28/20,1.22,1.24,1.07,1.11,70668,-0.11,-9.02%
16,EVK,07/27/20,1.21,1.25,1.15,1.22,25966,0.02,1.67%
17,EVK,07/24/20,1.19,1.26,1.19,1.2,20200,0.0,0.00%
18,EVK,07/23/20,1.36,1.39,1.18,1.2,47377,-0.17,-12.41%
19,EVK,07/22/20,1.38,1.47,1.32,1.37,41801,0.05,3.79%
20,EVK,07/21/20,1.22,1.37,1.2,1.32,61984,0.09,7.32%
21,EVK,07/20/20,1.18,1.26,1.15,1.23,25611,-0.02,-1.76%
22,EVK,07/17/20,1.27,1.28,1.23,1.252,19600,-0.02,-1.42%
23,EVK,07/16/20,1.22,1.37,1.2,1.27,55118,-0.03,-2.31%
24,EVK,07/15/20,1.18,1.3,1.11,1.3,71933,0.18,16.07%
25,EVK,07/14/20,1.16,1.17,1.1,1.12,15957,-0.06,-5.08%
26,EVK,07/13/20,1.16,1.21,1.08,1.18,65723,-0.01,-0.84%
27,EVK,07/10/20,1.18,1.21,1.07,1.19,83800,0.09,8.18%
28,EVK,07/09/20,1.31,1.31,1.1,1.1,47537,-0.18,-14.06%
29,EVK,07/08/20,1.14,1.3730000000000002,1.07,1.28,131981,0.14,12.28%
30,EVK,07/07/20,1.13,1.2,1.02,1.14,61155,-0.06,-5.00%
31,EVK,07/06/20,1.1,1.44,0.96,1.2,125503,0.21,21.20%
32,EVK,07/02/20,0.9574,1.07,0.9574,0.9901,25600,0.01,0.61%
33,EVK,07/01/20,1.04,1.06,0.9501,0.9841,31577,-0.07,-6.28%
34,EVK,06/30/20,1.13,1.18,1.05,1.05,15468,0.01,0.96%
35,EVK,06/29/20,1.1909999999999998,1.1909999999999998,0.9751,1.04,71048,-0.21,-16.80%
36,EVK,06/26/20,1.23,1.35,1.2,1.25,72400,0.04,3.31%
37,EVK,06/25/20,1.16,1.4,1.15,1.21,84233,0.1,9.01%
38,EVK,06/24/20,1.19,1.85,1.1059999999999999,1.11,307297,-0.04,-3.48%
39,EVK,06/23/20,1.25,1.25,1.1,1.15,29267,-0.09,-7.26%
40,EVK,06/22/20,1.2,1.37,1.17,1.24,150734,0.07,5.98%
41,EVK,06/19/20,1.1,1.261,1.01,1.17,83200,0.13,12.50%
42,EVK,06/18/20,1.2,1.2,0.98,1.04,29093,-0.15,-12.61%
43,EVK,06/17/20,1.34,1.39,0.95,1.19,166319,-0.15,-11.19%
44,EVK,06/16/20,1.55,1.88,1.25,1.34,126757,-0.18,-11.84%
45,EVK,06/15/20,1.22,2.27,1.22,1.52,469720,0.26,20.63%
46,EVK,06/12/20,1.05,3.25,0.85,1.26,1304900,0.35,38.48%
47,EVK,06/11/20,0.7739,0.93,0.76,0.9099,7372,-0.03,-3.20%
48,EVK,06/10/20,1.0,1.05,0.75,0.94,48079,-0.18,-16.07%
49,EVK,06/09/20,0.87,1.22,0.85,1.12,84043,0.25,28.74%
50,EVK,06/08/20,0.71,0.8881,0.71,0.87,22930,0.12,16.11%
51,EVK,06/05/20,0.69,0.77,0.69,0.7493,4600,0.03,4.07%
52,EVK,06/04/20,0.75,0.75,0.71,0.72,11607,0.02,2.35%
53,EVK,06/03/20,0.67,0.71,0.67,0.7035,7124,0.03,4.69%
54,EVK,06/02/20,0.7389,0.7389,0.67,0.672,2430,-0.01,-1.16%
55,EVK,06/01/20,0.738,0.738,0.6799,0.6799,2408,-0.04,-5.53%
56,EVK,05/29/20,0.6185,0.74,0.6185,0.7197,2700,-0.01,-1.75%
57,EVK,05/28/20,0.7356,0.7356,0.7325,0.7325,1950,0.02,3.17%
58,EVK,05/27/20,0.69,0.71,0.67,0.71,4107,0.05,7.58%
59,EVK,05/26/20,0.6502,0.66,0.6502,0.66,1915,0.01,1.52%
60,EVK,05/22/20,0.738,0.738,0.6501,0.6501,3900,-0.1,-13.20%
61,EVK,05/21/20,0.779,0.779,0.6502,0.749,11782,0.1,15.23%
62,EVK,05/20/20,0.68,0.77,0.6068,0.65,4739,-0.11,-14.19%
63,EVK,05/19/20,0.735,0.779,0.69,0.7575,2452,0.02,3.06%
64,EVK,05/18/20,0.7,0.78,0.698,0.735,2641,0.05,6.52%
65,EVK,05/15/20,0.72,0.8147,0.6815,0.69,29000,-0.29,-29.59%
66,EVK,05/14/20,,0.7423,0.7423,0.98,630,0.24,32.02%
67,EVK,05/13/20,0.82,0.82,0.7201,0.7423,12225,-0.05,-6.04%
68,EVK,05/12/20,0.77,0.79,0.77,0.79,684,-0.01,-1.14%
69,EVK,05/11/20,0.79,0.8001,0.79,0.7991,9785,0.05,6.55%
70,EVK,05/08/20,0.76,0.798,0.75,0.75,12700,-0.04,-4.77%
71,EVK,05/07/20,0.83,0.83,0.75,0.7876,1662,-0.05,-6.04%
