,Date,Open,High,Low,Close,Adj Close,Volume
0,1999-04-09,27.0,32.5625,24.375,27.6875,27.6875,20491400
1,1999-04-12,26.5,28.125,24.9375,27.125,27.125,3618000
2,1999-04-13,27.1875,31.28125,27.1875,27.6875,27.6875,2062200
3,1999-04-14,27.8125,30.0,24.125,25.5,25.5,1378800
4,1999-04-15,25.25,25.25,19.875,23.5,23.5,2663200
5,1999-04-16,23.375,27.5,22.4375,27.5,27.5,1571200
6,1999-04-19,26.625,27.25,19.8125,20.3125,20.3125,1491600
7,1999-04-20,19.25,23.25,17.53125,20.75,20.75,1258800
8,1999-04-21,20.71875,22.625,19.8125,21.625,21.625,762800
9,1999-04-22,24.0,24.25,21.0,21.0625,21.0625,891400
10,1999-04-23,20.8125,24.25,20.75,23.5,23.5,801800
11,1999-04-26,23.5,27.5,23.5,26.40625,26.40625,1445800
12,1999-04-27,27.5,28.6875,25.21875,26.0,26.0,702800
13,1999-04-28,26.375,26.375,23.875,25.25,25.25,516200
14,1999-04-29,24.59375,25.46875,22.0,25.25,25.25,463600
15,1999-04-30,26.625,28.5,26.25,27.71875,27.71875,718800
16,1999-05-03,27.875,27.96875,24.0,26.5625,26.5625,614200
17,1999-05-04,24.625,24.625,21.375,22.875,22.875,1710600
18,1999-05-05,23.0,23.0,19.25,20.875,20.875,1757800
19,1999-05-06,21.375,21.4375,19.28125,20.34375,20.34375,865400
20,1999-05-07,20.375,21.0,19.9375,19.9375,19.9375,315400
21,1999-05-10,20.1875,20.8125,19.4375,19.75,19.75,186200
22,1999-05-11,19.75,19.96875,18.625,19.15625,19.15625,565200
23,1999-05-12,19.0625,22.1875,19.0625,21.9375,21.9375,1103800
24,1999-05-13,22.46875,23.96875,22.40625,23.53125,23.53125,1549000
25,1999-05-14,22.875,24.75,21.75,24.625,24.625,808400
26,1999-05-17,24.84375,25.125,23.5625,25.0,25.0,764800
27,1999-05-18,25.09375,25.1875,24.25,24.4375,24.4375,520600
28,1999-05-19,24.4375,24.46875,22.5,23.0,23.0,315200
29,1999-05-20,23.0,23.25,21.5,21.5,21.5,265400
30,1999-05-21,21.6875,21.75,20.25,20.78125,20.78125,273600
31,1999-05-24,21.0,22.0,20.0,21.5,21.5,225800
32,1999-05-25,21.1875,21.5,20.5,21.0,21.0,469800
33,1999-05-26,20.875,22.0,18.625,19.875,19.875,1131800
34,1999-05-27,19.71875,19.96875,18.5625,19.25,19.25,265800
35,1999-05-28,21.9375,22.0,19.78125,21.3125,21.3125,488400
36,1999-06-01,21.5625,21.875,20.59375,20.875,20.875,132000
37,1999-06-02,21.0,21.0,19.25,20.1875,20.1875,194800
38,1999-06-03,20.15625,20.375,19.9375,20.0625,20.0625,138400
39,1999-06-04,20.125,20.375,20.0,20.0625,20.0625,115000
40,1999-06-07,20.75,22.75,20.5,22.46875,22.46875,393600
41,1999-06-08,22.96875,23.375,22.6875,23.375,23.375,623200
42,1999-06-09,24.0,24.0,23.1875,23.71875,23.71875,230000
43,1999-06-10,23.3125,23.875,23.09375,23.875,23.875,181200
44,1999-06-11,23.65625,24.0,22.5,22.65625,22.65625,199600
45,1999-06-14,22.53125,23.25,21.5,22.8125,22.8125,181000
46,1999-06-15,22.75,23.25,21.5,21.703125,21.703125,163400
47,1999-06-16,22.0,22.1875,21.8125,21.875,21.875,285400
48,1999-06-17,21.875,21.875,21.5,21.65625,21.65625,332800
49,1999-06-18,21.6875,21.71875,21.5,21.71875,21.71875,263000
50,1999-06-21,21.65625,23.25,21.625,22.875,22.875,1471800
51,1999-06-22,22.875,24.0,22.375,22.625,22.625,567800
52,1999-06-23,22.96875,24.75,22.625,24.3125,24.3125,850600
53,1999-06-24,25.0625,26.0,24.0,24.96875,24.96875,1147200
54,1999-06-25,25.5,26.1875,24.75,25.0625,25.0625,525400
55,1999-06-28,25.25,26.125,25.25,25.59375,25.59375,1079800
56,1999-06-29,25.6875,29.5,25.4375,28.25,28.25,1712200
57,1999-06-30,28.34375,29.0625,27.0,29.03125,29.03125,1151400
58,1999-07-01,28.40625,28.75,27.5625,28.0,28.0,432200
59,1999-07-02,28.5625,28.625,26.5,27.0,27.0,858400
60,1999-07-06,26.5625,27.0,25.6875,25.6875,25.6875,1287400
61,1999-07-07,25.8125,27.875,25.1875,27.5,27.5,855400
62,1999-07-08,28.25,31.0,27.875,31.0,31.0,1781200
63,1999-07-09,30.96875,32.75,29.9375,31.0,31.0,1463200
64,1999-07-12,31.5,32.0,30.8125,31.375,31.375,561600
65,1999-07-13,30.90625,33.75,30.5625,33.0,33.0,865000
66,1999-07-14,33.625,33.9375,31.5625,32.71875,32.71875,550400
67,1999-07-15,32.90625,34.5625,32.25,33.96875,33.96875,496800
68,1999-07-16,34.125,35.5625,34.125,34.8125,34.8125,471600
69,1999-07-19,35.0,35.0,31.0625,31.375,31.375,719600
70,1999-07-20,31.03125,31.1875,27.90625,29.125,29.125,729200
71,1999-07-21,29.84375,33.21875,29.25,32.90625,32.90625,926200
