,Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
0,FDX,08/18/20,206.37,208.43,204.18,206.97,3040460,0.33,0.16%
1,FDX,08/17/20,210.0,211.56,206.04,206.64,2661536,-1.96,-0.94%
2,FDX,08/14/20,202.07,209.64,201.86,208.6,4632900,4.74,2.33%
3,FDX,08/13/20,200.68,204.79,199.61,203.86,3663224,1.9,0.94%
4,FDX,08/12/20,200.0,206.24,199.01,201.96,6239191,5.51,2.80%
5,FDX,08/11/20,199.99,203.59,195.14,196.45,5997867,-3.53,-1.77%
6,FDX,08/10/20,188.16,200.46,187.34,199.98,10815100,16.45,8.96%
7,FDX,08/07/20,172.47,183.88,172.47,183.53,6311000,11.29,6.55%
8,FDX,08/06/20,172.0,173.48,171.32,172.24,1364887,0.54,0.31%
9,FDX,08/05/20,171.85,172.42,170.24,171.7,1309872,1.04,0.61%
10,FDX,08/04/20,169.22,171.48,169.2,170.66,1264027,1.44,0.85%
11,FDX,08/03/20,169.55,170.59,168.53,169.22,1503559,0.82,0.49%
12,FDX,07/31/20,172.0,172.71,167.99,168.4,2488100,-4.31,-2.50%
13,FDX,07/30/20,174.15,174.5,169.86,172.71,5406523,3.16,1.86%
14,FDX,07/29/20,167.1,171.37,167.01,169.55,4623853,2.62,1.57%
15,FDX,07/28/20,169.42,170.33,166.71,166.93,2374575,-3.71,-2.17%
16,FDX,07/27/20,165.0,170.72,163.86,170.64,2925862,5.6,3.39%
17,FDX,07/24/20,164.69,166.88,164.19,165.04,1546200,-0.95,-0.57%
18,FDX,07/23/20,165.41,167.39,164.65,165.99,1387204,0.85,0.51%
19,FDX,07/22/20,164.64,165.94,163.44,165.14,1231827,-0.36,-0.22%
20,FDX,07/21/20,165.1,167.56,164.41,165.5,1731787,1.37,0.83%
21,FDX,07/20/20,164.89,165.55,162.81,164.13,1593405,-1.85,-1.11%
22,FDX,07/17/20,167.28,168.12,164.91,165.98,2048000,-0.12,-0.07%
23,FDX,07/16/20,161.77,167.1,160.47,166.1,4099887,4.85,3.01%
24,FDX,07/15/20,160.42,162.53,159.04,161.25,3332894,2.75,1.74%
25,FDX,07/14/20,156.23,158.92,155.53,158.5,1639070,2.27,1.45%
26,FDX,07/13/20,160.0,160.22,155.66,156.23,1735983,-2.36,-1.49%
27,FDX,07/10/20,156.2,159.01,155.97,158.59,1746200,2.85,1.83%
28,FDX,07/09/20,158.0,158.75,155.32,155.74,2238272,-2.82,-1.78%
29,FDX,07/08/20,158.12,159.38,156.27,158.56,2110834,0.02,0.01%
30,FDX,07/07/20,154.27,159.95,154.13,158.54,2582808,2.27,1.45%
31,FDX,07/06/20,157.9,158.4,153.66,156.27,3014883,0.79,0.51%
32,FDX,07/02/20,158.6,159.72,155.28,155.48,4046900,-1.18,-0.75%
33,FDX,07/01/20,158.85,163.65,155.76,156.66,17963342,16.44,11.72%
34,FDX,06/30/20,136.22,140.75,134.92,140.22,6367848,5.67,4.21%
35,FDX,06/29/20,131.3,134.73,130.12,134.55,2332064,4.47,3.44%
36,FDX,06/26/20,135.2,135.38,129.28,130.08,3282000,-6.03,-4.43%
37,FDX,06/25/20,133.72,136.28,132.23,136.11,2310339,1.02,0.76%
38,FDX,06/24/20,137.65,138.0,134.13,135.09,2357123,-3.98,-2.86%
39,FDX,06/23/20,138.55,139.84,137.38,139.07,1384876,1.69,1.23%
40,FDX,06/22/20,136.55,137.74,135.2,137.38,1448112,-0.25,-0.18%
41,FDX,06/19/20,140.76,140.88,135.62,137.63,2827600,-0.76,-0.55%
42,FDX,06/18/20,134.92,139.34,134.5,138.39,2415152,2.73,2.01%
43,FDX,06/17/20,136.71,137.4,134.87,135.66,1214393,0.12,0.09%
44,FDX,06/16/20,138.15,139.37,133.0,135.54,1653321,1.86,1.39%
